repo,metric,period,granularity,value
airbnb/javascript,openrank,2026-04,month,16.35
airbnb/javascript,openrank,2026-05,month,11.82
airbnb/javascript,openrank,2026-08,month,8.48
airbnb/javascript,openrank,2021-10-raw,other,39.27
airbnb/javascript,openrank,2015Q1,quarter,11.91
airbnb/javascript,openrank,2015Q2,quarter,41.08
airbnb/javascript,openrank,2015Q3,quarter,66.6
airbnb/javascript,openrank,2015Q4,quarter,73.03
airbnb/javascript,openrank,2016Q1,quarter,114.81
airbnb/javascript,openrank,2016Q2,quarter,141.76
airbnb/javascript,openrank,2016Q3,quarter,163.51
airbnb/javascript,openrank,2016Q4,quarter,171.04
airbnb/javascript,openrank,2017Q1,quarter,176.26
airbnb/javascript,openrank,2017Q2,quarter,185.99
airbnb/javascript,openrank,2017Q3,quarter,191.92
airbnb/javascript,openrank,2017Q4,quarter,182.04
airbnb/javascript,openrank,2018Q1,quarter,197.99
airbnb/javascript,openrank,2018Q2,quarter,182.94
airbnb/javascript,openrank,2018Q3,quarter,185.49
airbnb/javascript,openrank,2018Q4,quarter,166.38
airbnb/javascript,openrank,2019Q1,quarter,161.71
airbnb/javascript,openrank,2019Q2,quarter,158.63
airbnb/javascript,openrank,2019Q3,quarter,195.62
airbnb/javascript,openrank,2019Q4,quarter,166.04
airbnb/javascript,openrank,2020Q1,quarter,156.25
airbnb/javascript,openrank,2020Q2,quarter,164.96
airbnb/javascript,openrank,2020Q3,quarter,162.29
airbnb/javascript,openrank,2020Q4,quarter,159.71
airbnb/javascript,openrank,2021Q1,quarter,148.03
airbnb/javascript,openrank,2021Q2,quarter,143.83
airbnb/javascript,openrank,2021Q3,quarter,135.22
airbnb/javascript,openrank,2021Q4,quarter,147.95
airbnb/javascript,openrank,2022Q1,quarter,139.78
airbnb/javascript,openrank,2022Q2,quarter,136.08
airbnb/javascript,openrank,2022Q3,quarter,128.51
airbnb/javascript,openrank,2022Q4,quarter,143.0
airbnb/javascript,openrank,2023Q1,quarter,133.78
airbnb/javascript,openrank,2023Q2,quarter,130.66
airbnb/javascript,openrank,2023Q3,quarter,137.4
airbnb/javascript,openrank,2023Q4,quarter,116.73
airbnb/javascript,openrank,2024Q1,quarter,126.81
airbnb/javascript,openrank,2024Q2,quarter,120.47
airbnb/javascript,openrank,2024Q3,quarter,103.44
airbnb/javascript,openrank,2024Q4,quarter,95.33
airbnb/javascript,openrank,2025Q1,quarter,88.06
airbnb/javascript,openrank,2025Q2,quarter,79.81
airbnb/javascript,openrank,2025Q3,quarter,71.96
airbnb/javascript,openrank,2025Q4,quarter,64.18
airbnb/javascript,openrank,2026Q1,quarter,45.13
airbnb/javascript,openrank,2026Q2,quarter,28.18
airbnb/javascript,openrank,2026Q3,quarter,8.48
airbnb/javascript,participants,2015,year,377.0
airbnb/javascript,participants,2016,year,631.0
airbnb/javascript,participants,2017,year,604.0
airbnb/javascript,participants,2018,year,472.0
airbnb/javascript,participants,2019,year,300.0
airbnb/javascript,participants,2020,year,327.0
airbnb/javascript,participants,2021,year,210.0
airbnb/javascript,participants,2022,year,188.0
airbnb/javascript,participants,2023,year,207.0
airbnb/javascript,participants,2024,year,217.0
airbnb/javascript,participants,2025,year,173.0
airbnb/javascript,participants,2026,year,84.0
airbnb/javascript,participants,2015-01,month,11.0
airbnb/javascript,participants,2015-02,month,22.0
airbnb/javascript,participants,2015-03,month,35.0
airbnb/javascript,participants,2015-04,month,70.0
airbnb/javascript,participants,2015-05,month,29.0
airbnb/javascript,participants,2015-06,month,32.0
airbnb/javascript,participants,2015-07,month,76.0
airbnb/javascript,participants,2015-08,month,56.0
airbnb/javascript,participants,2015-09,month,45.0
airbnb/javascript,participants,2015-10,month,43.0
airbnb/javascript,participants,2015-11,month,48.0
airbnb/javascript,participants,2015-12,month,65.0
airbnb/javascript,participants,2016-01,month,65.0
airbnb/javascript,participants,2016-02,month,82.0
airbnb/javascript,participants,2016-03,month,51.0
airbnb/javascript,participants,2016-04,month,70.0
airbnb/javascript,participants,2016-05,month,59.0
airbnb/javascript,participants,2016-06,month,53.0
airbnb/javascript,participants,2016-07,month,52.0
airbnb/javascript,participants,2016-08,month,101.0
airbnb/javascript,participants,2016-09,month,79.0
airbnb/javascript,participants,2016-10,month,64.0
airbnb/javascript,participants,2016-11,month,64.0
airbnb/javascript,participants,2016-12,month,62.0
airbnb/javascript,participants,2017-01,month,64.0
airbnb/javascript,participants,2017-02,month,57.0
airbnb/javascript,participants,2017-03,month,65.0
airbnb/javascript,participants,2017-04,month,59.0
airbnb/javascript,participants,2017-05,month,65.0
airbnb/javascript,participants,2017-06,month,73.0
airbnb/javascript,participants,2017-07,month,84.0
airbnb/javascript,participants,2017-08,month,63.0
airbnb/javascript,participants,2017-09,month,45.0
airbnb/javascript,participants,2017-10,month,71.0
airbnb/javascript,participants,2017-11,month,41.0
airbnb/javascript,participants,2017-12,month,46.0
airbnb/javascript,participants,2018-01,month,60.0
airbnb/javascript,participants,2018-02,month,63.0
airbnb/javascript,participants,2018-03,month,62.0
airbnb/javascript,participants,2018-04,month,42.0
airbnb/javascript,participants,2018-05,month,54.0
airbnb/javascript,participants,2018-06,month,52.0
airbnb/javascript,participants,2018-07,month,44.0
airbnb/javascript,participants,2018-08,month,63.0
airbnb/javascript,participants,2018-09,month,42.0
airbnb/javascript,participants,2018-10,month,46.0
airbnb/javascript,participants,2018-11,month,35.0
airbnb/javascript,participants,2018-12,month,22.0
airbnb/javascript,participants,2019-01,month,39.0
airbnb/javascript,participants,2019-02,month,32.0
airbnb/javascript,participants,2019-03,month,17.0
airbnb/javascript,participants,2019-04,month,21.0
airbnb/javascript,participants,2019-05,month,23.0
airbnb/javascript,participants,2019-06,month,29.0
airbnb/javascript,participants,2019-07,month,32.0
airbnb/javascript,participants,2019-08,month,36.0
airbnb/javascript,participants,2019-09,month,31.0
airbnb/javascript,participants,2019-10,month,38.0
airbnb/javascript,participants,2019-11,month,22.0
airbnb/javascript,participants,2019-12,month,22.0
airbnb/javascript,participants,2020-01,month,25.0
airbnb/javascript,participants,2020-02,month,39.0
airbnb/javascript,participants,2020-03,month,30.0
airbnb/javascript,participants,2020-04,month,32.0
airbnb/javascript,participants,2020-05,month,34.0
airbnb/javascript,participants,2020-06,month,45.0
airbnb/javascript,participants,2020-07,month,27.0
airbnb/javascript,participants,2020-08,month,27.0
airbnb/javascript,participants,2020-09,month,19.0
airbnb/javascript,participants,2020-10,month,42.0
airbnb/javascript,participants,2020-11,month,27.0
airbnb/javascript,participants,2020-12,month,17.0
airbnb/javascript,participants,2021-01,month,21.0
airbnb/javascript,participants,2021-02,month,31.0
airbnb/javascript,participants,2021-03,month,21.0
airbnb/javascript,participants,2021-04,month,13.0
airbnb/javascript,participants,2021-05,month,22.0
airbnb/javascript,participants,2021-06,month,14.0
airbnb/javascript,participants,2021-07,month,12.0
airbnb/javascript,participants,2021-08,month,19.0
airbnb/javascript,participants,2021-09,month,12.0
airbnb/javascript,participants,2021-10,month,24.0
airbnb/javascript,participants,2021-11,month,38.0
airbnb/javascript,participants,2021-12,month,22.0
airbnb/javascript,participants,2022-01,month,19.0
airbnb/javascript,participants,2022-02,month,17.0
airbnb/javascript,participants,2022-03,month,35.0
airbnb/javascript,participants,2022-04,month,11.0
airbnb/javascript,participants,2022-05,month,16.0
airbnb/javascript,participants,2022-06,month,15.0
airbnb/javascript,participants,2022-07,month,14.0
airbnb/javascript,participants,2022-08,month,16.0
airbnb/javascript,participants,2022-09,month,20.0
airbnb/javascript,participants,2022-10,month,15.0
airbnb/javascript,participants,2022-11,month,12.0
airbnb/javascript,participants,2022-12,month,20.0
airbnb/javascript,participants,2023-01,month,28.0
airbnb/javascript,participants,2023-02,month,20.0
airbnb/javascript,participants,2023-03,month,22.0
airbnb/javascript,participants,2023-04,month,18.0
airbnb/javascript,participants,2023-05,month,19.0
airbnb/javascript,participants,2023-06,month,13.0
airbnb/javascript,participants,2023-07,month,18.0
airbnb/javascript,participants,2023-08,month,29.0
airbnb/javascript,participants,2023-09,month,19.0
airbnb/javascript,participants,2023-10,month,21.0
airbnb/javascript,participants,2023-11,month,15.0
airbnb/javascript,participants,2023-12,month,14.0
airbnb/javascript,participants,2024-01,month,17.0
airbnb/javascript,participants,2024-02,month,28.0
airbnb/javascript,participants,2024-03,month,29.0
airbnb/javascript,participants,2024-04,month,28.0
airbnb/javascript,participants,2024-05,month,15.0
airbnb/javascript,participants,2024-06,month,11.0
airbnb/javascript,participants,2024-07,month,20.0
airbnb/javascript,participants,2024-08,month,12.0
airbnb/javascript,participants,2024-09,month,24.0
airbnb/javascript,participants,2024-10,month,19.0
airbnb/javascript,participants,2024-11,month,16.0
airbnb/javascript,participants,2024-12,month,22.0
airbnb/javascript,participants,2025-01,month,24.0
airbnb/javascript,participants,2025-02,month,18.0
airbnb/javascript,participants,2025-03,month,16.0
airbnb/javascript,participants,2025-04,month,20.0
airbnb/javascript,participants,2025-05,month,12.0
airbnb/javascript,participants,2025-06,month,16.0
airbnb/javascript,participants,2025-07,month,10.0
airbnb/javascript,participants,2025-08,month,22.0
airbnb/javascript,participants,2025-09,month,13.0
airbnb/javascript,participants,2025-10,month,23.0
airbnb/javascript,participants,2025-11,month,14.0
airbnb/javascript,participants,2025-12,month,11.0
airbnb/javascript,participants,2026-01,month,16.0
airbnb/javascript,participants,2026-02,month,11.0
airbnb/javascript,participants,2026-03,month,18.0
airbnb/javascript,participants,2026-04,month,15.0
airbnb/javascript,participants,2026-05,month,7.0
airbnb/javascript,participants,2026-06,month,7.0
airbnb/javascript,participants,2026-07,month,18.0
airbnb/javascript,participants,2026-08,month,9.0
airbnb/javascript,participants,2021-10-raw,other,7.0
airbnb/javascript,participants,2015Q1,quarter,58.0
airbnb/javascript,participants,2015Q2,quarter,112.0
airbnb/javascript,participants,2015Q3,quarter,149.0
airbnb/javascript,participants,2015Q4,quarter,126.0
airbnb/javascript,participants,2016Q1,quarter,173.0
airbnb/javascript,participants,2016Q2,quarter,162.0
airbnb/javascript,participants,2016Q3,quarter,215.0
airbnb/javascript,participants,2016Q4,quarter,172.0
airbnb/javascript,participants,2017Q1,quarter,165.0
airbnb/javascript,participants,2017Q2,quarter,177.0
airbnb/javascript,participants,2017Q3,quarter,182.0
airbnb/javascript,participants,2017Q4,quarter,144.0
airbnb/javascript,participants,2018Q1,quarter,167.0
airbnb/javascript,participants,2018Q2,quarter,132.0
airbnb/javascript,participants,2018Q3,quarter,141.0
airbnb/javascript,participants,2018Q4,quarter,96.0
airbnb/javascript,participants,2019Q1,quarter,82.0
airbnb/javascript,participants,2019Q2,quarter,70.0
airbnb/javascript,participants,2019Q3,quarter,93.0
airbnb/javascript,participants,2019Q4,quarter,78.0
airbnb/javascript,participants,2020Q1,quarter,87.0
airbnb/javascript,participants,2020Q2,quarter,106.0
airbnb/javascript,participants,2020Q3,quarter,68.0
airbnb/javascript,participants,2020Q4,quarter,84.0
airbnb/javascript,participants,2021Q1,quarter,70.0
airbnb/javascript,participants,2021Q2,quarter,45.0
airbnb/javascript,participants,2021Q3,quarter,40.0
airbnb/javascript,participants,2021Q4,quarter,63.0
airbnb/javascript,participants,2022Q1,quarter,65.0
airbnb/javascript,participants,2022Q2,quarter,40.0
airbnb/javascript,participants,2022Q3,quarter,47.0
airbnb/javascript,participants,2022Q4,quarter,43.0
airbnb/javascript,participants,2023Q1,quarter,65.0
airbnb/javascript,participants,2023Q2,quarter,43.0
airbnb/javascript,participants,2023Q3,quarter,63.0
airbnb/javascript,participants,2023Q4,quarter,46.0
airbnb/javascript,participants,2024Q1,quarter,70.0
airbnb/javascript,participants,2024Q2,quarter,52.0
airbnb/javascript,participants,2024Q3,quarter,54.0
airbnb/javascript,participants,2024Q4,quarter,54.0
airbnb/javascript,participants,2025Q1,quarter,55.0
airbnb/javascript,participants,2025Q2,quarter,43.0
airbnb/javascript,participants,2025Q3,quarter,42.0
airbnb/javascript,participants,2025Q4,quarter,46.0
airbnb/javascript,participants,2026Q1,quarter,41.0
airbnb/javascript,participants,2026Q2,quarter,25.0
airbnb/javascript,participants,2026Q3,quarter,25.0
airbnb/javascript,stars,2015,year,17182.0
airbnb/javascript,stars,2016,year,18454.0
airbnb/javascript,stars,2017,year,20247.0
airbnb/javascript,stars,2018,year,17125.0
airbnb/javascript,stars,2019,year,13351.0
airbnb/javascript,stars,2020,year,13886.0
airbnb/javascript,stars,2021,year,16143.0
airbnb/javascript,stars,2022,year,14077.0
airbnb/javascript,stars,2023,year,11304.0
airbnb/javascript,stars,2024,year,7650.0
airbnb/javascript,stars,2025,year,2846.0
airbnb/javascript,stars,2026,year,242.0
airbnb/javascript,stars,2015-01,month,481.0
airbnb/javascript,stars,2015-02,month,415.0
airbnb/javascript,stars,2015-03,month,2328.0
airbnb/javascript,stars,2015-04,month,3086.0
airbnb/javascript,stars,2015-05,month,755.0
airbnb/javascript,stars,2015-06,month,1038.0
airbnb/javascript,stars,2015-07,month,3699.0
airbnb/javascript,stars,2015-08,month,1150.0
airbnb/javascript,stars,2015-09,month,943.0
airbnb/javascript,stars,2015-10,month,1082.0
airbnb/javascript,stars,2015-11,month,1145.0
airbnb/javascript,stars,2015-12,month,1252.0
airbnb/javascript,stars,2016-01,month,1408.0
airbnb/javascript,stars,2016-02,month,1238.0
airbnb/javascript,stars,2016-03,month,2379.0
airbnb/javascript,stars,2016-04,month,1861.0
airbnb/javascript,stars,2016-05,month,1443.0
airbnb/javascript,stars,2016-06,month,1382.0
airbnb/javascript,stars,2016-07,month,1620.0
airbnb/javascript,stars,2016-08,month,1709.0
airbnb/javascript,stars,2016-09,month,1534.0
airbnb/javascript,stars,2016-10,month,1368.0
airbnb/javascript,stars,2016-11,month,1379.0
airbnb/javascript,stars,2016-12,month,1350.0
airbnb/javascript,stars,2017-01,month,1483.0
airbnb/javascript,stars,2017-02,month,1955.0
airbnb/javascript,stars,2017-03,month,1813.0
airbnb/javascript,stars,2017-04,month,1652.0
airbnb/javascript,stars,2017-05,month,1672.0
airbnb/javascript,stars,2017-06,month,1654.0
airbnb/javascript,stars,2017-07,month,2079.0
airbnb/javascript,stars,2017-08,month,1624.0
airbnb/javascript,stars,2017-09,month,1324.0
airbnb/javascript,stars,2017-10,month,1576.0
airbnb/javascript,stars,2017-11,month,2336.0
airbnb/javascript,stars,2017-12,month,1348.0
airbnb/javascript,stars,2018-01,month,2073.0
airbnb/javascript,stars,2018-02,month,1633.0
airbnb/javascript,stars,2018-03,month,1776.0
airbnb/javascript,stars,2018-04,month,1557.0
airbnb/javascript,stars,2018-05,month,1385.0
airbnb/javascript,stars,2018-06,month,1307.0
airbnb/javascript,stars,2018-07,month,1438.0
airbnb/javascript,stars,2018-08,month,1317.0
airbnb/javascript,stars,2018-09,month,1209.0
airbnb/javascript,stars,2018-10,month,1383.0
airbnb/javascript,stars,2018-11,month,1211.0
airbnb/javascript,stars,2018-12,month,999.0
airbnb/javascript,stars,2019-01,month,1270.0
airbnb/javascript,stars,2019-02,month,1121.0
airbnb/javascript,stars,2019-03,month,1455.0
airbnb/javascript,stars,2019-04,month,1354.0
airbnb/javascript,stars,2019-05,month,1387.0
airbnb/javascript,stars,2019-06,month,994.0
airbnb/javascript,stars,2019-07,month,1156.0
airbnb/javascript,stars,2019-08,month,1073.0
airbnb/javascript,stars,2019-09,month,923.0
airbnb/javascript,stars,2019-10,month,944.0
airbnb/javascript,stars,2019-11,month,908.0
airbnb/javascript,stars,2019-12,month,890.0
airbnb/javascript,stars,2020-01,month,820.0
airbnb/javascript,stars,2020-02,month,1262.0
airbnb/javascript,stars,2020-03,month,1012.0
airbnb/javascript,stars,2020-04,month,1091.0
airbnb/javascript,stars,2020-05,month,1655.0
airbnb/javascript,stars,2020-06,month,1306.0
airbnb/javascript,stars,2020-07,month,1054.0
airbnb/javascript,stars,2020-08,month,1090.0
airbnb/javascript,stars,2020-09,month,973.0
airbnb/javascript,stars,2020-10,month,1104.0
airbnb/javascript,stars,2020-11,month,1013.0
airbnb/javascript,stars,2020-12,month,1649.0
airbnb/javascript,stars,2021-01,month,1039.0
airbnb/javascript,stars,2021-02,month,2029.0
airbnb/javascript,stars,2021-03,month,1316.0
airbnb/javascript,stars,2021-04,month,1569.0
airbnb/javascript,stars,2021-05,month,1057.0
airbnb/javascript,stars,2021-06,month,1443.0
airbnb/javascript,stars,2021-07,month,2087.0
airbnb/javascript,stars,2021-08,month,1372.0
airbnb/javascript,stars,2021-09,month,1058.0
airbnb/javascript,stars,2021-10,month,1314.0
airbnb/javascript,stars,2021-11,month,1547.0
airbnb/javascript,stars,2021-12,month,1309.0
airbnb/javascript,stars,2022-01,month,1299.0
airbnb/javascript,stars,2022-02,month,1012.0
airbnb/javascript,stars,2022-03,month,1762.0
airbnb/javascript,stars,2022-04,month,1420.0
airbnb/javascript,stars,2022-05,month,1159.0
airbnb/javascript,stars,2022-06,month,852.0
airbnb/javascript,stars,2022-07,month,887.0
airbnb/javascript,stars,2022-08,month,1759.0
airbnb/javascript,stars,2022-09,month,961.0
airbnb/javascript,stars,2022-10,month,818.0
airbnb/javascript,stars,2022-11,month,1142.0
airbnb/javascript,stars,2022-12,month,1107.0
airbnb/javascript,stars,2023-01,month,1176.0
airbnb/javascript,stars,2023-02,month,733.0
airbnb/javascript,stars,2023-03,month,1063.0
airbnb/javascript,stars,2023-04,month,828.0
airbnb/javascript,stars,2023-05,month,1312.0
airbnb/javascript,stars,2023-06,month,677.0
airbnb/javascript,stars,2023-07,month,647.0
airbnb/javascript,stars,2023-08,month,643.0
airbnb/javascript,stars,2023-09,month,2164.0
airbnb/javascript,stars,2023-10,month,936.0
airbnb/javascript,stars,2023-11,month,676.0
airbnb/javascript,stars,2023-12,month,520.0
airbnb/javascript,stars,2024-01,month,585.0
airbnb/javascript,stars,2024-02,month,559.0
airbnb/javascript,stars,2024-03,month,558.0
airbnb/javascript,stars,2024-04,month,984.0
airbnb/javascript,stars,2024-05,month,791.0
airbnb/javascript,stars,2024-06,month,481.0
airbnb/javascript,stars,2024-07,month,1280.0
airbnb/javascript,stars,2024-08,month,569.0
airbnb/javascript,stars,2024-09,month,519.0
airbnb/javascript,stars,2024-10,month,533.0
airbnb/javascript,stars,2024-11,month,513.0
airbnb/javascript,stars,2024-12,month,325.0
airbnb/javascript,stars,2025-01,month,393.0
airbnb/javascript,stars,2025-02,month,407.0
airbnb/javascript,stars,2025-03,month,367.0
airbnb/javascript,stars,2025-04,month,328.0
airbnb/javascript,stars,2025-05,month,272.0
airbnb/javascript,stars,2025-06,month,178.0
airbnb/javascript,stars,2025-07,month,218.0
airbnb/javascript,stars,2025-08,month,167.0
airbnb/javascript,stars,2025-09,month,165.0
airbnb/javascript,stars,2025-10,month,133.0
airbnb/javascript,stars,2025-11,month,123.0
airbnb/javascript,stars,2025-12,month,101.0
airbnb/javascript,stars,2026-01,month,72.0
airbnb/javascript,stars,2026-02,month,66.0
airbnb/javascript,stars,2026-03,month,44.0
airbnb/javascript,stars,2026-04,month,36.0
airbnb/javascript,stars,2026-05,month,18.0
airbnb/javascript,stars,2026-06,month,2.0
airbnb/javascript,stars,2026-07,month,2.0
airbnb/javascript,stars,2026-08,month,2.0
airbnb/javascript,stars,2021-10-raw,other,462.0
airbnb/javascript,stars,2015Q1,quarter,3222.0
airbnb/javascript,stars,2015Q2,quarter,4867.0
airbnb/javascript,stars,2015Q3,quarter,5779.0
airbnb/javascript,stars,2015Q4,quarter,3458.0
airbnb/javascript,stars,2016Q1,quarter,5010.0
airbnb/javascript,stars,2016Q2,quarter,4665.0
airbnb/javascript,stars,2016Q3,quarter,4849.0
airbnb/javascript,stars,2016Q4,quarter,4084.0
airbnb/javascript,stars,2017Q1,quarter,5231.0
airbnb/javascript,stars,2017Q2,quarter,4954.0
airbnb/javascript,stars,2017Q3,quarter,5009.0
airbnb/javascript,stars,2017Q4,quarter,5246.0
airbnb/javascript,stars,2018Q1,quarter,5464.0
airbnb/javascript,stars,2018Q2,quarter,4232.0
airbnb/javascript,stars,2018Q3,quarter,3957.0
airbnb/javascript,stars,2018Q4,quarter,3585.0
airbnb/javascript,stars,2019Q1,quarter,3837.0
airbnb/javascript,stars,2019Q2,quarter,3721.0
airbnb/javascript,stars,2019Q3,quarter,3146.0
airbnb/javascript,stars,2019Q4,quarter,2733.0
airbnb/javascript,stars,2020Q1,quarter,3081.0
airbnb/javascript,stars,2020Q2,quarter,4043.0
airbnb/javascript,stars,2020Q3,quarter,3107.0
airbnb/javascript,stars,2020Q4,quarter,3753.0
airbnb/javascript,stars,2021Q1,quarter,4372.0
airbnb/javascript,stars,2021Q2,quarter,4060.0
airbnb/javascript,stars,2021Q3,quarter,4509.0
airbnb/javascript,stars,2021Q4,quarter,3312.0
airbnb/javascript,stars,2022Q1,quarter,4061.0
airbnb/javascript,stars,2022Q2,quarter,3422.0
airbnb/javascript,stars,2022Q3,quarter,3602.0
airbnb/javascript,stars,2022Q4,quarter,3058.0
airbnb/javascript,stars,2023Q1,quarter,2965.0
airbnb/javascript,stars,2023Q2,quarter,2811.0
airbnb/javascript,stars,2023Q3,quarter,3452.0
airbnb/javascript,stars,2023Q4,quarter,2130.0
airbnb/javascript,stars,2024Q1,quarter,1698.0
airbnb/javascript,stars,2024Q2,quarter,2252.0
airbnb/javascript,stars,2024Q3,quarter,2365.0
airbnb/javascript,stars,2024Q4,quarter,1369.0
airbnb/javascript,stars,2025Q1,quarter,1166.0
airbnb/javascript,stars,2025Q2,quarter,778.0
airbnb/javascript,stars,2025Q3,quarter,549.0
airbnb/javascript,stars,2025Q4,quarter,357.0
airbnb/javascript,stars,2026Q1,quarter,182.0
airbnb/javascript,stars,2026Q2,quarter,56.0
airbnb/javascript,stars,2026Q3,quarter,4.0
airbnb/javascript,technical_fork,2015,year,3225.0
airbnb/javascript,technical_fork,2016,year,4132.0
airbnb/javascript,technical_fork,2017,year,4577.0
airbnb/javascript,technical_fork,2018,year,3525.0
airbnb/javascript,technical_fork,2019,year,3221.0
airbnb/javascript,technical_fork,2020,year,3141.0
airbnb/javascript,technical_fork,2021,year,2971.0
airbnb/javascript,technical_fork,2022,year,2906.0
airbnb/javascript,technical_fork,2023,year,2275.0
airbnb/javascript,technical_fork,2024,year,1381.0
airbnb/javascript,technical_fork,2025,year,644.0
airbnb/javascript,technical_fork,2026,year,56.0
airbnb/javascript,technical_fork,2015-01,month,131.0
airbnb/javascript,technical_fork,2015-02,month,132.0
airbnb/javascript,technical_fork,2015-03,month,312.0
airbnb/javascript,technical_fork,2015-04,month,482.0
airbnb/javascript,technical_fork,2015-05,month,195.0
airbnb/javascript,technical_fork,2015-06,month,212.0
airbnb/javascript,technical_fork,2015-07,month,511.0
airbnb/javascript,technical_fork,2015-08,month,246.0
airbnb/javascript,technical_fork,2015-09,month,255.0
airbnb/javascript,technical_fork,2015-10,month,236.0
airbnb/javascript,technical_fork,2015-11,month,240.0
airbnb/javascript,technical_fork,2015-12,month,273.0
airbnb/javascript,technical_fork,2016-01,month,308.0
airbnb/javascript,technical_fork,2016-02,month,301.0
airbnb/javascript,technical_fork,2016-03,month,415.0
airbnb/javascript,technical_fork,2016-04,month,371.0
airbnb/javascript,technical_fork,2016-05,month,315.0
airbnb/javascript,technical_fork,2016-06,month,318.0
airbnb/javascript,technical_fork,2016-07,month,341.0
airbnb/javascript,technical_fork,2016-08,month,384.0
airbnb/javascript,technical_fork,2016-09,month,338.0
airbnb/javascript,technical_fork,2016-10,month,357.0
airbnb/javascript,technical_fork,2016-11,month,361.0
airbnb/javascript,technical_fork,2016-12,month,323.0
airbnb/javascript,technical_fork,2017-01,month,359.0
airbnb/javascript,technical_fork,2017-02,month,410.0
airbnb/javascript,technical_fork,2017-03,month,447.0
airbnb/javascript,technical_fork,2017-04,month,346.0
airbnb/javascript,technical_fork,2017-05,month,371.0
airbnb/javascript,technical_fork,2017-06,month,380.0
airbnb/javascript,technical_fork,2017-07,month,433.0
airbnb/javascript,technical_fork,2017-08,month,384.0
airbnb/javascript,technical_fork,2017-09,month,348.0
airbnb/javascript,technical_fork,2017-10,month,331.0
airbnb/javascript,technical_fork,2017-11,month,440.0
airbnb/javascript,technical_fork,2017-12,month,328.0
airbnb/javascript,technical_fork,2018-01,month,362.0
airbnb/javascript,technical_fork,2018-02,month,289.0
airbnb/javascript,technical_fork,2018-03,month,347.0
airbnb/javascript,technical_fork,2018-04,month,328.0
airbnb/javascript,technical_fork,2018-05,month,305.0
airbnb/javascript,technical_fork,2018-06,month,268.0
airbnb/javascript,technical_fork,2018-07,month,303.0
airbnb/javascript,technical_fork,2018-08,month,297.0
airbnb/javascript,technical_fork,2018-09,month,248.0
airbnb/javascript,technical_fork,2018-10,month,285.0
airbnb/javascript,technical_fork,2018-11,month,270.0
airbnb/javascript,technical_fork,2018-12,month,223.0
airbnb/javascript,technical_fork,2019-01,month,259.0
airbnb/javascript,technical_fork,2019-02,month,306.0
airbnb/javascript,technical_fork,2019-03,month,295.0
airbnb/javascript,technical_fork,2019-04,month,308.0
airbnb/javascript,technical_fork,2019-05,month,293.0
airbnb/javascript,technical_fork,2019-06,month,263.0
airbnb/javascript,technical_fork,2019-07,month,284.0
airbnb/javascript,technical_fork,2019-08,month,238.0
airbnb/javascript,technical_fork,2019-09,month,278.0
airbnb/javascript,technical_fork,2019-10,month,260.0
airbnb/javascript,technical_fork,2019-11,month,229.0
airbnb/javascript,technical_fork,2019-12,month,208.0
airbnb/javascript,technical_fork,2020-01,month,192.0
airbnb/javascript,technical_fork,2020-02,month,284.0
airbnb/javascript,technical_fork,2020-03,month,261.0
airbnb/javascript,technical_fork,2020-04,month,275.0
airbnb/javascript,technical_fork,2020-05,month,332.0
airbnb/javascript,technical_fork,2020-06,month,296.0
airbnb/javascript,technical_fork,2020-07,month,261.0
airbnb/javascript,technical_fork,2020-08,month,225.0
airbnb/javascript,technical_fork,2020-09,month,226.0
airbnb/javascript,technical_fork,2020-10,month,278.0
airbnb/javascript,technical_fork,2020-11,month,217.0
airbnb/javascript,technical_fork,2020-12,month,294.0
airbnb/javascript,technical_fork,2021-01,month,241.0
airbnb/javascript,technical_fork,2021-02,month,310.0
airbnb/javascript,technical_fork,2021-03,month,262.0
airbnb/javascript,technical_fork,2021-04,month,277.0
airbnb/javascript,technical_fork,2021-05,month,238.0
airbnb/javascript,technical_fork,2021-06,month,284.0
airbnb/javascript,technical_fork,2021-07,month,332.0
airbnb/javascript,technical_fork,2021-08,month,221.0
airbnb/javascript,technical_fork,2021-09,month,202.0
airbnb/javascript,technical_fork,2021-10,month,232.0
airbnb/javascript,technical_fork,2021-11,month,255.0
airbnb/javascript,technical_fork,2021-12,month,257.0
airbnb/javascript,technical_fork,2022-01,month,287.0
airbnb/javascript,technical_fork,2022-02,month,265.0
airbnb/javascript,technical_fork,2022-03,month,312.0
airbnb/javascript,technical_fork,2022-04,month,325.0
airbnb/javascript,technical_fork,2022-05,month,320.0
airbnb/javascript,technical_fork,2022-06,month,167.0
airbnb/javascript,technical_fork,2022-07,month,196.0
airbnb/javascript,technical_fork,2022-08,month,249.0
airbnb/javascript,technical_fork,2022-09,month,187.0
airbnb/javascript,technical_fork,2022-10,month,168.0
airbnb/javascript,technical_fork,2022-11,month,238.0
airbnb/javascript,technical_fork,2022-12,month,192.0
airbnb/javascript,technical_fork,2023-01,month,191.0
airbnb/javascript,technical_fork,2023-02,month,167.0
airbnb/javascript,technical_fork,2023-03,month,250.0
airbnb/javascript,technical_fork,2023-04,month,171.0
airbnb/javascript,technical_fork,2023-05,month,312.0
airbnb/javascript,technical_fork,2023-06,month,164.0
airbnb/javascript,technical_fork,2023-07,month,182.0
airbnb/javascript,technical_fork,2023-08,month,148.0
airbnb/javascript,technical_fork,2023-09,month,257.0
