quarter,metric,scenario,value,lower,upper,units,information_date,evidence_status,source_reference,treatment,baseline_replaced,embedded_fx,limitations
2026Q4,adr_component_interaction,v3_with_K,-0.1,-0.15,-0.05,percentage_points,2026-09-13,assumed_or_proxy_component: descriptive,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 07 interaction, as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_component_fee_migration_mechanics_K,v3_with_K,0.3745,0,2.033,percentage_points,2026-09-13,"assumed_or_proxy_component: assumed mechanics line (coefficient imposed, not estimated); K note: a nudge, not evidence",data/processed/adrv3/P/P1_card_v3_terms.csv; K primary rule chained as K4: +0.17 (3Q26 share change +24.5 pp) + 0.20 (4Q26 share change +29.0 pp) over the flat last_q carry; band = coefficient 0.000 to 0.038,descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q4,adr_exfx_yoy,v3_with_K__eur_fit,4.06576606617,2.61714111671,5.51439101563,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_reported_yoy,v3_with_K__eur_fit,3.40576606617,1.95714111671,4.85439101563,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX -0.66 pp (eur_fit); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_usd,v3_with_K__eur_fit,173.214998737,170.788407085,175.64159039,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX -0.66 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,gbv_identity_comparison,v3_with_K__eur_fit__N_case_B_global_lap_baseline,22.8297368336,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -0.66 pp,Nights=131.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,gbv_identity_comparison,v3_with_K__eur_fit__N_case_A_team_baseline_top_of_band,22.9856303325,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -0.66 pp,Nights=132.7 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,adr_exfx_yoy,v3_with_K__baskets,4.06576606617,2.61714111671,5.51439101563,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_reported_yoy,v3_with_K__baskets,5.03576606617,3.58714111671,6.48439101563,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX +0.97 pp (baskets); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_usd,v3_with_K__baskets,175.945411737,173.518820085,178.37200339,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX +0.97 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,gbv_identity_comparison,v3_with_K__baskets__N_case_B_global_lap_baseline,23.189605267,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.97 pp,Nights=131.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,gbv_identity_comparison,v3_with_K__baskets__N_case_A_team_baseline_top_of_band,23.3479561376,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.97 pp,Nights=132.7 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,adr_exfx_yoy,v3_with_K__midpoint,4.06576606617,2.61714111671,5.51439101563,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_reported_yoy,v3_with_K__midpoint,4.21576606617,2.76714111671,5.66439101563,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX +0.15 pp (midpoint); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,adr_usd,v3_with_K__midpoint,174.571829737,172.145238085,176.99842139,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX +0.15 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q4,gbv_identity_comparison,v3_with_K__midpoint__N_case_B_global_lap_baseline,23.0085671594,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.15 pp,Nights=131.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q4,gbv_identity_comparison,v3_with_K__midpoint__N_case_A_team_baseline_top_of_band,23.1656818062,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX +0.15 pp,Nights=132.7 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
2026Q1,hotel_comparator_cpi_lodging_yoy_pct,archived_public_snapshot,-0.147968354388,,,percentage_points,2026-09-13,descriptive_complete_quarter,https://fred.stlouisfed.org/series/CUSR0000SEHB; data/processed/forecast_methods/l3_adr_hotel_v1/hotel_quarterly_comparators.csv,descriptive,none,none in this component,3/3 months. US category price index; not measured Airbnb pricing. Frozen history without release-vintage reconstruction. Incomplete-quarter value remains missing.
2026Q2,hotel_comparator_cpi_lodging_yoy_pct,archived_public_snapshot,4.72248182911,,,percentage_points,2026-09-13,descriptive_complete_quarter,https://fred.stlouisfed.org/series/CUSR0000SEHB; data/processed/forecast_methods/l3_adr_hotel_v1/hotel_quarterly_comparators.csv,descriptive,none,none in this component,3/3 months. US category price index; not measured Airbnb pricing. Frozen history without release-vintage reconstruction. Incomplete-quarter value remains missing.
2026Q3,hotel_comparator_cpi_lodging_yoy_pct,archived_public_snapshot,,,,percentage_points,2026-09-13,missing_incomplete_quarter,https://fred.stlouisfed.org/series/CUSR0000SEHB; data/processed/forecast_methods/l3_adr_hotel_v1/hotel_quarterly_comparators.csv,descriptive,none,none in this component,1/3 months. US category price index; not measured Airbnb pricing. Frozen history without release-vintage reconstruction. Incomplete-quarter value remains missing.
2026Q1,hotel_comparator_bea_hotels_price_yoy_pct,archived_public_snapshot,-2.19010752951,,,percentage_points,2026-09-13,descriptive_complete_quarter,https://apps.bea.gov/national/Release/XLS/Underlying/Section2All_xls.xlsx; data/processed/forecast_methods/l3_adr_hotel_v1/hotel_quarterly_comparators.csv,descriptive,none,none in this component,3/3 months. US category price index; not measured Airbnb pricing. Frozen history without release-vintage reconstruction. Incomplete-quarter value remains missing.
2026Q2,hotel_comparator_bea_hotels_price_yoy_pct,archived_public_snapshot,4.95955649647,,,percentage_points,2026-09-13,descriptive_complete_quarter,https://apps.bea.gov/national/Release/XLS/Underlying/Section2All_xls.xlsx; data/processed/forecast_methods/l3_adr_hotel_v1/hotel_quarterly_comparators.csv,descriptive,none,none in this component,3/3 months. US category price index; not measured Airbnb pricing. Frozen history without release-vintage reconstruction. Incomplete-quarter value remains missing.
2026Q3,hotel_comparator_bea_hotels_price_yoy_pct,archived_public_snapshot,,,,percentage_points,2026-09-13,missing_incomplete_quarter,https://apps.bea.gov/national/Release/XLS/Underlying/Section2All_xls.xlsx; data/processed/forecast_methods/l3_adr_hotel_v1/hotel_quarterly_comparators.csv,descriptive,none,none in this component,1/3 months. US category price index; not measured Airbnb pricing. Frozen history without release-vintage reconstruction. Incomplete-quarter value remains missing.
