item,python_value,workbook_value,delta,status,cell_reference,method
Bull 4Q26 nights (M),136.8775,136.8775,0.0,ok,Revenue!$D$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q26 ADR ($),175.4299,175.4299,-0.0,ok,Revenue!$D$108,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q26 adj. EBITDA ($M),1201.0794,1201.0794,-0.0,ok,Revenue!$D$123,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q26 adj. EBITDA margin,0.368,0.368,0.0,ok,Revenue!$D$122,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 1Q27 revenue ($M),3202.9307,3202.9307,0.0,ok,Revenue!$E$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 1Q27 nights (M),174.3879,174.3879,0.0,ok,Revenue!$E$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 1Q27 ADR ($),195.6403,195.6403,-0.0,ok,Revenue!$E$108,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 1Q27 adj. EBITDA ($M),632.4454,632.4454,-0.0,ok,Revenue!$E$123,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 1Q27 adj. EBITDA margin,0.1975,0.1975,0.0,ok,Revenue!$E$122,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 2Q27 revenue ($M),4347.7447,4347.7447,-0.0,ok,Revenue!$F$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 2Q27 nights (M),165.5735,165.5735,0.0,ok,Revenue!$F$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 2Q27 ADR ($),194.249,194.249,-0.0,ok,Revenue!$F$108,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 2Q27 adj. EBITDA ($M),1536.7466,1536.7466,0.0,ok,Revenue!$F$123,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 2Q27 adj. EBITDA margin,0.3535,0.3535,0.0,ok,Revenue!$F$122,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q27 revenue ($M),5853.5103,5853.5103,-0.0,ok,Revenue!$G$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q27 nights (M),167.9687,167.9687,-0.0,ok,Revenue!$G$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q27 ADR ($),191.4085,191.4085,0.0,ok,Revenue!$G$108,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q27 adj. EBITDA ($M),2958.7056,2958.7056,-0.0,ok,Revenue!$G$123,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 3Q27 adj. EBITDA margin,0.5055,0.5055,0.0,ok,Revenue!$G$122,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q27 revenue ($M),4016.4468,4016.4468,-0.0,ok,Revenue!$H$118,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q27 nights (M),152.961,152.961,0.0,ok,Revenue!$H$104,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q27 ADR ($),184.9471,184.9471,-0.0,ok,Revenue!$H$108,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q27 adj. EBITDA ($M),1491.9427,1491.9427,-0.0,ok,Revenue!$H$123,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull 4Q27 adj. EBITDA margin,0.3715,0.3715,0.0,ok,Revenue!$H$122,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull Football field low,179.1738,179.1738,-0.0,ok,Valuation!$D$43,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull Football field high,293.6146,293.6146,-0.0,ok,Valuation!$D$44,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull Football field mean,236.239,236.239,-0.0,ok,Valuation!$D$45,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bull price: EV / adj. EBITDA, FY27E",237.7142,237.7142,0.0,ok,Valuation!$D$19,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bull price: EV / FCF, FY27E",221.2472,221.2472,-0.0,ok,Valuation!$D$20,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bull price: P / SBC-adjusted FCF, FY27E",200.4031,200.4031,-0.0,ok,Valuation!$D$21,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bull price: P / earnings proxy, FY27E",179.1738,179.1738,-0.0,ok,Valuation!$D$22,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
"Bull price: EV / adj. EBITDA, FY28E",293.6146,293.6146,-0.0,ok,Valuation!$D$23,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
Bull price: DCF on FCF,285.2811,285.2811,-0.0,ok,Valuation!$D$39,workbook formula evaluated by analysis/src/overnight/13_xlsx_eval.py
