quarter,section,role,exec,speaker,firm,words,lm_pos,lm_neg,lm_unc,lm_weak_modal,hedge_extra,n_numbers,n_fwd,text_head
2021Q3,qa,mgmt,cfo,Dave Stephenson,,65,0,3,3,0,0,0,1,"Yes. On APAC, we're not anticipating that any short-term rental regulation changes as being a major negative drag on our business over time. We're just mindful "
2021Q3,qa,mgmt,ceo,Brian Chesky,,356,12,2,3,2,0,0,8,"And then on your question of new investments. Here's what I would say. I mean, we learned some very valuable lessons last year about focus. I remember once I wa"
2021Q3,qa,analyst,analyst,Ben Wheeler,Evercore ISI,4,0,0,0,0,0,0,0,"Thanks, Brian. Thanks, Dave."
2021Q3,qa,operator,operator,Operator,,20,0,2,0,0,0,0,1,We currently have no further questions. So I will now hand back over to Brian Chesky for any closing remarks.
2021Q3,qa,mgmt,ceo,Brian Chesky,,130,5,0,0,0,0,2,3,"All right. Well, thank you all for joining us today. Just to recap everything. 2021 for Airbnb has been a year of relentless innovation. We launched more than 1"
2021Q3,qa,operator,operator,Operator,,2,0,0,0,0,0,0,0,[Operator signoff]
2021Q4,prepared,operator,operator,Operator,,56,1,0,0,0,0,0,1,"Good afternoon and thank you for joining Airbnb's Earnings Conference Call for the Fourth Quarter of 2021. As a reminder, this conference call is being recorded"
2021Q4,prepared,ir,ir,Ellie Mertz,,265,1,0,4,1,0,0,4,"Good afternoon, and welcome to Airbnb's Fourth Quarter of 2021 Earnings Call. Thank you for joining us today. On the call today, we have Airbnb's Co-Founder and"
2021Q4,prepared,mgmt,ceo,Brian Chesky,,1455,36,9,14,9,0,24,21,"All right. Thank you very much, Ellie. And good afternoon, everyone. Thanks for joining. I'm excited to share our Q4 results with you. Q4 was another record qua"
2021Q4,qa,operator,operator,Operator,,19,0,1,0,0,0,0,0,"Thank you. [Operator Instructions] Our first question comes from Colin Sebastian from Baird. Colin, your line is now open."
2021Q4,qa,analyst,analyst,Colin Sebastian,Baird,125,4,1,4,3,0,0,2,"Great. Thanks. Good afternoon. Two questions for me. I guess first off, Brian, you recently posted on Twitter the most popular request for new functionality or "
2021Q4,qa,mgmt,ceo,Brian Chesky,,396,7,6,3,1,0,2,7,"Yeah. Thanks very much, Colin. So, why don't I take the first question? And obviously, Dave, you can take the second question on EBITDA. So, Colin, with regards"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,238,9,1,4,1,2,2,8,"Sure. Yeah. We're very proud of the progress we've made in our margins in 2021. I mean, we increased them from minus 5% back in 2019 to 27% in 2021. And so, it'"
2021Q4,qa,analyst,analyst,Colin Sebastian,Baird,4,1,0,0,0,0,0,0,"Okay. Great. Thanks, guys."
2021Q4,qa,operator,operator,Operator,,16,0,1,0,0,0,0,0,"Our next question comes from Naved Khan from Truist Securities. Naved, your line is now open."
2021Q4,qa,analyst,analyst,Naved Khan,Truist,87,0,2,1,0,0,0,0,"Yeah. Thanks a lot. Two questions. One for Brian, one for Dave. So, Brian, how are you thinking about growth in experiences for 2022 as travel comes back and pe"
2021Q4,qa,mgmt,ceo,Brian Chesky,,229,2,2,1,1,0,1,6,"Yeah. Hey, Naved. So, I will take the first question. And, Dave, you can take the second question on expenses. With regards to experiences, we are very bullish "
2021Q4,qa,mgmt,cfo,David E. Stephenson,,206,7,3,0,0,1,0,6,"Sure. So, like I said just a minute ago, we achieved a new baseline in our marketing expenses as a percentage of revenue. We already achieved that in 2021. So, "
2021Q4,qa,analyst,analyst,Naved Khan,Truist,6,0,0,0,0,0,0,0,"Thank you, Brian. Thank you, Dave."
2021Q4,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,operator,operator,Operator,,14,0,1,0,0,0,0,0,"Our next question comes from Stephen Ju from Credit Suisse. Stephen, please go ahead."
2021Q4,qa,analyst,analyst,Stephen Ju,Credit Suisse,102,0,2,1,0,0,0,1,"Okay. Thank you so much. So, Brian, I think you rightly called out the longer term stays as your fastest growing category, and you're going to be in the roster "
2021Q4,qa,mgmt,ceo,Brian Chesky,,698,11,11,2,1,0,3,1,"Hey, Stephen. This is a really, really great question. And you are correct. Just, let me preface our supply question by saying that there is this entire acceler"
2021Q4,qa,analyst,analyst,Stephen Ju,Credit Suisse,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,operator,operator,Operator,,13,0,0,0,0,0,0,0,"We now turn to Bernie McTernan from Needham & Company. Bernie, please go ahead."
2021Q4,qa,analyst,analyst,Bernie McTernan,Needham,38,2,3,1,1,0,0,0,Great. Thanks for taking the question. Maybe just a follow-up on that with the supply and demand imbalance in the marketplace. Do you see the price appreciation
2021Q4,qa,mgmt,ceo,Brian Chesky,,7,0,0,0,0,0,0,0,"Dave, you want to take this one?"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,258,8,1,4,4,0,2,1,"Well, I think it's a bit of both. I mean, if you go back to what we've seen for the average daily rate throughout 2021, early in the year, it was almost exclusi"
2021Q4,qa,analyst,analyst,Bernie McTernan,Needham,5,0,1,0,0,0,0,0,Thanks for taking the question.
2021Q4,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Of course.
2021Q4,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,"Our next question comes from Deepak Mathivanan from Wolfe. Deepak, please go ahead."
2021Q4,qa,analyst,analyst,Deepak Mathivanan,Wolfe Research,169,3,1,1,0,0,0,1,"Great. Thanks for taking the questions. Two quick ones. One for Brian, and one for Dave. Brian, you noted that Airbnb would want to become the ultimate Host and"
2021Q4,qa,mgmt,ceo,Brian Chesky,,503,8,2,1,1,0,1,5,"All right. Awesome. Well, thanks, Deepak. Obviously, I'll take the first question, Dave, and then I'll let you take the second. So, Airbnb becoming the ultimate"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,222,2,1,2,1,0,4,7,"So, yeah, just to step back, remember that in 2019, kind of, before the pandemic, we shifted our marketing strategy to be more brand-driven and to be less depen"
2021Q4,qa,analyst,analyst,Deepak Mathivanan,Wolfe Research,9,1,0,0,0,0,0,0,Great. Thanks for the elaborate answers. Really appreciate it.
2021Q4,qa,mgmt,ceo,Brian Chesky,,3,0,0,0,0,0,0,0,"Thank you, Deepak."
2021Q4,qa,operator,operator,Operator,,12,0,0,0,0,0,0,0,"We now turn to Mario Lu from Barclays. Mario, please go ahead."
2021Q4,qa,analyst,analyst,Mario Lu,Barclays,114,1,1,1,1,0,0,0,Great. Thanks for taking the question. The first one is on one of your top priorities for 2022 and beyond. You mentioned unlocking the next generation of Hosts.
2021Q4,qa,mgmt,ceo,Brian Chesky,,638,15,5,5,4,0,5,7,"Yeah. Hey, Mario, I can take both, and then, Dave, you can feel free to elaborate on anything I didn't get to. But I'll do both of these. All right. So, let's t"
2021Q4,qa,analyst,analyst,Mario Lu,Barclays,3,1,0,0,0,0,0,0,"Great. Thanks, Brian."
2021Q4,qa,operator,operator,Operator,,12,0,0,0,0,0,0,0,"We now turn to Jed Kelly from Oppenheimer. Jed, please go ahead."
2021Q4,qa,analyst,analyst,Jed Kelly,Oppenheimer,59,0,1,1,1,0,1,0,"Hey. Thanks. Thanks for taking my question. Two, if I may. You said your listings were up 20% in non-urban North America. Is that coming from primarily individu"
2021Q4,qa,mgmt,ceo,Brian Chesky,,20,1,1,0,0,0,0,0,"Great. Thanks, Jed. Why don't, Dave, you take the first question? Growth of individuals versus property managers in non-urban areas."
2021Q4,qa,mgmt,cfo,David E. Stephenson,,136,1,1,0,0,0,0,0,Yeah. Primarily what we're seeing is that our growth in new supply has been relatively consistent with the distribution of individual versus professional Hosts 
2021Q4,qa,mgmt,ceo,Brian Chesky,,317,4,1,1,0,0,0,9,"And then, Jed, why don't I take the question about competition, hotels and more commodity offerings. So, I think the important thing � I mean, this is just one "
2021Q4,qa,analyst,analyst,Jed Kelly,Oppenheimer,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,operator,operator,Operator,,13,0,0,0,0,0,0,0,"We now turn to Brian Nowak from Morgan Stanley. Brian, please go ahead."
2021Q4,qa,analyst,analyst,Brian Nowak,Morgan Stanley,135,2,2,2,2,0,2,1,Great. Thanks for taking my questions. I have two on the bookers. You guys have had incredible bookings growth the last couple of years. I'd be curious to hear 
2021Q4,qa,mgmt,ceo,Brian Chesky,,17,0,0,0,0,0,0,0,"All right. Thank you. Thank you very much, Brian. And, Dave, why don't you take these? So..."
2021Q4,qa,mgmt,cfo,David E. Stephenson,,1,0,0,0,0,0,0,0,Sure.
2021Q4,qa,mgmt,ceo,Brian Chesky,,23,0,1,0,0,0,0,0,"...the first question is bookings growth, what are the demographic of bookers, especially new bookers, and new user behavior compared to earlier cohorts?"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,95,4,0,0,0,0,0,0,Yeah. I think broadly the good news is that we're really not seeing a major shift in change overall. The demographics have been relatively consistent throughout
2021Q4,qa,analyst,analyst,Brian Nowak,Morgan Stanley,1,1,0,0,0,0,0,0,Great.
2021Q4,qa,mgmt,ceo,Brian Chesky,,150,2,0,1,1,0,0,2,"And maybe, Brian, I'll just say one other thing. I think the thing that's like really quite unique about Airbnb is we're not just a brand for young travelers or"
2021Q4,qa,analyst,analyst,Brian Nowak,Morgan Stanley,5,1,0,0,0,0,0,0,"Great. Thanks, Brian. Thanks, Dave."
2021Q4,qa,mgmt,cfo,David E. Stephenson,,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,operator,operator,Operator,,13,0,0,0,0,0,0,0,"We now turn to Brian Fitzgerald from Wells Fargo. Brian, please go ahead."
2021Q4,qa,analyst,analyst,Brian Fitzgerald,Wells Fargo,71,1,2,2,2,0,0,0,"Thanks, guys. Couple questions on length of stay. As you continue to see the strong growth in longer stays, just wondering if you could walk us through some of "
2021Q4,qa,mgmt,ceo,Brian Chesky,,28,1,1,0,0,0,0,0,"Yeah. That's great. So, Dave, why don't you take the length of stay take rate dynamics? And I can talk about the key obstacles people have for hosting."
2021Q4,qa,mgmt,cfo,David E. Stephenson,,122,1,0,0,0,0,0,0,"Sure. Yeah. On the take rates, the long-term stays, they have moderately lower take rate, because the guest needs are a little bit lower. And the ADRs, or the a"
2021Q4,qa,mgmt,ceo,Brian Chesky,,238,2,2,3,3,0,0,2,"And as far as addressing the obstacles, Brian, what we've seen is we've listened to thousands of Hosts and we took a very systematic approach to the journey fro"
2021Q4,qa,analyst,analyst,Brian Fitzgerald,Wells Fargo,4,0,0,0,0,0,0,0,"Thanks, Dave. Thanks, Brian."
2021Q4,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,You're welcome.
2021Q4,qa,operator,operator,Operator,,12,0,0,0,0,0,0,0,"We now turn to Doug Anmuth from JPMorgan. Doug, please go ahead."
2021Q4,qa,analyst,analyst,Doug Anmuth,JPMorgan,91,1,2,1,1,0,0,1,Thanks for taking the questions. I was just hoping you could talk a little bit more about ADRs and just what you're seeing so far for bookings in 2022 and just 
2021Q4,qa,mgmt,ceo,Brian Chesky,,15,0,0,0,0,0,0,1,"Yes. Obviously, Dave, why don't you take both of these, ADR in 2022 and capital allocation?"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,393,4,0,4,1,2,3,13,"Sure. Yeah. Like I said earlier in the call, the average daily rate early in 2021 was almost exclusively driven by mix, country mix, urban versus non-urban and "
2021Q4,qa,analyst,analyst,Doug Anmuth,JPMorgan,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,mgmt,cfo,David E. Stephenson,,6,0,0,0,0,0,0,0,"...with our investments. So, thank you."
2021Q4,qa,analyst,analyst,Doug Anmuth,JPMorgan,1,0,0,0,0,0,0,0,Thanks.
2021Q4,qa,operator,operator,Operator,,12,0,0,0,0,0,0,0,"We now turn to Lloyd Walmsley from UBS. Lloyd, please go ahead."
2021Q4,qa,analyst,analyst,Lloyd Walmsley,UBS,167,4,0,1,0,0,2,1,"Thanks. Had a couple. First, just on the Host supply, it sounds like you're seeing good traffic gains in regions where you're advertising, but the aggregate lis"
2021Q4,qa,mgmt,ceo,Brian Chesky,,59,1,0,0,0,0,0,0,"Okay. Yeah. Thanks very much, Lloyd. So, Dave, I think you can take both of them, and I'm happy to round up the answers. The first one is obviously on Host supp"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,227,3,0,1,1,1,3,2,"Sure. As we kind of mentioned earlier, the key is that, on the supply side, remember that we have 4 million Hosts. The vast majority of those are individual Hos"
2021Q4,qa,mgmt,ceo,Brian Chesky,,303,1,1,2,2,0,2,2,"And again, maybe I'll just, Lloyd, round out a little bit to this answer. I just want to just really underline this. We designed Airbnb in the very beginning so"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,128,3,0,0,0,0,1,3,"Yeah. Summer demand and ADRs, I mean, I think we're just seeing strong demand for travel. People are ready to travel this summer. We have 25% more nights booked"
2021Q4,qa,analyst,analyst,Lloyd Walmsley,UBS,3,0,0,0,0,0,0,0,Okay. Thank you.
2021Q4,qa,operator,operator,Operator,,13,0,0,0,0,0,0,0,"We now turn to Andrew Boone from JMP Securities. Andrew, please go ahead."
2021Q4,qa,analyst,analyst,Andrew Boone,Citizens JMP,98,1,1,0,0,0,0,1,"Hi, guys. Thanks for taking my questions. Two, please. First, can you just talk about your progress with hotels on the platform? Brian, I think you mentioned th"
2021Q4,qa,mgmt,ceo,Brian Chesky,,605,13,2,3,2,0,2,7,"Thanks, Andrew. Why don't we do this, why don't I, Dave, take marketing? I'll start there because I want to just recap how we're thinking about marketing over t"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,129,1,1,0,0,0,1,3,"Well, you noticed that in 2020 and 2021, we did scale back our investment in those areas. I mean, it's key to have hotels filling the network gaps, but as citie"
2021Q4,qa,analyst,analyst,Andrew Boone,Citizens JMP,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,operator,operator,Operator,,13,0,0,0,0,0,0,0,"We now turn to Mark Mahaney from Evercore ISI. Mark, please go ahead."
2021Q4,qa,analyst,analyst,Mark Mahaney,Evercore ISI,135,1,0,1,1,0,1,2,Okay. Thanks. Just wanted to clarify something on marketing. It does sound like you've run a few campaigns towards Hosts and towards I think you called them sha
2021Q4,qa,mgmt,ceo,Brian Chesky,,17,0,1,0,0,0,0,0,"All right. Thanks very much, Mark, for both questions. Dave, I'll hand it over to you. Sorry."
2021Q4,qa,mgmt,cfo,David E. Stephenson,,173,1,0,3,0,0,0,6,"Great. On the marketing campaign, as I said earlier, we anticipate our marketing expense as percentage of revenue in 2022 to be relatively consistent with that "
2021Q4,qa,analyst,analyst,Mark Mahaney,Evercore ISI,7,0,0,0,0,0,0,0,"Okay. Thank you, Dave. Thank you, Brian."
2021Q4,qa,mgmt,cfo,David E. Stephenson,,4,0,0,0,0,0,0,0,"Thanks, Mark. Appreciate it."
2021Q4,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Thank you.
2021Q4,qa,operator,operator,Operator,,15,0,1,0,0,0,0,0,"Our next question comes from Kevin Kopelman from Cowen and Company. Kevin, please go ahead."
2021Q4,qa,analyst,analyst,Kevin Kopelman,TD Cowen,75,0,0,0,0,0,1,1,"Thanks a lot. Just had a follow-up on some of the recent booking trends you're seeing. So looking at the Q1 revenue guide at the midpoint there, it would be 70%"
2021Q4,qa,mgmt,cfo,David E. Stephenson,,36,1,0,0,0,0,0,0,"Yeah. The GBV is primarily driven by the � relative to nights is driven by the increase in ADR. So, our absolute kind of take rate on a percentage of GBV is act"
2021Q4,qa,analyst,analyst,Kevin Kopelman,TD Cowen,3,1,0,0,0,0,0,0,Perfect. Thank you.
2021Q4,qa,mgmt,cfo,David E. Stephenson,,4,1,0,0,0,0,0,0,"Great. Thank you, Kevin."
2021Q4,qa,mgmt,ceo,Brian Chesky,,5,0,0,0,0,0,0,0,"Thank you very much, Kevin."
2021Q4,qa,operator,operator,Operator,,19,0,1,0,0,0,0,0,We've come to the end of our Q&A. I'll now hand back to Brian Chesky for closing remarks.
2021Q4,qa,mgmt,ceo,Brian Chesky,,161,3,1,2,1,0,1,4,"All right. Well, thanks for joining us today, everyone. Just to summarize what we shared today. 2021 was a record year for Airbnb. We hit new highs of gross boo"
2021Q4,qa,operator,operator,Operator,,431,1,18,6,2,0,0,2,This concludes today's call. We thank you for joining. You may now disconnect your lines. Disclaimer The information herein is based on sources we believe to be
2022Q1,prepared,operator,operator,Operator,,58,1,0,0,0,0,0,2,"Good afternoon, and thank you for joining Airbnb's earnings conference call for the first quarter of 2022. As a reminder, this conference call is being recorded"
2022Q1,prepared,ir,ir,Ellie Mertz,,264,1,0,4,1,0,0,5,"Good afternoon, and welcome to Airbnb's first quarter of 2022 earnings call. Thank you for joining us today. On the call today, we have Airbnb's co-founder and "
2022Q1,prepared,mgmt,ceo,Brian Chesky,,1005,29,11,4,2,0,25,7,"All right. Thank you very much, Ellie, and good afternoon, everyone. Thanks for joining. I'm excited to share our Q1 results with you. Now despite the pandemic,"
2022Q1,qa,operator,operator,Operator,,22,0,2,0,0,0,0,1,[Operator instructions] We will pause you briefly as questions are registered. The first question comes from Colin Sebastian with Baird. Please proceed.
2022Q1,qa,analyst,analyst,Colin Sebastian,Baird,169,5,2,4,4,0,0,0,"Thanks. Good afternoon and congrats on the strong quarter. A couple of questions for me. I guess, first off, Brian, drilling down a bit on some of the broader u"
2022Q1,qa,mgmt,ceo,Brian Chesky,,708,7,2,5,0,1,4,9,"Yeah, excellent. Thanks, Colin. So why don't I answer these at a high level? And Dave, feel free to jump in with some more specifics. So let's start with the qu"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,66,2,0,1,0,0,1,1,I think you've covered it incredibly well. I mean we're very proud of the approach to marketing. This -- the full funnel approach is working probably well for u
2022Q1,qa,analyst,analyst,Colin Sebastian,Baird,3,0,0,0,0,0,0,0,Thanks very much.
2022Q1,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Thank you.
2022Q1,qa,operator,operator,Operator,,15,0,1,0,0,0,0,0,Thank you. The next question comes from Bernie McTernan with Needham and Company. Please proceed.
2022Q1,qa,analyst,analyst,Bernie McTernan,Needham,116,1,1,1,1,0,2,0,"Great. Thank you so much for taking the questions. I guess, first, just wanted to get any insights on how supply and demand are growing relative to each other v"
2022Q1,qa,mgmt,ceo,Brian Chesky,,399,1,4,1,1,0,5,2,"Great, Bernie. So why don't I do this? Well, let me just talk at a high level about the first question. And then, Dave, why don't you take both questions at a m"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,333,11,0,0,0,0,4,5,"Yeah. Just to double click on a couple of areas. I mean, one is we just have more supply than we've ever had in our history. And as Brian kind of mentioned on t"
2022Q1,qa,analyst,analyst,Bernie McTernan,Needham,4,1,0,0,0,0,0,0,Great. Thank you both.
2022Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,Thank you. The next question comes from Mario Lu with Barclays. Please proceed.
2022Q1,qa,analyst,analyst,Mario Lu,Barclays,62,1,2,0,0,0,1,0,Great. Thanks for taking the questions. The first one is for Brian. It's a high-level strategic question. So now that the total room nights has fully recovered 
2022Q1,qa,mgmt,ceo,Brian Chesky,,542,17,5,3,2,0,2,6,"Great. Yeah. So let me take that. So thanks, Mario. So basically, we learned some really important lessons during the pandemic. I started this company with my t"
2022Q1,qa,analyst,analyst,Mario Lu,Barclays,68,1,0,0,0,0,1,0,Great. Thanks a lot. And then just one on the travel demand post the summer months. I know you guys talked about the fourth quarter being a little bit higher th
2022Q1,qa,mgmt,ceo,Brian Chesky,,7,0,0,0,0,0,0,0,"Yeah, Dave, I'll let you take that."
2022Q1,qa,mgmt,cfo,Dave Stephenson,,75,4,0,0,0,0,1,0,"I'd say that with the 30% in the summer periods, we're seeing consistent -- that strong or stronger on a relative basis in Q4. I think that's the fact that peop"
2022Q1,qa,analyst,analyst,Mario Lu,Barclays,3,1,0,0,0,0,0,0,"Great. Thanks, Dave."
2022Q1,qa,operator,operator,Operator,,14,0,1,0,0,0,0,0,Thank you. The next question come from Brian Nowak with Morgan Stanley. Please proceed.
2022Q1,qa,analyst,analyst,Brian Nowak,Morgan Stanley,124,6,1,0,0,0,4,0,"Great. Thanks for taking my questions. Brian, I have a couple for you. The $2 billion -- $2 billion -- the 2 billion I'm Flexible searches, that's up quite a bi"
2022Q1,qa,mgmt,ceo,Brian Chesky,,815,23,5,4,1,0,5,6,"Yeah, those are great questions, Brian, and good to talk to you again. So yes, let me start with guests and let me then go to host. So you're right. I think tha"
2022Q1,qa,analyst,analyst,Brian Nowak,Morgan Stanley,1,1,0,0,0,0,0,0,Great.
2022Q1,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,"Thanks, Brian."
2022Q1,qa,analyst,analyst,Brian Nowak,Morgan Stanley,2,0,0,0,0,0,0,0,Super helpful.
2022Q1,qa,mgmt,ceo,Brian Chesky,,2,0,0,0,0,0,0,0,Thank you.
2022Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,Thank you. The next question comes from Naved Khan with Truist. Please proceed.
2022Q1,qa,analyst,analyst,Naved Khan,Truist,55,0,1,0,0,0,0,3,"Yeah, thanks a lot. A question for Dave. So, Dave, last time around you kind of set expectations for ADRs to be down for the year in aggregate. Is that still wh"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,285,0,1,3,2,1,1,12,"Right. On ADR, what we've shown in the past is that ADRs are up substantially from where they were back in 2019. So they were up 37% year over three years. And "
2022Q1,qa,analyst,analyst,Naved Khan,Truist,24,0,0,0,0,0,0,1,"Just what are you making in terms of contribution? No, just the contribution -- does your outlook can compare to any contribution from those products?"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,52,2,0,0,0,0,0,2,"Yeah. I mean our outlook for Q2 clearly includes a lot of the results from the investments we've made to date, and we're very bullish on these continued improve"
2022Q1,qa,analyst,analyst,Naved Khan,Truist,4,0,0,0,0,0,0,0,Got it. Thank you.
2022Q1,qa,operator,operator,Operator,,14,0,1,0,0,0,0,0,Thank you. The next question comes from Stephen Ju with Credit Suisse. Please proceed.
2022Q1,qa,analyst,analyst,Stephen Ju,Credit Suisse,160,1,1,1,1,0,1,0,"OK. Thank you. So, Brian, the rising consumer demand for longer-term stays has been something you've been highlighting in terms of a fundamental change in behav"
2022Q1,qa,mgmt,ceo,Brian Chesky,,765,5,4,2,1,0,3,5,"Yeah. Thank you very much, Stephen. Now yes, so let's start with rising demand for long-term stays. What has been the reception of host? Now, this is actually o"
2022Q1,qa,analyst,analyst,Stephen Ju,Credit Suisse,2,0,0,0,0,0,0,0,Thank you.
2022Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,Thank you. The next question comes from James Lee with Mizuho. Please proceed.
2022Q1,qa,analyst,analyst,James Lee,Mizuho,65,2,1,2,2,0,0,0,"Great. Thanks for taking my questions. Two here. Just curious, is inflation having an impact on consumer behavior, maybe, for example, consumer trading down fro"
2022Q1,qa,mgmt,ceo,Brian Chesky,,350,2,1,4,4,0,3,0,"Yes. Maybe why don't we do this, Dave, why don't I answer a high level of the second question because I just wanted to share a point about our urban business. A"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,220,8,1,0,0,0,5,3,"Yeah. I mean, we're just not seeing price appreciation impact our business negatively. We had our strongest quarter ever. We have even stronger demand for Q3 an"
2022Q1,qa,analyst,analyst,James Lee,Mizuho,3,1,0,0,0,0,0,0,Great. Thank you.
2022Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,Thank you. The next question comes from Jed Kelly with Oppenheimer. Please proceed.
2022Q1,qa,analyst,analyst,Jed Kelly,Oppenheimer,72,2,2,0,0,0,0,2,"Great. Great. Thanks for taking my question. Just thinking about on how higher interest rates in like a potential recession, how do you think that would impact "
2022Q1,qa,mgmt,ceo,Brian Chesky,,257,3,11,3,0,0,1,7,"Yeah. So why don't I take the first question about higher interest rates or recession's impact on supply, and Dave can take the second question. Jed, no way to "
2022Q1,qa,mgmt,cfo,Dave Stephenson,,234,5,3,6,6,1,0,11,"Yeah. And just to double-click on that. I think in a recessionary environment, if people are more constrained on the dollars, they have to spend to travel, ther"
2022Q1,qa,analyst,analyst,Jed Kelly,Oppenheimer,2,0,0,0,0,0,0,0,Thank you.
2022Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,Thank you. The next question comes from Mark Mahaney with Evercore. Please proceed.
2022Q1,qa,analyst,analyst,Mark Mahaney,Evercore ISI,215,5,1,6,3,0,0,1,"OK. Hey, Brian, I want to applaud you, by the way, for your efforts with the Ukraine. You came up with a creative and direct way for people to help out. So I ap"
2022Q1,qa,mgmt,ceo,Brian Chesky,,706,15,3,4,2,0,0,13,"All right. Well, thanks, Mark. It's great to hear from you again. First of all, yes, I'm 40. I hope I got a good 10 years in me, and I think I'm a pretty late b"
2022Q1,qa,analyst,analyst,Mark Mahaney,Evercore ISI,4,0,0,0,0,0,0,0,"OK. Thank you, Brian."
2022Q1,qa,operator,operator,Operator,,15,0,1,0,0,0,0,0,Thank you. The next question comes from Justin Post with Bank of America. Please proceed.
2022Q1,qa,analyst,analyst,Justin Post,Bank of America,58,1,1,2,2,0,0,0,"Great. Thank you. Lot of my questions have been answered, but on the urban supply side, I imagine you had some churn on health issues and other factors. What ar"
2022Q1,qa,mgmt,ceo,Brian Chesky,,9,0,0,0,0,0,0,0,"Yeah, Dave, do you want to take this one?"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,169,0,1,1,1,0,0,0,Sure. I think one of the key things to remember about our supply is that the vast majority of our hosts are individual hosts. And they don't get rid of their ho
2022Q1,qa,analyst,analyst,Justin Post,Bank of America,51,1,0,1,1,0,0,1,Great. And then a follow-up on ADRs. I think you're saying around flat year over year. Can you just talk about the normal seasonality for ADRs? Why -- is it mix
2022Q1,qa,mgmt,cfo,Dave Stephenson,,155,1,0,5,4,0,2,7,"Yeah, I think if you could -- you know, again, we've been up 5% year over year in Q1. It's going to be flat relative on a year-over-year basis in Q2. You can ki"
2022Q1,qa,analyst,analyst,Justin Post,Bank of America,3,1,0,0,0,0,0,0,Great. Thank you.
2022Q1,qa,operator,operator,Operator,,13,0,1,0,0,0,0,0,Thank you. The next question comes from Ron Josey with Citi. Please proceed.
2022Q1,qa,analyst,analyst,Ron Josey,Citi,119,4,1,1,1,0,0,0,"Great. Thanks for taking the question. I wanted to ask a little bit more about cross-border, just given the rebound that we saw this quarter and the rebound in "
2022Q1,qa,mgmt,ceo,Brian Chesky,,123,1,0,0,0,0,0,1,"Yeah. Hey, Ron, I can just start. The cross-border is, I would say, North America, Europe, Australia, Latin America, pretty much everywhere but Asia and it's re"
2022Q1,qa,mgmt,cfo,Dave Stephenson,,314,16,3,1,0,0,3,6,"Yeah. On the EBITDA, I'm really pleased and proud of the work that we've done to improve our overall profitability. We made some really difficult choices in the"
2022Q1,qa,analyst,analyst,Ron Josey,Citi,5,1,0,0,0,0,0,0,"That's great. Thank you, guys."
2022Q1,qa,operator,operator,Operator,,14,0,1,0,0,0,0,0,Thank you. The next question comes from Lee Horowitz with Deutsche Bank. Please proceed.
2022Q1,qa,analyst,analyst,Lee Horowitz,Deutsche Bank,133,3,2,4,4,0,0,1,"Great. Thanks for taking the questions. Two, if I could. High level, demand across the alternative accommodations industry has proved incredibly sticky through "
2022Q1,qa,mgmt,ceo,Brian Chesky,,34,0,1,0,0,0,0,0,"All right. Dave, do you want to take this? Sorry, I'm sorry. I'm sorry, can I -- actually, can I ask a clarifying -- I don't quite understand the first question"
2022Q1,qa,analyst,analyst,Lee Horowitz,Deutsche Bank,5,0,0,0,0,0,0,0,"Yes, In terms of the --"
2022Q1,qa,mgmt,ceo,Brian Chesky,,6,0,1,0,0,0,0,0,Can you clarify the first question?
2022Q1,qa,analyst,analyst,Lee Horowitz,Deutsche Bank,38,2,1,0,0,0,0,0,"My first question is -- the industry -- Yes, for alternative combinations has proven incredibly sticky despite reopening more coming online, those sorts of thin"
