task,target,model,eval_window,n_events,first_event,last_event,min_n_train,rmse,mae,rmse_zero,rmse_last_quarter,rmse_prior_year,rmse_ar1,rmse_expanding_mean,rmse_trailing4_mean,rmse_trailing8_mean,rmse_guide,rmse_guide_plus_cushion,best_baseline,rmse_ratio_vs_best_baseline,rmse_ratio_vs_zero,beats_all_baselines,pred_sd,actual_sd,pred_sd_over_actual_sd,sign_acc_vs_zero,sign_n,supp_loo_r2_in_window,supp_loo_n,entry_convention,primary_spec
B_post_release_drift,postclose_5d_pct,nights_surprise_pct,all_evaluated,11,2023Q3,2026Q2,8,5.3875,5.0067,3.671,6.2334,,,5.1644,4.5432,,,,zero,1.4676,1.4676,False,0.9529,3.8257,0.2491,0.3636,11,-0.106,19,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,nights_surprise_pct,2023Q1+,11,2023Q3,2026Q2,8,5.3875,5.0067,3.671,6.2334,,,5.1644,4.5432,,,,zero,1.4676,1.4676,False,0.9529,3.8257,0.2491,0.3636,11,-0.0817,12,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,nights_surprise_pct,2024Q1+,9,2024Q1,2026Q2,10,5.0682,4.6802,3.9671,6.7938,,,4.9225,4.6362,,,,zero,1.2776,1.2776,False,0.687,4.1427,0.1658,0.3333,9,-0.2022,9,executable: close of the reaction session,False
B_post_release_drift,legacy_20d_pct,revenue_surprise_pct,all_evaluated,15,2022Q4,2026Q2,8,10.2947,7.5837,10.268,11.8824,,,10.0611,9.6086,,,,trailing4_mean,1.0714,1.0026,False,0.9348,10.0972,0.0926,0.7333,15,-0.0333,23,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_20d_pct,revenue_surprise_pct,2023Q1+,14,2023Q1,2026Q2,9,10.6302,7.9274,10.5875,12.0352,,,10.413,9.8305,,,,trailing4_mean,1.0813,1.004,False,0.964,10.4781,0.092,0.7143,14,-0.1495,14,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_20d_pct,revenue_surprise_pct,2024Q1+,10,2024Q1,2026Q2,13,11.237,8.141,10.8488,12.872,,,10.9775,10.0889,,,,trailing4_mean,1.1138,1.0358,False,0.9945,11.1651,0.0891,0.7,10,-0.2595,10,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,revenue_surprise_pct,all_evaluated,15,2022Q4,2026Q2,8,10.4796,8.3329,10.0337,14.2477,,,10.1976,10.2409,,,,zero,1.0444,1.0444,False,0.9368,10.1554,0.0922,0.6,15,-0.0401,23,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,revenue_surprise_pct,2023Q1+,14,2023Q1,2026Q2,9,10.083,7.8591,10.0827,14.0644,,,9.9674,9.4964,,,,trailing4_mean,1.0618,1.0,False,0.9608,10.0157,0.0959,0.6429,14,-0.1465,14,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,legacy_5d_pct,revenue_surprise_pct,2024Q1+,10,2024Q1,2026Q2,13,10.7104,8.5947,10.1529,12.8685,,,10.4727,10.0492,,,,trailing4_mean,1.0658,1.0549,False,0.9402,10.6052,0.0887,0.5,10,-0.2798,10,legacy: pre-release close entry (NOT executable),False
B_post_release_drift,open_20d_pct,revenue_surprise_pct,all_evaluated,15,2022Q4,2026Q2,8,6.8892,5.0716,6.6898,9.215,,,6.8601,7.3906,,,,zero,1.0298,1.0298,False,0.8285,6.7561,0.1226,0.7333,15,-0.1924,23,executable: open of the reaction session,True
B_post_release_drift,open_20d_pct,revenue_surprise_pct,2023Q1+,14,2023Q1,2026Q2,9,6.8888,4.9414,6.3098,9.4915,,,6.8396,7.5733,,,,zero,1.0918,1.0918,False,0.857,6.4939,0.132,0.7143,14,-0.0208,14,executable: open of the reaction session,True
B_post_release_drift,open_20d_pct,revenue_surprise_pct,2024Q1+,10,2024Q1,2026Q2,13,6.403,4.7297,6.1158,9.5645,,,6.4409,6.8957,,,,zero,1.047,1.047,False,0.279,6.3752,0.0438,0.7,10,0.0411,10,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,revenue_surprise_pct,all_evaluated,15,2022Q4,2026Q2,8,4.9214,4.0537,4.6237,7.1515,,,4.9754,5.399,,,,zero,1.0644,1.0644,False,0.5566,4.7381,0.1175,0.5333,15,-0.017,23,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,revenue_surprise_pct,2023Q1+,14,2023Q1,2026Q2,9,4.9391,4.0099,4.7724,7.3595,,,5.0007,5.2512,,,,zero,1.0349,1.0349,False,0.5044,4.8834,0.1033,0.5714,14,0.0005,14,executable: open of the reaction session,True
B_post_release_drift,open_5d_pct,revenue_surprise_pct,2024Q1+,10,2024Q1,2026Q2,13,5.1829,4.0933,4.797,7.4835,,,5.2953,5.5675,,,,zero,1.0804,1.0804,False,0.3811,5.0551,0.0754,0.5,10,0.1004,10,executable: open of the reaction session,True
B_post_release_drift,postclose_20d_pct,revenue_surprise_pct,all_evaluated,15,2022Q4,2026Q2,8,6.8667,5.3761,6.7093,8.7192,,,7.0528,7.4265,,,,zero,1.0235,1.0235,False,1.3301,6.6114,0.2012,0.6,15,-0.3849,23,executable: close of the reaction session,False
B_post_release_drift,postclose_20d_pct,revenue_surprise_pct,2023Q1+,14,2023Q1,2026Q2,9,6.7638,5.1764,5.8827,8.478,,,6.9992,7.4659,,,,zero,1.1498,1.1498,False,1.3528,5.9733,0.2265,0.5714,14,-0.0208,14,executable: close of the reaction session,False
B_post_release_drift,postclose_20d_pct,revenue_surprise_pct,2024Q1+,10,2024Q1,2026Q2,13,5.6228,4.4216,5.5574,8.6612,,,5.9393,6.5557,,,,zero,1.0118,1.0118,False,0.4769,5.581,0.0854,0.6,10,-0.0166,10,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,revenue_surprise_pct,all_evaluated,15,2022Q4,2026Q2,8,4.1652,3.7558,3.8551,5.863,,,4.6483,4.1662,,,,zero,1.0804,1.0804,False,1.0225,3.759,0.272,0.5333,15,-0.1125,23,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,revenue_surprise_pct,2023Q1+,14,2023Q1,2026Q2,9,4.2435,3.8204,3.9408,5.8778,,,4.7219,4.1938,,,,zero,1.0768,1.0768,False,0.949,3.8892,0.244,0.5,14,0.0426,14,executable: close of the reaction session,False
B_post_release_drift,postclose_5d_pct,revenue_surprise_pct,2024Q1+,10,2024Q1,2026Q2,13,4.1706,3.6917,3.8777,6.4479,,,4.6892,4.4426,,,,zero,1.0755,1.0755,False,0.5486,3.9706,0.1382,0.4,10,0.0681,10,executable: close of the reaction session,False
