bridge,basis,group,component,margin_pts,detail,evidence
FY2023->FY2024,cash (ex-SBC),Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),8.909,General and administrative $4.01 -> $1.88 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2023->FY2024,cash (ex-SBC),Revenue per night,Take rate,0.205,revenue per night $22.13 -> $22.59,"take rate 13.53% -> 13.57% (revenue / GBV, letters)"
FY2023->FY2024,cash (ex-SBC),Revenue per night,FX,-0.15,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Revenue per night,Regional mix,-0.861,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Revenue per night,Length of stay,0.142,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Revenue per night,ADR interaction,-0.074,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Revenue per night,Unit-size mix,0.305,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Revenue per night,Like-for-like price (measured),1.115,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Revenue per night,ADR unexplained,0.66,revenue per night $22.13 -> $22.59,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2023->FY2024,cash (ex-SBC),Add-backs,"D&A, restructuring and other add-backs",-9.505,10.2% -> 0.7% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2023->FY2024,cash (ex-SBC),TOTAL,Change in Adjusted EBITDA margin,-0.437,36.8% -> 36.4%,identity check: components sum to the actual change within 0.000 points
FY2024->FY2025,cash (ex-SBC),Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-0.493,Cost of revenue $3.82 -> $3.91 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.009,Cost of revenue $3.82 -> $3.91 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),0.073,Cost of revenue $3.82 -> $3.91 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Operations and support,Nights leverage (fixed share 19%),0.159,Operations and support $2.43 -> $2.32 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Operations and support,Per-unit cost change (cash cost per night),0.303,Operations and support $2.43 -> $2.32 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Product development,Nights leverage (fixed share 32%),0.282,Product development $2.38 -> $2.51 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),-0.849,Product development $2.38 -> $2.51 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $2.96 -> $2.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),-0.142,Brand and performance marketing $2.96 -> $2.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $1.06 -> $1.47 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),-1.776,Field operations and policy $1.06 -> $1.47 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: General and administrative,Nights leverage (fixed share 61%),0.425,General and administrative $1.88 -> $2.01 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),-0.982,General and administrative $1.88 -> $2.01 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2024->FY2025,cash (ex-SBC),Revenue per night,Take rate,-0.815,revenue per night $22.59 -> $22.97,"take rate 13.57% -> 13.41% (revenue / GBV, letters)"
FY2024->FY2025,cash (ex-SBC),Revenue per night,FX,0.674,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Revenue per night,Regional mix,-1.01,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Revenue per night,Length of stay,0.023,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Revenue per night,ADR interaction,-0.069,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Revenue per night,Unit-size mix,-0.16,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Revenue per night,Like-for-like price (measured),-0.062,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Revenue per night,ADR unexplained,2.528,revenue per night $22.59 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2024->FY2025,cash (ex-SBC),Add-backs,"D&A, restructuring and other add-backs",0.586,0.7% -> 1.3% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2024->FY2025,cash (ex-SBC),TOTAL,Change in Adjusted EBITDA margin,-1.296,36.4% -> 35.1%,identity check: components sum to the actual change within 0.000 points
1H2025->1H2026,cash (ex-SBC),Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-1.374,Cost of revenue $3.78 -> $3.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.013,Cost of revenue $3.78 -> $3.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),0.311,Cost of revenue $3.78 -> $3.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Operations and support,Nights leverage (fixed share 19%),0.187,Operations and support $2.13 -> $2.05 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Operations and support,Per-unit cost change (cash cost per night),0.229,Operations and support $2.13 -> $2.05 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Product development,Nights leverage (fixed share 32%),0.376,Product development $2.41 -> $2.46 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),-0.629,Product development $2.41 -> $2.46 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $2.97 -> $3.58 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),-3.172,Brand and performance marketing $2.97 -> $3.58 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $1.20 -> $1.36 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),-0.789,Field operations and policy $1.20 -> $1.36 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: General and administrative,Nights leverage (fixed share 61%),0.465,General and administrative $1.69 -> $1.49 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),0.546,General and administrative $1.69 -> $1.49 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
1H2025->1H2026,cash (ex-SBC),Revenue per night,Take rate,-0.254,revenue per night $19.34 -> $20.64,"take rate 11.18% -> 11.15% (revenue / GBV, letters)"
1H2025->1H2026,cash (ex-SBC),Revenue per night,FX,2.389,revenue per night $19.34 -> $20.64,"FX points inside ADR from the shareholder letters (02_kpi_panel_quarterly.csv fx_pts_adr, nights-weighted across Q1 and Q2); the annual ADR decomposition is not built for half years"
1H2025->1H2026,cash (ex-SBC),Revenue per night,ADR ex-FX (mix not separated),2.722,revenue per night $19.34 -> $20.64,"FX points inside ADR from the shareholder letters (02_kpi_panel_quarterly.csv fx_pts_adr, nights-weighted across Q1 and Q2); the annual ADR decomposition is not built for half years"
1H2025->1H2026,cash (ex-SBC),Add-backs,"D&A, restructuring and other add-backs",0.099,0.5% -> 0.6% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
1H2025->1H2026,cash (ex-SBC),TOTAL,Change in Adjusted EBITDA margin,1.119,27.2% -> 28.3%,identity check: components sum to the actual change within 0.000 points
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-8.262,Cost of revenue $3.66 -> $3.81 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.032,Cost of revenue $3.66 -> $3.81 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),7.223,Cost of revenue $3.66 -> $3.81 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Operations and support,Nights leverage (fixed share 19%),0.586,Operations and support $2.48 -> $2.48 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Operations and support,Per-unit cost change (cash cost per night),-0.619,Operations and support $2.48 -> $2.48 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Product development,Nights leverage (fixed share 32%),1.063,Product development $2.81 -> $2.42 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),1.542,Product development $2.81 -> $2.42 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $3.49 -> $2.62 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),5.934,Brand and performance marketing $3.49 -> $2.62 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $1.44 -> $0.95 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),3.355,Field operations and policy $1.44 -> $0.95 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: General and administrative,Nights leverage (fixed share 61%),1.526,General and administrative $2.06 -> $1.89 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),-0.348,General and administrative $2.06 -> $1.89 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,Take rate,3.795,revenue per night $14.70 -> $21.33,"take rate 12.66% -> 13.27% (revenue / GBV, letters)"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Revenue per night,ADR (FX and mix unallocated),26.175,revenue per night $14.70 -> $21.33,no annual ADR decomposition for this leg (07_full_decomposition.csv starts at 2021)
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",Add-backs,"D&A, restructuring and other add-backs",-2.169,3.1% -> 1.0% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2019->FY2022,"GAAP less allocated SBC for FY2019/FY2020, cash thereafter",TOTAL,Change in Adjusted EBITDA margin,39.835,-5.3% -> 34.6%,identity check: components sum to the actual change within 0.000 points
FY2022->FY2025,cash (ex-SBC),Cost line: Cost of revenue,GBV pass-through (ADR on a per-night cost),-1.146,Cost of revenue $3.81 -> $3.91 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Cost of revenue,Nights leverage (fixed share 1%),0.037,Cost of revenue $3.81 -> $3.91 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Cost of revenue,Per-unit cost change (cash cost per $ of GBV),0.611,Cost of revenue $3.81 -> $3.91 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Operations and support,Nights leverage (fixed share 19%),0.637,Operations and support $2.48 -> $2.32 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Operations and support,Per-unit cost change (cash cost per night),0.119,Operations and support $2.48 -> $2.32 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Product development,Nights leverage (fixed share 32%),1.127,Product development $2.42 -> $2.51 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Product development,Per-unit cost change (own growth rate (headcount-driven)),-1.523,Product development $2.42 -> $2.51 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Brand and performance marketing,Nights leverage (fixed share 0%),0.0,Brand and performance marketing $2.62 -> $2.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Brand and performance marketing,Per-unit cost change (own growth rate (discretionary)),-1.764,Brand and performance marketing $2.62 -> $2.99 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Field operations and policy,Nights leverage (fixed share 0%),0.0,Field operations and policy $0.95 -> $1.47 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: Field operations and policy,Per-unit cost change (own growth rate (programme spend)),-2.436,Field operations and policy $0.95 -> $1.47 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: General and administrative,Nights leverage (fixed share 61%),1.689,General and administrative $1.89 -> $2.01 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Cost line: General and administrative,Per-unit cost change (own growth rate (fixed base)),-2.224,General and administrative $1.89 -> $2.01 per night,"unit-cost effect on the abnb_margin_bridge.csv convention (cost per night moved, revenue per night held), split by the fixed share from the levels regression in 31b_line_elasticities.csv"
FY2022->FY2025,cash (ex-SBC),Revenue per night,Take rate,0.716,revenue per night $21.33 -> $22.97,"take rate 13.27% -> 13.41% (revenue / GBV, letters)"
FY2022->FY2025,cash (ex-SBC),Revenue per night,FX,1.079,revenue per night $21.33 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2025,cash (ex-SBC),Revenue per night,Regional mix,-2.5,revenue per night $21.33 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2025,cash (ex-SBC),Revenue per night,Length of stay,0.549,revenue per night $21.33 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2025,cash (ex-SBC),Revenue per night,ADR interaction,-0.169,revenue per night $21.33 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2025,cash (ex-SBC),Revenue per night,Unit-size mix and like-for-like price (not separated),5.392,revenue per night $21.33 -> $22.97,"data/processed/adr/07_full_decomposition.csv (research/notes/2026-09-07_adr-decomposition.md): FX from the reconstructed regional currency basket, regional mix from the 10-K geographic tables, unit-size mix from the 29-market Inside Airbnb panel, like-for-like price externally measured; the unexplained line is reported, not plugged"
FY2022->FY2025,cash (ex-SBC),Add-backs,"D&A, restructuring and other add-backs",0.346,1.0% -> 1.3% of revenue,"Adjusted EBITDA reconciliation in the letters, as the residual to the cash stack"
FY2022->FY2025,cash (ex-SBC),TOTAL,Change in Adjusted EBITDA margin,0.54,34.6% -> 35.1%,identity check: components sum to the actual change within 0.000 points
