id,name,file_or_location,owner,source,licence,frequency,first_date,last_date,n_obs,point_in_time_lag,maps_to,role,tested_already,verdict_so_far,untested_idea,combinable_with,build_forward,on_disk
D080,Leisure and hospitality employment (USLAH),citadel-abnb-predict/data/raw/macro/USLAH.csv; Theo SSD,Krish; Theo,FRED keyless CSV (S30/S38),public domain,monthly,1939-01,2026-08,1052,first Friday,nights,demand-side / macro,yes: 2026-09-06_predictive-study + predictive/03,r 0.82 post-2022 is trend; 0.14 from 2024,None,,no,yes
D081,Real PCE (PCEC96),citadel-abnb-predict/data/raw/macro/PCEC96.csv; Theo SSD,Krish; Theo,FRED keyless CSV (S30/S38),public domain,monthly,2007-01,2026-07,235,~4 weeks,GBV,macro,yes: 2026-09-06_predictive-study + predictive/03,GBV y/y r -0.84 post-2022 lag 1 but +0.13 full sample: spurious,None,,no,yes
D082,Real disposable income (DSPIC96),citadel-abnb-predict/data/raw/macro/DSPIC96.csv; Theo SSD,Krish; Theo,FRED keyless CSV (S30/S38),public domain,monthly,1959-01,2026-07,811,~4 weeks,GBV / nights,macro,yes: 2026-09-06_predictive-study + predictive/03,No surviving pair,None,,no,yes
D083,PCE services (PCES),citadel-abnb-predict/data/raw/macro/PCES.csv,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1959-01,2026-07,811,~4 weeks,nights / GBV,macro,yes: 2026-09-06_predictive-study + predictive/03,No surviving pair,None,,no,yes
D084,PCE durable goods (PCEDG),citadel-abnb-predict/data/raw/macro/PCEDG.csv; MAIN:ABNB-Crossover/data/,Krish,FRED keyless CSV (S30/S38),public domain,monthly,1959-01,2026-07,811,~4 weeks,stock reaction (goods vs services rotation),macro,yes: 2026-09-06_predictive-study + predictive/03,"Best full-sample |r| on day-1 (0.41, lag 1); no perm p < 0.05",None,,no,yes
D085,Air revenue passenger miles (AIRRPMTSID11),citadel-abnb-predict/data/raw/macro/AIRRPMTSID11.csv; Theo SSD,Krish; Theo,FRED keyless CSV (S30/S38) (from BTS),public domain,monthly,2000-01,2026-05,317,~3 months (BTS): NOT knowable before print,nights,demand-side,yes: 2026-09-06_predictive-study + predictive/03,r 0.84 post-2022 but not in hand at print; trend,Replace with TSA daily throughput (D102) captured by browser if the 403 stands,D102,no,yes
D086,Vehicle miles travelled (TRFVOLUSM227NFWA),citadel-abnb-predict/data/raw/macro/TRFVOLUSM227NFWA.csv; Theo SSD,Krish; Theo,FRED keyless CSV (S30/S38) (from FHWA),public domain,monthly,1970-01,2026-07,679,~6-8 weeks,nights (domestic drive-to),demand-side,yes: 2026-09-06_predictive-study + predictive/03; Theo H-008 (FHWA direct: robots-blocked),No surviving pair; Theo: inconclusive/blocked,None,,no,yes
D087,"Trade-weighted broad USD (DTWEXBGS), daily",citadel-abnb-predict/data/raw/macro/DTWEXBGS.csv; data/processed/overnight/10_fx_daily.csv (ws 10); Theo H.10 archive,Krish; Theo,FRED keyless CSV (S30/S38) / Fed H.10 (S38),public domain,daily (H.10 weekly release),2006-01-02,2026-08-28,5390,1 business day (H.10 Monday),ADR (FX effect) / revenue FX pts,price / macro,yes: 2026-09-06_predictive-study + predictive/03; Theo H-001,"FX effect on ADR r -0.95 (n 14), LOO 0.76 vs 2.11 pp: the one mechanical forecast; Theo H-001 9/16 hits, no edge",Weekly FX-to-ADR tracker for the 5 Nov card (3Q26 FX lift ~+0.8 pt vs +1.3 in 2Q26),"D088,D004,D018",no,yes
D088,"EUR/USD (DEXUSEU), daily","citadel-abnb-predict/data/raw/macro/DEXUSEU.csv; data/processed/overnight/10_fx_daily.csv (9 currencies, ws 10)",Krish,FRED keyless CSV (S30/S38),public domain,daily,1999-01-04,2026-08-28,7215,1 business day,ADR (FX effect) / EMEA revenue,price / macro,yes: 2026-09-06_predictive-study + predictive/03; Theo H-002 (ECB: zero strict-PIT),"FX effect r +0.97 post-2022 (+0.99 full), LOO 0.57 pp vs 2.11 naive",Currency-weighted FX basket from the 10-K host-country mix (ws 10 builds 9 currencies),"D087,D018",no,yes
D089,"BEA PCE accommodations: nominal SAAR, real, price index",data/raw/bea/bea_pce_travel_monthly_2015_2026.csv; data/processed/abnb_kpi_vs_category_quarterly.csv,Krish,BEA NIPA underlying Tables 2.4.4U/5U/6U (S29),public domain,monthly,2015-01,2026-07,139,month 3 of quarter ~1 week before print; revised vintage in hand,nights / ADR (US category),demand-side / price,yes: 2026-09-06_predictive-study + predictive/03; ABNB-Crossover share test,"Nights r 0.87 post-2022 is 2023 trend, 0.22 from 2024; real accommodations only +1.8% Jul-26",Log first-print month-3 values each release (point-in-time) and re-test the share gap as a coincident check only,"D090,D073,D097",no,yes
D090,"BEA PCE hotels and motels: nominal, real, price",data/raw/bea/bea_pce_travel_monthly_2015_2026.csv; data/processed/hotel_price_monitor_monthly.csv,Krish,BEA NIPA underlying Tables 2.4.4U/5U/6U (S29),public domain,monthly,2015-01,2026-07,139,as D089,nights / ADR,demand-side / price,"yes: 2026-09-06_predictive-study + predictive/03, 2026-09-05_margin-drivers","Nights r 0.88 post-2022, 0.28 from 2024: trend; hotel price index used in the hotel monitor","Hotel price index vs ADR ex-FX one quarter ahead (hotel pricing leads STR pricing?), n 14","D070,D004",no,yes
D091,"BEA PCE air transportation: nominal, real, price",data/raw/bea/bea_pce_travel_monthly_2015_2026.csv,Krish,BEA NIPA underlying Tables 2.4.4U/5U/6U (S29),public domain,monthly,2015-01,2026-07,139,as D089,nights,demand-side,partly: 2026-09-06_predictive-study + predictive/03 (via CPI airfare); Crossover,Air +21% nominal Jul-26 is +17% price; real air ~+4%,Real air PCE y/y vs nights y/y post-2024 only (n 10),"D072,D085",no,yes
D092,BEA foreign travel in the US (inbound),data/raw/bea/bea_pce_travel_monthly_2015_2026.csv,Krish,BEA NIPA underlying Tables 2.4.4U/5U/6U (S29),public domain,monthly,2015-01,2026-07,139,as D089,nights (inbound US),demand-side / cross-border,yes: 2026-09-06_predictive-study + predictive/03,Level r 0.83 trend; diff1 lag1 r -0.86 with Spearman 0.30: spurious,Inbound y/y vs NA-region revenue y/y (D018) rather than global nights,"D018,D093",no,yes
D093,BEA foreign travel by US residents (outbound),data/raw/bea/bea_pce_travel_monthly_2015_2026.csv,Krish,BEA NIPA underlying Tables 2.4.4U/5U/6U (S29),public domain,monthly,2015-01,2026-07,139,as D089,nights (cross-border mix),demand-side / cross-border,yes: 2026-09-06_predictive-study + predictive/03,r 0.83 post-2022: trend; outbound negative y/y all 2026,"Outbound y/y vs EMEA+LatAm+APAC revenue y/y (US guests abroad), n 11","D018,D092",no,yes
D094,"BEA package tours, motor vehicle rental, food services, recreation services, services total",MAIN:ABNB-Crossover/data/bea_pce_travel_monthly_2015_2026.csv (extra series in the Crossover extract),Krish (prior project),BEA NIPA underlying Tables 2.4.4U/5U/6U (S29),public domain,monthly,2015-01,2026-07,4170,as D089,nights (travel wallet),demand-side,no,,Travel-wallet share (accommodations / services total) as a mean-reverting demand index,"D089,D091",no,yes
D095,"Crossover FRED extras: PCEPI, ECOMSA, ECOMPCTSA (+UMCSENT, PSAVERT, PCEDG, RSXFS, CPIAUCSL copies)",MAIN:ABNB-Crossover/data/fred_*.csv,Krish (prior project),FRED keyless CSV (S30/S38),public domain,monthly,various,2026-07,8,~2-4 weeks,deflators / not relevant,macro,no,E-commerce share flagged 'probably not needed',None,,no,yes
D096,"Hotel price monitor: CPI lodging y/y, BEA hotel price y/y, ABNB ADR y/y (reported, letter, ex-FX)",data/processed/hotel_price_monitor_monthly.csv,Krish,derived D070+D090+D003/D004,public,monthly,2023-01,2026-07,43,~2 weeks,ADR,price,yes: 2026-09-05_margin-drivers 3.4,Hotels caught up with ABNB ADR in 2Q26; CPI lodging re-accelerated then cooled to +2.8% Jul,The hotel-minus-ABNB price wedge as a margin (revenue per night) driver in the FY27 scenarios,"D070,D090,D003",no,yes
D097,Nights-minus-category share gap (nights y/y minus BEA real accommodations y/y),data/processed/abnb_kpi_vs_category_quarterly.csv (share_gap_nights_vs_bea_real_pct),Krish,derived,public,quarterly,2021Q1,2026Q2,22,0,nights,second derivative,yes: 2026-09-06_predictive-study + predictive/03,Circular as a nowcast; not a lead,None,D089,no,yes
D098,"Theo FRED cohort (10 series: SEHB SA/NSA, USLAH, UMCSENT, PCEC96, DSPIC96, SETA01, AIRRPM, VMT, DTWEXBGS)","Theo external volume (/Volumes/PortableSSD/ABNB_DATA_EXPANSION), manifest in data/manifests/macro_download_log.csv (JSON, 11,516 obs)",Theo,FRED keyless CSV (S30/S38),public domain,monthly/daily,various,2026-08,11516,as above,nights / ADR,macro,duplicate of D070-D087,,None,,no,off-machine
D099,Fed H.10 dated weekly release archive -> 23 strict point-in-time broad-dollar features,theos-past-research/research/readiness/20260903T053309Z_abnb_readiness/ (results); source FED_H10_ARCHIVE,Theo,federalreserve.gov H.10 release pages (62 dated),public domain,weekly,2021,2026-08,23,strict PIT verified (release timestamp before cutoff),guidance (revenue guide midpoint),macro / price,yes: Theo H-001 (predictive/01 sec 2.3),"9 hits, 7 misses on 16 comparable events; 75% early cohort to 50% late: no edge","Walk-forward MAE vs seasonal baseline in 8 folds (plan-of-attack branch 10, optional)",D087,no,yes
D100,ECB EUR/USD reference rate (H-002),Theo ECB_EXR_USD_EUR source; not held as a file in repo,Theo,ECB Data Portal,public,daily,,,n/a,no verified initial-publication timestamp,guidance,macro,yes: Theo H-002,Zero strict-PIT eligible; 16:00 UTC sensitivity 10 hits/6 misses: not evidence,None; D088 covers it,D088,no,n/a
D101,"TSA checkpoint throughput, daily",not held (403 to non-browser clients; Theo manifest row),none,tsa.gov/travel/passenger-volumes,public domain,daily,2019,,0,1 day,nights (US air demand),demand-side,no: not acquired,"Theo: 403, used FRED AIRRPM instead (3-month lag)","Visible-browser download once, then daily append; the only daily US demand series with 2019 base","D085,D091",yes,n/a
D110,"Eurostat tour_ce_omr EU27 platform nights (Airbnb+Booking+Expedia+TripAdvisor), domestic/foreign split, 31 countries monthly",data/processed/eurostat_platform_nights_monthly.csv; data/raw/eurostat/; data/processed/overnight/10_eurostat_platform_monthly_latest.csv (ws 10),Krish (re-pull of Theo cohort),Eurostat tour_ce_omr (S35),Eurostat re-use with attribution,monthly,2018-01,2026-03,99,~3-5 months (Jun/Jul 2026 not yet published at 5 Sep),regional nights (EMEA) / nights,demand-side / level / y-y,yes: 2026-09-05_eu-platform-and-backlog; Theo H-012 (diagnostic only),"EU27 +11.4% 2025, +9.7% Q1 26; ABNB EMEA grows with the category, not faster",Trailing-3-month EU27 y/y (with 4-month lag) vs EMEA revenue y/y walk-forward from 2023; only 2 of 4 quarter-months are in hand at the print,"D018,D111,D088",no,yes
D111,"Eurostat platform nights by country: annual 2019/2023/2024/2025, growth, Q1 2026 y/y, EU share",data/processed/eurostat_platform_nights_by_country.csv,Krish,Eurostat tour_ce_omr (S35),Eurostat re-use,annual + Q1 2026,2019,2026Q1,32,~3-5 months,regional nights / regulation,supply-side / regional,yes: 2026-09-05_eu-platform-and-backlog,"Regulated markets (ES, PT, NL, AT) grow slowest: Spain +6.5% Q1 26 vs Germany +14.9%",Country growth vs regulatory factor tier as the cross-section for the regulatory loss model,"D160,D161,D164",no,yes
D112,"EU27 platform nights y/y vs ABNB EMEA revenue y/y and global nights y/y, quarterly",data/processed/eurostat_platform_nights_quarterly.csv,Krish,derived D110 + D018,public,quarterly,1Q18,2Q26,33,~3-5 months,regional nights,y-y,yes: 2026-09-05_eu-platform-and-backlog,"EMEA minus platform: -2.4 pts avg 4Q23-2Q25, +8.6 3Q25-1Q26 (euro)",Deflate EMEA revenue by EUR/USD before the comparison,"D110,D088",no,yes
D113,"Eurostat tour_ce_* full set: 8 datasets (oam, oan3, oar, oarc, oasc, oaw, omn12, omr): stays, guests by residence, NUTS 1/2/3 and cities","Theo external volume (/Volumes/PortableSSD/ABNB_DATA_EXPANSION), manifest in data/manifests/expansion_file_inventory.csv (7.1 MB JSON-stat, 485,144 values)",Theo,Eurostat dissemination API,Eurostat re-use,monthly / annual,2018,2026,485144,~3-5 months,regional nights / regulation (city level),supply-side / regional,no,,"City/NUTS3 platform nights for Barcelona, Paris, Amsterdam, Lisbon, Athens pre/post rule dates: the regulatory diff-in-diff nobody has run","D111,D160,D162",no,off-machine
D114,"Theo 50-source expansion: 41 extra Eurostat products (total tourism nights, capacity, hotel occupancy, flights, air passengers, airport pairs)","theos-past-research/research/edge-discovery/20260903T211121Z_50_source_expansion/ (source_manifest_50.csv; 590,949 obs off-repo, over 50 MiB)",Theo,Eurostat,Eurostat re-use,monthly/quarterly/annual,various,2026,590949,~2-5 months; current snapshot only,regional nights (Europe),demand-side / macro,no,"Theo: breadth, not edge; nested and correlated",Eurostat monthly air passengers by country vs EMEA revenue y/y as a second European demand series,D110,no,yes
D115,"Theo broad scrape: UK CAA airport passengers, Toronto, DataSF SFO, StatCan, Eurostat regional",theos-past-research/research/edge-discovery/20260903T204950Z_broad_scrape/processed/valid_observations.csv,Theo,official open-data portals,open (various),monthly,various,2026-08,,1-3 months,nights (regional demand),demand-side,no,"Theo: operating-data sample, not an earnings-event sample",Fold into a North-America airport index with SFO/LAX (D211),D211,no,yes
D120,"Inside Airbnb listings dumps, 13 cities, 168 dumps (raw .csv.gz + parquet)","data/raw/inside_airbnb/ (2.7 GB, gitignored); manifest.csv (279 URLs, 111 return 403)",Krish,Inside Airbnb listings.csv.gz (S32) CDN + Wayback discovery,CC BY 4.0 (attribute),"quarterly to Dec 2025, monthly since",2022-12-13 (Rome),2026-08-30,168,dump published ~1-4 weeks after scrape date,supply (listings) / ADR (asking price) / regulation,supply-side / raw,yes (via D121-D131),"Three breaks: price basis (2026 fee-inclusive quote), no-price months, partial-scope monthlies",Fixed-panel monthly capture going forward; request NYC pre-LL18 dumps from Inside Airbnb,"D121,D140",yes,yes
D121,"City snapshot metrics per dump: listings, entire-home share, active/reviewed-LTM listings, reviews LTM and L30d sums, superhost, multi-listing, licensed, min-nights, availability, instant book",data/processed/inside_airbnb_city_snapshots.csv; data/processed/overnight/08_ia_dump_metrics.csv (ws 08),Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per dump (13 cities),2022-12-13,2026-08-30,168,~1-4 weeks after scrape,nights (proxy: reviews) / supply,supply-side / level,"yes: 2026-09-05_inside-airbnb-supply-panel, 2026-09-06_predictive-study + predictive/03 03 alt data",reviews_ltm y/y vs nights y/y r +0.30 (n 11); city mix changes each quarter,Fixed 13-city reviews_l30d y/y (ws 08 builds it) vs nights y/y once 8+ same-city quarters exist,"D124,D125,D001",yes,yes
D122,"Like-for-like (same listing, year-ago) listed nightly price change, entire homes",data/processed/inside_airbnb_like_for_like.csv (lfl_price_chg_median); data/processed/predictive/03_altdata_quarterly.csv,Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per year-ago pair,2023-12,2025-09 (price basis ends),258,~1-4 weeks,ADR,price,yes: 2026-09-06_predictive-study + predictive/03 03,"r +0.07 vs ADR y/y (n 8, Rome-only early); series discontinued by the 2026 price-basis change",Restart on the 2026 quote basis (D130) after 4 same-basis quarters; compare to ADR ex-FX not reported ADR,"D130,D003",yes,yes
D123,"Listing retention (year-ago and sequential), gross adds, exits, exit/add mix by reviewed, entire-home, multi-listing","data/processed/inside_airbnb_like_for_like.csv (retention, exits, gross_adds, *_share)",Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per pair,2022-12,2026-08,258,~1-4 weeks,supply (churn) / regulation,supply-side,yes: 2026-09-05_inside-airbnb-supply-panel (descriptive),20-30% of listings gone a year later; NYC/Barcelona/LA lowest retention,City retention y/y vs Eurostat country nights (D111) and vs regulatory events (D160): does churn lead category growth,"D111,D160,D151",no,yes
D124,Matched-listing reviews LTM change (survivors only),data/processed/inside_airbnb_like_for_like.csv (matched_reviews_ltm_chg); data/processed/overnight/08_ia_city_yoy.csv,Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per pair,2023-12,2026-08,258,~1-4 weeks,nights,demand-side,yes: 2026-09-06_predictive-study + predictive/03 03,"r +0.20 with nights y/y (n 11); -0.55 with acceleration (wrong sign, Rome-driven)",Weight cities by est_nights_ltm and drop partial-scope dumps; ws 08 is doing this,"D121,D125",yes,yes
D125,"Reviews in last 30 days, sum per city per dump",data/processed/inside_airbnb_city_snapshots.csv (reviews_l30d_sum); data/processed/overnight/08_ia_dump_metrics.csv,Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per dump (monthly since Dec 2025),2022-12,2026-08,168,~1-4 weeks,nights (monthly demand proxy),demand-side / nowcast,partly: ws 08 in flight,"Monthly cadence only since Dec 2025, so 9 same-city months",13-city reviews_l30d y/y as the monthly nights nowcast; first test possible at the 4Q26 print,"D121,D142",yes,yes
D126,"Multi-listing host share, professional (5+) share, hosts, top-10/top-100 host share",data/processed/inside_airbnb_city_snapshots.csv,Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per dump,2022-12,2026-08,168,~1-4 weeks,supply mix / take rate (host power) / regulation,supply-side / mix,yes: 2026-09-05_inside-airbnb-supply-panel (descriptive),55-81% of listings on multi-listing hosts; rose y/y in all 13 cities,Professional share vs host-fee pilot markets; professional share as a take-rate ceiling proxy in the model,"D128,D055",no,yes
D127,"Superhost share, licensed share, instant-book share, short-min-nights share, median rating, host tenure",data/processed/inside_airbnb_city_snapshots.csv,Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per dump,2022-12,2026-08,168,~1-4 weeks,supply quality / regulation,supply-side / mix,yes: 2026-09-05_inside-airbnb-supply-panel,NYC: 81% of listings need 30+ nights post-LL18; Paris/Rome 80-86% carry registration numbers,Licensed-share step changes as the enforcement date detector for the regulatory events table,"D160,D162",no,yes
D128,"Host concentration: top-25 hosts per city (listings, entire-home, reviews LTM, share of city)",data/processed/inside_airbnb_host_concentration.csv,Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,one snapshot per city,2026-08-10,2026-08-30,325,~1-4 weeks,supply mix / take rate,supply-side,yes: 2026-09-05_inside-airbnb-supply-panel,908-listing corporate hosts dominate what is left in NYC,None until a second snapshot,D126,yes,yes
D129,"Inside Airbnb estimated nights LTM and estimated revenue L365d (their occupancy model), exposed nights (short entire homes)","data/processed/inside_airbnb_city_snapshots.csv (est_nights_ltm, est_revenue_l365d, exposed_nights_short_entire)",Krish,Inside Airbnb listings.csv.gz (S32) (Inside Airbnb's own model),CC BY 4.0,per dump,2022-12,2026-08,168,~1-4 weeks,nights / GBV (city) / regulation exposure,demand-side / supply-side,partly: 2026-09-05_regulatory-forecast-profile (city GBV shares as weights),"Used as weights in the regulatory profile, not as a series",est_revenue y/y per city vs Eurostat country nights: calibrate the review-to-nights multiplier,"D161,D121",no,yes
D130,"2026 quote-basis price: median quote total for entire homes, quote stay nights, lead days, median_price_entire on the new basis","data/processed/inside_airbnb_city_snapshots.csv (price_basis=quote_per_night, quote_* cols)",Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,monthly,2026-01,2026-08,78,~1-4 weeks,ADR (fee-inclusive stay quote),price,no: too short,New basis from 2026; not comparable to listed_nightly,From Jan 2027 a same-basis y/y exists; the 2026 quote is closer to what guests pay (fees in) than the old listed price,"D122,D003",yes,yes
D131,Availability 365 / 90 (calendar) and blocked_30/blocked_90 per dump,"data/processed/inside_airbnb_city_snapshots.csv (median_availability_365, mean_availability_90); data/processed/overnight/08_ia_dump_metrics.csv (blocked_30/90)",Krish,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,per dump,2022-12,2026-08,168,~1-4 weeks,"nights (forward, bounded proxy)",demand-side / booking curve,partly: ws 08 in flight (blocked_30_yoy_pts),"Blocked conflates booked, host-blocked, inactive; never call it occupancy",Same-city blocked_30 y/y pts vs next-Q nights y/y once 8 pairs exist,"D141,D165",yes,yes
D140,"Inside Airbnb current listings, 120 markets / 35 countries incl. all 34 US (982,188 listing rows) -> market summary","Theo external volume (/Volumes/PortableSSD/ABNB_DATA_EXPANSION), manifest in data/manifests/inside_airbnb_download_log.csv; summary in data/processed/market_summary_2026.csv",Theo,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,one snapshot per market,2026-06-14,2026-08-10,120,~1-4 weeks,"supply / regulation / ADR (asking, native currency)",supply-side / cross-section,yes: 2026-09-06_predictive-study + predictive/03 03 (booking-curve ranking only),One-date cross-section; hemisphere seasonality dominates any ranking,Cross-section: licence-disclosed share and multi-host share vs Eurostat country growth (D111),"D121,D111",yes,off-machine
D141,"Forward booking curves: blocked-night rate by horizon bucket (0-30/31-60/61-90/91-180/181-372) and daily days-ahead, 120 markets","data/processed/booking_curves_by_market.csv (600); booking_curve_daily.csv (44,379); source 588M calendar rows on SSD (5 columns, NO price)",Theo,Inside Airbnb listings.csv.gz (S32) calendar.csv.gz,CC BY 4.0,one snapshot per market,2026-06-14,2026-08-10,600,~1-4 weeks,"nights (forward bookings, bounded proxy) / RNPL lead-time claim",demand-side / booking curve,yes: 2026-09-06_predictive-study + predictive/03 03 (descriptive),Seasonality ranking until a second vintage exists (Copenhagen 0.85 at 31-60 days),T6.2 in CODEX handoff: far-minus-near horizon y/y shift as the RNPL lead-time test; needs 2025 vintages (83% live on CDN),"D131,D165",yes,yes
D142,"Inside Airbnb reviews files, 120 markets, 67.5M review rows with review dates","Theo external volume (/Volumes/PortableSSD/ABNB_DATA_EXPANSION), manifest in data/manifests/ (reviews.csv.gz per market; 91 files in inside_airbnb_download_log.csv)",Theo,Inside Airbnb listings.csv.gz (S32) reviews.csv.gz,CC BY 4.0,"one dump, but each review is dated (2010-2026)",~2010,2026-08,67500188,~1-4 weeks after dump; history embedded,"nights (monthly review flow by market, years of history)",demand-side / nowcast,no: NOT TESTED by anyone,The largest untested asset: dated reviews give a monthly market-level demand series back to 2010s from a single dump,"Build monthly review counts per market 2018-2026 (survivor-biased), sum by region, test vs quarterly nights y/y 2021-2026 (n 22) with the bias modelled from D123 churn","D125,D110,D001",no,off-machine
D143,license_text populated on ~46% of core listings across 18 countries (Theo cohort),"Theo external volume (/Volumes/PortableSSD/ABNB_DATA_EXPANSION), manifest in data/manifests/ listings; noted in CODEX_HANDOFF_V2 T6.4",Theo,Inside Airbnb listings.csv.gz (S32),CC BY 4.0,one snapshot,2026-06,2026-08,,~1-4 weeks,regulation (registered supply),supply-side,no,,Join licence text to municipal registries (D170) to measure lawful vs unlawful supply per market,"D170,D162",no,off-machine
D150,"Common Crawl CDX index rows for airbnb.com/rooms/* + 8 country domains: per-crawl rows, status-200 renders, unique ids","data/processed/cc_index_summary.csv (50 crawls); raw data/raw/commoncrawl/index/ (450 jsonl.gz, 2.08M rows, 1.2M ids)",Krish,Common Crawl CDX + WARC (S33),Common Crawl terms; page bodies are Airbnb copyright (extract fields only),per crawl (~monthly),2021-01-25,2026-08-17,50,crawl published ~2-4 weeks after crawl,"supply (archive reach, not supply)",supply-side / raw,yes: 2026-09-05_cc-listing-panel,"Rows per crawl fell from 80-110k (2021) to 17-40k (2023+): crawler budget, not supply",None as a level series,D151,no,yes
D151,"Listing survival by crawl (re-fetched live / removed / redirect), with status_informative flag, and by listing age",data/processed/cc_listing_survival.csv (48); cc_listing_survival_by_age.csv (4),Krish,Common Crawl CDX + WARC (S33),as above,per crawl,2021-04-26,2026-08-17,48,~2-4 weeks,supply (churn),supply-side,yes: 2026-09-05_cc-listing-panel,85-90% a year on; older listings die slower; consistent with Inside Airbnb retention,Survival by region-year vs Eurostat country growth,D123,no,yes
D152,"Parsed listing captures: reviews, rating, Superhost, Guest Favorite (2025+), room type, capacity, lat/lng, host years, instant book; no price",data/processed/cc_listing_panel.csv,Krish,"Common Crawl CDX + WARC (S33) WARC records (3,000 renders)",as above,per capture,2021,2026,3000,~2-4 weeks,supply quality,supply-side / mix,yes: 2026-09-05_cc-listing-panel,"No price in any era; Superhost 58% to 61%, entire-home 80% to 90% of captures",Guest Favorite share vs ADR premium is not testable without price; drop,D154,no,yes
D153,"Same-listing review velocity on 1,500 matched pairs (reviews per year by window)",data/processed/cc_matched_listings.csv; cc_panel_summary.csv (19); data/processed/predictive/03_cc_velocity_annual.csv,Krish,Common Crawl CDX + WARC (S33),as above,per pair / annual,2021,2026,1500,~2-4 weeks,nights,demand-side,"yes: 2026-09-06_predictive-study + predictive/03 03, 2026-09-05_cc-listing-panel","Velocity flat for five years (median 9-17 reviews/yr); a supply-quality series, not demand",None; supply-quality only,D124,no,yes
D154,"Panel mix by capture year: superhost, guest favorite, entire-home share, median reviews, geography (NA/Europe/LatAm/APAC)",data/processed/cc_panel_by_year.csv,Krish,Common Crawl CDX + WARC (S33),as above,annual,2021,2026,6,~2-4 weeks,supply mix,mix,yes: 2026-09-05_cc-listing-panel,"Geography shift to North America is crawler reach (utm_source=chatgpt.com), not supply",None,D152,no,yes
D155,"WARC records raw (3,000 full renders, 0.5-1 MB each)","data/raw/commoncrawl/records/ (gitignored, ~700 MB)",Krish,Common Crawl CDX + WARC (S33),"extract fields only, never redistribute",per capture,2021,2026,3000,~2-4 weeks,supply,raw,yes (parsed into D152),,T6.6 in CODEX handoff: CC vs Inside Airbnb same-id rating/review deviation as a data-quality check,"D152,D121",no,yes
D160,"Regulatory factor register: 32 factors in 4 tiers (NYC LL18, Spain, Greece, Portugal, Paris, Amsterdam, BC, Montreal, Madrid, Malaga, Florence, Budapest, Canaries, EU DSR, Scotland, Barcelona 2028, Maui, Ireland, EU AHA draft...)",MAIN:research/regulatory/factors.json; factor_register.md; sources.json (48); source_index.md,Krish,"official laws, court decisions, press (research log)",public,event register,2023,2026-09-05,32,event date (news same day; rule text days-weeks),regulation,supply-side / event,yes: 2026-09-05_regulatory-forecast-profile (as inputs),"Regulation is a valuation haircut (median 0.45% revenue 2027, 1.7% 2030), not existential",Event-study: ABNB day-0 move on the 20 dated events vs QQQ (most are <1% but untested),"D161,D111,D040",no,yes
D161,"Regulatory forecast: 20 events with p(in force) 2027/2030, loss ranges, Monte Carlo profile (200k draws) and per-event contributions",data/processed/abnb_regulatory_events.csv (20); abnb_regulatory_profile.csv (24); abnb_regulatory_contributions.csv (40),Krish,analyst forecast on D160 + D162 + D111,public,one-off,2026-09-05,2026-09-05,20,n/a,regulation / revenue / EBITDA / value per share,supply-side / scenario,yes: 2026-09-05_regulatory-forecast-profile,"Median hit $2.8/share 2027, $8.4 2030; EU act carries the tail; re-run after 9 Sep EU proposal",None until the EU proposal text,D160,no,yes
D162,"Market inventory: Airbnb listing IDs, short-minimum and short-entire counts for 32 markets (June-Aug 2026 snapshots); 20 listing snapshots; 1,434 neighbourhood counts",MAIN:research/regulatory/quantification/market_inventory.json; listing_snapshots.json; neighbourhood_counts.json; raw data/raw/regulatory/quantification/*_listings.csv,Krish,Inside Airbnb listings.csv.gz (S32) visualisations listings.csv,CC BY 4.0,one snapshot per market,2026-06-15,2026-08-10,32,~1-4 weeks,regulation (exposed supply),supply-side / cross-section,yes: 2026-09-05_regulatory-forecast-profile (exposure denominators),Substantial local supply losses can coexist with resilient revenue; listing counts alone cannot show earnings loss,Monthly re-capture of the same 20 markets to get affected-cohort supply change through the 2027-28 phase-outs,"D160,D113",yes,yes
D163,"Barcelona HUTB licence match (5,146 distinct licences on 5,910 ads) and Maui Minatoya parcel match (3,862 units on 4,350 ads); matched-cohort loss scenarios (18)",MAIN:research/regulatory/phase2/barcelona_match_summary.json; maui_match_summary.json; matched_cohort_scenarios.json; raw registries in data/raw/regulatory/phase2/,Krish,Barcelona open datastore; Maui County PDFs + state GIS,open government,one-off,2026-06,2026-06,2,n/a,regulation (affected cohort),supply-side,yes: 2026-09-05_regulatory-forecast-profile (cohort sizes),Deduplicated cohorts replace assumed counts; booked value per identifier remains the gap,Track the matched Barcelona cohort's review activity monthly to 2028 as the phase-out signal,"D162,D125",yes,yes
