source_id,print_quarter,publisher,url,published,metric,vendor,value,unit,quote
S111,2025Q2,CNBC,https://www.cnbc.com/2025/08/06/airbnb-beats-on-top-and-bottom-lines-for-second-quarter.html,2025-08-06,gbv,StreetAccount,22.66,busd,Gross booking value ... totaled $23.5 billion in the second quarter. That figure is above the $22.66 billion expected by analysts polled by StreetAccount.
S112,2025Q2,CNBC,https://www.cnbc.com/2025/08/06/airbnb-beats-on-top-and-bottom-lines-for-second-quarter.html,2025-08-06,next_q_revenue,LSEG,4050.0,musd,"In the third quarter, Airbnb expects to report revenue of $4.02 billion to $4.10 billion, or $4.06 billion in the middle of the range. Analysts were expecting $4.05 billion for the period, according to LSEG."
S113,2025Q2,Zacks via Nasdaq,https://www.nasdaq.com/articles/airbnb-inc-abnb-q2-earnings-and-revenues-top-estimates,2025-08-06,next_q_revenue,Zacks,4040.0,musd,The current consensus EPS estimate is $2.26 on $4.04 billion in revenues for the coming quarter (post-guide snapshot).
S114,2025Q3,CNBC,https://www.cnbc.com/2025/11/06/airbnb-abnb-q3-results-2025.html,2025-11-06,revenue,LSEG,4080.0,musd,Revenue: $4.10 billion vs. $4.08 billion expected
S115,2025Q3,CNBC,https://www.cnbc.com/2025/11/06/airbnb-abnb-q3-results-2025.html,2025-11-06,eps,LSEG,2.34,usd,Earnings per share: $2.21 vs. $2.34 cents expected (CNBC typo; $2.34 per share)
S116,2025Q3,Zacks,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,2026-09-04,eps,Zacks,2.29,usd,"Surprise table, quarter ending 9/2025: Reported 2.21, Estimate 2.29, Surprise -3.49%."
S117,2025Q3,CNBC,https://www.cnbc.com/2025/11/06/airbnb-abnb-q3-results-2025.html,2025-11-06,nights,StreetAccount,131.75,m,"reported 133.6 million nights and seats booked, up 9% from a year ago and above the 131.75 million expected by StreetAccount."
S118,2025Q3,CNBC,https://www.cnbc.com/2025/11/06/airbnb-abnb-q3-results-2025.html,2025-11-06,gbv,StreetAccount,21.9,busd,"Gross booking value ... totaled $22.9 billion in the third quarter, up 14% year over year. That figure is above the $21.9 billion expected by analysts polled by StreetAccount."
S119,2025Q3,CNBC,https://www.cnbc.com/2025/11/06/airbnb-abnb-q3-results-2025.html,2025-11-06,next_q_revenue,LSEG,2670.0,musd,"For the fourth quarter, Airbnb said it expects to report revenue of $2.66 billion to $2.72 billion. Analysts were expecting $2.67 billion for the period, according to LSEG."
S120,2025Q3,CNBC,https://www.cnbc.com/2025/11/06/airbnb-abnb-q3-results-2025.html,2025-11-06,positioning,,,,Shares of Airbnb rose as much as 5% in extended trading on Thursday.
S121,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,revenue,LSEG,2720.0,musd,Revenue: $2.78 billion vs. $2.72 billion expected
S122,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,eps,LSEG,0.66,usd,Earnings per share: 56 cents vs. 66 cents expected
S123,2025Q4,Zacks,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,2026-09-04,eps,Zacks,0.66,usd,"Surprise table, quarter ending 12/2025: Reported 0.56, Estimate 0.66, Surprise -15.15%."
S124,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,nights,StreetAccount,117.6,m,"reported 121.9 million nights and seats booked in the fourth quarter, up 10% from a year ago and above the 117.6 million expected by StreetAccount."
S125,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,gbv,StreetAccount,19.4,busd,"Gross booking value ... totaled $20.4 billion in the fourth quarter, up 16% year over year. That figure is above the $19.4 billion expected by analysts polled by StreetAccount."
S126,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,next_q_revenue,LSEG,2530.0,musd,"For the current period, Airbnb said it expects to report revenue of $2.59 billion to $2.63 billion. Analysts were expecting $2.53 billion for the quarter, according to LSEG."
S127,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,fy_growth,LSEG,10.2,pct,The company said it expects full-year revenue growth of 'at least low double digits.' Analysts were expecting 10.2% growth.
S128,2025Q4,CNBC,https://www.cnbc.com/2026/02/12/q4-airbnb-abnb-earnings-2025.html,2026-02-12,positioning,FactSet,,,"Shares ... up about 2% in extended trading. 'Airbnb has beat Wall Street's revenue expectations for 20 of the past 21 quarters, according to FactSet.'"
S129,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,revenue,LSEG,2620.0,musd,Revenue: $2.68 billion vs. $2.62 billion expected
S130,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,eps,LSEG,0.29,usd,Earnings per share: 26 cents vs. 29 cents expected
S131,2026Q1,Zacks,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,2026-09-04,eps,Zacks,0.31,usd,"Surprise table, quarter ending 3/2026: Reported 0.26, Estimate 0.31, Surprise -16.13%."
S132,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,adj_ebitda,LSEG,485.0,musd,"Airbnb reported $519 million in adjusted EBITDA, which surpassed a $485 million estimate from LSEG."
S133,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,nights,LSEG,155.77,m,"Nights and seats booked grew 9% to 156.2 million, surpassing LSEG's 155.77 million estimate."
S134,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,gbv,unattributed,27.82,busd,"Gross booking value ... increased 19% to $29.2 billion, topping a $27.82 billion estimate from analysts."
S135,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,next_q_revenue,LSEG,3460.0,musd,"For the current quarter, Airbnb issued an upbeat forecast, calling for revenue between $3.54 billion and $3.60 billion. Analysts expected $3.46 billion in revenue."
S136,2026Q1,CNBC,https://www.cnbc.com/2026/05/07/airbnb-abnb-earnings-q1-2026.html,2026-05-07,positioning,,,,The company lifted revenue guidance for the year to 'low to mid teens' growth from a 12% forecast; flagged a 100bp nights headwind in Q2 from the war.
S137,2026Q2,CNBC,https://www.cnbc.com/2026/08/06/airbnb-abnb-q2-earningsreport.html,2026-08-06,revenue,LSEG,3580.0,musd,Revenue: $3.61 billion vs. $3.58 billion expected
S138,2026Q2,CNBC,https://www.cnbc.com/2026/08/06/airbnb-abnb-q2-earningsreport.html,2026-08-06,eps,LSEG,1.25,usd,Earnings per share: $1.37 vs. $1.25 expected
S139,2026Q2,TIKR,https://www.tikr.com/blog/airbnbs-q2-earnings-show-hotels-growing-3x-faster-than-homes,2026-08-07,revenue,S&P Global Capital IQ,3576.0,musd,"Revenue climbed to $3.608 billion ... 0.90% above Street estimates (implies $3,576m)"
S140,2026Q2,TIKR,https://www.tikr.com/blog/airbnbs-q2-earnings-show-hotels-growing-3x-faster-than-homes,2026-08-07,adj_ebitda,S&P Global Capital IQ,1225.6,musd,"adjusted EBITDA reached $1.261 billion, a 2.89% beat (implies $1,225.6m)"
S141,2026Q2,TIKR,https://www.tikr.com/blog/airbnbs-q2-earnings-show-hotels-growing-3x-faster-than-homes,2026-08-07,eps,S&P Global Capital IQ,1.25,usd,Adjusted EPS of $1.37 cleared the $1.25 estimate by 10.04%
S142,2026Q2,Zacks,https://www.zacks.com/stock/quote/ABNB/detailed-earnings-estimates,2026-09-04,eps,Zacks,1.2,usd,"Surprise table, quarter ending 6/2026: Reported 1.37, Estimate 1.20, Surprise 14.17%."
S143,2026Q2,StockStory,https://stockstory.org/us/stocks/nasdaq/abnb,2026-08-06,revenue,S&P Global / Visible Alpha,3579.0,musd,"its $3.61 billion of revenue exceeded Wall Street's estimates by 0.8% (implies $3,579m)"
S144,2026Q2,CNBC,https://www.cnbc.com/2026/08/06/airbnb-abnb-q2-earningsreport.html,2026-08-06,next_q_revenue,LSEG,4610.0,musd,"it expects revenue of between $4.69 billion and $4.77 billion, while analysts had been projecting sales of $4.61 billion, according to LSEG."
S145,2026Q2,CNBC,https://www.cnbc.com/2026/08/06/airbnb-abnb-q2-earningsreport.html,2026-08-06,positioning,,,,"The stock jumped 9% in extended trading on Thursday; it closed the next session +17% near $178, a four-year high (TIKR)."
