output,cell_reference,excel_value,python_value,evaluator_value,abs_diff,rel_diff,excel_vs_evaluator_rel,python_value_as_written_to_13_reconciliation_csv,pass
Bull FY2027 revenue ($M),Revenue!$J$118,17420.6324936895,17420.63249368946,17420.63249368946,4.001776687800884e-11,2.2971477581256017e-15,2.2971477581256017e-15,17420.6325,yes
Bull FY2027 nights (M),Revenue!$J$104,660.891077420303,660.8910774203026,660.8910774203026,3.410605131648481e-13,5.160616095713241e-16,5.160616095713241e-16,660.8911,yes
Bull FY2027 GBV ($M),Revenue!$J$110,126720.127676047,126720.12767604721,126720.12767604721,2.0372681319713593e-10,1.607691034828752e-15,1.607691034828752e-15,126720.1277,yes
Bull FY2027 adj. EBITDA ($M),Costs!$E$81,6619.84034760199,6619.840347601995,6619.840347601995,4.547473508864641e-12,6.869460999179446e-16,6.869460999179446e-16,6619.8403,yes
Bull FY2027 adj. EBITDA margin,Costs!$E$82,0.38,0.38,0.38,0.0,0.0,0.0,0.38,yes
Bull FY2027 net income ($M),Costs!$E$92,4201.96301067862,4201.96301067862,4201.96301067862,0.0,0.0,0.0,4201.963,yes
Bull FY2027 FCF ($M),Cash!$E$64,6543.27694533548,6543.276945335485,6543.276945335485,4.547473508864641e-12,6.949841106918766e-16,6.949841106918766e-16,6543.2769,yes
Bull FY2027 SBC-adj FCF ($M),Cash!$E$68,4699.83094533549,4699.830945335485,4699.830945335485,4.547473508864641e-12,9.675823581224637e-16,9.675823581224637e-16,4699.8309,yes
Bull FY2027 diluted shares (M),Cash!$E$73,571.397227500432,571.3972275004319,571.3972275004319,1.1368683772161603e-13,1.989628794996736e-16,1.989628794996736e-16,571.3972,yes
Bull FY2027 FCF per share ($),Cash!$E$74,11.4513627830484,11.451362783048399,11.451362783048399,1.7763568394002505e-15,1.5512187265866855e-16,1.5512187265866855e-16,11.4514,yes
Bull FY2027 net cash ($M),Cash!$E$77,11329.2652077156,11329.265207715613,11329.265207715613,1.2732925824820995e-11,1.1238968804569462e-15,1.1238968804569462e-15,11329.2652,yes
Bull FY2028 revenue ($M),Revenue!$K$118,20874.2314931689,20874.231493168933,20874.231493168933,3.2741809263825417e-11,1.5685276497264168e-15,1.5685276497264168e-15,20874.2315,yes
Bull FY2028 nights (M),Revenue!$K$104,723.675729775231,723.6757297752314,723.6757297752314,3.410605131648481e-13,4.712891411610268e-16,4.712891411610268e-16,723.6757,yes
Bull FY2028 GBV ($M),Revenue!$K$110,143615.088698456,143615.08869845618,143615.08869845618,1.7462298274040222e-10,1.2159097231562646e-15,1.2159097231562646e-15,143615.0887,yes
Bull FY2028 adj. EBITDA ($M),Costs!$F$81,7932.2079674042,7932.207967404194,7932.207967404194,5.4569682106375694e-12,6.879507235642174e-16,6.879507235642174e-16,7932.208,yes
Bull FY2028 adj. EBITDA margin,Costs!$F$82,0.38,0.38,0.38,0.0,0.0,0.0,0.38,yes
Bull FY2028 net income ($M),Costs!$F$92,5171.9763956122,5171.976395612196,5171.976395612196,3.637978807091713e-12,7.034020515209816e-16,7.034020515209816e-16,5171.9764,yes
Bull FY2028 FCF ($M),Cash!$F$64,7592.61601319793,7592.61601319793,7592.61601319793,0.0,0.0,0.0,7592.616,yes
Bull FY2028 SBC-adj FCF ($M),Cash!$F$68,5675.43217319793,5675.432173197931,5675.432173197931,9.094947017729282e-13,1.6025117982521076e-16,1.6025117982521076e-16,5675.4322,yes
Bull FY2028 diluted shares (M),Cash!$F$73,555.175834815843,555.1758348158435,555.1758348158435,4.547473508864641e-13,8.19105087737307e-16,8.19105087737307e-16,555.1758,yes
Bull FY2028 FCF per share ($),Cash!$F$74,13.6760563717916,13.676056371791589,13.676056371791589,1.0658141036401503e-14,7.7932853935767e-16,7.7932853935767e-16,13.6761,yes
Bull FY2028 net cash ($M),Cash!$F$77,13750.8668769135,13750.866876913544,13750.866876913544,4.3655745685100555e-11,3.1747631677239625e-15,3.1747631677239625e-15,13750.8669,yes
Bull 3Q26 revenue ($M),Revenue!$C$118,4976.77974519807,4976.779745198066,4976.779745198066,3.637978807091713e-12,7.309905186384587e-16,7.309905186384587e-16,4976.7797,yes
Bull 3Q26 nights (M),Revenue!$C$104,150.4336,150.43359999999998,150.43359999999998,2.842170943040401e-14,1.8893192365538022e-16,1.8893192365538022e-16,150.4336,yes
Bull 3Q26 ADR ($),Revenue!$C$108,179.5667328,179.5667328,179.5667328,0.0,0.0,0.0,179.5667,yes
Bull 3Q26 adj. EBITDA ($M),Revenue!$C$123,2498.34343208943,2498.343432089429,2498.343432089429,9.094947017729282e-13,3.6403910290759906e-16,3.6403910290759906e-16,2498.3434,yes
Bull 3Q26 adj. EBITDA margin,Revenue!$C$122,0.502,0.502,0.502,0.0,0.0,0.0,0.502,yes
Bull 4Q26 revenue ($M),Revenue!$D$118,3263.80260247347,3263.8026024734722,3263.8026024734722,2.2737367544323206e-12,6.966526568454751e-16,6.966526568454751e-16,3263.8026,yes
Bull 4Q26 nights (M),Revenue!$D$104,136.877503496504,136.87750349650352,136.87750349650352,4.831690603168681e-13,3.5299377032341096e-15,3.5299377032341096e-15,136.8775,yes
Bull 4Q26 ADR ($),Revenue!$D$108,175.4298728,175.42987279999997,175.42987279999997,2.842170943040401e-14,1.620117997965282e-16,1.620117997965282e-16,175.4299,yes
Bull 4Q26 adj. EBITDA ($M),Revenue!$D$123,1201.07935771024,1201.0793577102377,1201.0793577102377,2.2737367544323206e-12,1.893077871862701e-15,1.893077871862701e-15,1201.0794,yes
Bull 4Q26 adj. EBITDA margin,Revenue!$D$122,0.368,0.368,0.368,0.0,0.0,0.0,0.368,yes
Bull 1Q27 revenue ($M),Revenue!$E$118,3202.93074321184,3202.9307432118358,3202.9307432118358,4.092726157978177e-12,1.2778066358918729e-15,1.2778066358918729e-15,3202.9307,yes
Bull 1Q27 nights (M),Revenue!$E$104,174.387928,174.387928,174.387928,0.0,0.0,0.0,174.3879,yes
Bull 1Q27 ADR ($),Revenue!$E$108,195.64033266,195.64033265999998,195.64033265999998,2.842170943040401e-14,1.452753072128415e-16,1.452753072128415e-16,195.6403,yes
Bull 1Q27 adj. EBITDA ($M),Revenue!$E$123,632.445405950281,632.4454059502814,632.4454059502814,3.410605131648481e-13,5.392726549296177e-16,5.392726549296177e-16,632.4454,yes
Bull 1Q27 adj. EBITDA margin,Revenue!$E$122,0.197458345701249,0.1974583457012491,0.1974583457012491,8.326672684688674e-17,4.216926185174659e-16,4.216926185174659e-16,0.1975,yes
Bull 2Q27 revenue ($M),Revenue!$F$118,4347.74468873042,4347.744688730419,4347.744688730419,1.8189894035458565e-12,4.1837539546900517e-16,4.1837539546900517e-16,4347.7447,yes
Bull 2Q27 nights (M),Revenue!$F$104,165.573461461461,165.57346146146145,165.57346146146145,4.547473508864641e-13,2.7464990275166183e-15,2.7464990275166183e-15,165.5735,yes
Bull 2Q27 ADR ($),Revenue!$F$108,194.249001825,194.249001825,194.249001825,0.0,0.0,0.0,194.249,yes
Bull 2Q27 adj. EBITDA ($M),Revenue!$F$123,1536.74664521005,1536.746645210046,1536.7466452100462,4.092726157978177e-12,2.663240665424562e-15,2.5152828506787533e-15,1536.7466,yes
Bull 2Q27 adj. EBITDA margin,Revenue!$F$122,0.353458345701249,0.35345834570124907,0.3534583457012491,5.551115123125783e-17,1.5705146562921194e-16,3.1410293125842383e-16,0.3535,yes
Bull 3Q27 revenue ($M),Revenue!$G$118,5853.51025479619,5853.510254796187,5853.510254796187,2.7284841053187847e-12,4.66127842363161e-16,4.66127842363161e-16,5853.5103,yes
Bull 3Q27 nights (M),Revenue!$G$104,167.9686668,167.9686668,167.9686668,0.0,0.0,0.0,167.9687,yes
Bull 3Q27 ADR ($),Revenue!$G$108,191.408530344595,191.4085303445952,191.4085303445952,1.9895196601282805e-13,1.039410133156826e-15,1.039410133156826e-15,191.4085,yes
Bull 3Q27 adj. EBITDA ($M),Revenue!$G$123,2958.70560993458,2958.7056099345778,2958.705609934578,2.2737367544323206e-12,7.684903651102332e-16,6.147922920881866e-16,2958.7056,yes
Bull 3Q27 adj. EBITDA margin,Revenue!$G$122,0.505458345701249,0.5054583457012491,0.5054583457012491,1.1102230246251565e-16,2.1964678871507904e-16,2.1964678871507904e-16,0.5055,yes
Bull 4Q27 revenue ($M),Revenue!$H$118,4016.44680695102,4016.446806951018,4016.446806951018,1.8189894035458565e-12,4.528852219324409e-16,4.528852219324409e-16,4016.4468,yes
Bull 4Q27 nights (M),Revenue!$H$104,152.961021158841,152.9610211588412,152.9610211588412,1.9895196601282805e-13,1.3006710108598707e-15,1.3006710108598707e-15,152.961,yes
Bull 4Q27 ADR ($),Revenue!$H$108,184.947118829273,184.94711882927274,184.94711882927274,2.5579538487363607e-13,1.3830730994504651e-15,1.3830730994504651e-15,184.9471,yes
Bull 4Q27 adj. EBITDA ($M),Revenue!$H$123,1491.94268650709,1491.9426865070893,1491.9426865070895,6.821210263296962e-13,4.572032374290905e-16,3.048021582860603e-16,1491.9427,yes
Bull 4Q27 adj. EBITDA margin,Revenue!$H$122,0.371458345701249,0.371458345701249,0.37145834570124914,0.0,0.0,2.9888224008784817e-16,0.3715,yes
Bull Football field low,Valuation!$D$43,176.492127372478,176.49212737247777,176.49212737247777,2.2737367544323206e-13,1.288293584695543e-15,1.288293584695543e-15,176.4921,yes
Bull Football field high,Valuation!$D$44,289.091679084212,289.0916790842117,289.0916790842117,2.8421709430404007e-13,9.831382736590216e-16,9.831382736590216e-16,289.0917,yes
Bull Football field mean,Valuation!$D$45,232.681862959295,232.68186295929522,232.68186295929522,2.2737367544323206e-13,9.771869304785833e-16,9.771869304785833e-16,232.6819,yes
"Bull price: EV / adj. EBITDA, FY27E",Valuation!$D$19,234.156389283935,234.1563892839354,234.1563892839354,3.979039320256561e-13,1.6993084546719854e-15,1.6993084546719854e-15,234.1564,yes
"Bull price: EV / FCF, FY27E",Valuation!$D$20,217.935877824898,217.93587782489786,217.93587782489786,1.4210854715202004e-13,6.520658671272019e-16,6.520658671272019e-16,217.9359,yes
"Bull price: P / SBC-adjusted FCF, FY27E",Valuation!$D$21,197.403727668536,197.4037276685358,197.4037276685358,1.9895196601282805e-13,1.0078430046006615e-15,1.0078430046006615e-15,197.4037,yes
"Bull price: P / earnings proxy, FY27E",Valuation!$D$22,176.492127372478,176.49212737247777,176.49212737247777,2.2737367544323206e-13,1.288293584695543e-15,1.288293584695543e-15,176.4921,yes
"Bull price: EV / adj. EBITDA, FY28E",Valuation!$D$23,289.091679084212,289.0916790842117,289.0916790842117,2.8421709430404007e-13,9.831382736590216e-16,9.831382736590216e-16,289.0917,yes
Bull price: DCF on FCF,Valuation!$D$39,281.011376521713,281.0113765217127,281.0113765217127,2.8421709430404007e-13,1.0114077864818381e-15,1.0114077864818381e-15,281.0114,yes
