period,m1_calibrated,m2,m3,r2,r3,feasible,nights_share_ge28,los_mix_pp
2022,2.4131248457371823,13.0,60.0,0.85,0.85,True,0.2021996443992888,0.26870765993467494
2023,2.4131248457371823,13.0,60.0,0.85,0.85,True,0.18220437304774656,0.3931648782213193
2024,2.4131248457371823,13.0,60.0,0.85,0.85,True,0.15918732753825476,0.2549275821367658
2025,2.4131248457371823,13.0,60.0,0.85,0.85,True,0.13492611740662808,0.26802418386997484
2022,2.4131248457371823,13.0,60.0,0.85,0.852,True,0.2021996443992888,0.2667580664410085
2023,2.4131248457371823,13.0,60.0,0.85,0.852,True,0.18220437304774656,0.38870058378828176
2024,2.4131248457371823,13.0,60.0,0.85,0.852,True,0.15918732753825476,0.249904910605947
2025,2.4131248457371823,13.0,60.0,0.85,0.852,True,0.13492611740662808,0.2627566423999417
2022,2.4131248457371823,13.0,60.0,0.95,0.65,True,0.2021996443992888,0.370042799727921
2023,2.4131248457371823,13.0,60.0,0.95,0.65,True,0.18220437304774656,0.7877759615861235
2024,2.4131248457371823,13.0,60.0,0.95,0.65,True,0.15918732753825476,0.833661610335712
2025,2.4131248457371823,13.0,60.0,0.95,0.65,True,0.13492611740662808,0.8714593778011759
2022,2.4131248457371823,13.0,60.0,0.95,0.85,True,0.2021996443992888,0.17595566154626763
2023,2.4131248457371823,13.0,60.0,0.95,0.85,True,0.18220437304774656,0.33650871798573956
2024,2.4131248457371823,13.0,60.0,0.95,0.85,True,0.15918732753825476,0.3224939529092863
2025,2.4131248457371823,13.0,60.0,0.95,0.85,True,0.13492611740662808,0.3388333414353628
2022,2.4131248457371823,13.0,60.0,0.95,0.852,True,0.2021996443992888,0.1741012370791717
2023,2.4131248457371823,13.0,60.0,0.95,0.852,True,0.18220437304774656,0.33218860746655476
2024,2.4131248457371823,13.0,60.0,0.95,0.852,True,0.15918732753825476,0.3175781779788833
2025,2.4131248457371823,13.0,60.0,0.95,0.852,True,0.13492611740662808,0.33368485569285067
2022,2.4131248457371823,13.0,60.0,0.966,0.65,True,0.2021996443992888,0.35411940875405
2023,2.4131248457371823,13.0,60.0,0.966,0.65,True,0.18220437304774656,0.776584858044771
2024,2.4131248457371823,13.0,60.0,0.966,0.65,True,0.15918732753825476,0.8423200057313451
2025,2.4131248457371823,13.0,60.0,0.966,0.65,True,0.13492611740662808,0.8804347389087308
2022,2.4131248457371823,13.0,60.0,0.966,0.85,True,0.2021996443992888,0.16159259237789048
2023,2.4131248457371823,13.0,60.0,0.966,0.85,True,0.18220437304774656,0.3277258711270603
2024,2.4131248457371823,13.0,60.0,0.966,0.85,True,0.15918732753825476,0.33297493410888723
2025,2.4131248457371823,13.0,60.0,0.966,0.85,True,0.13492611740662808,0.34980880356270116
2022,2.4131248457371823,13.0,60.0,0.966,0.852,True,0.2021996443992888,0.1597526959519202
2023,2.4131248457371823,13.0,60.0,0.966,0.852,True,0.18220437304774656,0.32342799363394015
2024,2.4131248457371823,13.0,60.0,0.966,0.852,True,0.15918732753825476,0.32807586586687254
2025,2.4131248457371823,13.0,60.0,0.966,0.852,True,0.13492611740662808,0.34467888820732817
