CIK,unique_company_id,sec_entity_name,input_public_parent_company,ticker,exchange,merchant_names,canonical_merchant_names,merchant_count,input_public_merchant_rows,bnpl_providers,companyfacts_status,submissions_status,sec_companyfacts_url,sec_submissions_url
0001560968,0001560968,,Samsonite International SA/ADR,SMSGY,OTC,Samsonite,samsonite,1,1,sezzle; zip,sec_user_agent_missing,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001560968.json,https://data.sec.gov/submissions/CIK0001560968.json
0001576942,0001576942,"STITCH FIX, INC.","Stitch Fix, Inc.",SFIX,Nasdaq,Stitch Fix,stitchfix,1,1,afterpay,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001576942.json,https://data.sec.gov/submissions/CIK0001576942.json
0001577552,0001577552,Alibaba Group Holding Limited,Alibaba Group Holding Ltd,BABA,NYSE,Alibaba,alibaba,1,1,afterpay; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001577552.json,https://data.sec.gov/submissions/CIK0001577552.json
0001579157,0001579157,VINCE HOLDING CORP.,VINCE HOLDING CORP.,VNCE,Nasdaq,Vince,vince,1,1,afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001579157.json,https://data.sec.gov/submissions/CIK0001579157.json
0001579298,0001579298,"BURLINGTON STORES, INC.","Burlington Stores, Inc.",BURL,NYSE,Burlington,burlington,1,1,sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001579298.json,https://data.sec.gov/submissions/CIK0001579298.json
0001616707,0001616707,Wayfair Inc.,Wayfair Inc.,W,NYSE,Wayfair,wayfair,1,1,affirm; afterpay; klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001616707.json,https://data.sec.gov/submissions/CIK0001616707.json
0001651562,0001651562,"COURSERA, INC.","Coursera, Inc.",COUR,NYSE,Coursera,coursera,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001651562.json,https://data.sec.gov/submissions/CIK0001651562.json
0001670076,0001670076,"Frontier Group Holdings, Inc.","Frontier Group Holdings, Inc.",ULCC,Nasdaq,Frontier,frontier,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001670076.json,https://data.sec.gov/submissions/CIK0001670076.json
0001670592,0001670592,"YETI Holdings, Inc.","YETI Holdings, Inc.",YETI,NYSE,Yeti,yeti,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001670592.json,https://data.sec.gov/submissions/CIK0001670592.json
0001687229,0001687229,Invitation Homes Inc.,Invitation Homes Inc.,INVH,NYSE,Invitation Homes,invitationhomes,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001687229.json,https://data.sec.gov/submissions/CIK0001687229.json
0001687932,0001687932,"J.Jill, Inc.","J.Jill, Inc.",JILL,NYSE,J. Jill,jjill,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001687932.json,https://data.sec.gov/submissions/CIK0001687932.json
0001690511,0001690511,CANADA GOOSE HOLDINGS INC.,Canada Goose Holdings Inc.,GOOS,NYSE,Canada Goose,canadagoose,1,1,affirm; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001690511.json,https://data.sec.gov/submissions/CIK0001690511.json
0001691421,0001691421,"Lemonade, Inc.","Lemonade, Inc.",LMND,NYSE,Lemonade,lemonade,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001691421.json,https://data.sec.gov/submissions/CIK0001691421.json
0001701758,0001701758,THE LOVESAC COMPANY,Lovesac Co,LOVE,Nasdaq,Lovesac,lovesac,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001701758.json,https://data.sec.gov/submissions/CIK0001701758.json
0001704711,0001704711,"FUNKO, INC.","Funko, Inc.",FNKO,Nasdaq,Funko,funko,1,1,afterpay; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001704711.json,https://data.sec.gov/submissions/CIK0001704711.json
0001746618,0001746618,"REVOLVE GROUP, INC.","Revolve Group, Inc.",RVLV,NYSE,REVOLVE,revolve,1,1,afterpay; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001746618.json,https://data.sec.gov/submissions/CIK0001746618.json
0001762301,0001762301,Fiverr International Ltd.,Fiverr International Ltd.,FVRR,NYSE,Fiverr,fiverr,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001762301.json,https://data.sec.gov/submissions/CIK0001762301.json
0001766502,0001766502,"CHEWY, INC.","Chewy, Inc.",CHWY,NYSE,Chewy,chewy,1,1,klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001766502.json,https://data.sec.gov/submissions/CIK0001766502.json
0001787117,0001787117,Reformation Inc.,Reformation Inc.,REF,NYSE,Reformation,reformation,1,1,afterpay,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001787117.json,https://data.sec.gov/submissions/CIK0001787117.json
0001792781,0001792781,TORRID HOLDINGS INC.,Torrid Holdings Inc.,CURV,NYSE,Torrid,torrid,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001792781.json,https://data.sec.gov/submissions/CIK0001792781.json
0001792789,0001792789,"DOORDASH, INC.","DoorDash, Inc.",DASH,Nasdaq,DoorDash,doordash,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001792789.json,https://data.sec.gov/submissions/CIK0001792789.json
0001817358,0001817358,"Academy Sports and Outdoors, Inc.","Academy Sports & Outdoors, Inc.",ASO,Nasdaq,Academy Sports,academysports,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001817358.json,https://data.sec.gov/submissions/CIK0001817358.json
0001828962,0001828962,"Cricut, Inc.","Cricut, Inc.",CRCT,Nasdaq,Cricut,cricut,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001828962.json,https://data.sec.gov/submissions/CIK0001828962.json
0001846576,0001846576,"FIGS, Inc.","FIGS, Inc.",FIGS,NYSE,FIGS,figs,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001846576.json,https://data.sec.gov/submissions/CIK0001846576.json
0001856031,0001856031,Vivid Seats Inc.,Vivid Seats Inc.,SEAT,Nasdaq,Vivid Seats,vividseats,1,1,affirm; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001856031.json,https://data.sec.gov/submissions/CIK0001856031.json
0001856437,0001856437,VICTORIA'S SECRET & CO.,Victoria's Secret & Co.,VSXY,NYSE,Victoria's Secret,victoriassecret,1,1,afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001856437.json,https://data.sec.gov/submissions/CIK0001856437.json
0001858985,0001858985,On Holding AG,On Holding AG,ONON,NYSE,On,on,1,1,affirm; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001858985.json,https://data.sec.gov/submissions/CIK0001858985.json
0001866757,0001866757,"Brilliant Earth Group, Inc.","Brilliant Earth Group, Inc.",BRLT,Nasdaq,Brilliant Earth,brilliantearth,1,1,affirm,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001866757.json,https://data.sec.gov/submissions/CIK0001866757.json
0001875444,0001875444,"Arhaus, Inc.","Arhaus, Inc.",ARHS,Nasdaq,Arhaus,arhaus,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001875444.json,https://data.sec.gov/submissions/CIK0001875444.json
0001957132,0001957132,"SHARKNINJA, INC.","SharkNinja, Inc.",SN,NYSE,SharkNinja,sharkninja,1,1,affirm,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001957132.json,https://data.sec.gov/submissions/CIK0001957132.json
0001977102,0001977102,Birkenstock Holding plc,Birkenstock Holding plc,BIRK,NYSE,Birkenstock,birkenstock,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001977102.json,https://data.sec.gov/submissions/CIK0001977102.json
0002085187,0002085187,"Bob's Discount Furniture, Inc.","Bob's Discount Furniture, Inc.",BOBS,NYSE,Bob's Discount Furniture,bobsdiscountfurniture,1,1,affirm; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0002085187.json,https://data.sec.gov/submissions/CIK0002085187.json
