accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0000950170-25-051268,2025-04-04,2025-04-02,2025-04-04T21:40:35.000Z,,4,,,,4,6884,0,0,,xslF345X05/ownership.xml,4
0000950170-25-051263,2025-04-04,2025-04-02,2025-04-04T21:37:12.000Z,,4,,,,4,6859,0,0,,xslF345X05/ownership.xml,4
0000950170-25-051262,2025-04-04,2025-04-02,2025-04-04T21:35:47.000Z,,4,,,,4,7584,0,0,,xslF345X05/ownership.xml,4
0000950170-25-050796,2025-04-03,2025-04-01,2025-04-03T23:55:21.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-050792,2025-04-03,2025-04-01,2025-04-03T23:49:53.000Z,,4,,,,4,8381,0,0,,xslF345X05/ownership.xml,4
0000950170-25-046051,2025-03-27,2025-03-25,2025-03-27T20:05:08.000Z,,4,,,,4,9801,0,0,,xslF345X05/ownership.xml,4
0000950170-25-046047,2025-03-27,2025-03-25,2025-03-27T20:05:06.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-043821,2025-03-24,2025-03-20,2025-03-24T20:05:22.000Z,,4,,,,4,14649,0,0,,xslF345X05/ownership.xml,4
0000950170-25-042804,2025-03-20,2025-03-18,2025-03-20T21:57:57.000Z,,4,,,,4,4547,0,0,,xslF345X05/ownership.xml,4
0000950170-25-042216,2025-03-19,2025-03-17,2025-03-19T22:10:37.000Z,,4,,,,4,11731,0,0,,xslF345X05/ownership.xml,4
0000950170-25-038918,2025-03-13,2025-03-11,2025-03-13T21:33:13.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-038899,2025-03-13,2025-03-11,2025-03-13T21:24:06.000Z,,4,,,,4,20080,0,0,,xslF345X05/ownership.xml,4
0000950170-25-034828,2025-03-06,2025-03-04,2025-03-06T21:50:23.000Z,,4,,,,4,4549,0,0,,xslF345X05/ownership.xml,4
0000950170-25-034818,2025-03-06,2025-03-04,2025-03-06T21:47:06.000Z,,4,,,,4,5957,0,0,,xslF345X05/ownership.xml,4
0000950170-25-033579,2025-03-05,2025-03-03,2025-03-05T21:15:09.000Z,,4,,,,4,14180,0,0,,xslF345X05/ownership.xml,4
0000950170-25-030093,2025-02-28,2025-02-26,2025-02-28T21:35:28.000Z,,4,,,,4,8768,0,0,,xslF345X05/ownership.xml,4
0000950170-25-029226,2025-02-27,2025-02-25,2025-02-27T22:11:55.000Z,,4,,,,4,15968,0,0,,xslF345X05/ownership.xml,4
0000950170-25-029219,2025-02-27,2025-02-25,2025-02-27T22:09:57.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-028028,2025-02-26,2025-02-24,2025-02-26T23:00:26.000Z,,4,,,,4,22319,0,0,,xslF345X05/ownership.xml,4
0000950170-25-025874,2025-02-24,2025-02-20,2025-02-24T23:26:52.000Z,,4,,,,4,5243,0,0,,xslF345X05/ownership.xml,4
0000950170-25-025110,2025-02-21,2025-02-19,2025-02-22T00:23:06.000Z,,4,,,,4,4297,0,0,,xslF345X05/ownership.xml,4
0000950170-25-025106,2025-02-21,2025-02-19,2025-02-22T00:20:58.000Z,,4,,,,4,4322,0,0,,xslF345X05/ownership.xml,4
0000950170-25-025104,2025-02-21,2025-02-19,2025-02-22T00:20:01.000Z,,4,,,,4,4327,0,0,,xslF345X05/ownership.xml,4
0000950170-25-025097,2025-02-21,2025-02-19,2025-02-22T00:18:06.000Z,,4,,,,4,11632,0,0,,xslF345X05/ownership.xml,4
0000950170-25-024410,2025-02-20,2025-02-18,2025-02-20T23:15:55.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-024405,2025-02-20,2025-02-18,2025-02-20T23:12:27.000Z,,4,,,,4,14177,0,0,,xslF345X05/ownership.xml,4
0000950170-25-023518,2025-02-19,2025-02-14,2025-02-19T23:47:33.000Z,,4,,,,4,12248,0,0,,xslF345X05/ownership.xml,4
0000950170-25-023515,2025-02-19,2025-02-14,2025-02-19T23:46:15.000Z,,4,,,,4,4541,0,0,,xslF345X05/ownership.xml,4
0000950170-25-023508,2025-02-19,2025-02-14,2025-02-19T23:43:34.000Z,,4,,,,4,8102,0,0,,xslF345X05/ownership.xml,4
0000950170-25-023496,2025-02-19,2025-02-14,2025-02-19T23:40:29.000Z,,4,,,,4,8772,0,0,,xslF345X05/ownership.xml,4
0000950170-25-021363,2025-02-14,2025-02-12,2025-02-14T21:48:44.000Z,,4,,,,4,8385,0,0,,xslF345X05/ownership.xml,4
0000950170-25-019867,2025-02-13,2025-02-11,2025-02-13T21:05:07.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-019864,2025-02-13,2025-02-11,2025-02-13T21:05:06.000Z,,4,,,,4,9809,0,0,,xslF345X05/ownership.xml,4
0000950170-25-015374,2025-02-06,2025-02-04,2025-02-06T21:05:09.000Z,,4,,,,4,4543,0,0,,xslF345X05/ownership.xml,4
0000950170-25-015373,2025-02-06,2025-02-04,2025-02-06T21:05:08.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-014559,2025-02-05,2025-02-03,2025-02-05T21:30:07.000Z,,4,,,,4,12245,0,0,,xslF345X05/ownership.xml,4
0000950170-25-011072,2025-01-30,2025-01-28,2025-01-30T21:05:04.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-011069,2025-01-30,2025-01-28,2025-01-30T21:05:03.000Z,,4,,,,4,11864,0,0,,xslF345X05/ownership.xml,4
0000950170-25-008321,2025-01-23,2025-01-21,2025-01-23T21:05:13.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-008314,2025-01-23,2025-01-21,2025-01-23T21:05:04.000Z,,4,,,,4,14174,0,0,,xslF345X05/ownership.xml,4
0000950170-25-006188,2025-01-16,2025-01-14,2025-01-16T21:05:17.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-006187,2025-01-16,2025-01-14,2025-01-16T21:05:15.000Z,,4,,,,4,13932,0,0,,xslF345X05/ownership.xml,4
0000950170-25-003464,2025-01-08,2025-01-06,2025-01-08T21:34:29.000Z,,4,,,,4,4540,0,0,,xslF345X05/ownership.xml,4
0000950170-25-003461,2025-01-08,2025-01-06,2025-01-08T21:32:05.000Z,,4,,,,4,13926,0,0,,xslF345X05/ownership.xml,4
0000950170-25-003458,2025-01-08,2025-01-07,2025-01-08T21:30:21.000Z,,4,,,,4,4550,0,0,,xslF345X05/ownership.xml,4
0000950170-25-003456,2025-01-08,2025-01-06,2025-01-08T21:30:13.000Z,,4,,,,4,12246,0,0,,xslF345X05/ownership.xml,4
0000950170-25-002040,2025-01-06,2025-01-02,2025-01-06T21:05:14.000Z,,4,,,,4,8067,0,0,,xslF345X05/ownership.xml,4
0000950170-24-141658,2024-12-31,2024-12-27,2024-12-31T22:10:00.000Z,,4,,,,4,14654,0,0,,xslF345X05/ownership.xml,4
0000950170-24-140398,2024-12-26,2024-12-23,2024-12-26T21:05:05.000Z,,4,,,,4,12245,0,0,,xslF345X05/ownership.xml,4
0000950170-24-138529,2024-12-19,2024-12-17,2024-12-19T21:50:52.000Z,,4,,,,4,9811,0,0,,xslF345X05/ownership.xml,4
0000950170-24-136248,2024-12-13,2024-12-11,2024-12-13T21:48:43.000Z,,4,,,,4,6455,0,0,,xslF345X05/ownership.xml,4
0000950170-24-135484,2024-12-11,2024-12-09,2024-12-11T22:30:05.000Z,,4,,,,4,10318,0,0,,xslF345X05/ownership.xml,4
0000950170-24-135483,2024-12-11,2024-12-09,2024-12-11T22:30:03.000Z,,4,,,,4,4522,0,0,,xslF345X05/ownership.xml,4
0000950170-24-135013,2024-12-10,2024-12-06,2024-12-10T21:42:04.000Z,,4,,,,4,14657,0,0,,xslF345X05/ownership.xml,4
0000950170-24-133787,2024-12-05,2024-12-03,2024-12-06T00:13:12.000Z,,4,,,,4,41360,0,0,,xslF345X05/ownership.xml,4
0000950170-24-133764,2024-12-05,2024-12-03,2024-12-05T22:43:24.000Z,,4,,,,4,5960,0,0,,xslF345X05/ownership.xml,4
0000950170-24-133230,2024-12-04,2024-12-02,2024-12-04T21:05:07.000Z,,4,,,,4,4551,0,0,,xslF345X05/ownership.xml,4
0000950170-24-132330,2024-12-02,2024-11-27,2024-12-02T23:01:50.000Z,,4,,,,4,4225,0,0,,xslF345X05/ownership.xml,4
0000950170-24-131529,2024-11-27,2024-11-25,2024-11-27T21:30:08.000Z,,4,,,,4,13023,0,0,,xslF345X05/ownership.xml,4
0000950170-24-129852,2024-11-21,2024-11-19,2024-11-22T00:42:59.000Z,,4,,,,4,13439,0,0,,xslF345X05/ownership.xml,4
0000950170-24-129850,2024-11-21,2024-11-19,2024-11-22T00:41:05.000Z,,4,,,,4,28873,0,0,,xslF345X05/ownership.xml,4
0000950170-24-129815,2024-11-21,2024-11-19,2024-11-21T22:41:17.000Z,,4,,,,4,4300,0,0,,xslF345X05/ownership.xml,4
0000950170-24-129814,2024-11-21,2024-11-19,2024-11-21T22:40:53.000Z,,4,,,,4,4329,0,0,,xslF345X05/ownership.xml,4
0000950170-24-129813,2024-11-21,2024-11-19,2024-11-21T22:40:17.000Z,,4,,,,4,4325,0,0,,xslF345X05/ownership.xml,4
0000950170-24-127998,2024-11-18,2024-11-14,2024-11-18T21:30:05.000Z,,4,,,,4,5715,0,0,,xslF345X05/ownership.xml,4
0000950170-24-126561,2024-11-13,2024-11-11,2024-11-13T23:27:42.000Z,,4,,,,4,20702,0,0,,xslF345X05/ownership.xml,4
0000950170-24-125348,2024-11-12,2024-11-07,2024-11-12T21:06:27.000Z,,4,,,,4,8801,0,0,,xslF345X05/ownership.xml,4
0000950170-24-122262,2024-11-06,2024-11-04,2024-11-06T21:10:03.000Z,,4,,,,4,4544,0,0,,xslF345X05/ownership.xml,4
0000950170-24-119775,2024-10-31,2024-10-29,2024-11-01T00:42:40.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-119773,2024-10-31,2024-10-29,2024-11-01T00:40:41.000Z,,4,,,,4,14327,0,0,,xslF345X05/ownership.xml,4
0000950170-24-117107,2024-10-24,2024-10-22,2024-10-24T21:11:49.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-115297,2024-10-17,2024-10-15,2024-10-17T20:05:07.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-114989,2024-10-16,2024-10-14,2024-10-16T20:05:03.000Z,,4,,,,4,5945,0,0,,xslF345X05/ownership.xml,4
0000950170-24-114049,2024-10-10,2024-10-08,2024-10-10T20:05:04.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-113523,2024-10-08,2024-10-04,2024-10-08T20:05:03.000Z,,4,,,,4,4544,0,0,,xslF345X05/ownership.xml,4
0000950170-24-112545,2024-10-03,2024-10-01,2024-10-03T21:30:26.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-112537,2024-10-03,2024-10-01,2024-10-03T21:27:38.000Z,,4,,,,4,14336,0,0,,xslF345X05/ownership.xml,4
0000950170-24-111506,2024-10-02,2024-09-30,2024-10-02T20:30:12.000Z,,4,,,,4,5945,0,0,,xslF345X05/ownership.xml,4
0000950170-24-109628,2024-09-26,2024-09-24,2024-09-26T20:05:03.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-108177,2024-09-19,2024-09-17,2024-09-19T21:09:04.000Z,,4,,,,4,5946,0,0,,xslF345X05/ownership.xml,4
0000950170-24-108176,2024-09-19,2024-09-17,2024-09-19T21:08:50.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-108169,2024-09-19,2024-09-17,2024-09-19T21:04:32.000Z,,4,,,,4,4544,0,0,,xslF345X05/ownership.xml,4
0000950170-24-105901,2024-09-12,2024-09-10,2024-09-12T20:05:06.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-104045,2024-09-05,2024-09-03,2024-09-05T20:30:14.000Z,,4,,,,4,5959,0,0,,xslF345X05/ownership.xml,4
0000950170-24-104044,2024-09-05,2024-09-03,2024-09-05T20:30:12.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-102852,2024-09-03,2024-08-29,2024-09-03T20:30:08.000Z,,4,,,,4,5244,0,0,,xslF345X05/ownership.xml,4
0000950170-24-102835,2024-09-03,2024-08-05,2024-09-03T20:21:45.000Z,,4,,,,4,23867,0,0,,xslF345X05/ownership.xml,4
0000950170-24-101850,2024-08-29,2024-08-27,2024-08-29T20:05:05.000Z,,4,,,,4,4611,0,0,,xslF345X05/ownership.xml,4
0000950170-24-099658,2024-08-21,2024-08-19,2024-08-22T00:47:51.000Z,,4,,,,4,10141,0,0,,xslF345X05/ownership.xml,4
0000950170-24-099657,2024-08-21,2024-08-19,2024-08-22T00:41:59.000Z,,4,,,,4,4300,0,0,,xslF345X05/ownership.xml,4
0000950170-24-099654,2024-08-21,2024-08-19,2024-08-22T00:36:53.000Z,,4,,,,4,4325,0,0,,xslF345X05/ownership.xml,4
0000950170-24-099652,2024-08-21,2024-08-19,2024-08-22T00:34:58.000Z,,4,,,,4,4258,0,0,,xslF345X05/ownership.xml,4
0000950170-24-099650,2024-08-21,2024-08-19,2024-08-22T00:24:13.000Z,,4,,,,4,5930,0,0,,xslF345X05/ownership.xml,4
0000950170-24-097565,2024-08-15,2024-08-13,2024-08-15T20:05:07.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-093882,2024-08-08,2024-08-06,2024-08-08T20:05:14.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-089340,2024-08-01,2024-07-30,2024-08-01T20:30:05.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-086161,2024-07-24,2024-07-22,2024-07-24T21:30:04.000Z,,4,,,,4,21098,0,0,,xslF345X05/ownership.xml,4
0000950170-24-086160,2024-07-24,2024-07-22,2024-07-24T21:30:02.000Z,,4,,,,4,13488,0,0,,xslF345X05/ownership.xml,4
0000950170-24-084574,2024-07-18,2024-07-16,2024-07-18T20:05:04.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-084251,2024-07-17,2024-07-15,2024-07-17T20:05:05.000Z,,4,,,,4,4525,0,0,,xslF345X05/ownership.xml,4
0000950170-24-082960,2024-07-11,2024-07-09,2024-07-11T20:05:03.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-082685,2024-07-10,2024-07-08,2024-07-10T20:05:02.000Z,,4,,,,4,13484,0,0,,xslF345X05/ownership.xml,4
0000950170-24-081433,2024-07-03,2024-07-02,2024-07-03T19:21:04.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-079665,2024-07-01,2024-06-27,2024-07-01T20:30:09.000Z,,4,,,,4,8550,0,0,,xslF345X05/ownership.xml,4
0000950170-24-078430,2024-06-27,2024-06-25,2024-06-27T20:05:06.000Z,,4,,,,4,24375,0,0,,xslF345X05/ownership.xml,4
0000950170-24-078427,2024-06-27,2024-06-25,2024-06-27T20:05:03.000Z,,4,,,,4,4611,0,0,,xslF345X05/ownership.xml,4
0000950170-24-077942,2024-06-26,2024-06-24,2024-06-26T21:04:19.000Z,,4,,,,4,12971,0,0,,xslF345X05/ownership.xml,4
0000950170-24-077275,2024-06-25,2024-06-21,2024-06-25T20:05:05.000Z,,4,,,,4,25552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-076208,2024-06-21,2024-06-18,2024-06-21T20:05:06.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-075731,2024-06-20,2024-06-17,2024-06-20T21:03:30.000Z,,4,,,,4,30907,0,0,,xslF345X05/ownership.xml,4
0000950170-24-074836,2024-06-18,2024-06-14,2024-06-18T20:05:06.000Z,,4,,,,4,4525,0,0,,xslF345X05/ownership.xml,4
0000950170-24-073627,2024-06-14,2024-06-12,2024-06-14T20:05:08.000Z,,4,,,,4,20381,0,0,,xslF345X05/ownership.xml,4
0000950170-24-072989,2024-06-13,2024-06-11,2024-06-13T20:05:17.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-072421,2024-06-12,2024-06-10,2024-06-12T20:05:10.000Z,,4,,,,4,9625,0,0,,xslF345X05/ownership.xml,4
0000950170-24-069869,2024-06-06,2024-06-04,2024-06-06T20:05:05.000Z,,4,,,,4,8045,0,0,,xslF345X05/ownership.xml,4
0000950170-24-069868,2024-06-06,2024-06-04,2024-06-06T20:05:04.000Z,,4,,,,4,4553,0,0,,xslF345X05/ownership.xml,4
0000950170-24-069280,2024-06-05,2024-06-03,2024-06-05T20:05:04.000Z,,4,,,,4,4547,0,0,,xslF345X05/ownership.xml,4
0000950170-24-068237,2024-06-03,2024-05-28,2024-06-04T00:45:59.000Z,,4,,,,4,30242,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065913,2024-05-29,2024-05-25,2024-05-29T20:05:10.000Z,,4,,,,4,4568,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065918,2024-05-29,2024-05-25,2024-05-29T20:05:09.000Z,,4,,,,4,5244,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065922,2024-05-29,2024-05-25,2024-05-29T20:05:08.000Z,,4,,,,4,4518,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065916,2024-05-29,2024-05-25,2024-05-29T20:05:07.000Z,,4,,,,4,4561,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065915,2024-05-29,2024-05-25,2024-05-29T20:05:05.000Z,,4,,,,4,5245,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065911,2024-05-29,2024-05-28,2024-05-29T20:05:05.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065917,2024-05-29,2024-05-25,2024-05-29T20:05:04.000Z,,4,,,,4,5256,0,0,,xslF345X05/ownership.xml,4
0000950170-24-065909,2024-05-29,2024-05-25,2024-05-29T20:05:04.000Z,,4,,,,4,7422,0,0,,xslF345X05/ownership.xml,4
0000950170-24-063623,2024-05-22,2024-05-20,2024-05-22T21:32:39.000Z,,4,,,,4,11637,0,0,,xslF345X05/ownership.xml,4
0000950170-24-063608,2024-05-22,2024-05-20,2024-05-22T21:28:46.000Z,,4,,,,4,4324,0,0,,xslF345X05/ownership.xml,4
0000950170-24-063607,2024-05-22,2024-05-20,2024-05-22T21:28:21.000Z,,4,,,,4,4956,0,0,,xslF345X05/ownership.xml,4
0000950170-24-063606,2024-05-22,2024-05-20,2024-05-22T21:28:20.000Z,,4,,,,4,4298,0,0,,xslF345X05/ownership.xml,4
0000950170-24-063602,2024-05-22,2024-05-20,2024-05-22T21:26:37.000Z,,4,,,,4,5929,0,0,,xslF345X05/ownership.xml,4
0000950170-24-061073,2024-05-16,2024-05-14,2024-05-16T20:05:20.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-056874,2024-05-09,2024-05-07,2024-05-09T20:05:09.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-052063,2024-05-02,2024-04-30,2024-05-02T20:05:13.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-048282,2024-04-25,2024-04-23,2024-04-25T20:05:19.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-045565,2024-04-18,2024-04-16,2024-04-18T20:15:07.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-043689,2024-04-11,2024-04-09,2024-04-11T20:05:06.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-043000,2024-04-09,2024-04-05,2024-04-09T20:19:45.000Z,,4,,,,4,7130,0,0,,xslF345X05/ownership.xml,4
0000950170-24-042997,2024-04-09,2024-04-05,2024-04-09T20:18:58.000Z,,4,,,,4,6882,0,0,,xslF345X05/ownership.xml,4
0000950170-24-042995,2024-04-09,2024-04-05,2024-04-09T20:18:18.000Z,,4,,,,4,6854,0,0,,xslF345X05/ownership.xml,4
0000950170-24-042989,2024-04-09,2024-04-05,2024-04-09T20:16:08.000Z,,4,,,,4,7774,0,0,,xslF345X05/ownership.xml,4
0000950170-24-041795,2024-04-04,2024-04-02,2024-04-04T20:05:12.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-037199,2024-03-27,2024-03-25,2024-03-27T20:15:08.000Z,,4,,,,4,23477,0,0,,xslF345X05/ownership.xml,4
0000950170-24-035909,2024-03-25,2024-03-21,2024-03-25T20:05:06.000Z,,4,,,,4,14087,0,0,,xslF345X05/ownership.xml,4
0000950170-24-034670,2024-03-21,2024-03-19,2024-03-21T20:05:10.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-031581,2024-03-14,2024-03-12,2024-03-14T20:37:13.000Z,,4,,,,4,4552,0,0,,xslF345X05/ownership.xml,4
0000950170-24-029911,2024-03-12,2024-03-08,2024-03-12T20:05:14.000Z,,4,,,,4,15164,0,0,,xslF345X05/ownership.xml,4
0000950170-24-028705,2024-03-08,2024-03-06,2024-03-08T21:47:08.000Z,,4,,,,4,12954,0,0,,xslF345X05/ownership.xml,4
0000950170-24-028160,2024-03-07,2024-03-05,2024-03-07T22:16:49.000Z,,4,,,,4,4546,0,0,,xslF345X05/ownership.xml,4
0000950170-24-028157,2024-03-07,2024-03-05,2024-03-07T22:16:12.000Z,,4,,,,4,13069,0,0,,xslF345X05/ownership.xml,4
0000950170-24-026199,2024-03-05,2024-03-01,2024-03-05T21:59:23.000Z,,4,,,,4,6756,0,0,,xslF345X05/ownership.xml,4
0000950170-24-026021,2024-03-05,2024-03-04,2024-03-05T21:30:22.000Z,,4,,,,4,11655,0,0,,xslF345X05/ownership.xml,4
0000950170-24-026022,2024-03-05,2024-03-01,2024-03-05T21:30:18.000Z,,4,,,,4,11542,0,0,,xslF345X05/ownership.xml,4
0000950170-24-024112,2024-03-01,2024-02-29,2024-03-01T23:00:28.000Z,,4,,,,4,14485,0,0,,xslF345X05/ownership.xml,4
0000950170-24-023924,2024-03-01,2024-02-28,2024-03-01T21:30:14.000Z,,4,,,,4,11030,0,0,,xslF345X05/ownership.xml,4
0000950170-24-022322,2024-02-28,2024-02-26,2024-02-28T22:36:28.000Z,,4,,,,4,14823,0,0,,xslF345X05/ownership.xml,4
0000950170-24-022319,2024-02-28,2024-02-26,2024-02-28T22:36:10.000Z,,4,,,,4,22649,0,0,,xslF345X05/ownership.xml,4
0001062993-24-004660,2024-02-27,2024-02-23,2024-02-27T23:57:00.000Z,,4,,,,4,17239,0,0,,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0000950170-24-018994,2024-02-22,2024-02-20,2024-02-22T23:32:55.000Z,,4,,,,4,10141,0,0,,xslF345X05/ownership.xml,4
0000950170-24-018990,2024-02-22,2024-02-20,2024-02-22T23:31:19.000Z,,4,,,,4,35733,0,0,,xslF345X05/ownership.xml,4
0000950170-24-018989,2024-02-22,2024-02-20,2024-02-22T23:30:50.000Z,,4,,,,4,4328,0,0,,xslF345X05/ownership.xml,4
0000950170-24-018988,2024-02-22,2024-02-20,2024-02-22T23:30:43.000Z,,4,,,,4,4299,0,0,,xslF345X05/ownership.xml,4
0000950170-24-018987,2024-02-22,2024-02-20,2024-02-22T23:30:36.000Z,,4,,,,4,5926,0,0,,xslF345X05/ownership.xml,4
0000950170-24-018986,2024-02-22,2024-02-20,2024-02-22T23:30:29.000Z,,4,,,,4,4957,0,0,,xslF345X05/ownership.xml,4
0000950170-24-016345,2024-02-16,2024-02-14,2024-02-16T21:05:17.000Z,,4,,,,4,19255,0,0,,xslF345X05/ownership.xml,4
0000950170-24-013814,2024-02-12,2024-02-08,2024-02-12T21:05:08.000Z,,4,,,,4,5187,0,0,,xslF345X05/ownership.xml,4
0000950170-24-012752,2024-02-08,2024-02-06,2024-02-08T21:05:06.000Z,,4,,,,4,9098,0,0,,xslF345X05/ownership.xml,4
0000950170-24-011234,2024-02-05,2024-02-01,2024-02-05T21:05:25.000Z,,4,,,,4,8174,0,0,,xslF345X05/ownership.xml,4
0000950170-24-011233,2024-02-05,2024-02-01,2024-02-05T21:05:21.000Z,,4,,,,4,5188,0,0,,xslF345X05/ownership.xml,4
0000950170-24-010722,2024-02-02,2024-01-31,2024-02-02T22:52:30.000Z,,4,,,,4,15397,0,0,,xslF345X05/ownership.xml,4
0000950170-24-008813,2024-01-30,2024-01-26,2024-01-30T21:05:10.000Z,,4,,,,4,5187,0,0,,xslF345X05/ownership.xml,4
0000950170-24-007430,2024-01-25,2024-01-23,2024-01-25T21:31:22.000Z,,4,,,,4,11544,0,0,,xslF345X05/ownership.xml,4
0000950170-24-006506,2024-01-23,2024-01-19,2024-01-23T21:14:26.000Z,,4,,,,4,11538,0,0,,xslF345X05/ownership.xml,4
0000950170-24-006489,2024-01-23,2024-01-19,2024-01-23T21:05:06.000Z,,4,,,,4,11540,0,0,,xslF345X05/ownership.xml,4
0000950170-24-005791,2024-01-19,2024-01-17,2024-01-19T21:15:33.000Z,,4,,,,4,13468,0,0,,xslF345X05/ownership.xml,4
0000950170-24-005521,2024-01-18,2024-01-16,2024-01-18T23:31:13.000Z,,4,,,,4,4525,0,0,,xslF345X05/ownership.xml,4
0000950170-24-005520,2024-01-18,2024-01-16,2024-01-18T23:30:26.000Z,,4,,,,4,9611,0,0,,xslF345X05/ownership.xml,4
0000950170-24-004605,2024-01-16,2024-01-11,2024-01-16T21:05:10.000Z,,4,,,,4,7677,0,0,,xslF345X05/ownership.xml,4
0000950170-24-003900,2024-01-11,2024-01-09,2024-01-11T21:05:12.000Z,,4,,,,4,11543,0,0,,xslF345X05/ownership.xml,4
0000950170-24-003899,2024-01-11,2024-01-09,2024-01-11T21:05:08.000Z,,4,,,,4,4525,0,0,,xslF345X05/ownership.xml,4
0000950170-24-003619,2024-01-10,2024-01-08,2024-01-10T21:05:15.000Z,,4,,,,4,5750,0,0,,xslF345X05/ownership.xml,4
0000950170-24-003618,2024-01-10,2024-01-08,2024-01-10T21:05:11.000Z,,4,,,,4,5187,0,0,,xslF345X05/ownership.xml,4
0000950170-24-003617,2024-01-10,2024-01-08,2024-01-10T21:05:07.000Z,,4,,,,4,5757,0,0,,xslF345X05/ownership.xml,4
0000950170-24-002440,2024-01-05,2024-01-03,2024-01-05T21:05:04.000Z,,4,,,,4,11543,0,0,,xslF345X05/ownership.xml,4
0000950170-24-002038,2024-01-04,2024-01-02,2024-01-04T22:01:01.000Z,,4,,,,4,9611,0,0,,xslF345X05/ownership.xml,4
0000950170-24-002018,2024-01-04,2024-01-02,2024-01-04T21:54:30.000Z,,4,,,,4,8174,0,0,,xslF345X05/ownership.xml,4
0000950170-24-002001,2024-01-04,2024-01-02,2024-01-04T21:48:28.000Z,,4,,,,4,4525,0,0,,xslF345X05/ownership.xml,4
0000950170-24-001838,2024-01-04,2024-01-02,2024-01-04T21:05:13.000Z,,4,,,,4,5188,0,0,,xslF345X05/ownership.xml,4
0000950170-23-073832,2023-12-29,2023-12-27,2023-12-29T21:05:09.000Z,,4,,,,4,11316,0,0,,xslF345X05/ownership.xml,4
0000950170-23-073583,2023-12-28,2023-12-26,2023-12-28T21:05:09.000Z,,4,,,,4,11546,0,0,,xslF345X05/ownership.xml,4
