adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0000950123-10-018176,InstallmentPaymentsClaimsAndOther,0000950123-10-018176,20081231,4,USD,,,10333901000.0000,
0000950123-10-016370,ShareBasedCompensation,us-gaap/2009,20091231,4,USD,,,44600000.0000,
0001193125-10-041232,IncomeLossFromContinuingOperationsApplicablePreferredDividendsAndRelatedAccretion,0001193125-10-041232,20081231,4,USD,,,0.0000,
0001193125-10-042929,SalesAndOtherOperatingRevenueIncludingSalesBasedTaxes,0001193125-10-042929,20081231,4,USD,,,459579000000.0000,
0001157523-10-001218,OtherIncomeLossNet,0001157523-10-001218,20081231,4,USD,,,1149000000.0000,
0000950123-10-014582,NetChangeInTradingAccountAssetsAndLiabilities,0000950123-10-014582,20071231,4,USD,,,-66732000.0000,
0001140361-10-008295,OtherAssetsCurrent,us-gaap/2009,20091231,0,USD,,,608000000.0000,
0001047469-10-001666,IncomeFromOperationsAfterIncomeTax,0001047469-10-001666,20091231,4,USD,,,255000000.0000,
0000950123-10-018180,PaymentsForRepurchaseOfCommonStock,us-gaap/2009,20071231,4,USD,,,340000000.0000,
0000950123-10-018464,Occupancy,0000950123-10-018464,20081130,4,USD,,,960000000.0000,
0001047469-10-001104,ProceedsFromIssuanceOrSaleOfEquity,us-gaap/2009,20091231,4,USD,,,420930000.0000,
0001193125-10-052764,SubsidiaryOrEquityMethodInvesteeCumulativeProceedsReceivedOnAllTransactions,us-gaap/2009,20081231,4,USD,,,15000000.0000,
0001047469-10-001574,Revenues,us-gaap/2009,20071231,4,USD,,,3813519000.0000,
0001193125-10-044784,OtherAssetsNoncurrent,us-gaap/2009,20081231,0,USD,,,288000000.0000,
0000909281-10-000030,OtherNonoperatingExpense,us-gaap/2009,20081231,4,USD,,,27475000.0000,
0001193125-10-038642,ProceedsFromSaleMaturityAndCollectionsOfInvestments,us-gaap/2009,20081231,4,USD,,,0.0000,
0000950123-10-001322,NetCashProvidedByUsedInFinancingActivities,us-gaap/2009,20081130,1,USD,,,-258000000.0000,
0001193125-10-040348,OperatingIncomeLoss,us-gaap/2009,20071231,4,USD,,,2892000000.0000,
0001193125-10-047979,IncomeTaxExpenseBenefit,us-gaap/2009,20071231,4,CAD,,,139441000.0000,
0001193125-10-015411,LicensesRevenue,us-gaap/2009,20091231,1,USD,,,216100000.0000,
0001193125-10-014549,ProceedsFromSaleOfLoansHeldForSale,us-gaap/2009,20081130,4,USD,,,0.0000,
0000950123-10-009025,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2009,20071231,4,USD,,,-100000.0000,
0001047469-10-001666,NetCashProvidedByUsedInOperatingActivities,us-gaap/2009,20091231,4,USD,,,-368000000.0000,
0001193125-10-030774,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2009,20091231,4,USD,,,8381189000.0000,
0000950123-10-017647,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,us-gaap/2009,20091231,4,USD,,,0.0000,
0000059558-10-000073,PolicyholderBenefitsAndClaimsIncurredNet,us-gaap/2009,20081231,4,USD,,,3059000000.0000,
0001130310-10-000006,MarketableSecuritiesUnrealizedGainLoss,us-gaap/2009,20091231,4,USD,,,-82000000.0000,
0001193125-10-042025,IncomeLossFromContinuingOperationsPerDilutedShare,us-gaap/2009,20091231,4,USD,,,4.1100,
0001193125-10-043180,InformationTechnologyAndDataProcessing,us-gaap/2009,20071231,4,USD,,,50500000.0000,
0001047469-10-001018,SellingGeneralAndAdministrativeExpense,us-gaap/2009,20081231,4,USD,,,8435624000.0000,
0000950123-10-012453,NetIncomeLoss,us-gaap/2009,20081231,4,USD,,,282000000.0000,
0001193125-10-038977,InventoryNet,us-gaap/2009,20091231,0,USD,,,993016000.0000,
0001451505-10-000023,GeneralAndAdministrativeExpense,us-gaap/2009,20091231,4,USD,,,209000000.0000,
0001193125-10-071527,SellingGeneralAndAdministrativeExpense,us-gaap/2009,20090131,4,USD,,,5395000000.0000,
0001047469-10-001535,CommonStockSharesAuthorized,us-gaap/2009,20091231,0,shares,,,750000000.0000,
0001398432-10-000145,CommonStockValue,us-gaap/2009,20081231,0,USD,,,2711000.0000,
0000950123-10-014528,AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,us-gaap/2009,20081231,0,USD,,,174800000.0000,
0001193125-10-038962,IntangibleAssetsNetExcludingGoodwill,us-gaap/2009,20091231,0,USD,,,747400000.0000,
0000950123-10-026283,CommonStockValue,us-gaap/2009,20090531,0,USD,,,31000000.0000,
0001047469-10-002778,IncreaseDecreaseInAccountsReceivable,us-gaap/2009,20081231,4,USD,,,-33779000.0000,
0000040545-10-000010,IncreaseDecreaseInAccountsReceivable,us-gaap/2009,20071231,4,USD,,,868000000.0000,
0000897101-10-000409,GrossProfit,us-gaap/2009,20091231,4,USD,,,3427888000.0000,
0001047469-10-001515,DerivativeAssetsCurrent,us-gaap/2009,20091231,0,USD,,,639100000.0000,
0001193125-10-053838,AccruedIncomeTaxesNoncurrent,us-gaap/2009,20090131,0,USD,,,12490000.0000,
0000950123-10-016787,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,us-gaap/2009,20091231,4,USD,,,12767000.0000,
0001193125-10-030774,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,us-gaap/2009,20071231,4,USD,,,-39741000.0000,
0001193125-10-040508,DecommissioningFundInvestments,us-gaap/2009,20081231,0,USD,,,970000000.0000,
0000950123-10-015699,ContractRevenueCost,us-gaap/2009,20081231,4,USD,,,1185007000.0000,
0001193125-10-043155,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20081231,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,0.0000,
0000950123-10-011337,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20071231,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,127100000.0000,
0001193125-10-023280,NetIncomeLoss,us-gaap/2009,20091231,4,USD,LegalEntity=ExelonGenerationCoLLC;EquityComponents=RetainedEarnings;,,2122000000.0000,
0000950123-10-019484,StockholdersEquityOther,us-gaap/2009,20071231,4,USD,EquityComponents=TreasuryStock;,,12000000.0000,
0001193125-10-071527,StockRepurchasedAndRetiredDuringPeriodValue,us-gaap/2009,20080131,4,USD,EquityComponents=ComprehensiveIncome;,,0.0000,
0000950123-10-018336,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,us-gaap/2009,20071231,4,USD,EquityComponents=Parent;,,-659000000.0000,
0001047469-10-001536,DebtInstrumentCarryingAmount,us-gaap/2009,20081231,0,USD,DebtInstrument=FirstMortgageBondsSeriesDueDec12026;LegalEntity=NspWisconsin;,,65000000.0000,
0001193125-10-042642,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,us-gaap/2009,20081231,0,USD,Scenario=FinancialServices;,,249200000.0000,
0001398432-10-000145,PreferredStockParOrStatedValuePerShare,us-gaap/2009,20081231,0,USD,ClassOfStock=SeriesFPreferredStock;,,1.0000,
0001193125-10-037551,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,0,USD,EquityComponents=RedeemableNoncontrollingInterests;,,166000000.0000,
0001193125-10-041024,StockIssuedDuringPeriodValueDividendReinvestmentPlan,us-gaap/2009,20091231,4,USD,LegalEntity=ParentCompany;EquityComponents=AdditionalPaidInCapital;,,31000000.0000,
0000950123-10-018789,IncreaseInCarryingAmountOfRedeemablePreferredStock,us-gaap/2009,20081231,4,USD,EquityComponents=RetainedEarnings;,,-2000000.0000,
0000950123-10-017074,StockholdersEquity,us-gaap/2009,20081231,0,USD,EquityComponents=AdditionalPaidInCapital;,,222000000.0000,
0001193125-10-041735,MarketingAdministrationAndResearchCosts,0001193125-10-041735,20071231,4,USD,,,5021000000.0000,
0001336047-10-000009,PropertyPlantAndEquipmentGross,us-gaap/2009,20091231,0,USD,,,6855200000.0000,
0001193125-10-044679,StockIssuedDuringPeriodEmployeeBenefitPlans,0001193125-10-044679,20071231,4,USD,,,13740000.0000,
0001047469-10-001018,ShortTermBorrowings,us-gaap/2009,20071231,0,USD,,,1827361000.0000,
0000797468-10-000020,SalesRevenueNet,us-gaap/2009,20071231,4,USD,,,18784000000.0000,
0001104659-10-017258,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2009,20100131,4,shares,,,650000000.0000,
0000950123-10-015756,SeparateAccountAssets,us-gaap/2009,20091231,0,USD,,,150394000000.0000,
0001193125-10-042642,IncreaseDecreaseInWholesaleReceivablesOnUsedEquipment,0001193125-10-042642,20091231,4,USD,,,-3500000.0000,
0001193125-10-037551,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,us-gaap/2009,20071231,4,USD,,,85000000.0000,
0000950123-10-011337,TreasuryStockShares,us-gaap/2009,20091231,0,shares,,,1498855.0000,
0001140361-10-007555,IncreaseDecreaseInDeferredRevenue,us-gaap/2009,20091231,4,USD,,,13800000.0000,
0001047469-10-001607,StockholdersEquityOther,us-gaap/2009,20091231,4,USD,,,-4000000.0000,
0000950123-10-022156,SellingGeneralAndAdministrativeExpense,us-gaap/2009,20090131,1,USD,,,208814000.0000,
0001193125-10-032740,CostOfServices,us-gaap/2009,20090131,2,USD,,,1298000000.0000,
0000950123-10-017187,GainLossOnSaleOfOtherAssets,us-gaap/2009,20081231,4,USD,,,-891000000.0000,
0001193125-10-040826,DirectCostsOfLeasedAndRentedPropertyOrEquipment,us-gaap/2009,20081231,4,USD,,,488030000.0000,
0001193125-10-027861,DeferredTaxAssetsNetNoncurrent,us-gaap/2009,20081231,0,USD,,,3633000000.0000,
0001193125-10-036385,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,us-gaap/2009,20071231,4,USD,,,208000000.0000,
0001047469-10-001666,DividendsPreferredStockCash,us-gaap/2009,20081231,4,USD,,,91000000.0000,
0001193125-10-027861,Goodwill,us-gaap/2009,20081231,0,USD,,,15363000000.0000,
0001193125-10-039864,EarningsPerShareBasic,us-gaap/2009,20081231,4,USD,,,4.1300,
0001104659-10-007295,ComprehensiveIncomeNetOfTax,us-gaap/2009,20071231,4,USD,,,5222000000.0000,
0000915389-10-000023,Goodwill,us-gaap/2009,20081231,0,USD,,,325000000.0000,
0001047469-10-001649,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,4,USD,,,132000000.0000,
0001047469-10-001435,DepreciationAndAmortization,us-gaap/2009,20091231,4,USD,,,326000000.0000,
0000950123-10-017817,Depreciation,us-gaap/2009,20071231,4,USD,,,363701000.0000,
0001193125-10-040520,IncreaseDecreaseInOtherOperatingCapitalNet,us-gaap/2009,20091231,4,USD,,,-593000000.0000,
0001193125-10-042908,AssetImpairmentCharges,us-gaap/2009,20081231,4,USD,,,575000000.0000,
0001193125-10-032740,AssetsCurrent,us-gaap/2009,20090731,0,USD,,,44177000000.0000,
0001193125-10-002092,GrossProfit,us-gaap/2009,20081130,2,USD,,,4612100000.0000,
0000950123-10-017728,DividendsPayableCurrent,us-gaap/2009,20081231,0,USD,,,62148000.0000,
0001193125-10-043083,DeferredIncomeTaxExpenseBenefit,us-gaap/2009,20091231,4,USD,,,941000000.0000,
0000950123-10-018524,CumulativeEffectOfInitialAdoptionOfFIN48,us-gaap/2009,20071231,4,USD,,,10000000.0000,
0000950123-10-016370,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,us-gaap/2009,20091231,4,USD,,,13900000.0000,
0001193125-10-040106,CostOfGoodsSold,us-gaap/2009,20081231,4,USD,,,28088000000.0000,
0001193125-10-040773,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,us-gaap/2009,20071231,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,3692000.0000,
0000950123-10-016384,OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20071231,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-24183000.0000,
0001047469-10-001362,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,us-gaap/2009,20091231,4,USD,OperatingActivitiesSegment=SegmentLibertyEntertainment;,,-5000000.0000,
0000086521-10-000019,PaymentsToAcquireBusinessesNetOfCashAcquired,us-gaap/2009,20081231,4,USD,LegalEntity=ParentCompany;,ParentCompany,495000000.0000,
0000086521-10-000019,RegulatoryAssetsCurrent,us-gaap/2009,20091231,0,USD,LegalEntity=ParentCompany;,ParentCompany,54000000.0000,
0000950123-10-013022,TreasuryStockOther,0000950123-10-013022,20071231,4,shares,EquityComponents=TreasuryStock;,,314000.0000,
0000950123-10-017877,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,0,USD,EquityComponents=TreasuryStock;,,-2450000000.0000,
0000950123-10-016787,StockholdersEquity,us-gaap/2009,20071231,0,USD,EquityComponents=PreferredStock;,,0.0000,
0001193125-10-023280,DueToAffiliateCurrent,us-gaap/2009,20091231,0,USD,LegalEntity=CommonwealthEdisonCo;,CommonwealthEdisonCo,177000000.0000,
0001193125-10-039013,CommonStockSharesIssued,us-gaap/2009,20091231,0,shares,ClassOfStock=ClassCCommonStock;,,123483527.0000,
0001061219-10-000011,PartnersCapitalAccountUnitBasedCompensation,us-gaap/2009,20071231,4,USD,PartnerTypeOfPartnersCapitalAccount=GeneralPartner;,,200000.0000,
0000092122-10-000009,DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,us-gaap/2009,20091231,4,pure,DebtInstrument=MaturityOfLongTermSeniorNotesAndDebtInYearSix;,,0.0415,
0001393311-10-000004,DividendsPreferredStockCash,us-gaap/2009,20071231,4,USD,EquityComponents=Parent;,,-236757000.0000,
0000950123-10-017583,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20071231,4,USD,,,22567000.0000,
0000950123-10-014092,ShareBasedCompensation,us-gaap/2009,20081231,4,USD,,,106578000.0000,
0001193125-10-040947,EquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,0001193125-10-040947,20071231,4,USD,,,87000000.0000,
0001104659-10-008164,TreasuryStockShares,us-gaap/2009,20091231,0,shares,,,572000.0000,
0000950123-10-006167,CashAndCashEquivalentsOfDiscontinuedOperations,0000950123-10-006167,20081231,2,USD,,,-97700000.0000,
0001193125-10-020962,RepaymentsOfLongTermDebtAndCapitalSecurities,us-gaap/2009,20091231,2,USD,,,75000000.0000,
0001193125-10-025522,RepaymentsOfOtherDebt,us-gaap/2009,20091231,4,USD,,,19190000.0000,
0001104659-10-017012,NetCashProvidedByUsedInInvestingActivities,us-gaap/2009,20091231,4,USD,,,-2415000000.0000,
0001193125-10-038834,ProceedsFromSaleOfPropertyHeldForSale,us-gaap/2009,20091231,4,USD,,,0.0000,
0000950123-10-015194,PaymentsToAcquireBusinessesAndInterestInAffiliates,us-gaap/2009,20071231,4,USD,,,49000000.0000,
0001193125-10-021715,RetainedEarningsAccumulatedDeficit,us-gaap/2009,20090630,0,USD,,,104479000.0000,
0000950123-10-010126,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,us-gaap/2009,20071231,4,USD,,,-2000000.0000,
0001193125-10-044311,NetCashProvidedByUsedInFinancingActivities,us-gaap/2009,20071231,4,USD,,,-2668000000.0000,
0001193125-10-040142,IncomeTaxExpenseBenefit,us-gaap/2009,20071231,4,USD,,,2518000.0000,
0001193125-10-037170,InterestIncomeDepositsWithFinancialInstitutions,us-gaap/2009,20091231,4,USD,,,231000.0000,
0001104659-10-008799,OperatingIncomeLoss,us-gaap/2009,20071231,4,USD,,,552858000.0000,
0000950123-10-010126,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2009,20081231,4,USD,,,-21000000.0000,
0001157523-10-001218,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2009,20071231,4,USD,,,211000000.0000,
0001122304-10-000024,NetCashProvidedByUsedInOperatingActivities,us-gaap/2009,20081231,4,USD,,,2206900000.0000,
0000950123-10-028780,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,us-gaap/2009,20091231,4,USD,,,-8000000.0000,
0001193125-10-034314,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,us-gaap/2009,20080930,4,USD,,,243000000.0000,
0000950123-10-015237,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2009,20071231,4,USD,,,-294000000.0000,
0001157523-10-001098,GeneralAndAdministrativeExpense,us-gaap/2009,20081231,4,USD,,,21302000.0000,
0001047469-10-001465,FinancialInstrumentsSoldNotYetPurchasedAtFairValue,us-gaap/2009,20091231,0,USD,,,1030000000.0000,
0001047469-10-001362,GainLossOnDerivativeInstrumentsNetPretax,us-gaap/2009,20071231,4,USD,,,1269000000.0000,
0000097745-10-000008,SalesRevenueGoodsNet,us-gaap/2009,20081231,4,USD,,,8838800000.0000,
0001193125-10-038679,NetIncomeLoss,us-gaap/2009,20091231,4,USD,,,564000000.0000,
0001193125-10-042929,CommonStockSharesAuthorized,us-gaap/2009,20081231,0,shares,,,9000000000.0000,
0001047469-10-001573,EffectOfExchangeRateOnCashAndCashEquivalents,us-gaap/2009,20091231,4,USD,,,-488000.0000,
0001193125-10-037173,CommonStockParOrStatedValuePerShare,us-gaap/2009,20081231,0,USD,,,0.1000,
0001193125-10-023041,DividendsCash,us-gaap/2009,20091231,4,USD,,,1006000000.0000,
0001047469-10-001666,NetIncomeLoss,us-gaap/2009,20091231,4,USD,,,361000000.0000,
0001047469-10-001512,CostsAndExpenses,us-gaap/2009,20081231,4,USD,,,3411315000.0000,
0001193125-10-037160,EarningsPerShareBasic,us-gaap/2009,20071231,4,USD,,,3.7500,
0000950123-10-016384,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,us-gaap/2009,20091231,4,USD,,,1105000.0000,
0001193125-10-040148,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,us-gaap/2009,20081231,4,USD,,,2650000.0000,
0000891092-10-000656,CashAndCashEquivalentsAtCarryingValue,us-gaap/2009,20061231,0,USD,,,1739500000.0000,
0000950123-10-011711,DepreciationAndAmortization,us-gaap/2009,20081231,4,USD,,,168600000.0000,
0000950123-10-019173,DepreciationAndAmortization,us-gaap/2009,20081231,4,USD,,,164969000.0000,
0001193125-10-040916,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20071231,4,USD,,,2289000000.0000,
0001193125-10-031419,CostOfServices,us-gaap/2009,20081231,4,USD,,,82452000.0000,
0000950123-10-010126,CostOfServices,us-gaap/2009,20081231,4,USD,,,10885000000.0000,
0000950123-10-018216,IncomeTaxesPaid,us-gaap/2009,20071231,4,USD,,,340900000.0000,
0000930413-10-000784,SalesRevenueGoodsNet,us-gaap/2009,20091231,4,USD,,,23914000000.0000,
0001398432-10-000145,NetIncomeLoss,us-gaap/2009,20091231,4,USD,,,-3942000.0000,
0000930413-10-000862,EarningsPerShareDiluted,us-gaap/2009,20091231,4,USD,,,3.8700,
0000950123-10-019786,IncomeLossFromContinuingOperations,us-gaap/2009,20071231,4,USD,,,25552000.0000,
0000950123-10-016029,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,us-gaap/2009,20091231,4,USD,,,2.2400,
0001193125-10-052764,GainLossOnInvestments,us-gaap/2009,20081231,4,USD,,,-573000000.0000,
0000950123-10-015194,PaymentsToAcquireEquityMethodInvestments,us-gaap/2009,20071231,4,USD,,,0.0000,
0000950123-10-006814,DeferredTaxAssetsNetNoncurrent,us-gaap/2009,20091231,0,USD,,,234000000.0000,
0001193125-10-044296,Liabilities,us-gaap/2009,20091231,0,USD,,,14300700000.0000,
0000950123-10-026283,EarningsPerShareBasic,us-gaap/2009,20090228,3,USD,,,3.1300,
0001144204-10-005154,CostOfRevenue,us-gaap/2009,20091231,2,USD,,,505325000.0000,
0000950123-10-022156,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,us-gaap/2009,20090131,3,USD,,,-0.0800,
0000950123-10-016613,CostOfGoldProductsAndServices,us-gaap/2009,20071231,4,USD,,,2376000000.0000,"Exclusive of Loss on settlement of price-capped forward sales contracts, Midas redevelopment, Amortization and Accretion."
0000950123-10-016360,CostsAndExpenses,us-gaap/2009,20091231,4,USD,,,4887810000.0000,
0000797468-10-000020,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,us-gaap/2009,20091231,4,USD,,,0.0000,
0001193125-10-030603,CashAndCashEquivalentsAtCarryingValue,us-gaap/2009,20081231,0,USD,,,134000000.0000,
0001193125-10-043237,Goodwill,us-gaap/2009,20081231,0,USD,,,330211000.0000,
0000950123-10-000976,DepreciationAndAmortization,us-gaap/2009,20091130,1,USD,,,32303000.0000,
0000950123-10-006821,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,us-gaap/2009,20091231,2,USD,,,20000000.0000,
0001047469-10-001573,LeaseOperatingExpense,us-gaap/2009,20071231,4,USD,,,167473000.0000,
0001047469-10-002121,MarketableSecuritiesCurrent,us-gaap/2009,20090131,0,USD,,,302000000.0000,
0000950123-10-015237,CashPaidForCapitalizedInterest,us-gaap/2009,20091231,4,USD,,,86000000.0000,
0001193125-10-040826,DeferredCosts,us-gaap/2009,20081231,0,USD,,,325369000.0000,
0001354488-10-000860,AssetsCurrent,us-gaap/2009,20091231,0,USD,,,323555.0000,
0001193125-10-043126,IncreaseDecreaseInOtherOperatingAssets,us-gaap/2009,20071231,4,USD,,,34300000.0000,
0001047469-10-001018,IncreaseDecreaseInAccountsReceivable,us-gaap/2009,20091231,4,USD,,,387749000.0000,
0001047469-10-001549,AccruedLiabilitiesCurrent,us-gaap/2009,20091231,0,USD,,,39034000.0000,
0001193125-10-027165,CommonStockValue,us-gaap/2009,20091231,0,USD,,,808000000.0000,
0001104659-10-017012,CommonStockValue,us-gaap/2009,20091231,0,USD,,,17390000000.0000,
0001193125-10-040838,IncreaseDecreaseInAccountsReceivable,us-gaap/2009,20091231,4,USD,,,-1844000.0000,
0000950123-10-016821,CommonStockSharesIssued,us-gaap/2009,20091231,0,shares,,,352785985.0000,
0000045012-10-000085,CommonStockSharesIssued,us-gaap/2009,20091231,0,shares,,,2000000000.0000,
0000950123-10-017111,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2009,20081231,4,USD,,,-126914000.0000,
0001047469-10-000391,DeferredTaxLiabilitiesNoncurrent,us-gaap/2009,20090930,0,USD,,,188000000.0000,
0000950123-10-027743,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2009,20090531,0,USD,,,-877800000.0000,
0001193125-10-042974,ConstructionInProgressGross,us-gaap/2009,20091231,0,USD,,,16258000.0000,
0001047469-10-001609,AccountsPayableCurrent,us-gaap/2009,20091231,0,USD,,,39000000.0000,
0001193125-10-040857,DeferredIncomeTaxExpenseBenefit,us-gaap/2009,20081231,4,USD,,,188414000.0000,
0001140361-10-008522,AccruedIncomeTaxesCurrent,us-gaap/2009,20081231,0,USD,,,272000000.0000,
0001398432-10-000145,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2009,20091231,4,USD,,,4247000.0000,
0000950123-10-018286,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2009,20081231,4,USD,,,840803000.0000,
0001193125-10-040916,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2009,20091231,4,USD,,,-593000000.0000,
0001193125-10-042025,ProceedsFromIssuanceOfLongTermDebt,us-gaap/2009,20081231,4,USD,,,3477500000.0000,
0001094093-10-000021,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2009,20081231,4,USD,,,2000000.0000,
0000950123-10-013755,NetCashProvidedByUsedInOperatingActivities,us-gaap/2009,20100131,1,USD,,,213773000.0000,
0001047469-10-001674,NetCashProvidedByUsedInOperatingActivities,us-gaap/2009,20081231,4,USD,,,556441000.0000,
0001193125-10-035019,IncomeTaxesPaidNet,us-gaap/2009,20091231,4,USD,,,627227000.0000,
0000950123-10-001322,IncomeLossFromContinuingOperationsPerDilutedShare,us-gaap/2009,20091130,1,USD,,,-0.0400,
0001193125-10-059620,LiabilitiesCurrent,us-gaap/2009,20091231,0,USD,,,122047000.0000,
0001193125-10-025672,DeferredRevenueCurrent,us-gaap/2009,20091231,0,USD,,,154795000.0000,
0000950123-10-014515,IncreaseDecreaseInAccountsPayable,us-gaap/2009,20081231,4,USD,,,6486000.0000,
0000950123-10-013437,IncomeLossFromContinuingOperationsPerBasicShare,us-gaap/2009,20091231,4,USD,,,-0.4100,
0001193125-10-044584,DividendsCash,us-gaap/2009,20081231,4,USD,,,194400000.0000,
0001047469-10-001604,DeferredTaxAssetsNetCurrent,us-gaap/2009,20091231,0,USD,,,3000000.0000,
0001193125-10-044753,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,us-gaap/2009,20081231,4,USD,,,191939000.0000,
0001193125-10-044584,EarningsPerShareBasic,us-gaap/2009,20091231,4,USD,,,0.3000,
0000950123-10-000976,CustomerDepositsCurrent,us-gaap/2009,20091130,0,USD,,,480181000.0000,
0001140361-10-007555,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,us-gaap/2009,20091231,4,USD,,,1.9200,
0001193125-10-039027,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,us-gaap/2009,20081231,4,USD,,,0.8800,
0000950123-10-027758,EarningsPerShareBasic,us-gaap/2009,20100228,1,USD,,,0.3100,
0000899689-10-000004,DueFromRelatedParties,us-gaap/2009,20081231,0,USD,,,13185000.0000,
0001193125-10-036446,NoninterestExpense,us-gaap/2009,20081231,4,USD,,,10792000000.0000,
0000950123-10-018671,AvailableForSaleSecuritiesCurrent,us-gaap/2009,20091231,0,USD,,,2033492000.0000,
0000950123-10-014515,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2009,20081231,4,USD,,,20131000.0000,
0001193125-10-012479,CommonStockValueOutstanding,us-gaap/2009,20091231,0,USD,,,100000000.0000,
0000950123-10-022850,CommonStockDividendsPerShareDeclared,us-gaap/2009,20090131,1,USD,,,0.2500,
0001398432-10-000145,AssetImpairmentCharges,us-gaap/2009,20091231,4,USD,,,175087000.0000,
0001047469-10-001174,AccountsPayableAndAccruedLiabilities,us-gaap/2009,20081231,0,USD,,,887000000.0000,
0000950123-10-021539,AccountsReceivableNetCurrent,us-gaap/2009,20091231,0,USD,,,139215000.0000,
0001193125-10-042997,IncreaseDecreaseInAccountsReceivable,us-gaap/2009,20091231,4,USD,,,9800000.0000,
0000950123-10-014515,AccruedLiabilitiesCurrent,us-gaap/2009,20091231,0,USD,,,109608000.0000,
0000950123-10-018311,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2009,20091231,4,USD,,,866667000.0000,
0001144204-10-004114,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2009,20090930,0,USD,,,-1080000000.0000,
0001047469-10-001644,AdditionalPaidInCapitalCommonStock,us-gaap/2009,20081231,0,USD,,,551598000.0000,
0001193125-10-034314,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2009,20090930,0,USD,,,17395000000.0000,
0001104659-10-009750,RestrictedInvestmentsCurrent,us-gaap/2009,20091231,0,USD,LegalEntity=LimitedLiabilityCompany;,LimitedLiabilityCompany,136059000.0000,
