series_id,description,file_path,script_path,frequency,first_period,last_period,n_obs,pit_lag_days,target_lines,mechanism,prior_evidence,status,suggested_method
G22_theo_guidance_items,"Theo's guidance dataset: guidance_items.csv (100 + 44 margin rows on the margin branch), guidance_events.csv, quarterly_actuals.csv, market_returns.csv, consensus_snapshots.csv (23 rows of missing)",theos-past-research/research/guidance/data/normalized/guidance_items.csv,analysis/src/abnb_margin_guidance_items.py,event,2020Q4,2026Q3,100,0,guide;margin_total,Structured guide fields (floor/point/ceiling) with excerpts; earlier schema than 02_guidance_ledger.,Validator reports no findings on the 44 margin rows; FY items encoded as Q4 (ABNB-ISSUE-FY-PERIOD-ENCODING).,available,M3 guide
G23_frozen_q3_card,"Pre-registered 5 Nov card (spec ABNB-WS20-v1): nights, ADR, GBV, revenue forecasts with baselines and consensus vintage (frozen)",data/processed/overnight/20_frozen_q3_2026.csv,analysis/src/overnight/20_temporal_validation.py,snapshot,2026Q3,2026Q3,18,0,guide;rev_drivers,Revenue-side card the margin card must sit beside; do not edit.,Frozen 6 Sep; spec_id must not change.,available,M3 guide
R01_kpis_from_study,"Nights, GBV, ADR, revenue, adj. EBITDA, take rate 1Q21-2Q26 (letters; cross-check only)",data/processed/abnb_quarterly_kpis_from_study.csv,analysis/src/abnb_exsbc_stack.py,quarterly,1Q21,2Q26,22,40,rev_drivers,Nights and GBV are the per-unit denominators for ops (per night) and CoR (per $ GBV).,All 22 match the exsbc stack parse; implied ADR within $0.50.,available,M1 driver
R02_adr_takerate_jessie,ADR and quarterly take rate 2021Q1-2026Q2 (Jessie),data/processed/airbnb_adr_takerate_quarterly.csv,,quarterly,2021Q1,2026Q2,22,40,rev_drivers,Take rate is the revenue-per-GBV lever: +10bp = +0.47pt margin (31b).,Same basis as R01.,available,M1 driver
R03_revenue_decomposition,"Revenue y/y 1Q22-2Q26 decomposed into nights, ADR ex-FX, FX and take-rate points (residual < 0.5pp)",data/processed/abnb_revenue_decomposition.csv,analysis/src/abnb_driver_model.py,quarterly,1Q22,2Q26,18,40,rev_drivers;margin_total,"Each component has a different cost pass-through: nights carry ops/CoR, ADR ex-FX and FX carry only CoR (84% flow-through), take rate ~100%.","2Q26: nights 10.6, ADR ex-FX 1.6, FX 4.0, take +0.7.",available,M1 driver
R04_adr_full_decomposition,"Annual ADR y/y 2021-2025 split into geo mix, LOS, FX, size mix, within-region price (validated r 0.988 vs disclosed quarters)",data/processed/adr/07_full_decomposition.csv,analysis/src/adr/,annual,2021,2025,5,50,rev_drivers;margin_total;cor,Regional mix drag (-0.5 to -2.8pp of ADR/yr) is a structural margin drag no earlier model quoted; size mix raises revenue per night without raising support cost per night.,31b: regional mix -2.5pt of margin FY22-25; -0.33pt per 1pt of nights share NA->LatAm/APAC.,available,M1 driver
R05_adr_history_extended,"ADR history back to 1Q19 with FX backcast and ex-FX ADR (letters, S-1)",data/processed/adr/02b_adr_history_extended.csv,analysis/src/adr/,quarterly,1Q19,2Q26,30,40,rev_drivers,Extends the revenue-per-night denominator to 2019 for the seasonal profile and 2020 shock (M6).,usable_for_calibration flag per quarter.,available,M6 cycle
R06_regional_panel,"Regional panel 23 quarters x 79 columns: NA/EMEA/LatAm/APAC nights y/y bands and share estimates, regional ADR reported/ex-FX, regional revenue (XBRL), cross-border, urban, long-term-stay shares",data/processed/overnight/10_regional_panel_quarterly.csv,analysis/src/overnight/10_regional_panel.py,quarterly,4Q20,2Q26,23,40,rev_drivers;cor;ops;sm_brand,"Regional mix moves ADR (cost per $ GBV vs per night), payment-processing mix (cross-border/FX fees), support language cost, and expansion-market brand spend.",Share-weighted sum reconciles to total nights within 1.1pp; regional ADR index NA 1.42 / EMEA 0.97 / LatAm 0.68 / APAC 0.59.,available,M1 driver
R07_regional_forecast,"Regional nights growth 3Q26, 4Q26, FY27 (bear/base/bull) with ADR ex-FX and FX pp",data/processed/overnight/10_regional_forecast.csv,analysis/src/overnight/10_regional_panel.py,scenario,3Q26,FY27,30,0,rev_drivers,Regional path drives the mix term in the cost model.,Base FY27 NA/EMEA/LatAm/APAC 6/7/16/15.,available,M1 driver
R08_regional_revenue_xbrl,"Revenue by geography from XBRL (10_regional_revenue_xbrl.csv, 10_xbrl_revenue_geography.csv 258 rows) and Jessie's airbnb_regional_revenue_quarterly.csv (10-Q basis, Q4 = FY less 9M)",data/processed/overnight/10_regional_revenue_xbrl.csv,analysis/src/overnight/10_fetch_xbrl_geography.py,quarterly,2019,2Q26,30,45,rev_drivers;tax;other_inc,Geographic revenue mix informs the effective tax rate mix (US vs Ireland/Singapore) and non-USD cost share.,NA 42.4% of revenue / ~29% of nights.,available,M1 driver;M7 below-EBITDA
R09_fx_quarterly,"Quarterly average and y/y of 9 bilateral rates (AUD, BRL, CAD, EUR, GBP, INR, JPY, KRW, MXN) 1Q18-2026; 10_fx_daily.csv (19,467 rows), 10_fx_basket.csv, 10_regional_fx_passthrough.csv",data/processed/overnight/10_fx_quarterly.csv,analysis/src/overnight/10_fetch_fx.py,quarterly,1Q18,2Q26,36,1,rev_drivers;cor;other_inc,"FX moves reported revenue (ADR FX contemporaneous r -0.96 to broad USD), CoR in local currency (55% non-USD), and remeasurement in other income.",Survivor: ADR FX = 0.52 - 0.715 x broad USD y/y; revenue FX lags 1-2 quarters (r 0.80).,available,M1 driver;M7 below-EBITDA
R10_fx_schedule,EUR/USD and broad-USD paths to 4Q27 (consensus/strong/weak USD) with fitted ADR FX and revenue FX per quarter and realised share,data/processed/overnight/05_fx_schedule.csv,analysis/src/overnight/05_macro_transmission.py,scenario,2025Q3,2027Q4,30,0,rev_drivers;margin_total,Revenue FX x 84% flow-through = margin FX term; 4Q26 -0.4pp is a mechanical step-down.,Refresh weekly (one FRED pull); FXSWAP note swapped bridge FX to the fx_lag_v2 kernel.,available,M1 driver
R11_fx_lag_v2_kernel,"Lane 1 fx_lag_v2 package: currency baskets (spot-held), 4Q26 and FY27 FX forecasts (23_forecast_4q26_v2.csv, 23b_fy27_annualisation_v2.csv), hedge gross vs after (22_hedge_gross_vs_after.csv), PIT window scores",data/processed/forecast_methods/fx_lag_v2/23_forecast_4q26_v2.csv,analysis/src/forecast_methods/fx_lag_v2/,scenario,4Q26,FY27,18,0,rev_drivers;margin_total,Adopted FX line for 4Q26 (+0.15pp kernel vs +1.0 bridge v2); the margin model reads FX from here.,Registered in the frozen harness; survives W1/W2 (SCOREBOARD_v2).,available,M1 driver
R12_h2_bridge_v3,"Adopted 3Q26/4Q26 revenue view: nights +9.9/+8.1%, ADR ex-FX +3.9/+4.1%, revenue dollars, FX line, transitions, deviations, event catalogue (h2_bridge_v3/*.csv)",data/processed/h2_bridge_v3/h2_bridge_v3_rebased_lines.csv,analysis/src/h1_to_h2_bridge_v3.py,scenario,3Q26,4Q26,4,0,rev_drivers,"The revenue path the margin model consumes for 3Q26-4Q26 (4Q26 revenue $3,178M, implied guide mid $3,059M).",REBASE_h2_bridge_v3 note; WS06 carries it unchanged into the FY27 path file.,available,M1 driver
R13_nights_quarterly_pr32,PR #32 quarterly nights path 3Q26-4Q27 by scenario (three-feature NA lap on real quarters; total and NA files),data/processed/nights_quarterly_total.csv,analysis/src/nights_quarterly.py,scenario,3Q26,4Q27,36,0,rev_drivers,FY27 nights denominators (WS06 audits and reissues as v2).,"research/notes/nights_quarterly.md; memory: FY26 reconciles, FY27 is the trade.",available,M1 driver
R14_ws29_fy27_path,"WS29 FY27 quarterly revenue path by scenario (nights y/y, ADR ex-FX, residual, FX pp, hedge memo) and 29_fy27_bridge.csv, 29_q4_2026_bridge.csv, 29_bridge_assumptions.csv",data/processed/overnight/29_fy27_quarterly_path.csv,analysis/src/overnight/29_q4_fy27_bridge.py,scenario,1Q27,4Q27,12,0,rev_drivers,Revenue path 31b/30 currently run on; WS06 reconciles.,Re-run weekly (pulls FRED).,available,M1 driver
R15_fee_timeline_elasticities,"19 dated fee events 2019-2026 (06_fee_timeline.csv) and 25 sourced elasticities (06_elasticities.csv: single-fee migration +40-50bp, FX service fee +20bp, BKNG ceiling 14.5%)",data/processed/overnight/06_fee_timeline.csv,analysis/src/overnight/06_evidence_tables.py,event,2019-05,2026-08,19,0,rev_drivers;cor,Fee structure sets take rate (revenue per $ GBV) and the guest FX-fee revenue that offsets cross-border payment cost.,"Single fee worth +40-45bp fully migrated, not 200-300bp.",available,M1 driver
R16_fee_takerate_lane1,"Lane 1 fee_takerate package: take-rate history (04a), regression (04b), migration effect by quarter (05a), FY27 mechanism (05b), live 3Q26 take rate (07a), 4Q26 fee step (07b), backtest scorecard (06c)",data/processed/forecast_methods/fee_takerate/04a_takerate_history.csv,analysis/src/forecast_methods/fee_takerate/,quarterly,2021Q3,2026Q2,20,0,rev_drivers,Mechanism-based take-rate path replaces the bps lever; take rate is the highest-flow-through revenue driver.,fee-takerate.md and VERIFY r1/r2 notes; kill list: '+4.05% fee uplift as measured'.,available,M1 driver
R17_revenue_by_line,"Revenue by line (homes, hotels, Experiences seats, Services, ads) quarterly 3Q26-4Q27 and annual by scenario; take rate and incentive drag by line (14_revenue_by_line_*.csv, model/ABNB_revenue_by_line.xlsx)",data/processed/overnight/14_revenue_by_line_quarterly.csv,analysis/src/overnight/14_revenue_by_line.py,scenario,3Q26,4Q27,18,0,rev_drivers;sm_field;cor,"New businesses carry customer incentives (contra-revenue / take-rate drag), field-ops headcount and different payment/insurance costs per $ GBV.","Seats share ~1.5%, hotels ~4% of nights (3Q26 base).",available,M1 driver
R18_seats_dilution,"Seats (Experiences/Services) dilution of ADR, quarterly 3Q26-4Q27 and annual, by case (adr/15_seats_dilution_*.csv)",data/processed/adr/15_seats_dilution_quarterly.csv,analysis/src/adr/,scenario,3Q26,4Q27,18,0,rev_drivers,Seats lower blended ADR (-0.1 to -0.4pp) without lowering per-booking support cost.,seats-dilution note 9 Sep.,available,M1 driver
R19_new_business_scenarios,"Hotels, Experiences, Services, sponsored listings revenue FY25-FY28 bear/base/bull with assumptions",data/processed/overnight/11_new_business_scenarios.csv,analysis/src/overnight/11_competition_supply_overlays.py,scenario,FY25,FY28,27,0,rev_drivers;sm_field,"New-business revenue at an assumed 70% incremental margin in the driver model; field-ops investment $200-250M FY25 guided, +$300M realised.","Optionality bucket $235M/$914M/$1,987M FY28.",available,M1 driver;M6 cycle
R20_ai_exposure_scenarios,AI referral cost scenarios 2026-2028 (share of GBV via paid AI referral x fee %) as a performance-marketing cost line,data/processed/overnight/11_ai_exposure_scenarios.csv,analysis/src/overnight/11_competition_supply_overlays.py,scenario,2026,2028,27,0,sm_brand;cor,"If AI agents intermediate bookings, a referral fee becomes a new variable cost (performance marketing or CoR).",Low case $16M (0.1% of revenue) 2026; experts: ~3% AI-native bookings in 12-24 months.,available,M4 alt;M6 cycle
R21_los_bucket_shares,"Length-of-stay bucket shares (nights and bookings <7 / 7-27 / 28+) by region and year, solved from disclosed ALOS (adr/14b_*); airbnb_nights_per_booking.csv (annual ALOS by region 2019-2025)",data/processed/adr/14b_los_bucket_shares.csv,analysis/src/adr/,annual,1Q21,4Q25,65,50,ops;cor;rev_drivers,Support contacts and payment transactions scale per BOOKING; nights per booking (ALOS) converts management's per-booking claims (-16%) to the per-night line basis.,ALOS disclosed globally (~4.0-4.4 nights) and never by region; 28+ share stopped 1Q24 at 17%. Never used in a cost model.,available,M1 driver
R22_party_size_quarterly,"Airbnb party composition from 74M review texts (123 markets): global and regional quarterly party-size index, capacity, solo/couple/family shares (abnb_party_size_reviews_*.csv)",data/processed/abnb_party_size_reviews_quarterly.csv,analysis/src/abnb_party_size_reviews.py,quarterly,2011Q1,2026Q3,630,45,rev_drivers,Bigger units per night raise ADR without raising per-night support or hosting cost; validated r 0.96-0.99 vs Hawaii DBEDT.,party-size notes; 'half of ADR growth is bigger units' is on the kill list (it is +0.46-0.8pp).,available,M1 driver
R23_q3nowcast_reviews_index,"Reviews-based stays index, 123 markets, monthly/quarterly, global and regional (q3nowcast/E, E_aug): beats naive 0.68x for nights; 3Q26 band 8.5-11.0",data/processed/q3nowcast/E/index_quarterly.csv,analysis/src/q3nowcast/,monthly,2Q10,2Q26,1383,35,rev_drivers,Intra-quarter nights nowcast (the ops-per-night and CoR-per-GBV denominators before the print).,docs/q3nowcast/SYNTHESIS.md: 3Q26 nights 9.5-10.0%.,available,M1 driver
R24_q3nowcast_external_panel,"External-series quarterly panel (TSA, CPI lodging, NTTO, Spain INE, hotel RevPAR ...) with QTD readings and backtests (q3nowcast/G)",data/processed/q3nowcast/G/G_quarterly_panel.csv,analysis/src/q3nowcast/,quarterly,2018Q1,2026Q3,35,15,rev_drivers,Same-quarter demand readings for the revenue denominators; source_inventory.csv ranks 39 external sources by reachability.,WS-G: few beat naive; hotel RevPAR weekly the best-covered.,available,M4 alt
R25_adr_card_v3,"ADR v3 card: 3Q26 ADR ex-FX +3.3% $176.9, 4Q26 +3.8% with FX estimator, residual rule, bands (adrv3/P)",data/processed/adrv3/P/adr_card_v3.csv,analysis/src/adrv3/,scenario,3Q26,4Q26,18,0,rev_drivers,ADR path adopted by bridge v3; ADR ex-FX +1pt = +0.42pt margin.,PR #46; v3 last_q rule beats naive on dollar target (S).,available,M1 driver
R26_rnpl_cohort_scenarios,"RNPL cohort scenario grid (2,025 rows) for 3Q26/4Q26 nights effect; rnpl_statement_ledger.csv; D1_rnpl_parameters.csv",data/processed/overnight2/D/D1_rnpl_cohort_scenarios.csv,analysis/src/overnight2/,scenario,3Q26,4Q26,2025,0,rev_drivers;fcf_timing,RNPL shifts cash collection toward check-in: kills the unearned-fee float and raises cancellation/chargeback exposure.,"docs/overnight2/SYNTHESIS.md; RNPL >20% of GBV, laps US 3Q26 / global 1Q27.",available,M7 below-EBITDA
R27_backlog_tests,"WS08 backlog tests: unearned fees / funds held vs next-quarter revenue and GBV, RNPL-era gap",data/processed/overnight/08_backlog_tests.csv,analysis/src/overnight/08_altdata_backtests.py,summary,2021Q1,2026Q2,42,0,fcf_timing;rev_drivers,Documents the float break for the FCF timing line.,Funds-held-to-GBV gap 3.8pp (2Q25) -> 5.2pp (2Q26).,available,M7 below-EBITDA
R28_eurostat_platform_quarterly,"EU27 platform nights quarterly y/y next to Airbnb EMEA revenue y/y (Eurostat tour_ce_omr, monthly to Mar 2026)",data/processed/eurostat_platform_nights_quarterly.csv,analysis/src/abnb_eu_platform_and_backlog.py,quarterly,1Q18,1Q26,33,150,rev_drivers,EMEA volume benchmark; too lagged to nowcast.,Lead correlation -0.11 as a nowcast; corr 0.81 with EMEA ex-FX.,available,M6 cycle
R29_kpi_vs_category,"ABNB KPIs vs BEA PCE accommodations/hotels nominal, real and price; inbound/outbound travel; CPI lodging and airfare, 1Q21-2Q26",data/processed/abnb_kpi_vs_category_quarterly.csv,analysis/src/abnb_kpi_vs_category.py,quarterly,2021Q1,2026Q2,22,30,rev_drivers,US category demand and price for the cycle model.,"US category is price not volume (real +1.8%, price +3.4% Jul 2026).",available,M6 cycle
M01_macro_quarterly_panel,"Quarterly macro panel 2019Q1-2026Q2: fed funds, UST 2y/10y, unemployment, payrolls, leisure & hospitality employment, initial claims, CPI (all, lodging, airfare), sentiment, real DPI/PCE, saving rate, consumer credit, USD and 6 bilateral rates, WTI, jet fuel, EU27 platform nights",data/processed/overnight/05_macro_quarterly_panel.csv,analysis/src/overnight/05_macro_transmission.py,quarterly,2019Q1,2026Q3,31,15,int_inc;ga;ops;pd;margin_total;rev_drivers,"Short rates x interest-earning balances = interest income; labour-market tightness (leisure & hospitality employment, claims) proxies wage pressure in ops/PD/G&A payroll; sentiment/claims define the demand-cycle state for M6.","WS05: 1,408 macro tests vs nights/revenue, none survive; NEVER tested against cost lines or interest income.",available,M7 below-EBITDA;M6 cycle;M4 alt
M02_fred_cache_42,"42 FRED series cached as CSV (FEDFUNDS, DGS2, DGS10, T10YIE, UNRATE, PAYEMS, USLAH, ICSA, CPIAUCSL, CUSR0000SEHB, CUSR0000SETG01, DSPIC96, PCEC96, PSAVERT, RSXFS, UMCSENT, MICH, DTWEXBGS, DEXUSEU, DEX* 9 pairs, DCOILWTICO, WJFUELUSGULF, AIRRPMTSID11, GDPC1, A191RL1Q225SBEA, TDSP, TOTALSL ...)",data/processed/overnight/05_fred_cache/FEDFUNDS.csv,analysis/src/overnight/05_macro_transmission.py,monthly/daily,1954-07,2026-08,42,1,int_inc;ga;ops;pd;margin_total,FEDFUNDS/DGS2 are the yield drivers for interest income on ~$12B cash + ~$10B funds held; 3-month bill (DTB3) is NOT cached (gap).,Used for macro transmission only.,needs_refresh,M7 below-EBITDA;M6 cycle
M03_macro_us_monthly_jessie,"FRED monthly 2021-01 to 2026-08: Michigan sentiment, unemployment, CPI, real DPI, saving rate, fed funds, 10y, broad dollar, WTI, real PCE, EUR/USD (Jessie)",data/processed/macro_us_monthly.csv,,monthly,2021-01,2026-08,68,15,int_inc;margin_total,Duplicate of M01/M02 at monthly grain.,Overlaps 05_fred_cache.,available,M6 cycle
M04_shock_episodes,"Four demand-shock episodes (2022 rate/USD shock, 2024 US softness, spring-2025 tariff shock, 1Q26 Middle East) with macro, guide, print, stock and lesson",data/processed/overnight/05_shock_episodes.csv,analysis/src/overnight/05_macro_transmission.py,event,2022Q2,2026Q2,4,0,margin_total;sm_brand;sm_field,Episode set for the cost-flex model (how did S&M and margin respond when growth decelerated?). WS02 extends with 2020.,Not yet paired with cost-line responses.,available,M6 cycle
M05_price_gap_series,"Quarterly price context 1Q21-2Q26: CPI lodging, BEA hotel price index, STR US hotel ADR/RevPAR/occupancy, MAR and HLT RevPAR y/y, ABNB ADR reported/ex-FX (06_price_gap_series.csv, 06_price_gap_monthly.csv)",data/processed/overnight/06_price_gap_series.csv,analysis/src/overnight/06_price_gap.py,quarterly,1Q21,2Q26,22,15,rev_drivers;margin_total,Hotel ADR/RevPAR cycle is the pricing-power state variable for M6; CPI lodging tested against margin surprise.,"predictive/04: CPI lodging y/y vs margin surprise r 0.13, fails LOO (n 14).",available,M6 cycle
M06_hotel_price_monitor,"Monthly 2023-01 to 2026-07: CPI lodging y/y, BEA hotel price y/y, ABNB ADR reported and ex-FX on quarter-end months",data/processed/hotel_price_monitor_monthly.csv,analysis/src/hotel_price_monitor.py,monthly,2023-01,2026-07,43,12,rev_drivers,Price benchmark for ADR ex-FX.,Oct 2025 CPI missing at source.,available,M6 cycle
M07_govdata_price_panel,"Government price series panel (HICP accommodation by country, INE Spain HDPI/IPH, UK ONS 11.2, Japan CPI hotel, BLS PPI hotels, IBGE IPCA hospedagem ...) monthly y/y and quarterly features with backtests (govdata/P)",data/processed/govdata/P/P_feature_quarterly_panel.csv,analysis/src/govdata/,quarterly,1Q22,2Q26,18,20,rev_drivers,Regional accommodation price indices for ADR ex-FX by region.,PR #50/#51: no full workstream warranted; corroboration only.,available,M6 cycle
M08_govdata_volume_panel,"Government volume series panel (ANAC Brazil, IBGE PMS, StatCan arrivals, JNTO, JTA nights, ABS, NZ MBIE, INE EOAP, Hawaii VR, Census QSS ...) with backtests (govdata/V)",data/processed/govdata/V/V_feature_panel.csv,analysis/src/govdata/,quarterly,1Q19,3Q26,31,30,rev_drivers,Regional volume benchmarks for the nights denominator.,V_ranked_table.md; none beat naive on both windows.,available,M6 cycle
M09_google_trends_weekly,"Google Trends weekly 2019-2026, 9 terms (airbnb, vrbo, booking, hotels ...), US and worldwide, stitched windows (08_trends_weekly.csv; quarterly features and tests in 08_trends_*)",data/processed/overnight/08_trends_weekly.csv,analysis/src/overnight/08_trends_pull.py,weekly,2019-01-06,2026-09-06,12454,2,sm_brand;rev_drivers,"Branded search is the output brand marketing buys; search per $ of brand spend is a marketing-efficiency series, and search spikes date campaign flights.",WS08: 0 of 162 Trends features beat naive for nights; NOT point-in-time (renormalised each pull); never tested against S&M spend.,needs_refresh,M4 alt
M10_short_interest,84 short-interest settlements Feb 2023-Sep 2026 (marketbeat/Nasdaq),data/processed/overnight/09_short_interest.csv,analysis/src/overnight/09_stock_behaviour.py,semi-monthly,2023-02-28,2026-08-14,84,10,guide,Positioning only; no cost-line content.,WS09: no predictive value.,available,M5 street
M11_peer_prints,"BKNG, EXPE, MAR, HLT print KPIs by ABNB quarter 2021Q1-2026Q2 (room nights, gross bookings, revenue y/y, adj. EBITDA margin, next-quarter direction, reaction) from 93 8-K Ex. 99.1",data/processed/predictive/02_peer_prints.csv,analysis/src/predictive/02_peer_prints_build.py,quarterly,2021Q1,2026Q2,22,-8,margin_total;sm_brand,BKNG/EXPE adj. EBITDA margin and marketing ratios print ~8 days before ABNB: a same-quarter cost-cycle read (marketing intensity in a soft quarter).,predictive/02: BKNG room-night acceleration r +0.91 with ABNB nights (n 7); peer margins never tested against ABNB margin.,available,M4 alt;M6 cycle
M12_alt_accom_share,BKNG alternative-accommodation mix and nights y/y vs Airbnb nights y/y 2Q22-2Q26,data/processed/overnight/11_alt_accom_share_quarterly.csv,analysis/src/overnight/11_competition_supply_overlays.py,quarterly,2Q22,2Q26,11,-8,rev_drivers;sm_brand,Competitive intensity in alt-accommodation drives performance-marketing bidding.,BKNG alt-accom premium +6pt (3Q24) -> -1pt (2Q26).,available,M6 cycle
A01_supply_economics,"82 dated supply facts (active listings, hosts, new listings, Co-Host Network, removed listings) from filings and letters 2020-2026",data/processed/overnight/11_supply_economics.csv,analysis/src/overnight/11_competition_supply_overlays.py,event,2020-12-31,2026-12-31,81,0,sm_field;sm_brand,"Host acquisition (field ops, referral incentives) scales with new-listing needs; listings growth 'in line with nights'.",Active listings disclosure stopped 4Q25.,available,M4 alt
A02_inside_airbnb_city_snapshots,"Inside Airbnb 13-city snapshots, 168 dumps Dec 2022-Aug 2026: listings, reviews LTM/L30D, entire-home, superhost, multi-listing shares, price basis flags (plus like-for-like pairs and host concentration)",data/processed/inside_airbnb_city_snapshots.csv,analysis/src/inside_airbnb_supply_panel.py,dump,2022-12-13,2026-08-30,168,35,sm_field;ops;rev_drivers,New-listing flow and multi-listing (professional) share proxy host-acquisition effort and support intensity (pro hosts generate fewer contacts per night).,WS08: listings y/y 3.6x worse than naive for nights; supply index loses to 'same as last quarter'; never mapped to field ops.,available,M4 alt
A03_listing_churn_pooled,"Pooled listing ID-attrition rates, 12-13 markets, Sep 2025-Aug 2026 (listing_churn_panel, listing_churn_archive, fee_churn_history pooled_interval_rates 115 markets)",data/processed/listing_churn_panel/pooled_rates.csv,analysis/src/measure_churn_panel.py,interval,2025-09,2026-08,36,35,sm_field,Churn 20-30%/yr sets the replacement supply the field/host-acquisition budget must buy.,Availability-selected panel; not a random sample; fee-related churn scenarios in fee_churn_history.,available,M4 alt
A04_market_summary_2026,"Theo's 120-market summary (listings, hosts, entire-home / multi-host / superhost / licence shares, median asking price) single 2026 vintage",data/processed/market_summary_2026.csv,analysis/src/build_market_summary.py,snapshot,2026-06,2026-07,120,35,sm_field;ops,Cross-section of professionalisation by market (support cost per night differs by host type).,One vintage; no time dimension.,available,M4 alt
A05_booking_curves,"Blocked-night rate by market x snapshot x horizon (600 rows) and daily (44,379 rows); single June 2026 vintage; 2026 calendars carry no price",data/processed/booking_curves_by_market.csv,analysis/src/build_booking_curves.py,snapshot,2026-06,2026-07,600,35,rev_drivers,Forward pace proxy for nights; not occupancy.,q3nowcast F: calendar pace built on later vintages.,available,M4 alt
A06_cc_listing_survival,"Common Crawl listing survival by crawl and by age 2021-2026 (1.2M ids, 1,500 matched pairs); no price in any era",data/processed/cc_listing_survival.csv,analysis/src/cc_listing_panel.py,crawl,2021,2026,48,60,sm_field,Survival 85-90%/yr is another replacement-supply read.,Review velocity flat five years.,available,M4 alt
A07_quote_line_items,"1.71M fee-inclusive search quotes Mar-Aug 2026 by city: service-fee share of quote, discounts (06_quote_line_items.csv, 06_quote_discount_panel.csv; fee-panel capture running)",data/processed/overnight/06_quote_line_items.csv,analysis/src/overnight/06_quote_panel.py,monthly,2026-03,2026-08,76,5,rev_drivers,Guest-fee share and discount penetration read the take-rate mechanism and coupon (contra-revenue) intensity.,Kill list: do not call the panel 'fee-inclusive'; quote indices do not track disclosed ADR.,available,M4 alt
A08_regulatory_profile,"20 regulatory events with probabilities, Monte Carlo revenue-loss and EBITDA-hit percentiles 2027/2030; abnb_regulatory_events.csv, abnb_regulatory_contributions.csv, 11_regulatory_overlay.csv; SQLite with 48 sources",data/processed/abnb_regulatory_profile.csv,analysis/src/abnb_regulatory_forecast.py,scenario,2026,2030,24,0,ga;rev_drivers,"Regulation drives G&A (legal, lodging-tax reserves, fines such as Spain EUR64M, Italy tax settlement) and the EMEA nights drag.",Median EBITDA hit $72M (2027) at 70% contribution; 93% European.,available,M6 cycle;M4 alt
A09_altdata_quarterly_pred03,"Inside Airbnb and Common Crawl quarterly alt-data features (like-for-like price, matched reviews, retention, listings y/y) 2023Q4-2026Q2",data/processed/predictive/03_altdata_quarterly.csv,analysis/src/predictive/03_nowcast_tests.py,quarterly,2023Q4,2026Q3,12,35,rev_drivers;sm_field,Same content as A02 aligned to quarters.,predictive/03: no alt-data feature beats naive on both windows.,available,M4 alt
A10_demand_supply_indexes,"WS08 composite demand, supply and price indexes quarterly with walk-forward backtests (08_demand_index_quarterly.csv, 08_supply_index_quarterly.csv, 08_price_index_quarterly.csv, 08_index_backtests.csv, 08_feature_tests_all.csv 598 rows)",data/processed/overnight/08_demand_index_quarterly.csv,analysis/src/overnight/08_altdata_backtests.py,quarterly,2021Q1,2026Q3,23,35,rev_drivers,Composite alt-data state variables; all lose to naive for revenue targets.,"Kill list: say 'nothing beats AR(1) on both windows' (52 of 598 beat AR(1), all mechanical FX or window-dependent).",available,M4 alt
A11_edgar_filing_kpis,368 KPI sentences from 14 10-Q/10-K filings 2023Q1-2026Q2 (Theo; evidence-grade) and abnb_edgar_quarterly_kpis.csv (43 rows incl. deferred revenue),data/processed/abnb_filing_kpis.csv,analysis/src/acquisition/run_edgar_filings.py,event,2023Q1,2026Q2,368,45,fcf_timing;rev_drivers,Filing-text extraction pattern reusable for cost-line MD&A sentences (WS02).,"Clean tables are HTML, not prose.",available,M1 driver
A12_hawaii_party_size_monthly,Hawaii DBEDT monthly party size and accommodation counts Jan 2013-Jul 2026 (only public party-size time series),data/processed/hawaii_party_size_monthly.csv,analysis/src/hawaii_party_size_series.py,monthly,2013-01,2026-07,483,25,rev_drivers,Validates the review-derived party-size index (unit-size ADR term).,Rental parties 2.28 -> 2.49 (2013-24).,available,M1 driver
X01_xbrl_companyfacts,"SEC XBRL companyfacts JSON (CIK 1559720): every tagged fact incl. cost lines, SBC by function (ShareBasedCompensation*), D&A, interest income/expense, other nonoperating income, tax provision, current/deferred tax, OCI hedges, funds held, unearned fees, weighted/diluted shares, dei shares outstanding, lease cost, capitalized software amortization, treasury stock",data/raw/xbrl/ABNB_companyfacts.json,analysis/src/abnb_costlines_from_xbrl.py,quarterly/annual,FY2018,2Q26,,45,cor;ops;pd;sm_brand;sm_field;ga;sbc;da;int_inc;other_inc;tax;shares;fcf_timing;capex,"Primary source for WS02's panel and for below-EBITDA tags never yet pulled (OtherNonoperatingIncomeExpense, CurrentIncomeTaxExpenseBenefit, DeferredIncomeTaxExpenseBenefit, OperatingLeaseCost, CapitalizedComputerSoftwareAmortization1, PaymentsForRepurchaseOfCommonStock, dei:EntityCommonStockSharesOutstanding).","Used by costlines, capital-return, backlog, 28 hedges. YTD values must be de-cumulated; PurchaseObligation has no CY frames (07).",available,M7 below-EBITDA;M1 driver
