period,property,measure,value
2024-02,Holiday parks & campgrounds,Stay unit nights occupied,1025200.0
2024-03,Holiday parks & campgrounds,Stay unit nights occupied,971700.0
2024-04,Holiday parks & campgrounds,Stay unit nights occupied,629400.0
2024-05,Holiday parks & campgrounds,Stay unit nights occupied,398000.0
2024-06,Holiday parks & campgrounds,Stay unit nights occupied,338400.0
2024-07,Holiday parks & campgrounds,Stay unit nights occupied,347500.0
2024-08,Holiday parks & campgrounds,Stay unit nights occupied,342100.0
2024-09,Holiday parks & campgrounds,Stay unit nights occupied,409800.0
2024-10,Holiday parks & campgrounds,Stay unit nights occupied,546300.0
2024-11,Holiday parks & campgrounds,Stay unit nights occupied,646800.0
2024-12,Holiday parks & campgrounds,Stay unit nights occupied,994600.0
2025-01,Holiday parks & campgrounds,Stay unit nights occupied,1373800.0
2025-02,Holiday parks & campgrounds,Stay unit nights occupied,969500.0
2025-03,Holiday parks & campgrounds,Stay unit nights occupied,843800.0
2025-04,Holiday parks & campgrounds,Stay unit nights occupied,683700.0
2025-05,Holiday parks & campgrounds,Stay unit nights occupied,387800.0
2025-06,Holiday parks & campgrounds,Stay unit nights occupied,308100.0
2025-07,Holiday parks & campgrounds,Stay unit nights occupied,331900.0
2025-08,Holiday parks & campgrounds,Stay unit nights occupied,340300.0
2025-09,Holiday parks & campgrounds,Stay unit nights occupied,419100.0
2025-10,Holiday parks & campgrounds,Stay unit nights occupied,531400.0
2025-11,Holiday parks & campgrounds,Stay unit nights occupied,659400.0
2025-12,Holiday parks & campgrounds,Stay unit nights occupied,995400.0
2026-01,Holiday parks & campgrounds,Stay unit nights occupied,1379600.0
2026-02,Holiday parks & campgrounds,Stay unit nights occupied,968800.0
2026-03,Holiday parks & campgrounds,Stay unit nights occupied,824200.0
2026-04,Holiday parks & campgrounds,Stay unit nights occupied,650700.0
2026-05,Holiday parks & campgrounds,Stay unit nights occupied,389400.0
2026-06,Holiday parks & campgrounds,Stay unit nights occupied,281900.0
2026-07,Holiday parks & campgrounds,Stay unit nights occupied,361500.0
2020-06,Holiday parks & campgrounds,Total guest nights,633700.0
2020-07,Holiday parks & campgrounds,Total guest nights,1027800.0
2020-08,Holiday parks & campgrounds,Total guest nights,679500.0
2020-09,Holiday parks & campgrounds,Total guest nights,1024800.0
2020-10,Holiday parks & campgrounds,Total guest nights,1450300.0
2020-11,Holiday parks & campgrounds,Total guest nights,1014900.0
2020-12,Holiday parks & campgrounds,Total guest nights,2195600.0
2021-01,Holiday parks & campgrounds,Total guest nights,3676200.0
2021-02,Holiday parks & campgrounds,Total guest nights,1638600.0
2021-03,Holiday parks & campgrounds,Total guest nights,1261400.0
2021-04,Holiday parks & campgrounds,Total guest nights,1769900.0
2021-05,Holiday parks & campgrounds,Total guest nights,774300.0
2021-06,Holiday parks & campgrounds,Total guest nights,727800.0
2021-07,Holiday parks & campgrounds,Total guest nights,918300.0
2021-08,Holiday parks & campgrounds,Total guest nights,512400.0
2021-09,Holiday parks & campgrounds,Total guest nights,514900.0
2021-10,Holiday parks & campgrounds,Total guest nights,946900.0
2021-11,Holiday parks & campgrounds,Total guest nights,706800.0
2021-12,Holiday parks & campgrounds,Total guest nights,1790000.0
2022-01,Holiday parks & campgrounds,Total guest nights,3414300.0
2022-02,Holiday parks & campgrounds,Total guest nights,1239200.0
2022-03,Holiday parks & campgrounds,Total guest nights,1014100.0
2022-04,Holiday parks & campgrounds,Total guest nights,1504300.0
2022-05,Holiday parks & campgrounds,Total guest nights,714500.0
2022-06,Holiday parks & campgrounds,Total guest nights,697900.0
2022-07,Holiday parks & campgrounds,Total guest nights,812200.0
2022-08,Holiday parks & campgrounds,Total guest nights,730000.0
2022-09,Holiday parks & campgrounds,Total guest nights,881600.0
2022-10,Holiday parks & campgrounds,Total guest nights,1347300.0
2022-11,Holiday parks & campgrounds,Total guest nights,1280700.0
2022-12,Holiday parks & campgrounds,Total guest nights,2483300.0
2023-01,Holiday parks & campgrounds,Total guest nights,3670800.0
2023-02,Holiday parks & campgrounds,Total guest nights,1867100.0
2023-03,Holiday parks & campgrounds,Total guest nights,1797000.0
2023-04,Holiday parks & campgrounds,Total guest nights,1759100.0
2023-05,Holiday parks & campgrounds,Total guest nights,773800.0
2023-06,Holiday parks & campgrounds,Total guest nights,696900.0
2023-07,Holiday parks & campgrounds,Total guest nights,880600.0
2023-08,Holiday parks & campgrounds,Total guest nights,745400.0
2023-09,Holiday parks & campgrounds,Total guest nights,932100.0
2023-10,Holiday parks & campgrounds,Total guest nights,1278600.0
2023-11,Holiday parks & campgrounds,Total guest nights,1406400.0
2023-12,Holiday parks & campgrounds,Total guest nights,2552500.0
2024-01,Holiday parks & campgrounds,Total guest nights,3929100.0
2024-02,Holiday parks & campgrounds,Total guest nights,2266000.0
2024-03,Holiday parks & campgrounds,Total guest nights,2258600.0
2024-04,Holiday parks & campgrounds,Total guest nights,1418900.0
2024-05,Holiday parks & campgrounds,Total guest nights,791200.0
2024-06,Holiday parks & campgrounds,Total guest nights,708200.0
2024-07,Holiday parks & campgrounds,Total guest nights,766500.0
2024-08,Holiday parks & campgrounds,Total guest nights,704700.0
2024-09,Holiday parks & campgrounds,Total guest nights,867400.0
2024-10,Holiday parks & campgrounds,Total guest nights,1229200.0
2024-11,Holiday parks & campgrounds,Total guest nights,1384000.0
2024-12,Holiday parks & campgrounds,Total guest nights,2567600.0
2025-01,Holiday parks & campgrounds,Total guest nights,3772200.0
2025-02,Holiday parks & campgrounds,Total guest nights,2185600.0
2025-03,Holiday parks & campgrounds,Total guest nights,1837200.0
2025-04,Holiday parks & campgrounds,Total guest nights,1636700.0
2025-05,Holiday parks & campgrounds,Total guest nights,784400.0
2025-06,Holiday parks & campgrounds,Total guest nights,642900.0
2025-07,Holiday parks & campgrounds,Total guest nights,717600.0
2025-08,Holiday parks & campgrounds,Total guest nights,702800.0
2025-09,Holiday parks & campgrounds,Total guest nights,927500.0
2025-10,Holiday parks & campgrounds,Total guest nights,1166900.0
2025-11,Holiday parks & campgrounds,Total guest nights,1399400.0
2025-12,Holiday parks & campgrounds,Total guest nights,2561300.0
2026-01,Holiday parks & campgrounds,Total guest nights,3797700.0
2026-02,Holiday parks & campgrounds,Total guest nights,2212000.0
2026-03,Holiday parks & campgrounds,Total guest nights,1791200.0
2026-04,Holiday parks & campgrounds,Total guest nights,1577400.0
2026-05,Holiday parks & campgrounds,Total guest nights,801900.0
2026-06,Holiday parks & campgrounds,Total guest nights,546400.0
2026-07,Holiday parks & campgrounds,Total guest nights,811900.0
2020-06,Hotels,Domestic guest nights,675100.0
2020-07,Hotels,Domestic guest nights,1279700.0
2020-08,Hotels,Domestic guest nights,761200.0
2020-09,Hotels,Domestic guest nights,1053500.0
2020-10,Hotels,Domestic guest nights,1320200.0
2020-11,Hotels,Domestic guest nights,1102800.0
2020-12,Hotels,Domestic guest nights,1234700.0
2021-01,Hotels,Domestic guest nights,1412200.0
2021-02,Hotels,Domestic guest nights,1018000.0
2021-03,Hotels,Domestic guest nights,1092600.0
2021-04,Hotels,Domestic guest nights,1473400.0
2021-05,Hotels,Domestic guest nights,1259100.0
2021-06,Hotels,Domestic guest nights,1217600.0
2021-07,Hotels,Domestic guest nights,1555000.0
2021-08,Hotels,Domestic guest nights,709200.0
2021-09,Hotels,Domestic guest nights,386300.0
2021-10,Hotels,Domestic guest nights,716700.0
2021-11,Hotels,Domestic guest nights,588900.0
2021-12,Hotels,Domestic guest nights,882100.0
2022-01,Hotels,Domestic guest nights,1258400.0
2022-02,Hotels,Domestic guest nights,834500.0
2022-03,Hotels,Domestic guest nights,785400.0
2022-04,Hotels,Domestic guest nights,1273800.0
2022-05,Hotels,Domestic guest nights,1137600.0
2022-06,Hotels,Domestic guest nights,1308500.0
2022-07,Hotels,Domestic guest nights,1551200.0
2022-08,Hotels,Domestic guest nights,1440100.0
2022-09,Hotels,Domestic guest nights,1464200.0
2022-10,Hotels,Domestic guest nights,1653500.0
2022-11,Hotels,Domestic guest nights,1567200.0
2022-12,Hotels,Domestic guest nights,1522000.0
2023-01,Hotels,Domestic guest nights,1598900.0
2023-02,Hotels,Domestic guest nights,1510700.0
2023-03,Hotels,Domestic guest nights,1724500.0
2023-04,Hotels,Domestic guest nights,1538600.0
2023-05,Hotels,Domestic guest nights,1416200.0
2023-06,Hotels,Domestic guest nights,1393000.0
2023-07,Hotels,Domestic guest nights,1566600.0
2023-08,Hotels,Domestic guest nights,1486200.0
2023-09,Hotels,Domestic guest nights,1499400.0
2023-10,Hotels,Domestic guest nights,1520600.0
2023-11,Hotels,Domestic guest nights,1546600.0
2023-12,Hotels,Domestic guest nights,1502300.0
2024-01,Hotels,Domestic guest nights,1542600.0
2024-02,Hotels,Domestic guest nights,1513300.0
2024-03,Hotels,Domestic guest nights,1627600.0
2024-04,Hotels,Domestic guest nights,1451300.0
2024-05,Hotels,Domestic guest nights,1365800.0
2024-06,Hotels,Domestic guest nights,1298600.0
2024-07,Hotels,Domestic guest nights,1462000.0
2024-08,Hotels,Domestic guest nights,1376200.0
2024-09,Hotels,Domestic guest nights,1426700.0
2024-10,Hotels,Domestic guest nights,1556000.0
2024-11,Hotels,Domestic guest nights,1681000.0
2024-12,Hotels,Domestic guest nights,1506000.0
2025-01,Hotels,Domestic guest nights,1561400.0
2025-02,Hotels,Domestic guest nights,1472300.0
2025-03,Hotels,Domestic guest nights,1605400.0
2025-04,Hotels,Domestic guest nights,1489000.0
2025-05,Hotels,Domestic guest nights,1396900.0
2025-06,Hotels,Domestic guest nights,1294800.0
2025-07,Hotels,Domestic guest nights,1455500.0
2025-08,Hotels,Domestic guest nights,1478900.0
2025-09,Hotels,Domestic guest nights,1554300.0
2025-10,Hotels,Domestic guest nights,1585600.0
2025-11,Hotels,Domestic guest nights,1673700.0
2025-12,Hotels,Domestic guest nights,1686700.0
2026-01,Hotels,Domestic guest nights,1729800.0
2026-02,Hotels,Domestic guest nights,1633400.0
2026-03,Hotels,Domestic guest nights,1719000.0
2026-04,Hotels,Domestic guest nights,1582500.0
2026-05,Hotels,Domestic guest nights,1486900.0
2026-06,Hotels,Domestic guest nights,1274100.0
2026-07,Hotels,Domestic guest nights,1626700.0
2020-06,Hotels,Guest arrivals,370600.0
2020-07,Hotels,Guest arrivals,638900.0
2020-08,Hotels,Guest arrivals,395800.0
2020-09,Hotels,Guest arrivals,552000.0
2020-10,Hotels,Guest arrivals,657700.0
2020-11,Hotels,Guest arrivals,578500.0
2020-12,Hotels,Guest arrivals,677200.0
2021-01,Hotels,Guest arrivals,695200.0
2021-02,Hotels,Guest arrivals,556500.0
2021-03,Hotels,Guest arrivals,618600.0
2021-04,Hotels,Guest arrivals,799200.0
2021-05,Hotels,Guest arrivals,736600.0
2021-06,Hotels,Guest arrivals,706100.0
2021-07,Hotels,Guest arrivals,862600.0
2021-08,Hotels,Guest arrivals,393800.0
2021-09,Hotels,Guest arrivals,198600.0
2021-10,Hotels,Guest arrivals,355900.0
2021-11,Hotels,Guest arrivals,303100.0
2021-12,Hotels,Guest arrivals,461300.0
2022-01,Hotels,Guest arrivals,618100.0
2022-02,Hotels,Guest arrivals,436100.0
2022-03,Hotels,Guest arrivals,422100.0
2022-04,Hotels,Guest arrivals,710700.0
2022-05,Hotels,Guest arrivals,691900.0
2022-06,Hotels,Guest arrivals,805300.0
2022-07,Hotels,Guest arrivals,900000.0
2022-08,Hotels,Guest arrivals,910000.0
2022-09,Hotels,Guest arrivals,957700.0
2022-10,Hotels,Guest arrivals,1073300.0
2022-11,Hotels,Guest arrivals,1146800.0
2022-12,Hotels,Guest arrivals,1144300.0
2023-01,Hotels,Guest arrivals,1282400.0
2023-02,Hotels,Guest arrivals,1206700.0
2023-03,Hotels,Guest arrivals,1315700.0
2023-04,Hotels,Guest arrivals,1158800.0
2023-05,Hotels,Guest arrivals,999900.0
2023-06,Hotels,Guest arrivals,964100.0
2023-07,Hotels,Guest arrivals,1114900.0
2023-08,Hotels,Guest arrivals,1072300.0
2023-09,Hotels,Guest arrivals,1094000.0
2023-10,Hotels,Guest arrivals,1186400.0
2023-11,Hotels,Guest arrivals,1360600.0
2023-12,Hotels,Guest arrivals,1386100.0
2024-01,Hotels,Guest arrivals,1463900.0
2024-02,Hotels,Guest arrivals,1447100.0
2024-03,Hotels,Guest arrivals,1521400.0
2024-04,Hotels,Guest arrivals,1229700.0
2024-05,Hotels,Guest arrivals,1067200.0
2024-06,Hotels,Guest arrivals,960500.0
2024-07,Hotels,Guest arrivals,1093300.0
2024-08,Hotels,Guest arrivals,1057600.0
2024-09,Hotels,Guest arrivals,1109800.0
2024-10,Hotels,Guest arrivals,1254500.0
2024-11,Hotels,Guest arrivals,1442800.0
2024-12,Hotels,Guest arrivals,1414800.0
2025-01,Hotels,Guest arrivals,1532900.0
2025-02,Hotels,Guest arrivals,1389200.0
2025-03,Hotels,Guest arrivals,1460600.0
2025-04,Hotels,Guest arrivals,1305700.0
2025-05,Hotels,Guest arrivals,1087200.0
2025-06,Hotels,Guest arrivals,969500.0
2025-07,Hotels,Guest arrivals,1094400.0
2025-08,Hotels,Guest arrivals,1147600.0
2025-09,Hotels,Guest arrivals,1215400.0
2025-10,Hotels,Guest arrivals,1303600.0
2025-11,Hotels,Guest arrivals,1453700.0
2025-12,Hotels,Guest arrivals,1508200.0
2026-01,Hotels,Guest arrivals,1533800.0
2026-02,Hotels,Guest arrivals,1556200.0
2026-03,Hotels,Guest arrivals,1566200.0
2026-04,Hotels,Guest arrivals,1420400.0
2026-05,Hotels,Guest arrivals,1219900.0
2026-06,Hotels,Guest arrivals,1028300.0
2026-07,Hotels,Guest arrivals,1178300.0
2020-06,Hotels,International guest nights,23200.0
2020-07,Hotels,International guest nights,32300.0
2020-08,Hotels,International guest nights,33900.0
2020-09,Hotels,International guest nights,33200.0
2020-10,Hotels,International guest nights,47300.0
2020-11,Hotels,International guest nights,37900.0
2020-12,Hotels,International guest nights,25800.0
2021-01,Hotels,International guest nights,37400.0
2021-02,Hotels,International guest nights,36100.0
2021-03,Hotels,International guest nights,79400.0
2021-04,Hotels,International guest nights,54400.0
2021-05,Hotels,International guest nights,93700.0
2021-06,Hotels,International guest nights,116400.0
2021-07,Hotels,International guest nights,97800.0
2021-08,Hotels,International guest nights,53600.0
2021-09,Hotels,International guest nights,13800.0
2021-10,Hotels,International guest nights,16500.0
2021-11,Hotels,International guest nights,12600.0
2021-12,Hotels,International guest nights,19600.0
2022-01,Hotels,International guest nights,17900.0
2022-02,Hotels,International guest nights,24700.0
2022-03,Hotels,International guest nights,37200.0
2022-04,Hotels,International guest nights,67300.0
2022-05,Hotels,International guest nights,130900.0
2022-06,Hotels,International guest nights,203900.0
2022-07,Hotels,International guest nights,341700.0
2022-08,Hotels,International guest nights,331200.0
2022-09,Hotels,International guest nights,375400.0
2022-10,Hotels,International guest nights,468200.0
2022-11,Hotels,International guest nights,619600.0
2022-12,Hotels,International guest nights,691000.0
2023-01,Hotels,International guest nights,916800.0
2023-02,Hotels,International guest nights,807700.0
2023-03,Hotels,International guest nights,835600.0
2023-04,Hotels,International guest nights,691900.0
2023-05,Hotels,International guest nights,480700.0
2023-06,Hotels,International guest nights,434800.0
2023-07,Hotels,International guest nights,687500.0
2023-08,Hotels,International guest nights,637100.0
2023-09,Hotels,International guest nights,655700.0
2023-10,Hotels,International guest nights,785200.0
2023-11,Hotels,International guest nights,964800.0
2023-12,Hotels,International guest nights,1099800.0
2024-01,Hotels,International guest nights,1224600.0
2024-02,Hotels,International guest nights,1197900.0
2024-03,Hotels,International guest nights,1191100.0
2024-04,Hotels,International guest nights,867900.0
2024-05,Hotels,International guest nights,611900.0
2024-06,Hotels,International guest nights,527800.0
2024-07,Hotels,International guest nights,706900.0
2024-08,Hotels,International guest nights,626700.0
2024-09,Hotels,International guest nights,644900.0
2024-10,Hotels,International guest nights,770500.0
2024-11,Hotels,International guest nights,990100.0
2024-12,Hotels,International guest nights,1179600.0
2025-01,Hotels,International guest nights,1365700.0
2025-02,Hotels,International guest nights,1172800.0
2025-03,Hotels,International guest nights,1124200.0
2025-04,Hotels,International guest nights,985300.0
2025-05,Hotels,International guest nights,614200.0
2025-06,Hotels,International guest nights,521800.0
2025-07,Hotels,International guest nights,740900.0
2025-08,Hotels,International guest nights,687600.0
2025-09,Hotels,International guest nights,729500.0
2025-10,Hotels,International guest nights,895400.0
2025-11,Hotels,International guest nights,1137400.0
2025-12,Hotels,International guest nights,1328000.0
2026-01,Hotels,International guest nights,1503200.0
2026-02,Hotels,International guest nights,1323400.0
2026-03,Hotels,International guest nights,1260800.0
2026-04,Hotels,International guest nights,1104700.0
2026-05,Hotels,International guest nights,831700.0
2026-06,Hotels,International guest nights,634700.0
2026-07,Hotels,International guest nights,831100.0
2020-06,Hotels,Number of active establishments,540.0
2020-07,Hotels,Number of active establishments,546.0
2020-08,Hotels,Number of active establishments,552.0
2020-09,Hotels,Number of active establishments,560.0
2020-10,Hotels,Number of active establishments,574.0
2020-11,Hotels,Number of active establishments,576.0
2020-12,Hotels,Number of active establishments,590.0
2021-01,Hotels,Number of active establishments,596.0
2021-02,Hotels,Number of active establishments,592.0
2021-03,Hotels,Number of active establishments,596.0
2021-04,Hotels,Number of active establishments,596.0
2021-05,Hotels,Number of active establishments,598.0
2021-06,Hotels,Number of active establishments,598.0
2021-07,Hotels,Number of active establishments,596.0
2021-08,Hotels,Number of active establishments,598.0
2021-09,Hotels,Number of active establishments,572.0
2021-10,Hotels,Number of active establishments,586.0
2021-11,Hotels,Number of active establishments,598.0
2021-12,Hotels,Number of active establishments,616.0
2022-01,Hotels,Number of active establishments,620.0
2022-02,Hotels,Number of active establishments,628.0
2022-03,Hotels,Number of active establishments,634.0
2022-04,Hotels,Number of active establishments,632.0
2022-05,Hotels,Number of active establishments,650.0
2022-06,Hotels,Number of active establishments,680.0
2022-07,Hotels,Number of active establishments,696.0
2022-08,Hotels,Number of active establishments,704.0
2022-09,Hotels,Number of active establishments,710.0
2022-10,Hotels,Number of active establishments,714.0
2022-11,Hotels,Number of active establishments,718.0
2022-12,Hotels,Number of active establishments,724.0
2023-01,Hotels,Number of active establishments,724.0
2023-02,Hotels,Number of active establishments,718.0
2023-03,Hotels,Number of active establishments,716.0
2023-04,Hotels,Number of active establishments,716.0
2023-05,Hotels,Number of active establishments,720.0
2023-06,Hotels,Number of active establishments,718.0
2023-07,Hotels,Number of active establishments,716.0
2023-08,Hotels,Number of active establishments,722.0
2023-09,Hotels,Number of active establishments,732.0
2023-10,Hotels,Number of active establishments,736.0
2023-11,Hotels,Number of active establishments,738.0
2023-12,Hotels,Number of active establishments,744.0
2024-01,Hotels,Number of active establishments,746.0
2024-02,Hotels,Number of active establishments,746.0
2024-03,Hotels,Number of active establishments,748.0
2024-04,Hotels,Number of active establishments,748.0
2024-05,Hotels,Number of active establishments,738.0
2024-06,Hotels,Number of active establishments,734.0
2024-07,Hotels,Number of active establishments,734.0
2024-08,Hotels,Number of active establishments,738.0
2024-09,Hotels,Number of active establishments,744.0
2024-10,Hotels,Number of active establishments,750.0
2024-11,Hotels,Number of active establishments,756.0
2024-12,Hotels,Number of active establishments,760.0
2025-01,Hotels,Number of active establishments,756.0
2025-02,Hotels,Number of active establishments,756.0
2025-03,Hotels,Number of active establishments,760.0
2025-04,Hotels,Number of active establishments,760.0
2025-05,Hotels,Number of active establishments,752.0
2025-06,Hotels,Number of active establishments,750.0
2025-07,Hotels,Number of active establishments,752.0
2025-08,Hotels,Number of active establishments,760.0
2025-09,Hotels,Number of active establishments,764.0
2025-10,Hotels,Number of active establishments,770.0
2025-11,Hotels,Number of active establishments,768.0
2025-12,Hotels,Number of active establishments,774.0
2026-01,Hotels,Number of active establishments,772.0
2026-02,Hotels,Number of active establishments,772.0
2026-03,Hotels,Number of active establishments,772.0
2026-04,Hotels,Number of active establishments,772.0
2026-05,Hotels,Number of active establishments,766.0
2026-06,Hotels,Number of active establishments,758.0
2026-07,Hotels,Number of active establishments,756.0
2020-06,Hotels,Stay unit nights occupied,406100.0
2020-07,Hotels,Stay unit nights occupied,677500.0
2020-08,Hotels,Stay unit nights occupied,451700.0
2020-09,Hotels,Stay unit nights occupied,611900.0
2020-10,Hotels,Stay unit nights occupied,766200.0
2020-11,Hotels,Stay unit nights occupied,702000.0
2020-12,Hotels,Stay unit nights occupied,675000.0
2021-01,Hotels,Stay unit nights occupied,707400.0
2021-02,Hotels,Stay unit nights occupied,617300.0
2021-03,Hotels,Stay unit nights occupied,719700.0
2021-04,Hotels,Stay unit nights occupied,822900.0
2021-05,Hotels,Stay unit nights occupied,833000.0
2021-06,Hotels,Stay unit nights occupied,795800.0
2021-07,Hotels,Stay unit nights occupied,889500.0
2021-08,Hotels,Stay unit nights occupied,472800.0
2021-09,Hotels,Stay unit nights occupied,236600.0
2021-10,Hotels,Stay unit nights occupied,409900.0
2021-11,Hotels,Stay unit nights occupied,381300.0
2021-12,Hotels,Stay unit nights occupied,482700.0
2022-01,Hotels,Stay unit nights occupied,636200.0
2022-02,Hotels,Stay unit nights occupied,499800.0
2022-03,Hotels,Stay unit nights occupied,502900.0
2022-04,Hotels,Stay unit nights occupied,696300.0
2022-05,Hotels,Stay unit nights occupied,813900.0
2022-06,Hotels,Stay unit nights occupied,918900.0
2022-07,Hotels,Stay unit nights occupied,1065100.0
2022-08,Hotels,Stay unit nights occupied,1090800.0
2022-09,Hotels,Stay unit nights occupied,1127100.0
2022-10,Hotels,Stay unit nights occupied,1272100.0
2022-11,Hotels,Stay unit nights occupied,1374500.0
2022-12,Hotels,Stay unit nights occupied,1182600.0
2023-01,Hotels,Stay unit nights occupied,1306300.0
2023-02,Hotels,Stay unit nights occupied,1350500.0
2023-03,Hotels,Stay unit nights occupied,1550600.0
2023-04,Hotels,Stay unit nights occupied,1238700.0
2023-05,Hotels,Stay unit nights occupied,1207800.0
2023-06,Hotels,Stay unit nights occupied,1122800.0
2023-07,Hotels,Stay unit nights occupied,1274100.0
2023-08,Hotels,Stay unit nights occupied,1296100.0
2023-09,Hotels,Stay unit nights occupied,1277700.0
2023-10,Hotels,Stay unit nights occupied,1374800.0
2023-11,Hotels,Stay unit nights occupied,1543200.0
2023-12,Hotels,Stay unit nights occupied,1397300.0
2024-01,Hotels,Stay unit nights occupied,1459000.0
2024-02,Hotels,Stay unit nights occupied,1588600.0
2024-03,Hotels,Stay unit nights occupied,1648800.0
2024-04,Hotels,Stay unit nights occupied,1356100.0
2024-05,Hotels,Stay unit nights occupied,1252400.0
2024-06,Hotels,Stay unit nights occupied,1108700.0
2024-07,Hotels,Stay unit nights occupied,1247800.0
2024-08,Hotels,Stay unit nights occupied,1241300.0
2024-09,Hotels,Stay unit nights occupied,1256800.0
2024-10,Hotels,Stay unit nights occupied,1381000.0
2024-11,Hotels,Stay unit nights occupied,1609500.0
2024-12,Hotels,Stay unit nights occupied,1485600.0
2025-01,Hotels,Stay unit nights occupied,1563500.0
2025-02,Hotels,Stay unit nights occupied,1553900.0
2025-03,Hotels,Stay unit nights occupied,1653000.0
2025-04,Hotels,Stay unit nights occupied,1394200.0
2025-05,Hotels,Stay unit nights occupied,1261900.0
2025-06,Hotels,Stay unit nights occupied,1100200.0
2025-07,Hotels,Stay unit nights occupied,1255000.0
2025-08,Hotels,Stay unit nights occupied,1309100.0
2025-09,Hotels,Stay unit nights occupied,1377600.0
2025-10,Hotels,Stay unit nights occupied,1486300.0
2025-11,Hotels,Stay unit nights occupied,1689300.0
2025-12,Hotels,Stay unit nights occupied,1577600.0
2026-01,Hotels,Stay unit nights occupied,1681200.0
2026-02,Hotels,Stay unit nights occupied,1708100.0
2026-03,Hotels,Stay unit nights occupied,1778200.0
2026-04,Hotels,Stay unit nights occupied,1479600.0
2026-05,Hotels,Stay unit nights occupied,1393800.0
2026-06,Hotels,Stay unit nights occupied,1164700.0
2026-07,Hotels,Stay unit nights occupied,1366200.0
2020-06,Hotels,Total guest nights,698800.0
2020-07,Hotels,Total guest nights,1311900.0
2020-08,Hotels,Total guest nights,794900.0
2020-09,Hotels,Total guest nights,1086600.0
2020-10,Hotels,Total guest nights,1367200.0
2020-11,Hotels,Total guest nights,1140800.0
2020-12,Hotels,Total guest nights,1260200.0
2021-01,Hotels,Total guest nights,1449900.0
2021-02,Hotels,Total guest nights,1054400.0
2021-03,Hotels,Total guest nights,1172100.0
2021-04,Hotels,Total guest nights,1527800.0
2021-05,Hotels,Total guest nights,1352800.0
2021-06,Hotels,Total guest nights,1334100.0
2021-07,Hotels,Total guest nights,1652900.0
2021-08,Hotels,Total guest nights,763200.0
2021-09,Hotels,Total guest nights,400300.0
2021-10,Hotels,Total guest nights,733400.0
2021-11,Hotels,Total guest nights,601500.0
2021-12,Hotels,Total guest nights,901900.0
2022-01,Hotels,Total guest nights,1276500.0
2022-02,Hotels,Total guest nights,859400.0
2022-03,Hotels,Total guest nights,822500.0
2022-04,Hotels,Total guest nights,1341200.0
2022-05,Hotels,Total guest nights,1268500.0
2022-06,Hotels,Total guest nights,1512200.0
2022-07,Hotels,Total guest nights,1892800.0
2022-08,Hotels,Total guest nights,1771200.0
2022-09,Hotels,Total guest nights,1840100.0
2022-10,Hotels,Total guest nights,2121500.0
2022-11,Hotels,Total guest nights,2186900.0
2022-12,Hotels,Total guest nights,2212700.0
2023-01,Hotels,Total guest nights,2515500.0
2023-02,Hotels,Total guest nights,2318300.0
2023-03,Hotels,Total guest nights,2559800.0
2023-04,Hotels,Total guest nights,2231000.0
2023-05,Hotels,Total guest nights,1896800.0
2023-06,Hotels,Total guest nights,1827300.0
2023-07,Hotels,Total guest nights,2254000.0
2023-08,Hotels,Total guest nights,2123900.0
2023-09,Hotels,Total guest nights,2155000.0
2023-10,Hotels,Total guest nights,2305500.0
2023-11,Hotels,Total guest nights,2511600.0
2023-12,Hotels,Total guest nights,2602000.0
2024-01,Hotels,Total guest nights,2767300.0
2024-02,Hotels,Total guest nights,2711000.0
2024-03,Hotels,Total guest nights,2818900.0
2024-04,Hotels,Total guest nights,2319200.0
2024-05,Hotels,Total guest nights,1977600.0
2024-06,Hotels,Total guest nights,1826200.0
2024-07,Hotels,Total guest nights,2169000.0
2024-08,Hotels,Total guest nights,2003100.0
2024-09,Hotels,Total guest nights,2071900.0
2024-10,Hotels,Total guest nights,2326500.0
2024-11,Hotels,Total guest nights,2671000.0
2024-12,Hotels,Total guest nights,2685400.0
2025-01,Hotels,Total guest nights,2927000.0
2025-02,Hotels,Total guest nights,2644700.0
2025-03,Hotels,Total guest nights,2729700.0
2025-04,Hotels,Total guest nights,2474300.0
2025-05,Hotels,Total guest nights,2010800.0
2025-06,Hotels,Total guest nights,1816500.0
2025-07,Hotels,Total guest nights,2196200.0
2025-08,Hotels,Total guest nights,2166800.0
2025-09,Hotels,Total guest nights,2283600.0
2025-10,Hotels,Total guest nights,2480900.0
2025-11,Hotels,Total guest nights,2810900.0
2025-12,Hotels,Total guest nights,3014500.0
2026-01,Hotels,Total guest nights,3233000.0
2026-02,Hotels,Total guest nights,2956700.0
2026-03,Hotels,Total guest nights,2979500.0
2026-04,Hotels,Total guest nights,2687000.0
2026-05,Hotels,Total guest nights,2318800.0
2026-06,Hotels,Total guest nights,1908900.0
2026-07,Hotels,Total guest nights,2457400.0
2020-06,Lodges & boutique accommodation,Domestic guest nights,49400.0
2020-07,Lodges & boutique accommodation,Domestic guest nights,98600.0
2020-08,Lodges & boutique accommodation,Domestic guest nights,59800.0
2020-09,Lodges & boutique accommodation,Domestic guest nights,88900.0
2020-10,Lodges & boutique accommodation,Domestic guest nights,130000.0
2020-11,Lodges & boutique accommodation,Domestic guest nights,113700.0
2020-12,Lodges & boutique accommodation,Domestic guest nights,123000.0
2021-01,Lodges & boutique accommodation,Domestic guest nights,156100.0
