symbol,report_date,time,name,fiscal_quarter_ending
MNSO,2023-02-28,time-not-supplied,MINISO Group Holding Limited,2022-12-31
MNST,2023-02-28,time-not-supplied,Monster Beverage Corporation,2022-12-31
MQ,2023-02-28,time-not-supplied,"Marqeta, Inc.",2022-12-31
MRSN,2023-02-28,time-not-supplied,"Mersana Therapeutics, Inc.",2022-12-31
MRUS,2023-02-28,time-not-supplied,Merus N.V.,2022-12-31
MVIS,2023-02-28,time-not-supplied,"Microvision, Inc.",2022-12-31
MYGN,2023-02-28,time-not-supplied,"Myriad Genetics, Inc.",2022-12-31
NCLH,2023-02-28,time-not-supplied,Norwegian Cruise Line Holdings Ltd.,2022-12-31
NFE,2023-02-28,time-not-supplied,New Fortress Energy Inc.,2022-12-31
NKTR,2023-02-28,time-not-supplied,Nektar Therapeutics,2022-12-31
NNI,2023-02-28,time-not-supplied,"Nelnet, Inc.",2022-12-31
NRDY,2023-02-28,time-not-supplied,Nerdy Inc.,2022-12-31
NTRA,2023-02-28,time-not-supplied,"Natera, Inc.",2022-12-31
NUWE,2023-02-28,time-not-supplied,"Nuwellis, Inc.",2022-12-31
NVAX,2023-02-28,time-not-supplied,"Novavax, Inc.",2022-12-31
NXST,2023-02-28,time-not-supplied,"Nexstar Media Group, Inc.",2022-12-31
OCGN,2023-02-28,time-not-supplied,"Ocugen, Inc.",2022-12-31
OLPX,2023-02-28,time-not-supplied,"Olaplex Holdings, Inc.",2022-12-31
OMCL,2023-02-28,time-not-supplied,"Omnicell, Inc.",2022-12-31
OMI,2023-02-28,time-not-supplied,"Owens & Minor, Inc.",2022-12-31
ONIT,2023-02-28,time-not-supplied,Onity Group Inc.,2022-12-31
ONTF,2023-02-28,time-not-supplied,"ON24, Inc.",2022-12-31
OSPN,2023-02-28,time-not-supplied,OneSpan Inc.,2022-12-31
PAYO,2023-02-28,time-not-supplied,Payoneer Global Inc.,2022-12-31
PCRX,2023-02-28,time-not-supplied,"Pacira BioSciences, Inc.",2022-12-31
PHAT,2023-02-28,time-not-supplied,"Phathom Pharmaceuticals, Inc.",2022-12-31
PLTK,2023-02-28,time-not-supplied,Playtika Holding Corp.,2022-12-31
PRCT,2023-02-28,time-not-supplied,PROCEPT BioRobotics Corporation,2022-12-31
PRKS,2023-02-28,time-not-supplied,United Parks & Resorts Inc.,2022-12-31
PRM,2023-02-28,time-not-supplied,"Perimeter Solutions, SA",2022-12-31
PRVA,2023-02-28,time-not-supplied,"Privia Health Group, Inc.",2022-12-31
PUBM,2023-02-28,time-not-supplied,"PubMatic, Inc.",2022-12-31
QXO,2023-02-28,time-not-supplied,"QXO, Inc. ",2022-12-31
RCUS,2023-02-28,time-not-supplied,"Arcus Biosciences, Inc.",2022-12-31
RDNT,2023-02-28,time-not-supplied,"RadNet, Inc.",2022-12-31
REAL,2023-02-28,time-not-supplied,"The RealReal, Inc.",2022-12-31
RGNX,2023-02-28,time-not-supplied,REGENXBIO Inc.,2022-12-31
RIVN,2023-02-28,time-not-supplied,"Rivian Automotive, Inc.",2022-12-31
RKLB,2023-02-28,time-not-supplied,Rocket Lab Corporation,2022-12-31
RKT,2023-02-28,time-not-supplied,"Rocket Companies, Inc.",2022-12-31
RNA,2023-02-28,time-not-supplied,"Avidity Biosciences, Inc.",2022-12-31
ROG,2023-02-28,time-not-supplied,Rogers Corporation,2022-12-31
ROST,2023-02-28,time-not-supplied,"Ross Stores, Inc.",2023-01-31
RPTX,2023-02-28,time-not-supplied,Repare Therapeutics Inc.,2022-12-31
RRGB,2023-02-28,time-not-supplied,"Red Robin Gourmet Burgers, Inc.",2022-12-31
RYAN,2023-02-28,time-not-supplied,"Ryan Specialty Holdings, Inc.",2022-12-31
SAVA,2023-02-28,time-not-supplied,"Cassava Sciences, Inc.",2022-12-31
SBR,2023-02-28,time-not-supplied,Sabine Royalty Trust,2022-12-31
SCM,2023-02-28,time-not-supplied,Stellus Capital Investment Corporation,2022-12-31
SCOR,2023-02-28,time-not-supplied,"comScore, Inc.",2022-12-31
SDGR,2023-02-28,time-not-supplied,"Schrodinger, Inc.",2022-12-31
SHC,2023-02-28,time-not-supplied,Sotera Health Company,2022-12-31
SHLS,2023-02-28,time-not-supplied,"Shoals Technologies Group, Inc.",2022-12-31
SJM,2023-02-28,time-not-supplied,The J.M. Smucker Company ,2023-01-31
SKIN,2023-02-28,time-not-supplied,The Beauty Health Company,2022-12-31
SKWD,2023-02-28,time-not-supplied,"Skyward Specialty Insurance Group, Inc.",2022-12-31
SLDP,2023-02-28,time-not-supplied,"Solid Power, Inc.",2022-12-31
SLRC,2023-02-28,time-not-supplied,SLR Investment Corp.,2022-12-31
SND,2023-02-28,time-not-supplied,"Smart Sand, Inc.",2022-12-31
SNDX,2023-02-28,time-not-supplied,"Syndax Pharmaceuticals, Inc.",2022-12-31
SPCE,2023-02-28,time-not-supplied,"Virgin Galactic Holdings, Inc.",2022-12-31
SRE,2023-02-28,time-not-supplied,Sempra ,2022-12-31
SRPT,2023-02-28,time-not-supplied,"Sarepta Therapeutics, Inc.",2022-12-31
SUPN,2023-02-28,time-not-supplied,"Supernus Pharmaceuticals, Inc.",2022-12-31
SUZ,2023-02-28,time-not-supplied,Suzano S.A.,2022-12-31
SVC,2023-02-28,time-not-supplied,Service Properties Trust,2022-12-31
SWX,2023-02-28,time-not-supplied,"Southwest Gas Holdings, Inc.",2022-12-31
TALO,2023-02-28,time-not-supplied,"Talos Energy, Inc.",2022-12-31
TCPC,2023-02-28,time-not-supplied,BlackRock TCP Capital Corp.,2022-12-31
TGT,2023-02-28,time-not-supplied,Target Corporation,2023-01-31
TGTX,2023-02-28,time-not-supplied,"TG Therapeutics, Inc.",2022-12-31
THTX,2023-02-28,time-not-supplied,Theratechnologies Inc.,2022-11-30
TILE,2023-02-28,time-not-supplied,"Interface, Inc.",2022-12-31
UMH,2023-02-28,time-not-supplied,"UMH Properties, Inc.",2022-12-31
URBN,2023-02-28,time-not-supplied,"Urban Outfitters, Inc.",2023-01-31
VRM,2023-02-28,time-not-supplied,"Vroom, Inc.",2022-12-31
VRSK,2023-02-28,time-not-supplied,"Verisk Analytics, Inc.",2022-12-31
WRBY,2023-02-28,time-not-supplied,Warby Parker Inc.,2022-12-31
WSR,2023-02-28,time-not-supplied,Whitestone REIT,2022-12-31
XPEL,2023-02-28,time-not-supplied,"XPEL, Inc.",2022-12-31
XRAY,2023-02-28,time-not-supplied,DENTSPLY SIRONA Inc.,2022-12-31
ZVIA,2023-02-28,time-not-supplied,Zevia PBC,2022-12-31
ACIW,2023-03-01,time-not-supplied,"ACI Worldwide, Inc.",2022-12-31
ADV,2023-03-01,time-not-supplied,Advantage Solutions Inc. ,2022-12-31
AEO,2023-03-01,time-not-supplied,"American Eagle Outfitters, Inc.",2023-01-31
AGL,2023-03-01,time-not-supplied,"agilon health, inc.",2022-12-31
AMRN,2023-03-01,time-not-supplied,Amarin Corporation plc,2022-12-31
ANAB,2023-03-01,time-not-supplied,"AnaptysBio, Inc.",2022-12-31
ANF,2023-03-01,time-not-supplied,Abercrombie & Fitch Company,2023-01-31
ASTE,2023-03-01,time-not-supplied,"Astec Industries, Inc.",2022-12-31
AVDX,2023-03-01,time-not-supplied,"AvidXchange Holdings, Inc.",2022-12-31
AWR,2023-03-01,time-not-supplied,American States Water Company,2022-12-31
BATRA,2023-03-01,time-not-supplied,"Atlanta Braves Holdings, Inc.",2022-12-31
BATRK,2023-03-01,time-not-supplied,"Atlanta Braves Holdings, Inc.",2022-12-31
BBSI,2023-03-01,time-not-supplied,"Barrett Business Services, Inc.",2022-12-31
BOX,2023-03-01,time-not-supplied,"Box, Inc.",2023-01-31
CCCS,2023-03-01,time-not-supplied,CCC Intelligent Solutions Holdings Inc.,2022-12-31
CDLX,2023-03-01,time-not-supplied,"Cardlytics, Inc.",2022-12-31
CELH,2023-03-01,time-not-supplied,"Celsius Holdings, Inc.",2022-12-31
CERT,2023-03-01,time-not-supplied,"Certara, Inc.",2022-12-31
CIX,2023-03-01,time-not-supplied,CompX International Inc.,2022-12-31
CLH,2023-03-01,time-not-supplied,"Clean Harbors, Inc.",2022-12-31
CLMB,2023-03-01,time-not-supplied,"Climb Global Solutions, Inc.",2022-12-31
CLPT,2023-03-01,time-not-supplied,ClearPoint Neuro Inc.,2022-12-31
CLVT,2023-03-01,time-not-supplied,Clarivate Plc,2022-12-31
CMPO,2023-03-01,time-not-supplied,"CompoSecure, Inc. ",2022-12-31
CODI,2023-03-01,time-not-supplied,Compass Diversified ,2022-12-31
CRDO,2023-03-01,time-not-supplied,Credo Technology Group Holding Ltd,2023-01-31
CRM,2023-03-01,time-not-supplied,"Salesforce, Inc.",2023-01-31
CSTE,2023-03-01,time-not-supplied,Caesarstone Ltd.,2022-12-31
CULP,2023-03-01,time-not-supplied,"Culp, Inc.",2023-01-31
CWT,2023-03-01,time-not-supplied,California Water  Service Group Holding,2022-12-31
CYTK,2023-03-01,time-not-supplied,"Cytokinetics, Incorporated",2022-12-31
DCI,2023-03-01,time-not-supplied,"Donaldson Company, Inc.",2023-01-31
DHC,2023-03-01,time-not-supplied,Diversified Healthcare Trust ,2022-12-31
DIBS,2023-03-01,time-not-supplied,"1stdibs.com, Inc.",2022-12-31
DIN,2023-03-01,time-not-supplied,"Dine Brands Global, Inc.",2022-12-31
DLTR,2023-03-01,time-not-supplied,"Dollar Tree, Inc.",2023-01-31
DMRC,2023-03-01,time-not-supplied,Digimarc Corporation,2022-12-31
DNA,2023-03-01,time-not-supplied,"Ginkgo Bioworks Holdings, Inc.",2022-12-31
DSGX,2023-03-01,time-not-supplied,The Descartes Systems Group Inc.,2023-01-31
DV,2023-03-01,time-not-supplied,"DoubleVerify Holdings, Inc.",2022-12-31
DY,2023-03-01,time-not-supplied,"Dycom Industries, Inc.",2023-01-31
EFXT,2023-03-01,time-not-supplied,Enerflex Ltd,2022-12-31
ENIC,2023-03-01,time-not-supplied,Enel Chile S.A.,2022-12-31
ERIE,2023-03-01,time-not-supplied,Erie Indemnity Company,2022-12-31
EVLV,2023-03-01,time-not-supplied,"Evolv Technologies Holdings, Inc.",2022-12-31
EYE,2023-03-01,time-not-supplied,"National Vision Holdings, Inc.",2022-12-31
FIP,2023-03-01,time-not-supplied,FTAI Infrastructure Inc.,2022-12-31
FNKO,2023-03-01,time-not-supplied,"Funko, Inc.",2022-12-31
FOLD,2023-03-01,time-not-supplied,"Amicus Therapeutics, Inc.",2022-12-31
FSS,2023-03-01,time-not-supplied,Federal Signal Corporation,2022-12-31
FTDR,2023-03-01,time-not-supplied,"frontdoor, inc.",2022-12-31
FWONA,2023-03-01,time-not-supplied,Liberty Media Corporation,2022-12-31
FWONK,2023-03-01,time-not-supplied,Liberty Media Corporation,2022-12-31
GDEN,2023-03-01,time-not-supplied,"Golden Entertainment, Inc.",2022-12-31
GEF,2023-03-01,time-not-supplied,"Greif, Inc.",2023-01-31
GOLF,2023-03-01,time-not-supplied,Acushnet Holdings Corp.,2022-12-31
GSAT,2023-03-01,time-not-supplied,"Globalstar, Inc.",2022-12-31
GSL,2023-03-01,time-not-supplied,"Global Ship Lease, Inc.",2022-12-31
GWH,2023-03-01,time-not-supplied,"ESS Tech, Inc.",2022-12-31
HGV,2023-03-01,time-not-supplied,Hilton Grand Vacations Inc.,2022-12-31
HR,2023-03-01,time-not-supplied,Healthcare Realty Trust Incorporated,2022-12-31
IMCR,2023-03-01,time-not-supplied,Immunocore Holdings plc,2022-12-31
INO,2023-03-01,time-not-supplied,"Inovio Pharmaceuticals, Inc.",2022-12-31
INSG,2023-03-01,time-not-supplied,Inseego Corp.,2022-12-31
INVZ,2023-03-01,time-not-supplied,Innoviz Technologies Ltd.,2022-12-31
JACK,2023-03-01,time-not-supplied,Jack In The Box Inc.,2022-12-31
JAZZ,2023-03-01,time-not-supplied,Jazz Pharmaceuticals plc,2022-12-31
KSS,2023-03-01,time-not-supplied,Kohl's Corporation,2023-01-31
LNW,2023-03-01,time-not-supplied,"Light & Wonder, Inc. ",2022-12-31
LOW,2023-03-01,time-not-supplied,"Lowe's Companies, Inc.",2023-01-31
MLCO,2023-03-01,time-not-supplied,Melco Resorts & Entertainment Limited,2022-12-31
MLNK,2023-03-01,time-not-supplied,"MeridianLink, Inc.",2022-12-31
MRAM,2023-03-01,time-not-supplied,"Everspin Technologies, Inc.",2022-12-31
MRCC,2023-03-01,time-not-supplied,Monroe Capital Corporation,2022-12-31
MSC,2023-03-01,time-not-supplied,Studio City International Holdings Limited,2022-12-31
MYE,2023-03-01,time-not-supplied,"Myers Industries, Inc.",2022-12-31
NIO,2023-03-01,time-not-supplied,NIO Inc.,2022-12-31
NOVT,2023-03-01,time-not-supplied,Novanta Inc.,2022-12-31
NYAX,2023-03-01,time-not-supplied,Nayax Ltd.,2022-12-31
ODP,2023-03-01,time-not-supplied,The ODP Corporation,2022-12-31
OKTA,2023-03-01,time-not-supplied,"Okta, Inc.",2023-01-31
ORGO,2023-03-01,time-not-supplied,Organogenesis Holdings Inc. ,2022-12-31
PAR,2023-03-01,time-not-supplied,PAR Technology Corporation,2022-12-31
PBT,2023-03-01,time-not-supplied,Permian Basin Royalty Trust,2022-12-31
PLPC,2023-03-01,time-not-supplied,Preformed Line Products Company,2022-12-31
PLUG,2023-03-01,time-not-supplied,"Plug Power, Inc.",2022-12-31
PMVP,2023-03-01,time-not-supplied,"PMV Pharmaceuticals, Inc.",2022-12-31
PSTG,2023-03-01,time-not-supplied,"Pure Storage, Inc. ",2023-01-31
PSTL,2023-03-01,time-not-supplied,"Postal Realty Trust, Inc.",2022-12-31
QVCGA,2023-03-01,time-not-supplied,"QVC Group, Inc.",2022-12-31
RMNI,2023-03-01,time-not-supplied,"Rimini Street, Inc.",2022-12-31
RPAY,2023-03-01,time-not-supplied,Repay Holdings Corporation,2022-12-31
RSI,2023-03-01,time-not-supplied,"Rush Street Interactive, Inc.",2022-12-31
RY,2023-03-01,time-not-supplied,Royal Bank Of Canada,2023-01-31
RYTM,2023-03-01,time-not-supplied,"Rhythm Pharmaceuticals, Inc.",2022-12-31
SGRY,2023-03-01,time-not-supplied,"Surgery Partners, Inc.",2022-12-31
SNOW,2023-03-01,time-not-supplied,Snowflake Inc.,2023-01-31
SOND,2023-03-01,time-not-supplied,Sonder Holdings Inc.,2022-12-31
SRI,2023-03-01,time-not-supplied,"Stoneridge, Inc.",2022-12-31
STKL,2023-03-01,time-not-supplied,"SunOpta, Inc.",2022-12-31
STWD,2023-03-01,time-not-supplied,"STARWOOD PROPERTY TRUST, INC.",2022-12-31
TPVG,2023-03-01,time-not-supplied,TriplePoint Venture Growth BDC Corp.,2022-12-31
TUYA,2023-03-01,time-not-supplied,Tuya Inc.,2022-12-31
UWMC,2023-03-01,time-not-supplied,UWM Holdings Corporation,2022-12-31
VEEV,2023-03-01,time-not-supplied,Veeva Systems Inc.,2023-01-31
VLN,2023-03-01,time-not-supplied,Valens Semiconductor Ltd.,2022-12-31
VRRM,2023-03-01,time-not-supplied,Verra Mobility Corporation,2022-12-31
VST,2023-03-01,time-not-supplied,Vistra Corp.,2022-12-31
VUZI,2023-03-01,time-not-supplied,Vuzix Corporation,2022-12-31
WB,2023-03-01,time-not-supplied,Weibo Corporation,2022-12-31
WEN,2023-03-01,time-not-supplied,Wendy's Company (The),2022-12-31
WINA,2023-03-01,time-not-supplied,Winmark Corporation,2022-12-31
WKHS,2023-03-01,time-not-supplied,"Workhorse Group, Inc.",2022-12-31
WRAP,2023-03-01,time-not-supplied,"Wrap Technologies, Inc.",2022-12-31
XENE,2023-03-01,time-not-supplied,Xenon Pharmaceuticals Inc.,2022-12-31
XHR,2023-03-01,time-not-supplied,"Xenia Hotels & Resorts, Inc.",2022-12-31
XMTR,2023-03-01,time-not-supplied,"Xometry, Inc.",2022-12-31
YOU,2023-03-01,time-not-supplied,"Clear Secure, Inc.",2022-12-31
ZIMV,2023-03-01,time-not-supplied,ZimVie Inc.,2022-12-31
ZLAB,2023-03-01,time-not-supplied,Zai Lab Limited,2022-12-31
ZNTL,2023-03-01,time-not-supplied,"Zentalis Pharmaceuticals, Inc.",2022-12-31
ABEV,2023-03-02,time-not-supplied,Ambev S.A.,2022-12-31
ABUS,2023-03-02,time-not-supplied,Arbutus Biopharma Corporation,2022-12-31
ACCS,2023-03-02,time-not-supplied,ACCESS Newswire Inc.,2022-12-31
ACIC,2023-03-02,time-not-supplied,American Coastal Insurance Corporation,2022-12-31
ACR,2023-03-02,time-not-supplied,ACRES Commercial Realty Corp.,2022-12-31
ACU,2023-03-02,time-not-supplied,Acme United Corporation.,2022-12-31
AER,2023-03-02,time-not-supplied,AerCap Holdings N.V.,2022-12-31
AI,2023-03-02,time-not-supplied,"C3.ai, Inc.",2023-01-31
AMRX,2023-03-02,time-not-supplied,"Amneal Pharmaceuticals, Inc.",2022-12-31
ARBE,2023-03-02,time-not-supplied,Arbe Robotics Ltd.,2022-12-31
ARDX,2023-03-02,time-not-supplied,"Ardelyx, Inc.",2022-12-31
ARGX,2023-03-02,time-not-supplied,argenx SE,2022-12-31
ATRO,2023-03-02,time-not-supplied,Astronics Corporation,2022-12-31
AVGO,2023-03-02,time-not-supplied,Broadcom Inc.,2023-01-31
BBY,2023-03-02,time-not-supplied,"Best Buy Co., Inc.",2023-01-31
BFS,2023-03-02,time-not-supplied,"Saul Centers, Inc.",2022-12-31
BILI,2023-03-02,time-not-supplied,Bilibili Inc.,2022-12-31
BRFH,2023-03-02,time-not-supplied,Barfresh Food Group Inc.,2022-12-31
BUD,2023-03-02,time-not-supplied,Anheuser-Busch Inbev SA,2022-12-31
BURL,2023-03-02,time-not-supplied,"Burlington Stores, Inc.",2023-01-31
CBUS,2023-03-02,time-not-supplied,"Cibus, Inc.",2022-12-31
CCLD,2023-03-02,time-not-supplied,"CareCloud, Inc.",2022-12-31
CHPT,2023-03-02,time-not-supplied,"ChargePoint Holdings, Inc.",2023-01-31
CNQ,2023-03-02,time-not-supplied,Canadian Natural Resources Limited,2022-12-31
COO,2023-03-02,time-not-supplied,"The Cooper Companies, Inc. ",2023-01-31
COST,2023-03-02,time-not-supplied,Costco Wholesale Corporation,2023-02-28
CRAI,2023-03-02,time-not-supplied,"CRA International,Inc.",2022-12-31
CRDF,2023-03-02,time-not-supplied,"Cardiff Oncology, Inc.",2022-12-31
DBVT,2023-03-02,time-not-supplied,DBV Technologies S.A.,2022-12-31
DELL,2023-03-02,time-not-supplied,Dell Technologies Inc.,2023-01-31
DFH,2023-03-02,time-not-supplied,"Dream Finders Homes, Inc.",2022-12-31
DSP,2023-03-02,time-not-supplied,Viant Technology Inc.,2022-12-31
DYN,2023-03-02,time-not-supplied,"Dyne Therapeutics, Inc.",2022-12-31
ESTC,2023-03-02,time-not-supplied,Elastic N.V.,2023-01-31
EXK,2023-03-02,time-not-supplied,Endeavour Silver Corporation,2022-12-31
EYPT,2023-03-02,time-not-supplied,"EyePoint Pharmaceuticals, Inc.",2022-12-31
FDUS,2023-03-02,time-not-supplied,Fidus Investment Corporation,2022-12-31
GECC,2023-03-02,time-not-supplied,Great Elm Capital Corp.,2022-12-31
GHRS,2023-03-02,time-not-supplied,GH Research PLC,2022-12-31
GORO,2023-03-02,time-not-supplied,Gold Resource Corporation,2022-12-31
HIPO,2023-03-02,time-not-supplied,Hippo Holdings Inc.,2022-12-31
HPE,2023-03-02,time-not-supplied,Hewlett Packard Enterprise Company,2023-01-31
HRL,2023-03-02,time-not-supplied,Hormel Foods Corporation,2023-01-31
HRTG,2023-03-02,time-not-supplied,"Heritage Insurance Holdings, Inc.",2022-12-31
IAS,2023-03-02,time-not-supplied,Integral Ad Science Holding Corp.,2022-12-31
IGIC,2023-03-02,time-not-supplied,International General Insurance Holdings Ltd.,2022-12-31
INMB,2023-03-02,time-not-supplied,INmune Bio Inc.,2022-12-31
INVE,2023-03-02,time-not-supplied,"Identiv, Inc.",2022-12-31
IOT,2023-03-02,time-not-supplied,Samsara Inc.,2023-01-31
IPWR,2023-03-02,time-not-supplied,Ideal Power Inc.,2022-12-31
KB,2023-03-02,time-not-supplied,KB Financial Group Inc,2022-12-31
KR,2023-03-02,time-not-supplied,Kroger Company (The),2023-01-31
LEE,2023-03-02,time-not-supplied,"Lee Enterprises, Incorporated",2022-12-31
LWLG,2023-03-02,time-not-supplied,"Lightwave Logic, Inc.",2022-12-31
LXRX,2023-03-02,time-not-supplied,"Lexicon Pharmaceuticals, Inc.",2022-12-31
M,2023-03-02,time-not-supplied,Macy's Inc,2023-01-31
MCS,2023-03-02,time-not-supplied,Marcus Corporation (The),2022-12-31
MRVL,2023-03-02,time-not-supplied,"Marvell Technology, Inc.",2023-01-31
NPCE,2023-03-02,time-not-supplied,"Neuropace, Inc.",2022-12-31
NRP,2023-03-02,time-not-supplied,Natural Resource Partners LP,2022-12-31
NUTX,2023-03-02,time-not-supplied,Nutex Health Inc.,2022-12-31
NXTC,2023-03-02,time-not-supplied,"NextCure, Inc.",2022-12-31
OOMA,2023-03-02,time-not-supplied,"Ooma, Inc.",2023-01-31
PAGS,2023-03-02,time-not-supplied,PagSeguro Digital Ltd.,2022-12-31
PBPB,2023-03-02,time-not-supplied,Potbelly Corporation,2022-12-31
PBR,2023-03-02,time-not-supplied,Petroleo Brasileiro S.A.- Petrobras,2022-12-31
PBYI,2023-03-02,time-not-supplied,Puma Biotechnology Inc,2022-12-31
PTLO,2023-03-02,time-not-supplied,Portillo's Inc.,2022-12-31
RIOT,2023-03-02,time-not-supplied,"Riot Platforms, Inc.",2022-12-31
RNAC,2023-03-02,time-not-supplied,"Cartesian Therapeutics, Inc.",2022-12-31
RNXT,2023-03-02,time-not-supplied,"RenovoRx, Inc.",2022-12-31
RWAY,2023-03-02,time-not-supplied,Runway Growth Finance Corp.,2022-12-31
SAMG,2023-03-02,time-not-supplied,Silvercrest Asset Management Group Inc.,2022-12-31
SEER,2023-03-02,time-not-supplied,"Seer, Inc.",2022-12-31
SFM,2023-03-02,time-not-supplied,"Sprouts Farmers Market, Inc.",2022-12-31
SIGA,2023-03-02,time-not-supplied,SIGA Technologies Inc.,2022-12-31
SOHO,2023-03-02,time-not-supplied,Sotherly Hotels Inc.,2022-12-31
SQM,2023-03-02,time-not-supplied,Sociedad Quimica y Minera S.A.,2022-12-31
SSYS,2023-03-02,time-not-supplied,"Stratasys, Ltd.",2022-12-31
STGW,2023-03-02,time-not-supplied,Stagwell Inc.,2022-12-31
STVN,2023-03-02,time-not-supplied,Stevanato Group S.p.A.,2022-12-31
SYRE,2023-03-02,time-not-supplied,"Spyre Therapeutics, Inc.",2022-12-31
TD,2023-03-02,time-not-supplied,Toronto Dominion Bank (The),2023-01-31
TEAD,2023-03-02,time-not-supplied,Teads Holding Co.,2022-12-31
TGLS,2023-03-02,time-not-supplied,Tecnoglass Inc.,2022-12-31
TRIN,2023-03-02,time-not-supplied,Trinity Capital Inc.,2022-12-31
TTSH,2023-03-02,time-not-supplied,"Tile Shop Holdings, Inc.",2022-12-31
ULBI,2023-03-02,time-not-supplied,Ultralife Corporation,2022-12-31
UTZ,2023-03-02,time-not-supplied,Utz Brands Inc ,2022-12-31
VERI,2023-03-02,time-not-supplied,"Veritone, Inc.",2022-12-31
VMD,2023-03-02,time-not-supplied,"Viemed Healthcare, Inc.",2022-12-31
VSCO,2023-03-02,time-not-supplied,Victorias Secret & Co.,2023-01-31
VTEX,2023-03-02,time-not-supplied,VTEX,2022-12-31
VVX,2023-03-02,time-not-supplied,"V2X, Inc.",2022-12-31
WHF,2023-03-02,time-not-supplied,"WhiteHorse Finance, Inc.",2022-12-31
WHLR,2023-03-02,time-not-supplied,"Wheeler Real Estate Investment Trust, Inc.",2022-12-31
XLO,2023-03-02,time-not-supplied,"Xilio Therapeutics, Inc.",2022-12-31
XPOF,2023-03-02,time-not-supplied,"Xponential Fitness, Inc.",2022-12-31
ZS,2023-03-02,time-not-supplied,"Zscaler, Inc.",2023-01-31
AVAL,2023-03-03,time-not-supplied,Grupo Aval Acciones y Valores S.A.,2022-12-31
INTT,2023-03-03,time-not-supplied,inTest Corporation,2022-12-31
KALA,2023-03-03,time-not-supplied,"KALA BIO, Inc.",2022-12-31
KROS,2023-03-03,time-not-supplied,"Keros Therapeutics, Inc.",2022-12-31
OFS,2023-03-03,time-not-supplied,OFS Capital Corporation,2022-12-31
ONCY,2023-03-03,time-not-supplied,Oncolytics Biotech Inc.,2022-12-31
RPID,2023-03-03,time-not-supplied,"Rapid Micro Biosystems, Inc.",2022-12-31
STXS,2023-03-03,time-not-supplied,"Stereotaxis, Inc.",2022-12-31
ADAP,2023-03-06,time-not-supplied,Adaptimmune Therapeutics plc,2022-12-31
ANIK,2023-03-06,time-not-supplied,Anika Therapeutics Inc.,2022-12-31
ANNX,2023-03-06,time-not-supplied,"Annexon, Inc.",2022-12-31
ARIS,2023-03-06,time-not-supplied,"Aris Water Solutions, Inc.",2022-12-31
ASLE,2023-03-06,time-not-supplied,AerSale Corporation,2022-12-31
AVAV,2023-03-06,time-not-supplied,"AeroVironment, Inc.",2023-01-31
BBAR,2023-03-06,time-not-supplied,Banco BBVA Argentina S.A.,2022-12-31
BDSX,2023-03-06,time-not-supplied,"Biodesix, Inc.",2022-12-31
BRID,2023-03-06,time-not-supplied,Bridgford Foods Corporation,2023-01-31
CECO,2023-03-06,time-not-supplied,CECO Environmental Corp.,2022-12-31
CHRS,2023-03-06,time-not-supplied,"Coherus Oncology, Inc.",2022-12-31
CIEN,2023-03-06,time-not-supplied,Ciena Corporation,2023-01-31
CLYM,2023-03-06,time-not-supplied,"Climb Bio, Inc.",2022-12-31
CVGI,2023-03-06,time-not-supplied,"Commercial Vehicle Group, Inc.",2022-12-31
CVGW,2023-03-06,time-not-supplied,"Calavo Growers, Inc.",2023-01-31
CYCC,2023-03-06,time-not-supplied,"Cyclacel Pharmaceuticals, Inc.",2022-12-31
DAWN,2023-03-06,time-not-supplied,"Day One Biopharmaceuticals, Inc.",2022-12-31
DOMO,2023-03-06,time-not-supplied,"Domo, Inc.",2023-01-31
EARN,2023-03-06,time-not-supplied,Ellington Credit Company,2022-12-31
FSTR,2023-03-06,time-not-supplied,L.B. Foster Company,2022-12-31
GAIA,2023-03-06,time-not-supplied,"Gaia, Inc.",2022-12-31
GWRE,2023-03-06,time-not-supplied,"Guidewire Software, Inc.",2023-01-31
HPK,2023-03-06,time-not-supplied,"HighPeak Energy, Inc.",2022-12-31
IMRX,2023-03-06,time-not-supplied,Immuneering Corporation,2022-12-31
INBX,2023-03-06,time-not-supplied,"Inhibrx Biosciences, Inc.",2022-12-31
INTZ,2023-03-06,time-not-supplied,Intrusion Inc.,2022-12-31
IPI,2023-03-06,time-not-supplied,"Intrepid Potash, Inc",2022-12-31
LDWY,2023-03-06,time-not-supplied,"Lendway, Inc.",2022-12-31
NCSM,2023-03-06,time-not-supplied,"NCS Multistage Holdings, Inc.",2022-12-31
OCUL,2023-03-06,time-not-supplied,"Ocular Therapeutix, Inc.",2022-12-31
OFIX,2023-03-06,time-not-supplied,Orthofix Medical Inc. ,2022-12-31
OPHC,2023-03-06,time-not-supplied,"OptimumBank Holdings, Inc.",2022-12-31
ORMP,2023-03-06,time-not-supplied,Oramed Pharmaceuticals Inc.,2022-12-31
PASG,2023-03-06,time-not-supplied,"Passage Bio, Inc.",2022-12-31
PX,2023-03-06,time-not-supplied,"P10, Inc.",2022-12-31
QSI,2023-03-06,time-not-supplied,Quantum-Si Incorporated,2022-12-31
QTRX,2023-03-06,time-not-supplied,Quanterix Corporation,2022-12-31
RLYB,2023-03-06,time-not-supplied,Rallybio Corporation,2022-12-31
RXST,2023-03-06,time-not-supplied,"RxSight, Inc.",2022-12-31
