company_name,form_type,cik,date_filed,file_name
AMERITAS VARIABLE SEPARATE ACCOUNT V,497,783402,2026-07-02,edgar/data/783402/0000783402-26-000044.txt
AMERITAS VARIABLE SEPARATE ACCOUNT V,497,783402,2026-07-02,edgar/data/783402/0000783402-26-000045.txt
AMERITAS VARIABLE SEPARATE ACCOUNT V,497,783402,2026-07-02,edgar/data/783402/0000783402-26-000046.txt
AMERITAS VARIABLE SEPARATE ACCOUNT V,497,783402,2026-07-02,edgar/data/783402/0000783402-26-000047.txt
AMERITAS VARIABLE SEPARATE ACCOUNT V,497,783402,2026-07-02,edgar/data/783402/0000783402-26-000048.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000041.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000042.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000043.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000044.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000045.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000046.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000047.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-02,edgar/data/814848/0000814848-26-000048.txt
AMERITAS VARIABLE SEPARATE ACCOUNT VA-2,497,814848,2026-07-15,edgar/data/814848/0000814848-26-000050.txt
AMES NATIONAL CORP,10-Q,1132651,2026-08-07,edgar/data/1132651/0001437749-26-026572.txt
AMES NATIONAL CORP,13F-HR,1132651,2026-08-13,edgar/data/1132651/0001437749-26-027735.txt
AMES NATIONAL CORP,4,1132651,2026-08-03,edgar/data/1132651/0001773399-26-000006.txt
AMES NATIONAL CORP,4,1132651,2026-08-17,edgar/data/1132651/0001434609-26-000002.txt
AMES NATIONAL CORP,4,1132651,2026-08-21,edgar/data/1132651/0002062044-26-000001.txt
AMES NATIONAL CORP,4,1132651,2026-09-01,edgar/data/1132651/0001773399-26-000007.txt
AMES NATIONAL CORP,4,1132651,2026-09-10,edgar/data/1132651/0001917933-26-000002.txt
AMES NATIONAL CORP,8-K,1132651,2026-07-17,edgar/data/1132651/0001437749-26-023763.txt
AMES NATIONAL CORP,8-K,1132651,2026-08-13,edgar/data/1132651/0001437749-26-027669.txt
AMES NATIONAL CORP,N-PX,1132651,2026-08-13,edgar/data/1132651/0001132651-26-000001.txt
AMES NATIONAL CORP,SCHEDULE 13G/A,1132651,2026-08-14,edgar/data/1132651/0001767803-26-000049.txt
AMES SOPHIE C,144,2129321,2026-07-20,edgar/data/2129321/0001968582-26-000736.txt
AMES SOPHIE C,4,2129321,2026-07-15,edgar/data/2129321/0001907982-26-000103.txt
AMES SOPHIE C,4,2129321,2026-07-21,edgar/data/2129321/0002129321-26-000011.txt
AMES SOPHIE C,4,2129321,2026-08-18,edgar/data/2129321/0002129321-26-000013.txt
AMETEK INC/,10-Q,1037868,2026-08-04,edgar/data/1037868/0001037868-26-000175.txt
AMETEK INC/,144,1037868,2026-08-07,edgar/data/1037868/0001921094-26-000815.txt
AMETEK INC/,4,1037868,2026-08-10,edgar/data/1037868/0001037868-26-000181.txt
AMETEK INC/,4,1037868,2026-08-12,edgar/data/1037868/0001037868-26-000188.txt
AMETEK INC/,8-K,1037868,2026-08-04,edgar/data/1037868/0001037868-26-000173.txt
AMETEK INC/,8-K,1037868,2026-08-11,edgar/data/1037868/0001037868-26-000183.txt
AMETEK INC/,8-K,1037868,2026-08-26,edgar/data/1037868/0001037868-26-000191.txt
AMF Tjanstepension AB,13F-HR,1553562,2026-08-06,edgar/data/1553562/0001062993-26-004048.txt
AMFP VII B-1 Partners LP,D/A,2080614,2026-08-20,edgar/data/2080614/0000898432-26-000684.txt
"AMG Asset Management Group, Inc.",13F-HR,2113282,2026-07-29,edgar/data/2113282/0002113282-26-000003.txt
"AMG Asset Management Group, Inc.",N-PX,2113282,2026-07-29,edgar/data/2113282/0002113282-26-000004.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292017.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292018.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292031.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292043.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292051.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292059.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292062.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292071.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292073.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292084.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292085.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292090.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-292099.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-10,edgar/data/2097545/0001193125-26-300945.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-10,edgar/data/2097545/0001193125-26-300973.txt
"AMG BBH Asset-Backed Credit Fund, LLC",3,2097545,2026-07-21,edgar/data/2097545/0000929638-26-002655.txt
"AMG BBH Asset-Backed Credit Fund, LLC",4,2097545,2026-07-09,edgar/data/2097545/0001193125-26-299528.txt
"AMG BBH Asset-Backed Credit Fund, LLC",4,2097545,2026-07-09,edgar/data/2097545/0001193125-26-299529.txt
"AMG BBH Asset-Backed Credit Fund, LLC",4,2097545,2026-07-24,edgar/data/2097545/0000929638-26-002719.txt
"AMG BBH Asset-Backed Credit Fund, LLC",4,2097545,2026-07-24,edgar/data/2097545/0001193125-26-315864.txt
"AMG BBH Asset-Backed Credit Fund, LLC",4,2097545,2026-07-31,edgar/data/2097545/0000929638-26-002848.txt
"AMG BBH Asset-Backed Credit Fund, LLC",4,2097545,2026-07-31,edgar/data/2097545/0001193125-26-328053.txt
"AMG BBH Asset-Backed Credit Fund, LLC",40-17G,2097545,2026-07-06,edgar/data/2097545/0001193125-26-295812.txt
"AMG BBH Asset-Backed Credit Fund, LLC",424B3,2097545,2026-07-01,edgar/data/2097545/0001193125-26-291911.txt
"AMG BBH Asset-Backed Credit Fund, LLC",EFFECT,2097545,2026-07-01,edgar/data/2097545/9999999995-26-002173.txt
"AMG BBH Asset-Backed Credit Fund, LLC",N-PX,2097545,2026-09-01,edgar/data/2097545/0001438934-26-002639.txt
"AMG BBH Asset-Backed Credit Fund, LLC",NPORT-P,2097545,2026-08-28,edgar/data/2097545/0001003715-26-003099.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D,2097545,2026-07-14,edgar/data/2097545/0000929638-26-002599.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D,2097545,2026-07-14,edgar/data/2097545/0001193125-26-303495.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-07-24,edgar/data/2097545/0001193125-26-315913.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-07-31,edgar/data/2097545/0001193125-26-328063.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-07,edgar/data/2097545/0000929638-26-002925.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-12,edgar/data/2097545/0000929638-26-002994.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-17,edgar/data/2097545/0000929638-26-003103.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-18,edgar/data/2097545/0000929638-26-003124.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-21,edgar/data/2097545/0000929638-26-003185.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-25,edgar/data/2097545/0000929638-26-003202.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-08-27,edgar/data/2097545/0000929638-26-003261.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-09-04,edgar/data/2097545/0000929638-26-003464.txt
"AMG BBH Asset-Backed Credit Fund, LLC",SCHEDULE 13D/A,2097545,2026-09-11,edgar/data/2097545/0000929638-26-003501.txt
AMG ETF Trust,N-CSRS,879947,2026-09-04,edgar/data/879947/0001193125-26-383538.txt
AMG ETF Trust,N-PX,879947,2026-08-31,edgar/data/879947/0001438934-26-002588.txt
AMG ETF Trust,NPORT-P,879947,2026-08-28,edgar/data/879947/0000940400-26-035740.txt
AMG FUNDS,497,1089951,2026-07-24,edgar/data/1089951/0001193125-26-316251.txt
AMG FUNDS,497,1089951,2026-09-11,edgar/data/1089951/0001193125-26-388742.txt
AMG FUNDS,497K,1089951,2026-07-24,edgar/data/1089951/0001193125-26-316255.txt
AMG FUNDS,497K,1089951,2026-07-24,edgar/data/1089951/0001193125-26-316258.txt
AMG FUNDS,497K,1089951,2026-09-11,edgar/data/1089951/0001193125-26-388746.txt
AMG FUNDS,N-CSRS,1089951,2026-09-04,edgar/data/1089951/0001193125-26-383537.txt
AMG FUNDS,N-PX,1089951,2026-08-28,edgar/data/1089951/0001438934-26-002499.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034953.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034954.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034955.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034957.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034958.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034959.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034960.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034962.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034963.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034964.txt
AMG FUNDS,NPORT-P,1089951,2026-08-27,edgar/data/1089951/0000940400-26-034965.txt
AMG FUNDS,NPORT-P,1089951,2026-08-28,edgar/data/1089951/0000940400-26-035721.txt
AMG FUNDS,NPORT-P,1089951,2026-08-28,edgar/data/1089951/0000940400-26-035726.txt
AMG FUNDS,NPORT-P,1089951,2026-08-28,edgar/data/1089951/0000940400-26-035728.txt
AMG FUNDS,NPORT-P,1089951,2026-08-28,edgar/data/1089951/0000940400-26-035732.txt
AMG FUNDS,NPORT-P,1089951,2026-08-28,edgar/data/1089951/0000940400-26-035733.txt
AMG FUNDS III,24F-2NT,720309,2026-07-29,edgar/data/720309/0000940400-26-028727.txt
AMG FUNDS III,497,720309,2026-09-11,edgar/data/720309/0001193125-26-388743.txt
AMG FUNDS III,497K,720309,2026-09-11,edgar/data/720309/0001193125-26-388747.txt
AMG FUNDS III,N-CEN,720309,2026-08-04,edgar/data/720309/0000940400-26-028955.txt
AMG FUNDS III,N-CSR,720309,2026-07-31,edgar/data/720309/0001193125-26-327756.txt
AMG FUNDS III,N-CSRS,720309,2026-09-04,edgar/data/720309/0001193125-26-383548.txt
AMG FUNDS III,N-PX,720309,2026-08-18,edgar/data/720309/0001438934-26-000965.txt
AMG FUNDS III,NPORT-P,720309,2026-07-23,edgar/data/720309/0000940400-26-028007.txt
AMG FUNDS III,NPORT-P,720309,2026-08-27,edgar/data/720309/0000940400-26-034956.txt
AMG FUNDS III,NPORT-P,720309,2026-08-27,edgar/data/720309/0000940400-26-034961.txt
AMG Funds I,497,882443,2026-08-31,edgar/data/882443/0001193125-26-376186.txt
AMG Funds I,497,882443,2026-09-11,edgar/data/882443/0001193125-26-388744.txt
AMG Funds I,497K,882443,2026-08-31,edgar/data/882443/0001193125-26-376189.txt
AMG Funds I,497K,882443,2026-08-31,edgar/data/882443/0001193125-26-376193.txt
AMG Funds I,497K,882443,2026-09-11,edgar/data/882443/0001193125-26-388748.txt
AMG Funds I,497K,882443,2026-09-11,edgar/data/882443/0001193125-26-388749.txt
AMG Funds I,N-CSRS,882443,2026-07-01,edgar/data/882443/0001193125-26-292456.txt
AMG Funds I,N-PX,882443,2026-08-31,edgar/data/882443/0001438934-26-002552.txt
AMG Funds I,NPORT-P,882443,2026-08-28,edgar/data/882443/0000940400-26-035669.txt
AMG Funds I,NPORT-P,882443,2026-08-28,edgar/data/882443/0000940400-26-035672.txt
AMG Funds I,NPORT-P,882443,2026-08-28,edgar/data/882443/0000940400-26-035674.txt
AMG Funds I,NPORT-P,882443,2026-08-28,edgar/data/882443/0000940400-26-035680.txt
AMG Funds IV,497,912036,2026-07-20,edgar/data/912036/0001193125-26-308692.txt
AMG Funds IV,497K,912036,2026-07-20,edgar/data/912036/0001193125-26-308695.txt
AMG Funds IV,N-CSRS,912036,2026-07-01,edgar/data/912036/0001193125-26-292471.txt
AMG Funds IV,N-PX,912036,2026-08-28,edgar/data/912036/0001438934-26-002503.txt
AMG Funds LLC,13F-NT,1115419,2026-08-10,edgar/data/1115419/0001420506-26-001490.txt
AMG National Trust Bank,13F-HR,1388829,2026-08-07,edgar/data/1388829/0001388829-26-000004.txt
AMG National Trust Bank,N-PX,1388829,2026-08-21,edgar/data/1388829/0001388829-26-000006.txt
AMG New York Holdings Corp.,3,2073844,2026-07-01,edgar/data/2073844/0001193125-26-292018.txt
AMG New York Holdings Corp.,4,2073844,2026-07-09,edgar/data/2073844/0001193125-26-299529.txt
AMG New York Holdings Corp.,4,2073844,2026-07-24,edgar/data/2073844/0001193125-26-315864.txt
AMG New York Holdings Corp.,4,2073844,2026-07-31,edgar/data/2073844/0001193125-26-328053.txt
AMG New York Holdings Corp.,SCHEDULE 13D,2073844,2026-07-14,edgar/data/2073844/0001193125-26-303495.txt
AMG New York Holdings Corp.,SCHEDULE 13D/A,2073844,2026-07-24,edgar/data/2073844/0001193125-26-315913.txt
AMG New York Holdings Corp.,SCHEDULE 13D/A,2073844,2026-07-31,edgar/data/2073844/0001193125-26-328063.txt
AMG Pantheon Credit Solutions Fund,4,1995940,2026-07-08,edgar/data/1995940/0001193125-26-298353.txt
AMG Pantheon Credit Solutions Fund,486BPOS,1995940,2026-07-31,edgar/data/1995940/0001193125-26-327516.txt
AMG Pantheon Credit Solutions Fund,N-23C3A,1995940,2026-09-01,edgar/data/1995940/0001193125-26-377582.txt
AMG Pantheon Credit Solutions Fund,N-PX,1995940,2026-08-24,edgar/data/1995940/0001438934-26-001434.txt
AMG Pantheon Credit Solutions Fund,NPORT-P,1995940,2026-08-28,edgar/data/1995940/0000940400-26-035689.txt
"AMG Pantheon Fund, LLC",3,1609211,2026-08-14,edgar/data/1609211/0001193125-26-351899.txt
"AMG Pantheon Fund, LLC",3,1609211,2026-08-25,edgar/data/1609211/0001193125-26-364822.txt
"AMG Pantheon Fund, LLC",N-2,1609211,2026-07-30,edgar/data/1609211/0000950130-26-000196.txt
"AMG Pantheon Fund, LLC",N-PX,1609211,2026-08-18,edgar/data/1609211/0001438934-26-000932.txt
"AMG Pantheon Fund, LLC",NPORT-P,1609211,2026-08-31,edgar/data/1609211/0001193125-26-376087.txt
"AMG Pantheon Fund, LLC",SC TO-I,1609211,2026-08-03,edgar/data/1609211/0001193125-26-329591.txt
"AMG Pantheon Fund, LLC",SC TO-I/A,1609211,2026-08-07,edgar/data/1609211/0001193125-26-339714.txt
"AMG Pantheon Infrastructure Fund, LLC",3,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104558.txt
"AMG Pantheon Infrastructure Fund, LLC",4,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104578.txt
"AMG Pantheon Infrastructure Fund, LLC",4,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104608.txt
"AMG Pantheon Infrastructure Fund, LLC",4,2046200,2026-09-03,edgar/data/2046200/0001104659-26-105048.txt
"AMG Pantheon Infrastructure Fund, LLC",486BPOS,2046200,2026-07-31,edgar/data/2046200/0001193125-26-327519.txt
"AMG Pantheon Infrastructure Fund, LLC",N-23C3A,2046200,2026-09-01,edgar/data/2046200/0001193125-26-377584.txt
"AMG Pantheon Infrastructure Fund, LLC",N-PX,2046200,2026-08-28,edgar/data/2046200/0001438934-26-002501.txt
"AMG Pantheon Infrastructure Fund, LLC",NPORT-P,2046200,2026-08-31,edgar/data/2046200/0000940400-26-036289.txt
"AMG Pantheon Infrastructure Fund, LLC",SCHEDULE 13D,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104597.txt
"AMG Pantheon Infrastructure Fund, LLC",SCHEDULE 13D,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104611.txt
"AMG Pantheon Infrastructure Fund, LLC",SCHEDULE 13D,2046200,2026-09-04,edgar/data/2046200/0001104659-26-105535.txt
"AMG Pantheon Infrastructure Fund, LLC",SCHEDULE 13G,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104565.txt
"AMG Pantheon Infrastructure Fund, LLC",SCHEDULE 13G,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104605.txt
"AMG Pantheon Infrastructure Fund, LLC",SCHEDULE 13G,2046200,2026-09-02,edgar/data/2046200/0001104659-26-104615.txt
"AMG Pantheon Master Fund, LLC",3,1609212,2026-08-14,edgar/data/1609212/0001193125-26-351921.txt
"AMG Pantheon Master Fund, LLC",3,1609212,2026-08-25,edgar/data/1609212/0001193125-26-364826.txt
"AMG Pantheon Master Fund, LLC",N-PX,1609212,2026-08-18,edgar/data/1609212/0001438934-26-000947.txt
"AMG Pantheon Master Fund, LLC",NPORT-P,1609212,2026-08-31,edgar/data/1609212/0001193125-26-376088.txt
"AMG Pantheon Master Fund, LLC",SC TO-I,1609212,2026-08-10,edgar/data/1609212/0001193125-26-341322.txt
"AMG Pantheon Master Fund, LLC",SC TO-I/A,1609212,2026-08-07,edgar/data/1609212/0001193125-26-339717.txt
AMGEN INC,10-Q,318154,2026-08-05,edgar/data/318154/0000318154-26-000126.txt
AMGEN INC,144,318154,2026-08-06,edgar/data/318154/0001958244-26-000492.txt
AMGEN INC,144,318154,2026-08-06,edgar/data/318154/0001974078-26-000295.txt
AMGEN INC,144,318154,2026-08-11,edgar/data/318154/0001959173-26-005894.txt
AMGEN INC,144,318154,2026-08-13,edgar/data/318154/0001959173-26-005970.txt
AMGEN INC,144/A,318154,2026-08-06,edgar/data/318154/0001974078-26-000298.txt
AMGEN INC,3,318154,2026-09-04,edgar/data/318154/0000318154-26-000139.txt
AMGEN INC,4,318154,2026-08-07,edgar/data/318154/0000318154-26-000129.txt
AMGEN INC,4,318154,2026-08-07,edgar/data/318154/0000318154-26-000130.txt
AMGEN INC,4,318154,2026-08-10,edgar/data/318154/0000318154-26-000131.txt
AMGEN INC,4,318154,2026-08-10,edgar/data/318154/0000318154-26-000132.txt
AMGEN INC,4,318154,2026-08-10,edgar/data/318154/0000318154-26-000133.txt
AMGEN INC,4,318154,2026-08-12,edgar/data/318154/0000318154-26-000135.txt
AMGEN INC,4,318154,2026-08-13,edgar/data/318154/0000318154-26-000137.txt
AMGEN INC,8-K,318154,2026-07-31,edgar/data/318154/0000318154-26-000119.txt
AMGEN INC,8-K,318154,2026-08-04,edgar/data/318154/0000318154-26-000124.txt
AMI ASSET MANAGEMENT CORP,13F-HR,1369702,2026-07-21,edgar/data/1369702/0001369702-26-000010.txt
AMI ASSET MANAGEMENT CORP,N-PX,1369702,2026-07-22,edgar/data/1369702/0001369702-26-000012.txt
AMI INVESTMENT MANAGEMENT INC,13F-HR,1122241,2026-07-15,edgar/data/1122241/0001122241-26-000005.txt
AMI INVESTMENT MANAGEMENT INC,N-PX,1122241,2026-07-16,edgar/data/1122241/0001122241-26-000006.txt
AMICA MUTUAL INSURANCE CO,13F-HR,857508,2026-08-05,edgar/data/857508/0000857508-26-000004.txt
AMICA MUTUAL INSURANCE CO,N-PX,857508,2026-07-31,edgar/data/857508/0000857508-26-000003.txt
"AMICUS THERAPEUTICS, INC.",SCHEDULE 13G/A,1178879,2026-08-12,edgar/data/1178879/0000886982-26-000443.txt
AMIN TARANG,144,1513988,2026-07-01,edgar/data/1513988/0001950047-26-006715.txt
AMIN TARANG,4,1513988,2026-07-02,edgar/data/1513988/0000091419-26-000074.txt
AMIN TARANG,4,1513988,2026-07-02,edgar/data/1513988/0001610717-26-000316.txt
AMIN TARANG,4,1513988,2026-09-03,edgar/data/1513988/0001610717-26-000403.txt
AMIN TARANG,4/A,1513988,2026-07-02,edgar/data/1513988/0001610717-26-000313.txt
AMIN TARANG,4/A,1513988,2026-07-02,edgar/data/1513988/0001610717-26-000315.txt
AMIN TARANG,4/A,1513988,2026-09-03,edgar/data/1513988/0001610717-26-000402.txt
AMIRAL GESTION,N-PX,1828064,2026-08-31,edgar/data/1828064/0001828064-26-000003.txt
AMIT RAFI,144,1135131,2026-08-14,edgar/data/1135131/0001976408-26-000735.txt
AMIT RAFI,4,1135131,2026-08-17,edgar/data/1135131/0001976408-26-000743.txt
AMJ Financial Wealth Management,13F-HR,1801585,2026-08-10,edgar/data/1801585/0001986152-26-000119.txt
AMJ Financial Wealth Management,N-PX,1801585,2026-08-13,edgar/data/1801585/0001986152-26-000123.txt
AMJ Financial Wealth Management,N-PX,1801585,2026-08-13,edgar/data/1801585/0001986152-26-000124.txt
"AMKOR TECHNOLOGY, INC.",10-Q,1047127,2026-07-28,edgar/data/1047127/0001047127-26-000046.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-07-14,edgar/data/1047127/0001950047-26-007057.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-07-16,edgar/data/1047127/0001950047-26-007148.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-07-30,edgar/data/1047127/0001950047-26-007422.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-08-05,edgar/data/1047127/0001950047-26-007683.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-08-06,edgar/data/1047127/0001950047-26-007737.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-08-07,edgar/data/1047127/0001950047-26-007775.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-08-11,edgar/data/1047127/0001950047-26-007927.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-08-17,edgar/data/1047127/0001950047-26-008211.txt
"AMKOR TECHNOLOGY, INC.",144,1047127,2026-09-08,edgar/data/1047127/0001950047-26-009173.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-02,edgar/data/1047127/0001628280-26-046953.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-02,edgar/data/1047127/0001628280-26-046958.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-02,edgar/data/1047127/0001628280-26-046962.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-16,edgar/data/1047127/0001628280-26-048476.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-20,edgar/data/1047127/0001628280-26-048825.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-22,edgar/data/1047127/0001158839-26-000001.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-22,edgar/data/1047127/0001158840-26-000001.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-31,edgar/data/1047127/0001628280-26-051435.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-07-31,edgar/data/1047127/0001628280-26-051439.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-08-07,edgar/data/1047127/0001628280-26-054882.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-08-11,edgar/data/1047127/0001628280-26-055750.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-08-13,edgar/data/1047127/0001628280-26-056790.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-08-19,edgar/data/1047127/0001628280-26-057994.txt
"AMKOR TECHNOLOGY, INC.",4,1047127,2026-09-10,edgar/data/1047127/0001628280-26-061378.txt
"AMKOR TECHNOLOGY, INC.",8-K,1047127,2026-07-27,edgar/data/1047127/0001047127-26-000043.txt
AMN HEALTHCARE SERVICES INC,10-Q,1142750,2026-08-07,edgar/data/1142750/0001628280-26-054507.txt
AMN HEALTHCARE SERVICES INC,4/A,1142750,2026-07-09,edgar/data/1142750/0001628280-26-047807.txt
AMN HEALTHCARE SERVICES INC,8-K,1142750,2026-08-06,edgar/data/1142750/0001142750-26-000008.txt
AMN HEALTHCARE SERVICES INC,SCHEDULE 13G,1142750,2026-08-13,edgar/data/1142750/0000895421-26-000255.txt
AMPCO PITTSBURGH CORP,10-Q,6176,2026-08-11,edgar/data/6176/0001193125-26-343321.txt
AMPCO PITTSBURGH CORP,4,6176,2026-08-28,edgar/data/6176/0001193125-26-372998.txt
AMPCO PITTSBURGH CORP,8-K,6176,2026-07-09,edgar/data/6176/0001193125-26-299212.txt
AMPCO PITTSBURGH CORP,8-K,6176,2026-08-11,edgar/data/6176/0001193125-26-343343.txt
AMPCO PITTSBURGH CORP,SCHEDULE 13G/A,6176,2026-08-14,edgar/data/6176/0001193125-26-351147.txt
AMPHENOL CORP /DE/,10-Q,820313,2026-07-31,edgar/data/820313/0001104659-26-089194.txt
AMPHENOL CORP /DE/,144,820313,2026-07-31,edgar/data/820313/0001950047-26-007468.txt
AMPHENOL CORP /DE/,144,820313,2026-07-31,edgar/data/820313/0001950047-26-007470.txt
AMPHENOL CORP /DE/,144,820313,2026-08-03,edgar/data/820313/0001950047-26-007496.txt
AMPHENOL CORP /DE/,144,820313,2026-08-03,edgar/data/820313/0001950047-26-007502.txt
AMPHENOL CORP /DE/,144,820313,2026-08-04,edgar/data/820313/0001950047-26-007600.txt
AMPHENOL CORP /DE/,144,820313,2026-08-04,edgar/data/820313/0001950047-26-007603.txt
AMPHENOL CORP /DE/,144,820313,2026-08-05,edgar/data/820313/0001950047-26-007670.txt
AMPHENOL CORP /DE/,4,820313,2026-08-03,edgar/data/820313/0001104659-26-089782.txt
AMPHENOL CORP /DE/,4,820313,2026-08-05,edgar/data/820313/0001104659-26-091062.txt
AMPHENOL CORP /DE/,4,820313,2026-08-05,edgar/data/820313/0001104659-26-091064.txt
AMPHENOL CORP /DE/,4,820313,2026-08-05,edgar/data/820313/0001104659-26-091189.txt
AMPHENOL CORP /DE/,4,820313,2026-08-06,edgar/data/820313/0001104659-26-092146.txt
