grade_datetime,Firm,ToGrade,priorPriceTarget,prev_feed_target,currentPriceTarget,chain_break
2025-11-07 16:15:57,UBS,Neutral,145.0,145.0,147.0,False
2025-11-07 19:12:05,Wells Fargo,Underweight,110.0,110.0,111.0,False
2025-12-01 15:13:10,Wells Fargo,Underweight,111.0,111.0,118.0,False
2025-12-04 16:03:35,Truist Securities,Sell,104.0,104.0,107.0,False
2025-12-05 19:01:39,DA Davidson,Buy,155.0,155.0,155.0,False
2025-12-05 20:12:23,Jefferies,Buy,160.0,160.0,165.0,False
2025-12-17 13:07:01,RBC Capital,Outperform,145.0,145.0,170.0,False
2025-12-19 16:07:08,Wedbush,Neutral,130.0,130.0,135.0,False
2026-01-06 13:49:23,Bernstein,Outperform,165.0,155.0,162.0,True
2026-01-08 10:45:44,Cantor Fitzgerald,Neutral,117.0,130.0,141.0,True
2026-01-09 12:45:09,Barclays,Equal-Weight,107.0,107.0,120.0,False
2026-01-09 13:48:31,Wells Fargo,Equal-Weight,118.0,118.0,128.0,False
2026-01-12 13:21:02,B. Riley Securities,Buy,140.0,140.0,170.0,False
2026-01-13 15:54:26,Morgan Stanley,Underweight,120.0,120.0,130.0,False
2026-02-03 14:01:37,UBS,Neutral,147.0,147.0,149.0,False
2026-02-04 15:04:06,Citizens,Market Outperform,0.0,,160.0,False
2026-02-06 14:08:00,Wedbush,Neutral,135.0,135.0,130.0,False
2026-02-13 12:27:11,Deutsche Bank,Buy,0.0,135.0,154.0,False
2026-02-13 12:55:04,BMO Capital,Market Perform,130.0,124.0,140.0,True
2026-02-13 14:05:30,Benchmark,Buy,155.0,155.0,145.0,False
2026-02-13 14:52:06,Wells Fargo,Equal-Weight,128.0,128.0,133.0,False
2026-02-13 15:05:41,Wedbush,Neutral,130.0,130.0,130.0,False
2026-02-13 15:17:48,Barclays,Equal-Weight,120.0,120.0,122.0,False
2026-02-13 15:30:52,TD Cowen,Buy,150.0,150.0,160.0,False
2026-02-13 15:40:31,Evercore ISI Group,Outperform,145.0,145.0,145.0,False
2026-02-17 17:49:10,DA Davidson,Buy,155.0,155.0,150.0,False
2026-03-03 12:41:52,Mizuho,Outperform,156.0,151.0,175.0,True
2026-03-26 12:22:43,Truist Securities,Hold,107.0,107.0,129.0,False
2026-04-01 16:26:32,Wells Fargo,Equal-Weight,133.0,133.0,136.0,False
2026-04-08 19:08:31,Tigress Financial,Buy,200.0,200.0,185.0,False
2026-04-22 10:02:49,Wells Fargo,Overweight,136.0,136.0,178.0,False
2026-04-27 19:11:56,UBS,Neutral,149.0,149.0,153.0,False
2026-05-04 10:55:49,Oppenheimer,Outperform,0.0,,180.0,False
2026-05-08 12:27:50,Susquehanna,Positive,150.0,150.0,170.0,False
2026-05-08 13:35:00,Evercore ISI Group,Outperform,145.0,145.0,155.0,False
2026-05-08 14:12:20,Citizens,Market Outperform,160.0,160.0,170.0,False
2026-05-08 14:15:39,Wells Fargo,Overweight,178.0,178.0,181.0,False
2026-05-08 16:26:00,RBC Capital,Outperform,170.0,170.0,173.0,False
2026-05-08 17:14:43,JP Morgan,Neutral,130.0,130.0,140.0,False
2026-05-08 19:46:54,Citigroup,Buy,155.0,155.0,175.0,False
2026-05-08 20:02:19,Benchmark,Buy,145.0,145.0,160.0,False
2026-05-08 21:13:04,UBS,Neutral,153.0,153.0,157.0,False
2026-05-11 13:13:08,Barclays,Equal-Weight,122.0,122.0,125.0,False
2026-05-11 17:25:10,DA Davidson,Buy,150.0,150.0,162.0,False
2026-05-21 15:34:21,RBC Capital,Outperform,173.0,173.0,173.0,False
2026-06-05 15:50:07,CICC,Outperform,0.0,,165.0,False
2026-06-12 13:56:22,Truist Securities,Hold,129.0,129.0,134.0,False
2026-06-12 14:03:14,Truist Securities,Hold,129.0,134.0,134.0,True
2026-06-29 10:38:37,Baird,Outperform,150.0,160.0,160.0,True
2026-07-14 09:58:12,Jefferies,Buy,160.0,165.0,175.0,True
2026-07-20 17:27:51,Goldman Sachs,Sell,157.0,153.0,155.0,True
2026-07-30 17:22:19,Morgan Stanley,Underweight,120.0,130.0,125.0,True
2026-07-30 19:33:38,UBS,Neutral,157.0,157.0,163.0,False
2026-08-07 11:47:42,Cantor Fitzgerald,Neutral,140.0,141.0,160.0,True
2026-08-07 12:53:09,Susquehanna,Positive,170.0,170.0,200.0,False
2026-08-07 13:49:20,Oppenheimer,Outperform,180.0,180.0,190.0,False
2026-08-07 13:49:30,Wedbush,Outperform,152.0,130.0,200.0,True
2026-08-07 14:21:19,Citizens,Market Outperform,170.0,170.0,190.0,False
2026-08-07 14:54:40,Wells Fargo,Overweight,181.0,181.0,186.0,False
2026-08-07 15:37:51,JP Morgan,Neutral,140.0,140.0,170.0,False
2026-08-07 16:56:59,Canaccord Genuity,Buy,180.0,180.0,200.0,False
2026-08-07 17:09:36,B. Riley Securities,Buy,180.0,170.0,210.0,True
2026-08-07 17:17:21,B of A Securities,Neutral,160.0,146.0,175.0,True
2026-08-07 17:36:10,Piper Sandler,Neutral,145.0,132.0,170.0,True
2026-08-07 17:52:44,Benchmark,Buy,160.0,160.0,180.0,False
2026-08-07 18:26:17,RBC Capital,Outperform,173.0,173.0,195.0,False
2026-08-07 20:02:59,Citigroup,Buy,175.0,175.0,193.0,False
2026-08-07 20:14:12,Barclays,Equal-Weight,125.0,125.0,150.0,False
2026-08-07 20:28:49,Baird,Outperform,160.0,160.0,175.0,False
2026-08-07 22:57:35,UBS,Neutral,163.0,163.0,172.0,False
2026-08-08 00:43:30,DA Davidson,Buy,162.0,162.0,175.0,False
2026-08-10 12:43:15,BMO Capital,Market Perform,146.0,140.0,165.0,True
2026-08-24 14:13:24,Evercore ISI Group,Outperform,190.0,155.0,200.0,True
2026-08-24 14:44:48,Bernstein,Outperform,168.0,162.0,217.0,True
2026-08-31 12:27:15,DA Davidson,Buy,175.0,175.0,220.0,False
2026-09-01 11:59:55,Rosenblatt,Buy,0.0,,220.0,False
2026-09-08 12:00:21,Baird,Outperform,175.0,175.0,200.0,False
2026-09-08 15:44:25,Raymond James,Outperform,0.0,,200.0,False
2026-09-10 16:05:25,Truist Securities,Hold,134.0,134.0,161.0,False
