method,object,spec_id,target,window,horizon_q,weighting,n,first_quarter,last_quarter,mae,rmse,bias,crps,pinball_mean,cov80,cov90,pit_mean,ratio_seasonal_naive,n_match_seasonal_naive,ratio_seasonal_naive_drift,n_match_seasonal_naive_drift,ratio_trailing4,n_match_trailing4,ratio_pct_rev_last4,n_match_pct_rev_last4,ratio_guide_implied,n_match_guide_implied,ratio_q_guide_implied,n_match_q_guide_implied,ratio_street,n_match_street,beats_seasonal_naive,survives_both_windows,mae_full_sample,hindsight_gap_mae,hindsight_share,n_params,n_obs,param_obs_ratio,conformal_cov_empirical,replays_present,survives_both_windows_eq_and_rw
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W1,1,recency,13,2023Q2,2026Q2,272.6205898347713,313.8131901913302,100.22001708911776,246.61715413323577,108.76192894586065,0.8942844657781682,1.0,0.4707355040773849,1.3628715394743505,13,0.9192097907080716,13,,0,,0,,0,,0,,0,False,False,206.1155782515592,66.50501158321208,0.24394713408667756,3,13,0.2307692307692307,0.8571428571428571,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W1,1,recency,13,2023Q2,2026Q2,277.37781934592186,322.591582957321,102.20319824192497,247.70831088446667,108.98136894580792,0.8942844657781682,1.0,0.4676751741225297,1.3866536489306611,13,0.9352500022927696,13,,0,,0,,0,,0,,0,False,False,214.05563539369373,63.32218395222813,0.2282885635972865,3,13,0.2307692307692307,0.8571428571428571,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h1|PIT,cfo_musd,W1,1,recency,13,2023Q2,2026Q2,296.58146876870234,337.9024689888134,-7.373327279792399,192.68642912301692,76.71752630295384,0.7823690958777006,0.9026943260071992,0.5232875908427883,1.482655595328814,13,1.0,13,,0,,0,,0,,0,,0,False,False,,,,1,13,0.0769230769230769,1.0,1,False
baselines-margin,seasonal_naive,seasonal_naive|cfo_musd|h1|PIT,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,190.66666666666663,221.5561127820921,-71.11111111111111,129.6836872168989,52.68947748750192,0.8888888888888888,1.0,0.5770979590943843,1.0,9,0.5499999999999999,9,,0,,0,,0,,0,,0,False,False,,,,1,9,0.1111111111111111,1.0,1,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,234.89045263406447,277.3520503958983,77.37125265949894,248.86716083495944,112.16369894727026,0.8888888888888888,1.0,0.4757799776974019,1.231942933395443,9,0.6775686133674936,9,,0,,0,,0,,0,,0,False,False,200.3784740529781,34.51197858108637,0.14692797512231173,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,235.28107009842364,275.0539083026751,79.412485276131,249.4192090040043,112.49118513300506,0.8888888888888888,1.0,0.4771500011228052,1.233991626390334,9,0.6786953945146837,9,,0,,0,,0,,0,,0,False,False,193.7381633864677,41.542906711955936,0.1765671445415373,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,balance_ratio|rw,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,252.72469835914185,301.2536882029221,114.6153014964899,262.708963047942,119.2779786571638,0.7777777777777777,0.8888888888888888,0.422996835973335,1.3254791871982965,9,0.729013552959063,9,,0,,0,,0,,0,,0,False,False,215.38997626421,37.33472209493186,0.14772882245911817,5,9,0.5555555555555556,1.0,2,False
below-ebitda,fcf,balance_ratio|eq,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,254.93443082259105,300.39596982415736,116.3089803518002,262.5228608266874,118.7708538831114,0.7777777777777777,0.8888888888888888,0.423311379664601,1.3370686931254776,9,0.7353877812190126,9,,0,,0,,0,,0,,0,False,False,225.66111857437735,29.2733122482137,0.11482682881930925,5,9,0.5555555555555556,1.0,2,False
below-ebitda,fcf,swing_x_gbv|rw,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,255.4996532781923,303.8846001456264,96.89387700149764,264.62339231897187,119.9213919611833,0.8888888888888888,0.8888888888888888,0.4415314866727112,1.340033146563946,9,0.7370182306101701,9,,0,,0,,0,,0,,0,False,False,217.43235066929824,38.06730260889407,0.1489916018298692,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,swing_x_gbv|eq,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,258.6124725279502,303.9267406297937,96.14543784468412,264.03705155716835,119.20100892317386,0.8888888888888888,0.8888888888888888,0.442621548827327,1.356359121650089,9,0.7459975169075488,9,,0,,0,,0,,0,,0,False,False,224.16667469036256,34.44579783758766,0.13319465028456756,3,9,0.3333333333333333,1.0,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h1|PIT,cfo_musd,W2,1,equal,9,2024Q2,2026Q2,346.66666666666663,382.4380850397733,-30.888888888888903,223.3463506781818,88.27525688396081,0.6666666666666667,0.7777777777777777,0.546274390236575,1.8181818181818183,9,1.0,9,,0,,0,,0,,0,,0,False,False,,,,1,9,0.1111111111111111,1.0,1,False
baselines-margin,seasonal_naive,seasonal_naive|cfo_musd|h1|PIT,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,184.6516953170838,216.2245423309339,-89.61121207384316,126.77257655143744,51.45379056911028,0.9287752233080244,1.0,0.6012438315818497,1.0,9,0.58525700711301,9,,0,,0,,0,,0,,0,False,False,,,,1,9,0.1111111111111111,1.0,1,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,255.5040246451652,285.94017137156106,68.59125976587053,221.8702347144445,96.71013601353408,0.8802146812049427,1.0,0.4781459577901942,1.3837079817025986,9,0.8098247920896464,9,,0,,0,,0,,0,,0,False,False,203.57486242389416,51.92916222127104,0.2032420518361243,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,257.78106291596794,290.218248202274,67.98691471301883,223.14015754908124,97.15341026872407,0.8802146812049427,1.0,0.4756397078680831,1.3960395136004922,9,0.8170419075413262,9,,0,,0,,0,,0,,0,False,False,211.43187124600917,46.34919166995877,0.17980060732804018,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,swing_x_gbv|rw,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,260.65498021008824,309.7633987418185,99.18949409098788,234.97962111496204,104.05847195707922,0.8802146812049427,0.8802146812049427,0.4187417652194657,1.4116035044384054,9,0.8261508422378576,9,,0,,0,,0,,0,,0,False,False,225.0969836113477,35.557996598740544,0.13641786767350755,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,swing_x_gbv|eq,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,263.83774016086454,310.258922288301,101.49413852510334,234.6117643272329,103.4535385985103,0.8802146812049427,0.8802146812049427,0.4190728273263994,1.428840064034086,9,0.8362386595197508,9,,0,,0,,0,,0,,0,False,False,232.71780725366017,31.119932907204372,0.11795102887187495,3,9,0.3333333333333333,1.0,2,False
below-ebitda,fcf,balance_ratio|rw,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,268.6312088887166,309.9744310602708,119.73990570264398,235.3165295341702,103.98230880402862,0.7377651278209915,0.8802146812049427,0.389980057153016,1.454799580515214,9,0.8514316484415966,9,,0,,0,,0,,0,,0,False,False,233.756298003054,34.874910885662615,0.12982449444327193,5,9,0.5555555555555556,1.0,2,False
below-ebitda,fcf,balance_ratio|eq,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,272.0889028330279,310.9212711202084,124.64388317829156,236.0451517131652,103.83548861483057,0.7377651278209915,0.8802146812049427,0.3891084249350742,1.473525073061457,9,0.8623908741659277,9,,0,,0,,0,,0,,0,False,False,244.09197196982416,27.996930863203715,0.10289626137521868,5,9,0.5555555555555556,1.0,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h1|PIT,cfo_musd,W2,1,recency,9,2024Q2,2026Q2,315.505313175052,346.5859207174055,-27.543310947442315,198.7103424617212,78.53812545713599,0.7890167728402908,0.8897438180150778,0.5431112435131661,1.7086510504724386,9,1.0,9,,0,,0,,0,,0,,0,False,False,,,,1,9,0.1111111111111111,1.0,1,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h2|PIT,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,209.99999999999997,285.98659642251295,25.0,158.66944586885523,67.96482383035615,0.8333333333333335,0.9166666666666669,0.5148275396938108,0.8958407394241025,12,1.0,12,,0,,0,,0,,0,,0,True,True,,,,1,12,0.0833333333333333,1.0,1,True
baselines-margin,seasonal_naive,seasonal_naive|cfo_musd|h2|PIT,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,234.41666666666663,265.36154582003775,-78.08333333333333,157.08748986745962,62.79855895874631,0.6666666666666666,0.8333333333333335,0.6016594692925598,1.0,12,1.1162698412698413,12,,0,,0,,0,,0,,0,False,False,,,,1,12,0.0833333333333333,1.0,1,False
below-ebitda,fcf,swing_x_gbv|eq,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,303.96645762105936,369.7082817755281,170.53166039247225,382.7014732898523,179.24938032155188,1.0,1.0,0.4443747337137692,1.296693029311309,12,1.447459322005045,12,,0,,0,,0,,0,,0,False,False,284.1620219257473,19.804435695312065,0.06515335886172455,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,307.2044961096541,358.8422915809683,205.28692312214332,377.5360728758536,175.54989593147965,1.0,1.0,0.4444231728315398,1.3105062045203872,12,1.4628785529031147,12,,0,,0,,0,,0,,0,False,False,245.83225925331035,61.37223685634373,0.1997764929665529,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,swing_x_gbv|rw,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,309.7398629682209,376.0278910452063,167.47960425381498,385.547834203311,180.38240385880312,1.0,1.0,0.4458781834032665,1.32132184700272,12,1.4749517284200997,12,,0,,0,,0,,0,,0,False,False,276.02353155851944,33.71633140970147,0.10885370415870797,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,balance_ratio|eq,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,309.8572233726323,355.521080731658,176.56637396741814,383.0319541510935,179.0834678436383,1.0,1.0,0.4380021806625532,1.3218224957239912,12,1.475510587488725,12,,0,,0,,0,,0,,0,False,False,286.6885407957813,23.168682576850983,0.07477212351118398,5,12,0.4166666666666667,0.8333333333333334,2,False
below-ebitda,fcf,balance_ratio|rw,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,311.5461034057673,363.46025415370207,173.01980234246943,384.97548348552914,179.98550268524195,1.0,1.0,0.4402858373302934,1.329027103046288,12,1.4835528733607968,12,,0,,0,,0,,0,,0,False,False,278.5394410678985,33.00666233786882,0.10594471244238261,5,12,0.4166666666666667,0.8333333333333334,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W1,2,equal,12,2023Q3,2026Q2,313.1417307831723,369.7569624073007,208.31149025358337,379.1077664503864,175.99415029120962,1.0,1.0,0.4435483685619386,1.3358339030920965,12,1.491151098967487,12,,0,,0,,0,,0,,0,False,False,249.21641040113383,63.92532038203848,0.20414181215055643,3,12,0.25,0.8333333333333334,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h2|PIT,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,143.0115113291476,206.6768582777224,-1.875416992342984,123.75349194593076,54.802077748354726,0.9408266339467006,0.9678562218042324,0.5175683275813663,0.7075371209510507,12,1.0,12,,0,,0,,0,,0,,0,True,True,,,,1,12,0.0833333333333333,1.0,1,True
baselines-margin,seasonal_naive,seasonal_naive|cfo_musd|h2|PIT,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,202.1258066812321,234.9050853530111,-90.62714660754916,137.10815405389678,55.1936644113923,0.838313467821689,0.929630612070756,0.6095558772713949,1.0,12,1.4133534063284614,12,,0,,0,,0,,0,,0,False,False,,,,1,12,0.0833333333333333,1.0,1,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,291.3988998690494,326.70013680030667,133.8090822000948,314.3655391070652,143.2843058035566,1.0,1.0,0.453120614162487,1.441670930860441,12,2.037590520936328,12,,0,,0,,0,,0,,0,False,False,224.02106304485469,67.3778368241947,0.23122200136813614,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,swing_x_gbv|eq,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,291.6510252225437,346.6284827093325,142.43220791879892,313.3914294581293,144.3509279505104,1.0,1.0,0.4309945567944219,1.442918299307024,12,2.0393534933792523,12,,0,,0,,0,,0,,0,False,False,258.5958290963793,33.05519612616439,0.11333817908214687,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,swing_x_gbv|rw,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,294.3927055445945,351.15547973954835,140.14328240077512,315.12766899352147,145.08650187008843,1.0,1.0,0.4330117737191848,1.456482526295489,12,2.058524539797612,12,,0,,0,,0,,0,,0,False,False,249.68039290212013,44.71231264247436,0.1518798251463515,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,295.9970650550781,333.87303540046764,135.0700153348852,315.9386186480385,143.7849378295577,1.0,1.0,0.4521570510061127,1.4644199566356622,12,2.06974293400639,12,,0,,0,,0,,0,,0,False,False,231.0961176604777,64.90094739460042,0.21926213147594514,3,12,0.25,0.8333333333333334,2,False
below-ebitda,fcf,balance_ratio|eq,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,306.0348002840734,344.40355938043626,159.38004993323574,315.33759084696067,144.530951406493,1.0,1.0,0.415986374929858,1.514080786164598,12,2.139931236582209,12,,0,,0,,0,,0,,0,False,False,272.5224192197068,33.51238106436659,0.10950513155124547,5,12,0.4166666666666667,0.8333333333333334,2,False
below-ebitda,fcf,balance_ratio|rw,cfo_musd,W1,2,recency,12,2023Q3,2026Q2,306.48568134349625,350.15790661088545,155.29992403946986,316.6525690345138,145.1806811872163,1.0,1.0,0.4197691105817763,1.516311481328298,12,2.1430839971903053,12,,0,,0,,0,,0,,0,False,False,262.5490142875628,43.93666705593347,0.14335634494680063,5,12,0.4166666666666667,0.8333333333333334,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h2|PIT,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,126.0,152.84387459103488,-24.5,111.2391851571331,49.82218009658203,1.0,1.0,0.5247636981159187,0.6404066073697586,8,1.0,8,,0,,0,,0,,0,,0,True,True,,,,1,8,0.125,1.0,1,True
baselines-margin,seasonal_naive,seasonal_naive|cfo_musd|h2|PIT,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,196.75,229.5702506859284,-62.25,132.09954470600422,53.17256791446276,0.875,1.0,0.5622848627635149,1.0,8,1.5615079365079363,8,,0,,0,,0,,0,,0,False,False,,,,1,8,0.125,1.0,1,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,285.5507094390254,305.33943238287026,132.67434995775926,316.1122471344647,144.8032819528112,1.0,1.0,0.4507814408760678,1.451337786221222,8,2.266275471738297,8,,0,,0,,0,,0,,0,False,False,221.0736769723513,64.4770324666741,0.22579888732667322,3,8,0.375,1.0,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,285.8114552943073,306.4270776358271,128.5660944999239,316.5984826792112,145.0010960760806,1.0,1.0,0.4513181560605688,1.4526630510511171,8,2.268344883288153,8,,0,,0,,0,,0,,0,False,False,229.9434075355408,55.868047758766465,0.19547168849911115,3,8,0.375,1.0,2,False
below-ebitda,fcf,swing_x_gbv|eq,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,287.93906374100607,338.99913815549644,130.5348444999239,317.3448519522468,146.5930614469209,1.0,1.0,0.4404991288554669,1.463476816980971,8,2.2852306646111598,8,,0,,0,,0,,0,,0,False,False,239.5593716017534,48.379692139252654,0.16802059265834443,3,8,0.375,1.0,2,False
below-ebitda,fcf,swing_x_gbv|rw,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,292.5988068043215,346.28054139281505,132.3905591965792,319.61293366051257,147.49251666106198,1.0,1.0,0.4415344161041888,1.4871603903650394,8,2.32221275241525,8,,0,,0,,0,,0,,0,False,False,229.51654028245068,63.08226652187082,0.21559304089731898,3,8,0.375,1.0,2,False
below-ebitda,fcf,balance_ratio|eq,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,303.22608904383014,337.2541043046349,150.2894957901686,319.5911239752504,146.8757650070353,1.0,1.0,0.429042787829647,1.5411745313536476,8,2.40655626225262,8,,0,,0,,0,,0,,0,False,False,255.48860093143156,47.73748811239858,0.157431994928043,5,8,0.625,1.0,2,False
below-ebitda,fcf,balance_ratio|rw,cfo_musd,W2,2,equal,8,2024Q3,2026Q2,306.8493203717642,345.5896775574426,149.9712118161395,321.74349090963847,147.7748459545858,1.0,1.0,0.4314990622833269,1.559589938357124,8,2.435312066442573,8,,0,,0,,0,,0,,0,False,False,244.2905356462686,62.55878472549557,0.20387460741220575,5,8,0.625,1.0,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|cfo_musd|h2|PIT,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,106.79618044400443,139.25244202233205,-24.243214152604573,104.51707954241782,47.50232047168467,1.0,1.0,0.5256561837666969,0.5713662291990665,8,1.0,8,,0,,0,,0,,0,,0,True,True,,,,1,8,0.125,1.0,1,True
baselines-margin,seasonal_naive,seasonal_naive|cfo_musd|h2|PIT,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,186.91370785723524,219.4611368171544,-86.832797420655,127.41680486870884,51.47537655699531,0.924997850876542,1.0,0.595753177554246,1.0,8,1.7501909439096297,8,,0,,0,,0,,0,,0,False,False,,,,1,8,0.125,1.0,1,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|rw,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,281.05715389231443,304.1122676542406,97.2023666118674,284.8958415929528,128.47330759818914,1.0,1.0,0.4569620979658351,1.503673310611258,8,2.6317154108304357,8,,0,,0,,0,,0,,0,False,False,213.66749019867245,67.38966369364198,0.23977209887872833,3,8,0.375,1.0,2,False
below-ebitda,fcf,swing_x_gbv|eq,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,281.2367924090688,330.6511889773141,122.39946861247708,281.0012536576237,128.30754928594712,1.0,1.0,0.4280291832950108,1.5046343878849036,8,2.6333974795711668,8,,0,,0,,0,,0,,0,False,False,236.7944962372705,44.44229617179832,0.15802447393566996,3,8,0.375,1.0,2,False
below-ebitda,fcf,swing_x_gbv_seasonal_other|eq,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,283.2940606385936,307.2500002410212,95.54583596503524,286.0536921887042,128.88764989227928,1.0,1.0,0.4565025393244058,1.5156409012814285,8,2.652660979641784,8,,0,,0,,0,,0,,0,False,False,222.85747269492424,60.43658794366934,0.21333517479129235,3,8,0.375,1.0,2,False
below-ebitda,fcf,swing_x_gbv|rw,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,283.39657964147057,335.473218944138,121.72969788412388,282.44620770416526,128.92666488362528,1.0,1.0,0.4299834142008613,1.5161893843437582,8,2.653620929730362,8,,0,,0,,0,,0,,0,False,False,227.11502634630048,56.281553295170085,0.19859644518777453,3,8,0.375,1.0,2,False
below-ebitda,fcf,balance_ratio|eq,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,299.6872921939946,333.8965024586128,145.35827039202175,283.7273466532806,128.65644977023916,1.0,1.0,0.4099670148023931,1.603345713000867,8,2.806161146850445,8,,0,,0,,0,,0,,0,False,False,256.1402976974041,43.546994496590514,0.1453081115912033,5,8,0.625,1.0,2,False
below-ebitda,fcf,balance_ratio|rw,cfo_musd,W2,2,recency,8,2024Q3,2026Q2,300.506977992924,339.86322509025143,142.20055491615892,285.00366324222205,129.26530679673874,1.0,1.0,0.4140481581873825,1.6077310831715528,8,2.813836382008871,8,,0,,0,,0,,0,,0,False,False,244.98502942131267,55.52194857161135,0.1847609294880291,5,8,0.625,1.0,2,False
margin-ts,per_night_seasonal,oracle_g_k4_rw_nightsknown,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,14.879364364524806,22.32384419109925,-4.476234823687143,13.264823167452114,5.807808968736187,0.8571428571428572,0.9285714285714286,0.5523782944582268,0.2773336134968231,14,0.6088333151248794,14,,0,0.2016866469506064,14,,0,,0,,0,True,True,22.094080985315003,-7.214716620790197,-0.4848807008175318,7,14,0.5,0.75,2,True
cycle-flex,flex_lines,l0_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,15.925226619596224,21.93342233721761,0.131249338170205,12.380591211116762,5.258207604349294,0.7857142857142858,0.7857142857142858,0.4971174836847002,0.2968272391190595,14,0.6516278706125627,14,,0,0.2158630893193723,14,,0,,0,,0,True,True,14.91269088118643,1.0125357384097935,0.06358061725563476,12,14,0.8571428571428571,0.875,2,True
cycle-flex,flex_lines,l0_eq,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,16.54164193444349,21.371519631963952,1.4039428365559878,12.150337196335268,5.049147275027505,0.7857142857142858,0.9285714285714286,0.4820323140537521,0.3083164857355989,14,0.6768503310912494,14,,0,0.2242184689535289,14,,0,,0,,0,True,True,14.622042960418147,1.9195989740253427,0.1160464590899104,12,14,0.8571428571428571,0.875,2,True
margin-ts,pct_rev_seasonal,drift_k4_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,16.992697456752524,24.26167927798199,-5.333414367262261,18.8015735064352,8.617821044727831,1.0,1.0,0.5285688549312102,0.316723622950943,14,0.6953066053127164,14,,0,0.2303324314625698,14,,0,,0,,0,True,True,19.951311771978148,-2.958614315225624,-0.1741109275178636,7,14,0.5,0.875,2,True
margin-ts,pct_rev_seasonal,drift_k4_ew,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,17.42622002248309,24.41443132451704,-6.356720058420264,19.72339210384251,9.066076863760324,1.0,1.0,0.5354317261405426,0.3248039667573709,14,0.7130454666248618,14,,0,0.2362087384416559,14,,0,,0,,0,True,True,21.074650490824883,-3.648430468341793,-0.20936442117881182,7,14,0.5,0.875,2,True
driver-lines,lines_v2,a_unit_eq,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.04745525914731,25.5066907827508,-5.269646904768211,16.474791993892428,7.272348122997104,1.0,1.0,0.5255179449228774,0.3363830509705657,14,0.7384651484973237,14,,0,0.2446294510998592,14,,0,,0,,0,True,True,17.283901054842833,0.7635542043044765,0.04230813670628001,7,14,0.5,1.0,2,True
alt-augmented,lines_aug,ridge_all_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.057981065895337,25.32748260624418,4.611757842812216,14.126417273624112,5.941555619375781,0.7857142857142858,0.7857142857142858,0.4484979259684852,0.3365792394601333,14,0.7388958430928567,14,,0,0.2447721261911771,14,,0,,0,,0,True,True,16.650433046250548,1.4075480196447892,0.07794603474820962,37,14,2.642857142857143,0.875,2,True
driver-lines,lines_v2,a_unit_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.40475047004474,25.81453028388724,-2.440544055768263,16.169463926076258,7.021972927618854,1.0,1.0,0.5083937105827947,0.3430426077564418,14,0.7530849415475944,14,,0,0.2494725123551653,14,,0,,0,,0,True,True,17.630977256938213,0.7737732131065265,0.04204203769922916,7,14,0.5,1.0,2,True
alt-augmented,lines_aug,none_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.405183865783343,25.316180494551688,4.632201105647415,14.193877494619551,5.96464466038099,0.7857142857142858,0.7857142857142858,0.4463611592507771,0.3430506857363417,14,0.7531026752193984,14,,0,0.2494783869430294,14,,0,,0,,0,True,True,16.69020455326207,1.7149793125212724,0.09317914588778171,10,14,0.7142857142857143,0.875,2,True
alt-augmented,lines_aug,surv_emp_computer_systems_design_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.405183865783343,25.316180494551688,4.632201105647415,14.193877494619551,5.96464466038099,0.7857142857142858,0.7857142857142858,0.4463611592507771,0.3430506857363417,14,0.7531026752193984,14,,0,0.2494783869430294,14,,0,,0,,0,True,True,16.69020455326207,1.7149793125212724,0.09317914588778171,11,14,0.7857142857142857,0.875,2,True
driver-lines,lines_v2,b_elastic_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.405183865783343,25.316180494551688,4.632201105647415,14.193877494619551,5.96464466038099,0.7857142857142858,0.7857142857142858,0.4463611592507771,0.3430506857363417,14,0.7531026752193984,14,,0,0.2494783869430294,14,,0,,0,,0,True,True,16.69020455326207,1.7149793125212724,0.09317914588778171,10,14,0.7142857142857143,0.875,2,True
driver-lines,lines_v2,c_mix_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.40682660167192,26.087316032483045,5.168641752248269,14.475227485410947,6.118952976665349,0.7857142857142858,0.7857142857142858,0.4498249376327006,0.3430813043749367,14,0.7531698926295253,14,,0,0.2495006538816617,14,,0,,0,,0,True,True,16.758202464682608,1.6486241369893122,0.08956590794632494,12,14,0.8571428571428571,0.875,2,True
margin-ts,pct_rev_seasonal,oracle_drift_k4_rw_revknown,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.40796549277172,25.881437910165445,-6.572719910296136,19.084358961097493,8.669572524486325,1.0,1.0,0.5352334166439247,0.3431025319473214,14,0.7532164937360558,14,,0,0.2495160913104075,14,,0,,0,,0,True,True,19.56377020970233,-1.1558047169306107,-0.06278829224144634,7,14,0.5,0.875,2,True
margin-ts,pct_rev_seasonal,nodrift,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,18.939281943413484,22.000927778014717,8.834766511825423,13.209976729863705,5.573480416196772,0.9285714285714286,0.9285714285714286,0.4349455274724408,0.353005637184673,14,0.7749568818399896,14,,0,0.2567179737816187,14,,0,,0,,0,True,True,18.688065505867183,0.25121643754630085,0.013264306339431544,2,14,0.1428571428571428,0.875,2,True
alt-augmented,lines_aug,ridge_all_eq,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,19.27923988635044,25.23392156305754,7.502856235610108,14.244531689826928,5.90650776216022,0.8571428571428572,1.0,0.4283637345170181,0.3593420479641844,14,0.7888672691610242,14,,0,0.26132603202493,14,,0,,0,,0,True,True,16.235835190590407,3.0434046957600316,0.15785916424613503,37,14,2.642857142857143,0.875,2,True
margin-ts,per_night_seasonal,g_k8_rw,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,19.53564545693241,24.39421924733106,-5.783758989479777,15.315640404434102,6.559052736803881,0.9285714285714286,0.9285714285714286,0.5639983022486318,0.3641211421289695,14,0.7993588634072205,14,,0,0.2648015554762831,14,,0,,0,,0,True,True,22.14054301022296,-2.6048975532905487,-0.1333407467407828,7,14,0.5,0.75,2,True
alt-augmented,lines_aug,none_eq,cor_cash_musd,W1,0,equal,14,2023Q1,2026Q2,19.53930096967308,25.285138223734894,8.281469649937746,14.203046311471155,5.878621756761009,0.9285714285714286,0.9285714285714286,0.4167185561458599,0.3641892765285793,14,0.7995084395507881,14,,0,0.2648511051807926,14,,0,,0,,0,True,True,16.429308138131105,3.109992831541973,0.1591660232046678,10,14,0.7142857142857143,0.875,2,True
