id,metric,scenario,period,value,units,as_of,status,source,definition,url,register_id
M:review_without_k:exit_multiple,exit_multiple,review_without_k,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_without_k:enterprise_value_musd,enterprise_value_musd,review_without_k,FY2027,95666.76788501606,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_without_k:equity_value_musd,equity_value_musd,review_without_k,FY2027,105939.98566957712,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_without_k:value_per_share,value_per_share,review_without_k,FY2027,184.37229647239255,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_without_k:six_lens_mean,six_lens_mean,review_without_k,FY2027,160.19594223633422,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy26_revenue_musd,fy26_revenue_musd,k0_conditional,FY2026,14309.13868038,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy27_revenue_musd,fy27_revenue_musd,k0_conditional,FY2027,16057.89860362437,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy27_ebitda_musd,fy27_ebitda_musd,k0_conditional,FY2027,5888.213340184259,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy27_net_income_musd,fy27_net_income_musd,k0_conditional,FY2027,3418.807402201312,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy27_fcf_musd,fy27_fcf_musd,k0_conditional,FY2027,5612.434207210289,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy27_net_cash_musd,fy27_net_cash_musd,k0_conditional,FY2027,10369.793538769089,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:fy27_shares_m,fy27_shares_m,k0_conditional,FY2027,574.598178232489,million shares,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:exit_multiple,exit_multiple,k0_conditional,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:enterprise_value_musd,enterprise_value_musd,k0_conditional,FY2027,97155.52011304029,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:equity_value_musd,equity_value_musd,k0_conditional,FY2027,107525.31365180938,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:value_per_share,value_per_share,k0_conditional,FY2027,187.1313166751869,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:k0_conditional:six_lens_mean,six_lens_mean,k0_conditional,FY2027,162.7884037651979,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy26_revenue_musd,fy26_revenue_musd,nights_case_a,FY2026,14273.70658378,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy27_revenue_musd,fy27_revenue_musd,nights_case_a,FY2027,15965.56432735218,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy27_ebitda_musd,fy27_ebitda_musd,nights_case_a,FY2027,5814.85093106566,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy27_net_income_musd,fy27_net_income_musd,nights_case_a,FY2027,3360.7822816955922,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy27_fcf_musd,fy27_fcf_musd,nights_case_a,FY2027,5543.503843352755,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy27_net_cash_musd,fy27_net_cash_musd,nights_case_a,FY2027,10283.700681141063,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:fy27_shares_m,fy27_shares_m,nights_case_a,FY2027,574.598178232489,million shares,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:exit_multiple,exit_multiple,nights_case_a,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:enterprise_value_musd,enterprise_value_musd,nights_case_a,FY2027,95945.04036258339,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:equity_value_musd,equity_value_musd,nights_case_a,FY2027,106228.74104372445,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:value_per_share,value_per_share,nights_case_a,FY2027,184.8748309131309,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:nights_case_a:six_lens_mean,six_lens_mean,nights_case_a,FY2027,160.6873402496254,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy26_revenue_musd,fy26_revenue_musd,adr_mean_reversion,FY2026,14224.22909298,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy27_revenue_musd,fy27_revenue_musd,adr_mean_reversion,FY2027,15824.41291151889,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy27_ebitda_musd,fy27_ebitda_musd,adr_mean_reversion,FY2027,5708.741140917179,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy27_net_income_musd,fy27_net_income_musd,adr_mean_reversion,FY2027,3276.9107397708076,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy27_fcf_musd,fy27_fcf_musd,adr_mean_reversion,FY2027,5444.169321164272,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy27_net_cash_musd,fy27_net_cash_musd,adr_mean_reversion,FY2027,10168.44489086761,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:fy27_shares_m,fy27_shares_m,adr_mean_reversion,FY2027,574.598178232489,million shares,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:exit_multiple,exit_multiple,adr_mean_reversion,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:enterprise_value_musd,enterprise_value_musd,adr_mean_reversion,FY2027,94194.22882513345,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:equity_value_musd,equity_value_musd,adr_mean_reversion,FY2027,104362.67371600107,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:value_per_share,value_per_share,adr_mean_reversion,FY2027,181.6272269380129,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:adr_mean_reversion:six_lens_mean,six_lens_mean,adr_mean_reversion,FY2027,157.52932423176878,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy26_revenue_musd,fy26_revenue_musd,review_with_k_fx_down_sensitivity,FY2026,14193.8295179422,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy27_revenue_musd,fy27_revenue_musd,review_with_k_fx_down_sensitivity,FY2027,15833.198805201311,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy27_ebitda_musd,fy27_ebitda_musd,review_with_k_fx_down_sensitivity,FY2027,5687.879107014017,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy27_net_income_musd,fy27_net_income_musd,review_with_k_fx_down_sensitivity,FY2027,3260.1578542137645,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy27_fcf_musd,fy27_fcf_musd,review_with_k_fx_down_sensitivity,FY2027,5422.885564364354,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy27_net_cash_musd,fy27_net_cash_musd,review_with_k_fx_down_sensitivity,FY2027,10091.255510449077,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:fy27_shares_m,fy27_shares_m,review_with_k_fx_down_sensitivity,FY2027,574.598178232489,million shares,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:exit_multiple,exit_multiple,review_with_k_fx_down_sensitivity,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:enterprise_value_musd,enterprise_value_musd,review_with_k_fx_down_sensitivity,FY2027,93850.00526573128,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:equity_value_musd,equity_value_musd,review_with_k_fx_down_sensitivity,FY2027,103941.26077618035,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:value_per_share,value_per_share,review_with_k_fx_down_sensitivity,FY2027,180.89382235062453,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_down_sensitivity:six_lens_mean,six_lens_mean,review_with_k_fx_down_sensitivity,FY2027,156.82393058833682,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy26_revenue_musd,fy26_revenue_musd,review_with_k_fx_up_sensitivity,FY2026,14353.5836496178,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy27_revenue_musd,fy27_revenue_musd,review_with_k_fx_up_sensitivity,FY2027,16071.267676283049,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy27_ebitda_musd,fy27_ebitda_musd,review_with_k_fx_up_sensitivity,FY2027,5927.18593622538,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy27_net_income_musd,fy27_net_income_musd,review_with_k_fx_up_sensitivity,FY2027,3449.889221711066,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy27_fcf_musd,fy27_fcf_musd,review_with_k_fx_up_sensitivity,FY2027,5650.765087763793,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy27_net_cash_musd,fy27_net_cash_musd,review_with_k_fx_up_sensitivity,FY2027,10473.936787442171,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:fy27_shares_m,fy27_shares_m,review_with_k_fx_up_sensitivity,FY2027,574.598178232489,million shares,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:exit_multiple,exit_multiple,review_with_k_fx_up_sensitivity,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:enterprise_value_musd,enterprise_value_musd,review_with_k_fx_up_sensitivity,FY2027,97798.56794771877,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:equity_value_musd,equity_value_musd,review_with_k_fx_up_sensitivity,FY2027,108272.50473516094,USD millions,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:value_per_share,value_per_share,review_with_k_fx_up_sensitivity,FY2027,188.43168815504433,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k_fx_up_sensitivity:six_lens_mean,six_lens_mean,review_with_k_fx_up_sensitivity,FY2027,163.86640215006204,USD/share,2026-09-13,estimated inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\layout_01\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
C1,Q4 revenue consensus,vendor panel,2026Q4,3161.02149,USD millions,2026-09-13T15:20Z,consensus,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,Yahoo Finance (LSEG family),https://finance.yahoo.com/quote/ABNB/analysis/,CU-2026Q4-revenue-Yahoo-20260913T1520Z
C2,Q4 revenue consensus,vendor panel,2026Q4,3160.0,USD millions,2026-09-10,consensus,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,S&P Global Market Intelligence via StockAnalysis,https://stockanalysis.com/stocks/abnb/forecast/,CU-2026Q4-revenue-SPGlobal-20260910
C3,Q4 revenue consensus,vendor panel,2026Q4,3200.0,USD millions,2026-09-11,consensus,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,Zacks,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,CU-2026Q4-revenue-Zacks-20260911
