sample,sort,bucket,target,n,mean,median,min,max,n_positive,hit_rate_positive,sample_base_rate_positive,binom_p_vs_half,binom_p_vs_base_rate_1sided,prints,mann_whitney_p,welch_p,fisher_p_share_positive
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ev_ntm_rev_multiple_change_pct,2,-6.72,-6.72,-8.38,-5.06,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ret_5d_cc_excess_pct,3,3.27,-2.09,-7.75,19.65,1.0,0.33,0.38,1.0,0.684,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ret_5d_cc_excess_pct,4,5.82,7.16,-0.36,9.32,3.0,0.75,0.38,0.625,0.152,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ret_5d_cc_excess_pct,7,-7.78,-7.28,-18.76,1.08,2.0,0.29,0.38,0.453,0.475,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ret_5d_cc_excess_pct,2,-8.72,-8.72,-10.58,-6.85,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ret_20d_cc_excess_pct,3,1.46,-7.75,-9.61,21.74,1.0,0.33,0.25,1.0,0.578,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ret_20d_cc_excess_pct,4,2.68,2.06,-3.48,10.07,2.0,0.5,0.25,1.0,0.262,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ret_20d_cc_excess_pct,7,-8.37,-6.38,-16.73,0.89,1.0,0.14,0.25,0.125,0.445,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ret_20d_cc_excess_pct,2,-8.76,-8.76,-12.2,-5.33,0.0,0.0,0.25,0.5,0.562,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ret_20d_open_excess_pct,3,1.64,-0.95,-6.95,12.82,1.0,0.33,0.25,1.0,0.578,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ret_20d_open_excess_pct,4,-2.72,-4.84,-11.82,10.64,2.0,0.5,0.25,1.0,0.262,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ret_20d_open_excess_pct,7,-3.11,-3.76,-7.14,-0.17,0.0,0.0,0.25,0.016,0.133,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ret_20d_open_excess_pct,2,-0.72,-0.72,-4.96,3.52,1.0,0.5,0.25,1.0,0.437,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ret_1d_cc_excess_pct,1,16.26,16.26,16.26,16.26,1.0,1.0,0.31,1.0,0.312,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ret_1d_cc_excess_pct,5,0.79,0.61,-10.0,14.03,3.0,0.6,0.31,1.0,0.18,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ret_1d_cc_excess_pct,1,-0.04,-0.04,-0.04,-0.04,0.0,0.0,0.31,1.0,0.688,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ret_1d_cc_excess_pct,6,-2.77,-2.22,-12.3,12.59,1.0,0.17,0.31,0.219,0.394,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ret_1d_cc_excess_pct,2,-7.73,-7.73,-8.36,-7.09,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ret_1d_cc_excess_pct,1,-8.78,-8.78,-8.78,-8.78,0.0,0.0,0.31,1.0,0.688,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ret_1d_cc_raw_pct,1,17.4,17.4,17.4,17.4,1.0,1.0,0.44,1.0,0.438,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ret_1d_cc_raw_pct,5,0.52,0.3,-13.4,14.4,3.0,0.6,0.44,1.0,0.384,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ret_1d_cc_raw_pct,1,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.44,1.0,0.562,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ret_1d_cc_raw_pct,6,-1.82,-0.5,-13.4,13.4,3.0,0.5,0.44,1.0,0.533,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ret_1d_cc_raw_pct,2,-7.45,-7.45,-8.0,-6.9,0.0,0.0,0.44,0.5,0.316,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ret_1d_cc_raw_pct,1,-8.7,-8.7,-8.7,-8.7,0.0,0.0,0.44,1.0,0.562,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ret_1d_open_excess_pct,1,7.72,7.72,7.72,7.72,1.0,1.0,0.69,1.0,0.688,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ret_1d_open_excess_pct,5,-3.48,-4.29,-6.25,1.65,1.0,0.2,0.69,0.375,0.036,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ret_1d_open_excess_pct,1,0.77,0.77,0.77,0.77,1.0,1.0,0.69,1.0,0.688,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ret_1d_open_excess_pct,6,2.43,2.85,0.82,4.01,6.0,1.0,0.69,0.031,0.106,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ret_1d_open_excess_pct,2,0.14,0.14,0.13,0.15,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ret_1d_open_excess_pct,1,-0.26,-0.26,-0.26,-0.26,0.0,0.0,0.69,1.0,0.312,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,gap_excess_pct,1,7.84,7.84,7.84,7.84,1.0,1.0,0.38,1.0,0.375,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,gap_excess_pct,5,4.26,4.67,-5.86,12.14,4.0,0.8,0.38,0.375,0.069,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,gap_excess_pct,1,-0.82,-0.82,-0.82,-0.82,0.0,0.0,0.38,1.0,0.625,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,gap_excess_pct,6,-5.17,-3.54,-15.4,8.16,1.0,0.17,0.38,0.219,0.274,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,gap_excess_pct,2,-7.87,-7.87,-8.52,-7.22,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,gap_excess_pct,1,-8.52,-8.52,-8.52,-8.52,0.0,0.0,0.38,1.0,0.625,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,intraday_excess_pct,1,8.41,8.41,8.41,8.41,1.0,1.0,0.69,1.0,0.688,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,intraday_excess_pct,5,-3.47,-4.13,-6.4,1.89,1.0,0.2,0.69,0.375,0.036,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,intraday_excess_pct,1,0.78,0.78,0.78,0.78,1.0,1.0,0.69,1.0,0.688,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,intraday_excess_pct,6,2.4,2.6,0.77,4.43,6.0,1.0,0.69,0.031,0.106,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,intraday_excess_pct,2,0.14,0.14,0.13,0.16,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,intraday_excess_pct,1,-0.25,-0.25,-0.25,-0.25,0.0,0.0,0.69,1.0,0.312,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ev_ntm_rev_multiple_change_pct,1,19.7,19.7,19.7,19.7,1.0,1.0,0.31,1.0,0.312,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ev_ntm_rev_multiple_change_pct,5,1.88,-0.7,-9.94,20.38,2.0,0.4,0.31,1.0,0.497,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ev_ntm_rev_multiple_change_pct,1,-2.89,-2.89,-2.89,-2.89,0.0,0.0,0.31,1.0,0.688,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ev_ntm_rev_multiple_change_pct,6,-1.58,-2.05,-14.45,17.33,2.0,0.33,0.31,0.688,0.606,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ev_ntm_rev_multiple_change_pct,2,-6.72,-6.72,-8.38,-5.06,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ev_ntm_rev_multiple_change_pct,1,-9.46,-9.46,-9.46,-9.46,0.0,0.0,0.31,1.0,0.688,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ret_5d_cc_excess_pct,1,19.65,19.65,19.65,19.65,1.0,1.0,0.38,1.0,0.375,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ret_5d_cc_excess_pct,5,0.43,1.08,-7.28,8.93,3.0,0.6,0.38,1.0,0.275,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ret_5d_cc_excess_pct,1,-2.09,-2.09,-2.09,-2.09,0.0,0.0,0.38,1.0,0.625,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ret_5d_cc_excess_pct,6,-5.55,-4.39,-18.76,9.32,2.0,0.33,0.38,0.688,0.596,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ret_5d_cc_excess_pct,2,-8.72,-8.72,-10.58,-6.85,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ret_5d_cc_excess_pct,1,-7.75,-7.75,-7.75,-7.75,0.0,0.0,0.38,1.0,0.625,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ret_20d_cc_excess_pct,1,21.74,21.74,21.74,21.74,1.0,1.0,0.25,1.0,0.25,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ret_20d_cc_excess_pct,5,-1.52,-2.4,-12.97,10.07,2.0,0.4,0.25,1.0,0.367,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ret_20d_cc_excess_pct,1,-7.75,-7.75,-7.75,-7.75,0.0,0.0,0.25,1.0,0.75,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ret_20d_cc_excess_pct,6,-6.72,-5.06,-16.73,6.51,1.0,0.17,0.25,0.219,0.534,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ret_20d_cc_excess_pct,2,-8.76,-8.76,-12.2,-5.33,0.0,0.0,0.25,0.5,0.562,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ret_20d_cc_excess_pct,1,-9.61,-9.61,-9.61,-9.61,0.0,0.0,0.25,1.0,0.75,3Q24,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide accelerating,ret_20d_open_excess_pct,1,12.82,12.82,12.82,12.82,1.0,1.0,0.25,1.0,0.25,2Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed accel | guide decelerating,ret_20d_open_excess_pct,5,-5.23,-4.42,-11.82,0.99,1.0,0.2,0.25,0.375,0.633,3Q22 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide accelerating,ret_20d_open_excess_pct,1,-6.95,-6.95,-6.95,-6.95,0.0,0.0,0.25,1.0,0.75,2Q23,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide decelerating,ret_20d_open_excess_pct,6,-1.08,-1.11,-10.67,10.64,1.0,0.17,0.25,0.219,0.534,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,accel_sign_x_guide_dir,printed decel | guide stable,ret_20d_open_excess_pct,2,-0.72,-0.72,-4.96,3.52,1.0,0.5,0.25,1.0,0.437,1Q24 2Q25,,,
ex_reopening,accel_sign_x_guide_dir,printed flat | guide accelerating,ret_20d_open_excess_pct,1,-0.95,-0.95,-0.95,-0.95,0.0,0.0,0.25,1.0,0.75,3Q24,,,
all,guide_dir,accelerating,ret_1d_cc_excess_pct,5,4.8,3.67,-8.78,16.26,3.0,0.6,0.48,1.0,0.459,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ret_1d_cc_excess_pct,12,-1.0,-1.04,-12.3,14.03,5.0,0.42,0.48,0.774,0.447,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ret_1d_cc_excess_pct,5,-2.63,-3.86,-8.36,4.33,2.0,0.4,0.48,1.0,0.541,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ret_1d_cc_excess_pct,17,5.8,4.72,,,,,,,,top 3/5 positive vs bottom 5/12,0.234,0.298,0.62
all,guide_dir,accelerating,ret_1d_cc_raw_pct,5,4.96,3.6,-8.7,17.4,3.0,0.6,0.57,1.0,0.621,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ret_1d_cc_raw_pct,12,-0.6,0.5,-13.4,14.4,7.0,0.58,0.57,0.774,0.57,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ret_1d_cc_raw_pct,5,-0.86,-1.1,-8.0,7.7,2.0,0.4,0.57,1.0,0.379,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ret_1d_cc_raw_pct,17,5.56,3.1,,,,,,,,top 3/5 positive vs bottom 7/12,0.37,0.336,1.0
all,guide_dir,accelerating,ret_1d_open_excess_pct,5,4.19,4.05,-0.26,8.67,4.0,0.8,0.74,0.375,0.61,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ret_1d_open_excess_pct,12,0.09,1.29,-6.25,4.01,8.0,0.67,0.74,0.388,0.385,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ret_1d_open_excess_pct,5,0.99,0.15,-0.84,4.11,4.0,0.8,0.74,0.375,0.61,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ret_1d_open_excess_pct,17,4.1,2.76,,,,,,,,top 4/5 positive vs bottom 8/12,0.16,0.09,1.0
all,guide_dir,accelerating,gap_excess_pct,5,0.41,-0.34,-8.52,7.84,2.0,0.4,0.43,1.0,0.621,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,gap_excess_pct,12,-1.07,-2.72,-15.4,12.14,5.0,0.42,0.43,0.774,0.57,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,gap_excess_pct,5,-3.56,-7.22,-8.52,5.05,2.0,0.4,0.43,1.0,0.621,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,gap_excess_pct,17,1.47,2.39,,,,,,,,top 2/5 positive vs bottom 5/12,0.799,0.698,1.0
all,guide_dir,accelerating,intraday_excess_pct,5,4.4,4.01,-0.25,9.03,4.0,0.8,0.74,0.375,0.61,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,intraday_excess_pct,12,0.07,1.39,-6.4,4.43,8.0,0.67,0.74,0.388,0.385,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,intraday_excess_pct,5,0.93,0.16,-0.72,3.66,4.0,0.8,0.74,0.375,0.61,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,intraday_excess_pct,17,4.33,2.62,,,,,,,,top 4/5 positive vs bottom 8/12,0.16,0.09,1.0
all,guide_dir,accelerating,ev_ntm_rev_multiple_change_pct,4,1.77,-1.58,-9.46,19.7,1.0,0.25,0.37,0.625,0.53,4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ev_ntm_rev_multiple_change_pct,11,-0.01,-0.97,-14.45,20.38,4.0,0.36,0.37,0.549,0.619,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ev_ntm_rev_multiple_change_pct,4,6.13,4.79,-8.38,23.32,2.0,0.5,0.37,1.0,0.47,1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ev_ntm_rev_multiple_change_pct,15,1.78,-0.61,,,,,,,,top 1/4 positive vs bottom 4/11,1.0,0.811,1.0
all,guide_dir,accelerating,ret_5d_cc_excess_pct,5,1.98,-2.09,-9.18,19.65,2.0,0.4,0.35,1.0,0.567,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ret_5d_cc_excess_pct,12,-2.99,-2.51,-18.76,9.32,5.0,0.42,0.35,0.774,0.41,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ret_5d_cc_excess_pct,5,-7.37,-6.85,-14.25,-2.51,0.0,0.0,0.35,0.062,0.118,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ret_5d_cc_excess_pct,17,4.97,0.41,,,,,,,,top 2/5 positive vs bottom 5/12,0.721,0.444,1.0
all,guide_dir,accelerating,ret_20d_cc_excess_pct,5,-1.49,-7.75,-9.61,21.74,1.0,0.2,0.3,0.375,0.519,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ret_20d_cc_excess_pct,12,-3.42,-3.33,-16.73,10.07,4.0,0.33,0.3,0.388,0.521,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ret_20d_cc_excess_pct,5,-5.91,-5.33,-15.48,2.49,2.0,0.4,0.3,1.0,0.481,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ret_20d_cc_excess_pct,17,1.93,-4.42,,,,,,,,top 1/5 positive vs bottom 4/12,0.879,0.775,1.0
all,guide_dir,accelerating,ret_20d_open_excess_pct,5,-2.02,-6.19,-8.83,12.82,1.0,0.2,0.3,0.375,0.519,3Q21 4Q21 2Q23 3Q24 2Q26,,,
all,guide_dir,decelerating,ret_20d_open_excess_pct,12,-1.86,-2.64,-11.82,10.64,3.0,0.25,0.3,0.146,0.479,2Q21 3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
all,guide_dir,stable,ret_20d_open_excess_pct,5,-1.99,2.04,-19.32,8.76,3.0,0.6,0.3,1.0,0.169,1Q21 1Q22 2Q22 1Q24 2Q25,,,
all,guide_dir,TOP minus BOTTOM,ret_20d_open_excess_pct,17,-0.16,-3.55,,,,,,,,top 1/5 positive vs bottom 3/12,0.799,0.973,1.0
all,nights_accel_sign,decelerating,ret_1d_cc_excess_pct,10,-3.6,-3.34,-12.3,12.59,1.0,0.1,0.48,0.021,0.015,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,ret_1d_cc_excess_pct,2,-2.22,-2.22,-8.78,4.33,1.0,0.5,0.48,1.0,0.728,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,ret_1d_cc_excess_pct,7,3.41,3.67,-10.0,16.26,5.0,0.71,0.48,0.453,0.192,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,ret_1d_cc_excess_pct,17,7.01,7.02,,,,,,,,top 5/7 positive vs bottom 1/10,0.088,0.128,0.035
all,nights_accel_sign,decelerating,ret_1d_cc_raw_pct,10,-2.74,-1.4,-13.4,13.4,3.0,0.3,0.57,0.344,0.085,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,ret_1d_cc_raw_pct,2,-0.5,-0.5,-8.7,7.7,1.0,0.5,0.57,1.0,0.681,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,ret_1d_cc_raw_pct,7,3.37,3.6,-13.4,17.4,5.0,0.71,0.57,0.453,0.347,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,ret_1d_cc_raw_pct,17,6.11,5.0,,,,,,,,top 5/7 positive vs bottom 3/10,0.172,0.215,0.153
all,nights_accel_sign,decelerating,ret_1d_open_excess_pct,10,1.98,1.83,0.13,4.11,10.0,1.0,0.74,0.002,0.049,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,ret_1d_open_excess_pct,2,-0.55,-0.55,-0.84,-0.26,0.0,0.0,0.74,0.5,0.068,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,ret_1d_open_excess_pct,7,-0.81,-3.91,-6.25,7.72,3.0,0.43,0.74,1.0,0.081,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,ret_1d_open_excess_pct,17,-2.78,-5.75,,,,,,,,top 3/7 positive vs bottom 10/10,0.315,0.221,0.015
all,nights_accel_sign,decelerating,gap_excess_pct,10,-5.51,-5.47,-15.4,8.16,1.0,0.1,0.43,0.021,0.029,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,gap_excess_pct,2,-1.73,-1.73,-8.52,5.05,1.0,0.5,0.43,1.0,0.681,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,gap_excess_pct,7,4.11,4.67,-5.86,12.14,5.0,0.71,0.43,0.453,0.134,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,gap_excess_pct,17,9.62,10.14,,,,,,,,top 5/7 positive vs bottom 1/10,0.01,0.009,0.035
all,nights_accel_sign,decelerating,intraday_excess_pct,10,1.91,1.6,0.13,4.43,10.0,1.0,0.74,0.002,0.049,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,intraday_excess_pct,2,-0.49,-0.49,-0.72,-0.25,0.0,0.0,0.74,0.5,0.068,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,intraday_excess_pct,7,-0.71,-4.06,-6.4,8.41,3.0,0.43,0.74,1.0,0.081,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,intraday_excess_pct,17,-2.62,-5.67,,,,,,,,top 3/7 positive vs bottom 10/10,0.315,0.264,0.015
all,nights_accel_sign,decelerating,ev_ntm_rev_multiple_change_pct,10,-0.25,-2.69,-14.45,23.32,3.0,0.3,0.37,0.344,0.464,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,ev_ntm_rev_multiple_change_pct,2,2.59,2.59,-9.46,14.64,1.0,0.5,0.37,1.0,0.601,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,ev_ntm_rev_multiple_change_pct,7,4.12,-0.27,-9.94,20.38,3.0,0.43,0.37,1.0,0.51,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,ev_ntm_rev_multiple_change_pct,17,4.37,2.42,,,,,,,,top 3/7 positive vs bottom 3/10,0.23,0.457,0.644
all,nights_accel_sign,decelerating,ret_5d_cc_excess_pct,10,-5.53,-4.68,-18.76,9.32,2.0,0.2,0.35,0.109,0.266,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,ret_5d_cc_excess_pct,2,-11.0,-11.0,-14.25,-7.75,0.0,0.0,0.35,0.5,0.425,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,ret_5d_cc_excess_pct,7,1.8,1.08,-9.18,19.65,4.0,0.57,0.35,1.0,0.196,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,ret_5d_cc_excess_pct,17,7.34,5.76,,,,,,,,top 4/7 positive vs bottom 2/10,0.193,0.148,0.162
all,nights_accel_sign,decelerating,ret_20d_cc_excess_pct,10,-6.46,-5.85,-16.73,6.51,2.0,0.2,0.3,0.109,0.371,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
all,nights_accel_sign,flat,ret_20d_cc_excess_pct,2,-12.55,-12.55,-15.48,-9.61,0.0,0.0,0.3,0.5,0.484,1Q22 3Q24,,,
all,nights_accel_sign,accelerating,ret_20d_cc_excess_pct,7,0.73,-2.4,-12.97,21.74,3.0,0.43,0.3,1.0,0.363,4Q21 3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
all,nights_accel_sign,TOP minus BOTTOM,ret_20d_cc_excess_pct,17,7.19,3.46,,,,,,,,top 3/7 positive vs bottom 2/10,0.193,0.186,0.593
all,nights_accel_sign,decelerating,ret_20d_open_excess_pct,10,-0.61,-1.11,-10.67,10.64,3.0,0.3,0.3,0.344,0.629,2Q22 4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
