market,scope,baseline_date,endpoint_date,interval_days,pair_eligible,exclusion,baseline_listings,baseline_unique_host_ids,baseline_boutique_tagged,baseline_min_nights_le2,baseline_number_of_reviews_ltm,baseline_number_of_reviews_ltm_observed_sum,baseline_number_of_reviews_ltm_missing,baseline_number_of_reviews_ltm_positive,baseline_number_of_reviews_l30d,baseline_number_of_reviews_l30d_observed_sum,baseline_number_of_reviews_l30d_missing,baseline_number_of_reviews_l30d_positive,endpoint_listings,endpoint_unique_host_ids,endpoint_boutique_tagged,endpoint_min_nights_le2,endpoint_number_of_reviews_ltm,endpoint_number_of_reviews_ltm_observed_sum,endpoint_number_of_reviews_ltm_missing,endpoint_number_of_reviews_ltm_positive,endpoint_number_of_reviews_l30d,endpoint_number_of_reviews_l30d_observed_sum,endpoint_number_of_reviews_l30d_missing,endpoint_number_of_reviews_l30d_positive,retained_hotel_ids,new_to_panel_hotel_ids,recategorized_into_hotel,absent_baseline_hotel_ids,recategorized_out_of_hotel,retained_baseline_listings,retained_baseline_unique_host_ids,retained_baseline_boutique_tagged,retained_baseline_min_nights_le2,retained_baseline_number_of_reviews_ltm,retained_baseline_number_of_reviews_ltm_observed_sum,retained_baseline_number_of_reviews_ltm_missing,retained_baseline_number_of_reviews_ltm_positive,retained_baseline_number_of_reviews_l30d,retained_baseline_number_of_reviews_l30d_observed_sum,retained_baseline_number_of_reviews_l30d_missing,retained_baseline_number_of_reviews_l30d_positive,retained_listings,retained_unique_host_ids,retained_boutique_tagged,retained_min_nights_le2,retained_number_of_reviews_ltm,retained_number_of_reviews_ltm_observed_sum,retained_number_of_reviews_ltm_missing,retained_number_of_reviews_ltm_positive,retained_number_of_reviews_l30d,retained_number_of_reviews_l30d_observed_sum,retained_number_of_reviews_l30d_missing,retained_number_of_reviews_l30d_positive,new_to_panel_listings,new_to_panel_unique_host_ids,new_to_panel_boutique_tagged,new_to_panel_min_nights_le2,new_to_panel_number_of_reviews_ltm,new_to_panel_number_of_reviews_ltm_observed_sum,new_to_panel_number_of_reviews_ltm_missing,new_to_panel_number_of_reviews_ltm_positive,new_to_panel_number_of_reviews_l30d,new_to_panel_number_of_reviews_l30d_observed_sum,new_to_panel_number_of_reviews_l30d_missing,new_to_panel_number_of_reviews_l30d_positive,new_ids_first_review_after_baseline,new_ids_first_review_before_baseline,retained_missing_lifetime_review_delta_ids,retained_lifetime_review_delta_nonnegative,retained_negative_review_delta_ids,listings_growth,number_of_reviews_ltm_growth,number_of_reviews_l30d_growth,ltm_reviews_per_listing_baseline,ltm_reviews_per_listing_endpoint,l30d_reviews_per_listing_baseline,l30d_reviews_per_listing_endpoint
new-orleans,boutique,2025-09-11,2026-06-25,287,True,,81,23,81,65,988,988,0,51,63,63,0,23,75,18,75,61,948,948,0,54,77,77,0,24,67,1,7,5,9,67,16,67,53,737,737,0,41,49,49,0,18,67,16,67,53,697,697,0,46,35,35,0,18,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,500,0,-0.07407407407407407,-0.04048582995951422,0.22222222222222232,12.197530864197532,12.64,0.7777777777777778,1.0266666666666666
new-york-city,strict,2025-09-03,2026-06-23,293,True,,1726,300,255,1556,23038,23038,0,707,2392,2392,0,366,1901,347,220,1764,23876,23876,0,806,1868,1868,0,356,1328,553,20,395,3,1328,251,189,1186,16038,16038,0,515,1769,1769,0,267,1328,251,206,1223,21557,21557,0,585,1482,1482,0,249,553,129,13,523,1787,1787,0,204,349,349,0,100,181,33,0,17647,4,0.10139049826187718,0.03637468530254373,-0.21906354515050164,13.347624565469292,12.559705418200947,1.3858632676709155,0.9826407154129405
new-york-city,broad,2025-09-03,2026-06-23,293,True,,1742,302,255,1556,23040,23040,0,708,2392,2392,0,366,1933,349,220,1780,23880,23880,0,809,1870,1870,0,358,1343,569,21,396,3,1343,252,189,1186,16040,16040,0,516,1769,1769,0,267,1343,252,206,1223,21559,21559,0,586,1482,1482,0,249,569,129,13,539,1789,1789,0,206,351,351,0,102,183,33,0,17649,4,0.10964408725602759,0.03645833333333326,-0.2182274247491639,13.226176808266361,12.353854112778064,1.373134328358209,0.967408173823073
new-york-city,boutique,2025-09-03,2026-06-23,293,True,,255,43,255,232,3700,3700,0,143,121,121,0,55,220,40,220,191,1330,1330,0,89,63,63,0,29,178,13,29,66,11,178,38,178,162,1288,1288,0,82,91,91,0,34,178,38,178,163,1274,1274,0,71,61,61,0,27,13,1,13,0,48,48,0,13,2,2,0,2,0,13,0,962,1,-0.13725490196078427,-0.6405405405405405,-0.47933884297520657,14.509803921568627,6.045454545454546,0.4745098039215686,0.2863636363636364
paris,strict,2025-09-15,2026-06-29,287,True,,2494,569,1076,2401,12598,12598,0,883,1171,1171,0,313,1856,481,602,1821,14595,14595,0,709,723,723,0,262,1592,259,5,902,0,1592,407,594,1536,8835,8835,0,599,822,822,0,209,1592,407,594,1557,11451,11451,0,552,496,496,0,192,259,95,8,259,2949,2949,0,152,225,225,0,68,117,52,0,8766,11,-0.2558139534883721,0.15851722495634224,-0.3825789923142613,5.051323175621492,7.863685344827586,0.46952686447473935,0.3895474137931034
paris,broad,2025-09-15,2026-06-29,287,True,,2526,582,1076,2421,13045,13045,0,896,1196,1196,0,320,1878,489,602,1839,14808,14808,0,720,739,739,0,268,1614,259,5,912,0,1614,415,594,1547,9042,9042,0,610,834,834,0,215,1614,415,594,1575,11664,11664,0,563,512,512,0,198,259,95,8,259,2949,2949,0,152,225,225,0,68,117,52,0,8930,11,-0.2565320665083135,0.1351475661172863,-0.38210702341137126,5.164291369754553,7.884984025559105,0.4734758511480602,0.3935037273695421
paris,boutique,2025-09-15,2026-06-29,287,True,,1076,267,1076,1016,4955,4955,0,265,464,464,0,88,602,168,602,586,3498,3498,0,102,146,146,0,40,594,8,0,482,0,594,165,594,563,3085,3085,0,135,323,323,0,45,594,165,594,578,3473,3473,0,99,142,142,0,37,8,7,8,8,25,25,0,3,4,4,0,3,0,6,0,2559,4,-0.4405204460966543,-0.29404641775983853,-0.6853448275862069,4.605018587360595,5.810631229235881,0.4312267657992565,0.2425249169435216
rio-de-janeiro,strict,2025-09-28,2026-07-01,276,True,,468,329,23,332,1145,1145,0,181,58,58,0,36,609,461,27,490,1195,1195,0,207,90,90,0,47,345,264,0,116,7,345,244,21,267,921,921,0,140,46,46,0,27,345,244,21,282,993,993,0,152,62,62,0,29,264,227,6,208,202,202,0,55,28,28,0,18,49,9,0,834,1,0.3012820512820513,0.04366812227074246,0.5517241379310345,2.4465811965811968,1.9622331691297208,0.12393162393162394,0.1477832512315271
rio-de-janeiro,broad,2025-09-28,2026-07-01,276,True,,480,337,23,344,1239,1239,0,191,60,60,0,38,620,467,27,500,1277,1277,0,215,94,94,0,50,356,264,0,117,7,356,251,21,278,999,999,0,149,48,48,0,29,356,251,21,292,1075,1075,0,160,66,66,0,32,264,227,6,208,202,202,0,55,28,28,0,18,49,9,0,909,1,0.29166666666666674,0.030669895076674836,0.5666666666666667,2.58125,2.0596774193548386,0.125,0.15161290322580645
rio-de-janeiro,boutique,2025-09-28,2026-07-01,276,True,,23,14,23,17,26,26,0,10,1,1,0,1,27,16,27,24,17,17,0,6,1,1,0,1,21,6,0,2,0,21,12,21,15,23,23,0,9,1,1,0,1,21,12,21,18,17,17,0,6,1,1,0,1,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,14,1,0.17391304347826098,-0.34615384615384615,0.0,1.1304347826086956,0.6296296296296297,0.043478260869565216,0.037037037037037035
rome,strict,2025-09-15,2026-07-07,295,True,,646,197,317,509,4206,4206,0,288,469,469,0,128,686,211,271,612,4725,4725,0,338,373,373,0,136,512,159,15,122,12,512,158,247,422,3822,3822,0,257,397,397,0,116,512,158,247,449,4150,4150,0,250,242,242,0,93,159,66,13,148,440,440,0,77,129,129,0,41,73,6,0,2921,3,0.0619195046439629,0.12339514978601995,-0.20469083155650325,6.510835913312693,6.887755102040816,0.7260061919504643,0.543731778425656
rome,broad,2025-09-15,2026-07-07,295,True,,901,307,317,699,5965,5965,0,407,587,587,0,176,909,303,271,812,6446,6446,0,458,505,505,0,190,719,176,14,163,19,719,250,247,593,5408,5408,0,368,502,502,0,160,719,250,248,634,5820,5820,0,366,356,356,0,142,176,68,13,164,494,494,0,82,147,147,0,46,73,18,0,4220,3,0.008879023307436285,0.08063704945515515,-0.13969335604770017,6.620421753607103,7.091309130913091,0.6514983351831298,0.5555555555555556
rome,boutique,2025-09-15,2026-07-07,295,True,,317,108,317,226,2083,2083,0,137,191,191,0,47,271,94,271,231,2309,2309,0,133,147,147,0,51,247,13,11,60,10,247,86,247,192,2025,2025,0,122,188,188,0,45,247,86,247,207,2188,2188,0,114,139,139,0,45,13,7,13,13,53,53,0,11,7,7,0,5,9,2,0,1579,0,-0.1451104100946372,0.10849735957753248,-0.23036649214659688,6.570977917981073,8.52029520295203,0.6025236593059937,0.5424354243542435
san-diego,strict,2025-09-25,2026-07-02,280,True,,586,99,40,558,2287,2287,0,208,261,261,0,83,574,115,59,514,3377,3377,0,196,334,334,0,94,315,247,12,234,37,315,76,32,292,1497,1497,0,116,191,191,0,57,315,76,32,290,2618,2618,0,129,166,166,0,61,247,54,26,214,691,691,0,60,166,166,0,31,49,16,0,2038,0,-0.020477815699658675,0.47660690861390465,0.27969348659003823,3.9027303754266214,5.883275261324042,0.4453924914675768,0.5818815331010453
san-diego,broad,2025-09-25,2026-07-02,280,True,,589,100,40,559,2290,2290,0,209,262,262,0,84,589,116,59,528,3426,3426,0,207,338,338,0,96,320,247,22,234,35,320,77,32,295,1500,1500,0,117,192,192,0,58,320,77,32,294,2626,2626,0,131,166,166,0,61,247,54,26,214,691,691,0,60,166,166,0,31,49,16,0,2044,0,0.0,0.4960698689956331,0.29007633587786263,3.8879456706281834,5.816638370118845,0.44482173174872663,0.5738539898132428
san-diego,boutique,2025-09-25,2026-07-02,280,True,,40,10,40,33,530,530,0,26,28,28,0,14,59,14,59,29,424,424,0,18,17,17,0,9,32,26,1,8,0,32,9,32,25,296,296,0,20,26,26,0,13,32,9,32,25,380,380,0,16,17,17,0,9,26,4,26,3,5,5,0,1,0,0,0,0,1,0,0,301,0,0.4750000000000001,-0.19999999999999996,-0.3928571428571429,13.25,7.186440677966102,0.7,0.288135593220339
san-francisco,strict,2025-09-01,2026-06-22,294,True,,1216,187,216,864,7936,7936,0,395,919,919,0,197,1111,215,153,980,8148,8148,0,464,766,766,0,175,722,384,5,484,10,722,149,180,649,6406,6406,0,294,710,710,0,153,722,149,145,647,7596,7596,0,357,656,656,0,143,384,99,6,329,512,512,0,105,107,107,0,31,92,23,0,5931,8,-0.08634868421052633,0.02671370967741926,-0.16648531011969536,6.526315789473684,7.333933393339334,0.7557565789473685,0.6894689468946895
san-francisco,broad,2025-09-01,2026-06-22,294,True,,1224,189,216,871,7972,7972,0,397,921,921,0,199,1119,217,153,987,8193,8193,0,466,769,769,0,176,730,384,5,484,10,730,151,180,656,6442,6442,0,296,712,712,0,155,730,151,145,654,7641,7641,0,359,659,659,0,144,384,99,6,329,512,512,0,105,107,107,0,31,92,23,0,5964,8,-0.08578431372549022,0.027722027094831958,-0.16503800217155262,6.5130718954248366,7.32171581769437,0.7524509803921569,0.6872207327971404
san-francisco,boutique,2025-09-01,2026-06-22,294,True,,216,45,216,202,993,993,0,77,108,108,0,36,153,38,153,144,975,975,0,63,54,54,0,19,145,6,2,35,36,145,37,145,136,817,817,0,60,83,83,0,29,145,37,145,136,962,962,0,61,53,53,0,18,6,3,6,6,4,4,0,1,1,1,0,1,1,1,0,758,0,-0.29166666666666663,-0.01812688821752262,-0.5,4.597222222222222,6.372549019607843,0.5,0.35294117647058826
singapore,strict,2025-09-28,2026-07-02,277,True,,637,135,107,488,4087,4087,0,317,380,380,0,112,582,134,100,509,3121,3121,0,254,141,141,0,62,446,132,4,190,1,446,111,99,319,2931,2931,0,222,218,218,0,75,446,111,99,380,2976,2976,0,222,122,122,0,53,132,36,0,128,132,132,0,28,19,19,0,9,26,4,0,2264,1,-0.08634222919937207,-0.2363591876682163,-0.6289473684210527,6.416012558869702,5.36254295532646,0.5965463108320251,0.2422680412371134
singapore,broad,2025-09-28,2026-07-02,277,True,,678,141,107,488,4088,4088,0,318,380,380,0,112,623,140,100,509,3130,3130,0,258,141,141,0,62,487,132,4,190,1,487,117,99,319,2932,2932,0,223,218,218,0,75,487,117,99,380,2985,2985,0,226,122,122,0,53,132,36,0,128,132,132,0,28,19,19,0,9,26,4,0,2272,1,-0.08112094395280234,-0.23434442270058709,-0.6289473684210527,6.0294985250737465,5.024077046548957,0.56047197640118,0.22632423756019263
singapore,boutique,2025-09-28,2026-07-02,277,True,,107,21,107,88,1682,1682,0,56,117,117,0,21,100,18,100,82,1333,1333,0,44,70,70,0,19,98,0,2,8,1,98,18,98,80,1511,1511,0,49,108,108,0,19,98,18,98,80,1330,1330,0,42,70,70,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,1,-0.06542056074766356,-0.2074910820451843,-0.4017094017094017,15.719626168224298,13.33,1.0934579439252337,0.7
sydney,strict,2025-09-12,2026-06-29,290,True,,242,62,113,222,2667,2667,0,202,123,123,0,65,310,78,116,297,3019,3019,0,229,173,173,0,81,220,90,0,16,6,220,59,106,204,2465,2465,0,188,120,120,0,62,220,59,106,207,2648,2648,0,183,140,140,0,65,90,30,10,90,371,371,0,46,33,33,0,16,23,39,0,2135,0,0.28099173553719003,0.1319835020622422,0.4065040650406504,11.020661157024794,9.738709677419354,0.5082644628099173,0.5580645161290323
sydney,broad,2025-09-12,2026-06-29,290,True,,259,67,113,239,2784,2784,0,216,130,130,0,70,328,84,116,314,3116,3116,0,243,174,174,0,82,237,91,0,16,6,237,64,106,221,2582,2582,0,202,127,127,0,67,237,64,106,224,2745,2745,0,197,141,141,0,66,91,31,10,90,371,371,0,46,33,33,0,16,23,39,0,2207,0,0.2664092664092663,0.11925287356321834,0.33846153846153837,10.749034749034749,9.5,0.5019305019305019,0.5304878048780488
sydney,boutique,2025-09-12,2026-06-29,290,True,,113,31,113,108,1032,1032,0,89,45,45,0,24,116,33,116,112,940,940,0,88,70,70,0,31,106,10,0,7,0,106,30,106,102,911,911,0,85,44,44,0,23,106,30,106,102,917,917,0,81,66,66,0,28,10,3,10,10,23,23,0,7,4,4,0,3,0,10,0,730,0,0.026548672566371723,-0.08914728682170547,0.5555555555555556,9.132743362831858,8.10344827586207,0.39823008849557523,0.603448275862069
tokyo,strict,2025-09-30,2026-07-03,276,True,,1268,293,247,1192,19415,19415,0,839,1334,1334,0,441,1440,312,237,1413,20863,20863,0,952,1359,1359,0,474,1089,341,10,159,20,1089,255,207,1021,17848,17848,0,755,1252,1252,0,395,1089,255,211,1069,18711,18711,0,749,1031,1031,0,350,341,76,25,334,1666,1666,0,193,301,301,0,119,188,11,0,14617,0,0.13564668769716093,0.07458150914241557,0.01874062968515733,15.311514195583596,14.488194444444444,1.0520504731861198,0.94375
tokyo,broad,2025-09-30,2026-07-03,276,True,,1377,319,247,1296,22205,22205,0,921,1497,1497,0,488,1543,336,237,1511,23256,23256,0,1027,1462,1462,0,505,1192,341,10,164,21,1192,279,207,1119,20573,20573,0,835,1413,1413,0,441,1192,279,211,1167,21104,21104,0,824,1134,1134,0,381,341,76,25,334,1666,1666,0,193,301,301,0,119,188,11,0,16475,0,0.12055192447349317,0.04733168205359162,-0.023380093520374068,16.12563543936093,15.07193778353856,1.0871459694989107,0.9475048606610499
tokyo,boutique,2025-09-30,2026-07-03,276,True,,247,64,247,236,4920,4920,0,200,289,289,0,106,237,64,237,230,4129,4129,0,182,230,230,0,80,207,25,5,38,2,207,57,207,196,4568,4568,0,177,265,265,0,93,207,57,207,201,3696,3696,0,165,181,181,0,67,25,7,25,24,122,122,0,12,35,35,0,9,10,6,0,2835,0,-0.04048582995951422,-0.16077235772357723,-0.20415224913494812,19.91902834008097,17.421940928270043,1.1700404858299596,0.9704641350210971
