quarter,region,premium_logpts,premium_se,premium_basis,premium_source,n_new,n_old,n_markets,variant
4Q24,NAM,-15.438617073203323,0.9150507104155872,listed_nightly,measured,4347,11037,2,wedge_corrected_share
1Q25,NAM,-6.503449320541903,0.4486390930281297,listed_nightly,measured,14976,41449,5,wedge_corrected_share
2Q25,NAM,-6.029117512054063,0.4269672993312822,listed_nightly,measured,16132,46330,6,wedge_corrected_share
3Q25,NAM,-6.525755932457959,0.4357242469963674,listed_nightly,measured,15700,46753,6,wedge_corrected_share
4Q25,NAM,1.885135084816549,1.4274351918041148,listed_nightly,carried_from_4Q25,1849,12818,1,wedge_corrected_share
1Q26,NAM,4.1574695816411085,0.5513447401776095,quote_per_night,measured,11837,43122,4,wedge_corrected_share
2Q26,NAM,2.9576016186220704,0.2629949654593869,quote_per_night,measured,50630,184364,7,wedge_corrected_share
3Q26,NAM,3.833974454634654,0.3184587890194854,quote_per_night,measured,34416,124411,7,wedge_corrected_share
1Q23,EMEA,8.405560095673627,0.7811479220957169,listed_nightly,measured,5095,15636,1,wedge_corrected_share
2Q23,EMEA,12.873986659369432,0.8085025042946316,listed_nightly,measured,5779,16584,1,wedge_corrected_share
3Q23,EMEA,6.368986286517902,0.7520209920104114,listed_nightly,measured,6270,17356,1,wedge_corrected_share
4Q23,EMEA,5.8682891152800725,0.3774120548550588,listed_nightly,measured,24594,50364,2,wedge_corrected_share
1Q24,EMEA,-6.023944980966722,0.3812937773895588,listed_nightly,measured,23483,39929,2,wedge_corrected_share
2Q24,EMEA,-6.591010455654689,0.3555274964462452,listed_nightly,measured,27526,44930,2,wedge_corrected_share
3Q24,EMEA,-8.553604808133983,0.3566638702761345,listed_nightly,measured,26937,43995,2,wedge_corrected_share
4Q24,EMEA,-7.246663666548413,0.346725718422909,listed_nightly,measured,25064,45664,2,wedge_corrected_share
1Q25,EMEA,-8.713217129603452,0.3699459810811222,listed_nightly,measured,22540,44492,2,wedge_corrected_share
2Q25,EMEA,-8.754421418826668,0.3976039179375472,listed_nightly,measured,21206,47960,2,wedge_corrected_share
3Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,measured,27208,60131,3,wedge_corrected_share
4Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,carried_from_3Q25,27208,60131,3,wedge_corrected_share
1Q26,EMEA,-6.741384126755358,0.3021343397024139,quote_per_night,measured,28091,77607,4,wedge_corrected_share
2Q26,EMEA,-4.90622833132358,0.1797567053383127,quote_per_night,measured,86758,257494,4,wedge_corrected_share
3Q26,EMEA,-4.692389449629222,0.2107751564865644,quote_per_night,measured,62814,190227,4,wedge_corrected_share
1Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
2Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
3Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
4Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
1Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
2Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
3Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,wedge_corrected_share
4Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,measured,506,1786,1,wedge_corrected_share
1Q25,LatAm,0.1568280878122895,2.8723007011020494,listed_nightly,measured,485,1934,1,wedge_corrected_share
2Q25,LatAm,-4.063588407754171,0.5178674493269,listed_nightly,measured,16612,36740,3,wedge_corrected_share
3Q25,LatAm,-5.458084614186797,0.262342748396338,listed_nightly,measured,47742,113916,5,wedge_corrected_share
4Q25,LatAm,-5.128341004589943,0.5045562603582964,listed_nightly,carried_from_4Q25,10739,25721,2,wedge_corrected_share
1Q26,LatAm,-4.016797244870431,0.3513169398207972,quote_per_night,measured,27128,63887,5,wedge_corrected_share
2Q26,LatAm,-2.2866943564657087,0.2369284064643166,quote_per_night,measured,59736,133652,7,wedge_corrected_share
3Q26,LatAm,-1.9962299831022,0.1832372893014678,quote_per_night,measured,97038,205184,7,wedge_corrected_share
1Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
2Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
3Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
4Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
1Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
2Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
3Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,wedge_corrected_share
4Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,measured,17473,33888,6,wedge_corrected_share
1Q25,APAC,-1.805490958548976,0.3619411092195972,listed_nightly,measured,22454,49764,10,wedge_corrected_share
2Q25,APAC,-1.8337466118903607,0.3434039588485398,listed_nightly,measured,24394,58215,12,wedge_corrected_share
3Q25,APAC,-3.1341499881622186,0.2928710413614193,listed_nightly,measured,32031,77616,14,wedge_corrected_share
4Q25,APAC,-0.2922910664541317,0.8612652353615993,listed_nightly,carried_from_4Q25,2646,6144,2,wedge_corrected_share
1Q26,APAC,-1.463094334018158,0.2829521816281825,quote_per_night,measured,29018,68316,12,wedge_corrected_share
2Q26,APAC,-0.8506859013718374,0.2474900123334041,quote_per_night,measured,45663,110646,15,wedge_corrected_share
3Q26,APAC,0.2850150731129953,0.1950705232202611,quote_per_night,measured,72680,191586,15,wedge_corrected_share
1Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,equal_weighted_share
2Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,equal_weighted_share
3Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,equal_weighted_share
4Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,equal_weighted_share
1Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,equal_weighted_share
2Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,measured,4525,10758,2,equal_weighted_share
3Q24,NAM,-10.75889095427982,0.8914539715076605,listed_nightly,measured,4303,11002,2,equal_weighted_share
4Q24,NAM,-15.438617073203323,0.9150507104155872,listed_nightly,measured,4347,11037,2,equal_weighted_share
1Q25,NAM,-6.503449320541903,0.4486390930281297,listed_nightly,measured,14976,41449,5,equal_weighted_share
2Q25,NAM,-6.029117512054063,0.4269672993312822,listed_nightly,measured,16132,46330,6,equal_weighted_share
3Q25,NAM,-6.525755932457959,0.4357242469963674,listed_nightly,measured,15700,46753,6,equal_weighted_share
4Q25,NAM,1.885135084816549,1.4274351918041148,listed_nightly,carried_from_4Q25,1849,12818,1,equal_weighted_share
1Q26,NAM,4.1574695816411085,0.5513447401776095,quote_per_night,measured,11837,43122,4,equal_weighted_share
2Q26,NAM,2.9576016186220704,0.2629949654593869,quote_per_night,measured,50630,184364,7,equal_weighted_share
3Q26,NAM,3.833974454634654,0.3184587890194854,quote_per_night,measured,34416,124411,7,equal_weighted_share
1Q23,EMEA,8.405560095673627,0.7811479220957169,listed_nightly,measured,5095,15636,1,equal_weighted_share
2Q23,EMEA,12.873986659369432,0.8085025042946316,listed_nightly,measured,5779,16584,1,equal_weighted_share
3Q23,EMEA,6.368986286517902,0.7520209920104114,listed_nightly,measured,6270,17356,1,equal_weighted_share
4Q23,EMEA,5.8682891152800725,0.3774120548550588,listed_nightly,measured,24594,50364,2,equal_weighted_share
1Q24,EMEA,-6.023944980966722,0.3812937773895588,listed_nightly,measured,23483,39929,2,equal_weighted_share
2Q24,EMEA,-6.591010455654689,0.3555274964462452,listed_nightly,measured,27526,44930,2,equal_weighted_share
3Q24,EMEA,-8.553604808133983,0.3566638702761345,listed_nightly,measured,26937,43995,2,equal_weighted_share
4Q24,EMEA,-7.246663666548413,0.346725718422909,listed_nightly,measured,25064,45664,2,equal_weighted_share
1Q25,EMEA,-8.713217129603452,0.3699459810811222,listed_nightly,measured,22540,44492,2,equal_weighted_share
2Q25,EMEA,-8.754421418826668,0.3976039179375472,listed_nightly,measured,21206,47960,2,equal_weighted_share
3Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,measured,27208,60131,3,equal_weighted_share
4Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,carried_from_3Q25,27208,60131,3,equal_weighted_share
1Q26,EMEA,-6.741384126755358,0.3021343397024139,quote_per_night,measured,28091,77607,4,equal_weighted_share
2Q26,EMEA,-4.90622833132358,0.1797567053383127,quote_per_night,measured,86758,257494,4,equal_weighted_share
3Q26,EMEA,-4.692389449629222,0.2107751564865644,quote_per_night,measured,62814,190227,4,equal_weighted_share
1Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
2Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
3Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
4Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
1Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
2Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
3Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,equal_weighted_share
4Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,measured,506,1786,1,equal_weighted_share
1Q25,LatAm,0.1568280878122895,2.8723007011020494,listed_nightly,measured,485,1934,1,equal_weighted_share
2Q25,LatAm,-4.063588407754171,0.5178674493269,listed_nightly,measured,16612,36740,3,equal_weighted_share
3Q25,LatAm,-5.458084614186797,0.262342748396338,listed_nightly,measured,47742,113916,5,equal_weighted_share
4Q25,LatAm,-5.128341004589943,0.5045562603582964,listed_nightly,carried_from_4Q25,10739,25721,2,equal_weighted_share
1Q26,LatAm,-4.016797244870431,0.3513169398207972,quote_per_night,measured,27128,63887,5,equal_weighted_share
2Q26,LatAm,-2.2866943564657087,0.2369284064643166,quote_per_night,measured,59736,133652,7,equal_weighted_share
3Q26,LatAm,-1.9962299831022,0.1832372893014678,quote_per_night,measured,97038,205184,7,equal_weighted_share
1Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
2Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
3Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
4Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
1Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
2Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
3Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,equal_weighted_share
4Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,measured,17473,33888,6,equal_weighted_share
1Q25,APAC,-1.805490958548976,0.3619411092195972,listed_nightly,measured,22454,49764,10,equal_weighted_share
2Q25,APAC,-1.8337466118903607,0.3434039588485398,listed_nightly,measured,24394,58215,12,equal_weighted_share
3Q25,APAC,-3.1341499881622186,0.2928710413614193,listed_nightly,measured,32031,77616,14,equal_weighted_share
4Q25,APAC,-0.2922910664541317,0.8612652353615993,listed_nightly,carried_from_4Q25,2646,6144,2,equal_weighted_share
1Q26,APAC,-1.463094334018158,0.2829521816281825,quote_per_night,measured,29018,68316,12,equal_weighted_share
2Q26,APAC,-0.8506859013718374,0.2474900123334041,quote_per_night,measured,45663,110646,15,equal_weighted_share
3Q26,APAC,0.2850150731129953,0.1950705232202611,quote_per_night,measured,72680,191586,15,equal_weighted_share
1Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,vintage_matched_only_share
2Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,vintage_matched_only_share
3Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,vintage_matched_only_share
4Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,vintage_matched_only_share
1Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,vintage_matched_only_share
2Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,measured,4525,10758,2,vintage_matched_only_share
3Q24,NAM,-10.75889095427982,0.8914539715076605,listed_nightly,measured,4303,11002,2,vintage_matched_only_share
4Q24,NAM,-15.438617073203323,0.9150507104155872,listed_nightly,measured,4347,11037,2,vintage_matched_only_share
1Q25,NAM,-6.503449320541903,0.4486390930281297,listed_nightly,measured,14976,41449,5,vintage_matched_only_share
2Q25,NAM,-6.029117512054063,0.4269672993312822,listed_nightly,measured,16132,46330,6,vintage_matched_only_share
3Q25,NAM,-6.525755932457959,0.4357242469963674,listed_nightly,measured,15700,46753,6,vintage_matched_only_share
4Q25,NAM,1.885135084816549,1.4274351918041148,listed_nightly,carried_from_4Q25,1849,12818,1,vintage_matched_only_share
1Q26,NAM,4.1574695816411085,0.5513447401776095,quote_per_night,measured,11837,43122,4,vintage_matched_only_share
2Q26,NAM,2.9576016186220704,0.2629949654593869,quote_per_night,measured,50630,184364,7,vintage_matched_only_share
3Q26,NAM,3.833974454634654,0.3184587890194854,quote_per_night,measured,34416,124411,7,vintage_matched_only_share
1Q23,EMEA,8.405560095673627,0.7811479220957169,listed_nightly,measured,5095,15636,1,vintage_matched_only_share
2Q23,EMEA,12.873986659369432,0.8085025042946316,listed_nightly,measured,5779,16584,1,vintage_matched_only_share
3Q23,EMEA,6.368986286517902,0.7520209920104114,listed_nightly,measured,6270,17356,1,vintage_matched_only_share
4Q23,EMEA,5.8682891152800725,0.3774120548550588,listed_nightly,measured,24594,50364,2,vintage_matched_only_share
1Q24,EMEA,-6.023944980966722,0.3812937773895588,listed_nightly,measured,23483,39929,2,vintage_matched_only_share
2Q24,EMEA,-6.591010455654689,0.3555274964462452,listed_nightly,measured,27526,44930,2,vintage_matched_only_share
3Q24,EMEA,-8.553604808133983,0.3566638702761345,listed_nightly,measured,26937,43995,2,vintage_matched_only_share
4Q24,EMEA,-7.246663666548413,0.346725718422909,listed_nightly,measured,25064,45664,2,vintage_matched_only_share
1Q25,EMEA,-8.713217129603452,0.3699459810811222,listed_nightly,measured,22540,44492,2,vintage_matched_only_share
2Q25,EMEA,-8.754421418826668,0.3976039179375472,listed_nightly,measured,21206,47960,2,vintage_matched_only_share
3Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,measured,27208,60131,3,vintage_matched_only_share
4Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,carried_from_3Q25,27208,60131,3,vintage_matched_only_share
1Q26,EMEA,-6.741384126755358,0.3021343397024139,quote_per_night,measured,28091,77607,4,vintage_matched_only_share
2Q26,EMEA,-4.90622833132358,0.1797567053383127,quote_per_night,measured,86758,257494,4,vintage_matched_only_share
3Q26,EMEA,-4.692389449629222,0.2107751564865644,quote_per_night,measured,62814,190227,4,vintage_matched_only_share
1Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
2Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
3Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
4Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
1Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
2Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
3Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,vintage_matched_only_share
4Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,measured,506,1786,1,vintage_matched_only_share
1Q25,LatAm,0.1568280878122895,2.8723007011020494,listed_nightly,measured,485,1934,1,vintage_matched_only_share
2Q25,LatAm,-4.063588407754171,0.5178674493269,listed_nightly,measured,16612,36740,3,vintage_matched_only_share
3Q25,LatAm,-5.458084614186797,0.262342748396338,listed_nightly,measured,47742,113916,5,vintage_matched_only_share
4Q25,LatAm,-5.128341004589943,0.5045562603582964,listed_nightly,carried_from_4Q25,10739,25721,2,vintage_matched_only_share
1Q26,LatAm,-4.016797244870431,0.3513169398207972,quote_per_night,measured,27128,63887,5,vintage_matched_only_share
2Q26,LatAm,-2.2866943564657087,0.2369284064643166,quote_per_night,measured,59736,133652,7,vintage_matched_only_share
3Q26,LatAm,-1.9962299831022,0.1832372893014678,quote_per_night,measured,97038,205184,7,vintage_matched_only_share
1Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
2Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
3Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
4Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
1Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
2Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
3Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,vintage_matched_only_share
4Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,measured,17473,33888,6,vintage_matched_only_share
1Q25,APAC,-1.805490958548976,0.3619411092195972,listed_nightly,measured,22454,49764,10,vintage_matched_only_share
2Q25,APAC,-1.8337466118903607,0.3434039588485398,listed_nightly,measured,24394,58215,12,vintage_matched_only_share
3Q25,APAC,-3.1341499881622186,0.2928710413614193,listed_nightly,measured,32031,77616,14,vintage_matched_only_share
4Q25,APAC,-0.2922910664541317,0.8612652353615993,listed_nightly,carried_from_4Q25,2646,6144,2,vintage_matched_only_share
1Q26,APAC,-1.463094334018158,0.2829521816281825,quote_per_night,measured,29018,68316,12,vintage_matched_only_share
2Q26,APAC,-0.8506859013718374,0.2474900123334041,quote_per_night,measured,45663,110646,15,vintage_matched_only_share
3Q26,APAC,0.2850150731129953,0.1950705232202611,quote_per_night,measured,72680,191586,15,vintage_matched_only_share
1Q23,GLOBAL,8.405560095673627,0.7811479220957169,listed_nightly,measured,5095,15636,1,global_pooled_premium
2Q23,GLOBAL,12.873986659369432,0.8085025042946316,listed_nightly,measured,5779,16584,1,global_pooled_premium
3Q23,GLOBAL,6.368986286517902,0.7520209920104114,listed_nightly,measured,6270,17356,1,global_pooled_premium
4Q23,GLOBAL,5.8682891152800725,0.3774120548550588,listed_nightly,measured,24594,50364,2,global_pooled_premium
1Q24,GLOBAL,-6.023944980966722,0.3812937773895588,listed_nightly,measured,23483,39929,2,global_pooled_premium
2Q24,GLOBAL,-7.208782549664987,0.3306263154366438,listed_nightly,measured,32051,55688,4,global_pooled_premium
3Q24,GLOBAL,-8.969112092142755,0.3331775685220204,listed_nightly,measured,31240,54997,4,global_pooled_premium
4Q24,GLOBAL,-5.1428472814386135,0.2714493853305673,listed_nightly,measured,47390,92375,11,global_pooled_premium
1Q25,GLOBAL,-5.675113432760523,0.2259606069365756,listed_nightly,measured,60455,137639,18,global_pooled_premium
2Q25,GLOBAL,-5.293382216399881,0.2080888160696651,listed_nightly,measured,78344,189245,23,global_pooled_premium
3Q25,GLOBAL,-5.768631390369975,0.1587115434851018,listed_nightly,measured,122681,298416,28,global_pooled_premium
4Q25,GLOBAL,-3.363500190000559,0.4331957683438813,listed_nightly,carried_from_4Q25,15234,44683,5,global_pooled_premium
1Q26,GLOBAL,-2.89138293774603,0.1732823227603168,quote_per_night,measured,96074,252932,25,global_pooled_premium
2Q26,GLOBAL,-1.6692895026779766,0.1132772517796629,quote_per_night,measured,242787,686156,33,global_pooled_premium
3Q26,GLOBAL,-1.113295002005206,0.1072434931235624,quote_per_night,measured,266948,711408,33,global_pooled_premium
