item,feature,horizon,window,n,slope,intercept,t,p,r2,spearman,spearman_p,sign_agreement,mean_ret_if_1,n_1,mean_ret_if_0,n_0,share_positive_if_1,share_positive_if_0,welch_p,slope_2,t_2,p_2,adj_r2
Adj. EBITDA,surprise vs consensus (%),"5 sessions, excess vs QQQ",2023 onward,6,-0.4895,5.9082,-0.9546,0.3938,0.1856,-0.4857,0.3287,0.3333,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","Day 1, raw",2023 onward,6,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","Day 1, excess vs QQQ",2023 onward,6,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","5 sessions, raw",2023 onward,6,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","5 sessions, excess vs QQQ",2023 onward,6,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"Day 1, raw",2023 onward,14,-0.088,0.5035,-0.6169,0.5488,0.0307,-0.2615,0.3664,0.3571,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"Day 1, excess vs QQQ",2023 onward,14,-0.0988,0.1045,-0.7117,0.4903,0.0405,-0.2615,0.3664,0.3571,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"5 sessions, raw",2023 onward,14,-0.0823,-0.0127,-0.5352,0.6023,0.0233,-0.2923,0.3105,0.2857,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"5 sessions, excess vs QQQ",2023 onward,14,-0.1127,-0.9104,-0.7018,0.4962,0.0394,-0.3626,0.2026,0.2857,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"Day 1, raw",2023 onward,14,-0.5399,-0.813,-0.6288,0.5413,0.0319,-0.2659,0.3581,0.3571,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"Day 1, excess vs QQQ",2023 onward,14,-0.6481,-1.3541,-0.7779,0.4517,0.048,-0.3011,0.2955,0.2857,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"5 sessions, raw",2023 onward,14,-0.2619,-1.3604,-0.2803,0.784,0.0065,-0.2176,0.4549,0.2857,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"5 sessions, excess vs QQQ",2023 onward,14,-0.4992,-2.6897,-0.511,0.6186,0.0213,-0.3099,0.2809,0.2857,,,,,,,,,,,
ADR,surprise vs consensus (%),"Day 1, raw",2023 onward,5,,,,,,,,,,,,,,,,,,,
ADR,surprise vs consensus (%),"Day 1, excess vs QQQ",2023 onward,5,,,,,,,,,,,,,,,,,,,
ADR,surprise vs consensus (%),"5 sessions, raw",2023 onward,5,,,,,,,,,,,,,,,,,,,
ADR,surprise vs consensus (%),"5 sessions, excess vs QQQ",2023 onward,5,,,,,,,,,,,,,,,,,,,
ADR,y/y growth (%),"Day 1, raw",2023 onward,14,0.9637,-3.9172,1.0157,0.3298,0.0792,0.2967,0.303,0.6429,,,,,,,,,,,
ADR,y/y growth (%),"Day 1, excess vs QQQ",2023 onward,14,0.8662,-4.222,0.9269,0.3723,0.0668,0.2967,0.303,0.5714,,,,,,,,,,,
ADR,y/y growth (%),"5 sessions, raw",2023 onward,14,1.3436,-5.4531,1.3592,0.1991,0.1334,0.2747,0.3418,0.5714,,,,,,,,,,,
ADR,y/y growth (%),"5 sessions, excess vs QQQ",2023 onward,14,1.0681,-6.0824,0.9932,0.3402,0.076,0.2396,0.4094,0.5714,,,,,,,,,,,
Take rate,y/y change (pts),"Day 1, raw",2023 onward,14,-7.0986,-0.97,-0.9737,0.3494,0.0732,-0.4154,0.1397,0.2143,,,,,,,,,,,
Take rate,y/y change (pts),"Day 1, excess vs QQQ",2023 onward,14,-7.1599,-1.562,-1.0063,0.3341,0.0778,-0.3626,0.2026,0.3571,,,,,,,,,,,
Take rate,y/y change (pts),"5 sessions, raw",2023 onward,14,-8.2557,-1.3678,-1.0618,0.3092,0.0859,-0.367,0.1967,0.2857,,,,,,,,,,,
Take rate,y/y change (pts),"5 sessions, excess vs QQQ",2023 onward,14,-8.7015,-2.8043,-1.0623,0.309,0.086,-0.3714,0.191,0.2857,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"Day 1, raw",2023 onward,14,1.5589,-1.626,1.4895,0.1622,0.156,0.4286,0.1263,0.6429,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"Day 1, excess vs QQQ",2023 onward,14,1.4774,-2.1898,1.4347,0.1769,0.1464,0.4637,0.0949,0.6429,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"5 sessions, raw",2023 onward,14,1.8621,-2.1481,1.6944,0.116,0.1931,0.3143,0.2738,0.5714,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"5 sessions, excess vs QQQ",2023 onward,14,2.131,-3.6866,1.8815,0.0844,0.2278,0.3626,0.2026,0.5714,,,,,,,,,,,
Next-quarter revenue guide,guide below Street (1/0),"Day 1, raw",2023 onward,14,-5.8,1.8286,-1.2538,0.2338,0.1158,-0.4075,0.1481,,-3.9714,7.0,1.8286,7.0,0.2857,0.5714,0.2345,,,,
Next-quarter revenue guide,guide below Street (1/0),"Day 1, excess vs QQQ",2023 onward,14,-5.7571,1.2143,-1.2745,0.2266,0.1192,-0.4784,0.0835,,-4.5429,7.0,1.2143,7.0,0.1429,0.4286,0.2273,,,,
Next-quarter revenue guide,guide below Street (1/0),"5 sessions, raw",2023 onward,14,-8.4,2.7143,-1.7896,0.0988,0.2107,-0.4075,0.1481,,-5.6857,7.0,2.7143,7.0,0.2857,0.4286,0.101,,,,
Next-quarter revenue guide,guide below Street (1/0),"5 sessions, excess vs QQQ",2023 onward,14,-9.2286,1.6857,-1.8884,0.0834,0.2291,-0.443,0.1127,,-7.5429,7.0,1.6857,7.0,0.2857,0.4286,0.0838,,,,
Bivariate,Revenue surprise + nights growth,"Day 1, raw",all prints,20,1.2825,,1.1102,0.2824,0.1187,,,,,,,,,,,0.0488,0.3006,0.7674,0.015
Bivariate,Revenue surprise + nights growth,"Day 1, excess vs QQQ",all prints,20,1.5025,,1.3826,0.1847,0.1427,,,,,,,,,,,0.0152,0.0992,0.9221,0.0418
Bivariate,Revenue surprise + nights growth,"5 sessions, raw",all prints,20,1.118,,0.99,0.336,0.2747,,,,,,,,,,,-0.3985,-2.5105,0.0225,0.1894
Bivariate,Revenue surprise + nights growth,"5 sessions, excess vs QQQ",all prints,20,1.312,,1.0848,0.2932,0.1175,,,,,,,,,,,-0.2473,-1.4545,0.164,0.0137
Bivariate,Nights surprise + nights acceleration,"Day 1, raw",all prints,16,0.6203,,0.4886,0.6332,0.04,,,,,,,,,,,0.0781,0.4267,0.6766,-0.1077
Bivariate,Nights surprise + nights acceleration,"Day 1, excess vs QQQ",all prints,16,0.6178,,0.497,0.6275,0.0629,,,,,,,,,,,0.1181,0.6589,0.5214,-0.0813
Bivariate,Nights surprise + nights acceleration,"5 sessions, raw",all prints,16,2.4926,,1.7352,0.1063,0.2293,,,,,,,,,,,-0.2675,-1.2913,0.2191,0.1107
Bivariate,Nights surprise + nights acceleration,"5 sessions, excess vs QQQ",all prints,16,1.7012,,1.2378,0.2377,0.1154,,,,,,,,,,,-0.133,-0.6709,0.514,-0.0207
Bivariate,Revenue beat + guide below Street,"Day 1, raw",all prints,19,6.1275,,1.3626,0.1919,0.3068,,,,,,,,,,,-8.0413,-2.1656,0.0458,0.2202
Bivariate,Revenue beat + guide below Street,"Day 1, excess vs QQQ",all prints,19,5.9087,,1.3709,0.1893,0.2847,,,,,,,,,,,-7.113,-1.9986,0.0629,0.1953
Bivariate,Revenue beat + guide below Street,"5 sessions, raw",all prints,19,1.7152,,0.2977,0.7698,0.0666,,,,,,,,,,,-4.7478,-0.998,0.3331,-0.0501
Bivariate,Revenue beat + guide below Street,"5 sessions, excess vs QQQ",all prints,19,2.8065,,0.5361,0.5993,0.1573,,,,,,,,,,,-6.8848,-1.5928,0.1308,0.0519
Bivariate,EPS surprise ($) + revenue surprise,"Day 1, raw",all prints,20,-3.0974,,-0.7396,0.4696,0.1,,,,,,,,,,,0.169,0.3433,0.7356,-0.0059
Bivariate,EPS surprise ($) + revenue surprise,"Day 1, excess vs QQQ",all prints,20,-3.2845,,-0.8308,0.4176,0.1006,,,,,,,,,,,0.1109,0.2388,0.8141,-0.0052
Bivariate,EPS surprise ($) + revenue surprise,"5 sessions, raw",all prints,20,-2.9937,,-0.6531,0.5224,0.0245,,,,,,,,,,,-0.2366,-0.4393,0.666,-0.0903
Bivariate,EPS surprise ($) + revenue surprise,"5 sessions, excess vs QQQ",all prints,20,-3.0006,,-0.6857,0.5021,0.0273,,,,,,,,,,,-0.2077,-0.404,0.6913,-0.0871
Bivariate,Nights growth + margin change,"Day 1, raw",all prints,20,0.0752,,0.2452,0.8092,0.0582,,,,,,,,,,,0.1425,0.2486,0.8066,-0.0526
Bivariate,Nights growth + margin change,"Day 1, excess vs QQQ",all prints,20,0.1413,,0.4802,0.6372,0.0465,,,,,,,,,,,-0.0345,-0.0627,0.9508,-0.0656
Bivariate,Nights growth + margin change,"5 sessions, raw",all prints,20,-0.4898,,-1.6635,0.1145,0.2523,,,,,,,,,,,0.3657,0.6647,0.5152,0.1644
Bivariate,Nights growth + margin change,"5 sessions, excess vs QQQ",all prints,20,-0.2465,,-0.77,0.4519,0.0626,,,,,,,,,,,0.2011,0.3362,0.7409,-0.0476
Bivariate,Revenue surprise + nights growth,"Day 1, raw",2023 onward,14,0.7639,,0.3155,0.7583,0.01,,,,,,,,,,,-0.1372,-0.1493,0.884,-0.17
Bivariate,Revenue surprise + nights growth,"Day 1, excess vs QQQ",2023 onward,14,0.7701,,0.3257,0.7508,0.0134,,,,,,,,,,,-0.2259,-0.2517,0.8059,-0.166
Bivariate,Revenue surprise + nights growth,"5 sessions, raw",2023 onward,14,-0.4943,,-0.1957,0.8484,0.0652,,,,,,,,,,,-0.7837,-0.8175,0.431,-0.1047
Bivariate,Revenue surprise + nights growth,"5 sessions, excess vs QQQ",2023 onward,14,-0.2096,,-0.0782,0.9391,0.0519,,,,,,,,,,,-0.7656,-0.7527,0.4675,-0.1205
Bivariate,Nights surprise + nights acceleration,"Day 1, raw",2023 onward,12,1.9735,,0.7289,0.4846,0.1845,,,,,,,,,,,0.2728,0.2236,0.8281,0.0032
Bivariate,Nights surprise + nights acceleration,"Day 1, excess vs QQQ",2023 onward,12,2.2649,,0.8446,0.4202,0.188,,,,,,,,,,,0.1198,0.0991,0.9232,0.0076
Bivariate,Nights surprise + nights acceleration,"5 sessions, raw",2023 onward,12,4.1766,,1.5924,0.1458,0.3066,,,,,,,,,,,-0.5397,-0.4566,0.6588,0.1525
Bivariate,Nights surprise + nights acceleration,"5 sessions, excess vs QQQ",2023 onward,12,4.6041,,1.7498,0.1141,0.3177,,,,,,,,,,,-0.79,-0.6661,0.522,0.1661
Bivariate,Revenue beat + guide below Street,"Day 1, raw",2023 onward,14,6.8625,,1.2234,0.2467,0.2217,,,,,,,,,,,-4.8196,-1.047,0.3176,0.0802
Bivariate,Revenue beat + guide below Street,"Day 1, excess vs QQQ",2023 onward,14,5.525,,0.9874,0.3447,0.1909,,,,,,,,,,,-4.9679,-1.0819,0.3025,0.0438
Bivariate,Revenue beat + guide below Street,"5 sessions, raw",2023 onward,14,4.35,,0.7344,0.4781,0.2476,,,,,,,,,,,-7.7786,-1.6003,0.1378,0.1108
Bivariate,Revenue beat + guide below Street,"5 sessions, excess vs QQQ",2023 onward,14,3.85,,0.6201,0.5478,0.2551,,,,,,,,,,,-8.6786,-1.7033,0.1166,0.1197
Bivariate,EPS surprise ($) + revenue surprise,"Day 1, raw",2023 onward,12,16.4153,,0.4616,0.6554,0.0296,,,,,,,,,,,-0.2673,-0.0792,0.9386,-0.1861
Bivariate,EPS surprise ($) + revenue surprise,"Day 1, excess vs QQQ",2023 onward,12,16.4908,,0.4763,0.6452,0.03,,,,,,,,,,,-0.344,-0.1046,0.919,-0.1856
Bivariate,EPS surprise ($) + revenue surprise,"5 sessions, raw",2023 onward,12,5.2141,,0.1349,0.8957,0.0115,,,,,,,,,,,-1.1599,-0.316,0.7592,-0.2082
Bivariate,EPS surprise ($) + revenue surprise,"5 sessions, excess vs QQQ",2023 onward,12,10.5739,,0.2617,0.7995,0.0149,,,,,,,,,,,-1.4012,-0.3651,0.7234,-0.204
Bivariate,Nights growth + margin change,"Day 1, raw",2023 onward,14,-0.0391,,-0.0432,0.9663,0.0321,,,,,,,,,,,-0.5358,-0.5941,0.5644,-0.1439
Bivariate,Nights growth + margin change,"Day 1, excess vs QQQ",2023 onward,14,-0.1168,,-0.1333,0.8964,0.0495,,,,,,,,,,,-0.6357,-0.7271,0.4823,-0.1233
Bivariate,Nights growth + margin change,"5 sessions, raw",2023 onward,14,-0.7916,,-0.8294,0.4245,0.065,,,,,,,,,,,-0.1784,-0.1874,0.8547,-0.105
Bivariate,Nights growth + margin change,"5 sessions, excess vs QQQ",2023 onward,14,-0.7322,,-0.7288,0.4814,0.0664,,,,,,,,,,,-0.422,-0.4211,0.6818,-0.1034
