item,feature,horizon,window,n,slope,t,p,r2,spearman,mean_if_1,n_if_1,pos_share_if_1,mean_if_0,n_if_0,pos_share_if_0,welch_p_1_vs_rest,mean_if_minus1,n_if_minus1,pos_share_if_minus1,adj_r2,coef_1,t_1,var_1,coef_2,t_2,var_2,coef_3,t_3,var_3
FY margin guide,change vs prior statement (pts; first = 0),"Day 1, raw",2023 onward,14,1.1727,0.1959,0.8479,0.0032,0.0554,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"Day 1, excess vs QQQ",2023 onward,14,0.5909,0.1008,0.9214,0.0008,0.1275,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"5 sessions, raw",2023 onward,14,3.8848,0.6128,0.5514,0.0303,0.1857,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"5 sessions, excess vs QQQ",2023 onward,14,2.6667,0.3957,0.6992,0.0129,0.2467,,,,,,,,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"Day 1, raw",2023 onward,14,3.495,0.6532,0.526,0.0343,0.0784,1.425,4.0,0.5,-2.07,10.0,0.4,0.6009,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"Day 1, excess vs QQQ",2023 onward,14,3.38,0.6454,0.5308,0.0335,0.1569,0.75,4.0,0.5,-2.63,10.0,0.2,0.6059,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"5 sessions, raw",2023 onward,14,6.42,1.1576,0.2695,0.1005,0.1961,3.1,4.0,0.5,-3.32,10.0,0.3,0.4168,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"5 sessions, excess vs QQQ",2023 onward,14,6.55,1.1172,0.2858,0.0942,0.2746,1.75,4.0,0.5,-4.8,10.0,0.3,0.3898,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"Day 1, raw",2023 onward,10,6.0607,1.6756,0.1323,0.2598,0.1056,,,,,,,,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"Day 1, excess vs QQQ",2023 onward,10,5.4933,1.5514,0.1594,0.2313,0.1429,,,,,,,,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"5 sessions, raw",2023 onward,10,6.6142,2.0588,0.0735,0.3463,-0.0932,,,,,,,,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"5 sessions, excess vs QQQ",2023 onward,10,5.9088,1.6002,0.1482,0.2425,-0.0062,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"Day 1, raw",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"Day 1, excess vs QQQ",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"5 sessions, raw",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"5 sessions, excess vs QQQ",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"Day 1, raw",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"Day 1, excess vs QQQ",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"5 sessions, raw",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"5 sessions, excess vs QQQ",2023 onward,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"Day 1, raw",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"Day 1, excess vs QQQ",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"5 sessions, raw",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"5 sessions, excess vs QQQ",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"Day 1, raw",2023 onward,14,3.9891,1.4223,0.1804,0.1443,0.4436,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"Day 1, excess vs QQQ",2023 onward,14,3.9527,1.4436,0.1745,0.148,0.406,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"5 sessions, raw",2023 onward,14,4.5829,1.5404,0.1494,0.1651,0.3779,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"5 sessions, excess vs QQQ",2023 onward,14,5.0729,1.6353,0.1279,0.1822,0.4389,,,,,,,,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"Day 1, raw",2023 onward,14,4.195,0.7902,0.4447,0.0495,0.2746,1.925,4.0,0.75,-2.27,10.0,0.3,0.4714,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"Day 1, excess vs QQQ",2023 onward,14,4.325,0.8351,0.42,0.0549,0.2746,1.425,4.0,0.5,-2.9,10.0,0.2,0.4566,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"5 sessions, raw",2023 onward,14,2.57,0.4431,0.6656,0.0161,0.353,0.35,4.0,0.75,-2.22,10.0,0.2,0.5267,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"5 sessions, excess vs QQQ",2023 onward,14,4.135,0.6842,0.5068,0.0375,0.353,0.025,4.0,0.75,-4.11,10.0,0.2,0.369,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"Day 1, raw",2023 onward,12,8.2714,1.9451,0.0804,0.2745,0.4162,5.6,5.0,0.8,-2.6714,7.0,0.2857,0.1588,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"Day 1, excess vs QQQ",2023 onward,12,8.9429,2.1973,0.0527,0.3256,0.5141,5.3,5.0,0.8,-3.6429,7.0,0.0,0.1229,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"5 sessions, raw",2023 onward,12,8.5886,1.9141,0.0846,0.2681,0.4652,5.56,5.0,0.8,-3.0286,7.0,0.1429,0.172,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"5 sessions, excess vs QQQ",2023 onward,12,10.3029,2.4611,0.0336,0.3772,0.6121,5.46,5.0,0.8,-4.8429,7.0,0.1429,0.083,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"Day 1, raw",2023 onward,14,7.8848,1.4218,0.1806,0.1442,0.4102,0.6182,11.0,0.4545,-7.2667,3.0,0.3333,0.1774,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"Day 1, excess vs QQQ",2023 onward,14,6.5788,1.1856,0.2587,0.1048,0.3239,-0.2545,11.0,0.2727,-6.8333,3.0,0.3333,0.2299,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"5 sessions, raw",2023 onward,14,6.0,0.9677,0.3523,0.0724,0.3239,-0.2,11.0,0.3636,-6.2,3.0,0.3333,0.2373,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"5 sessions, excess vs QQQ",2023 onward,14,5.6909,0.8648,0.4041,0.0587,0.1943,-1.7091,11.0,0.3636,-7.4,3.0,0.3333,0.3799,,,,,,,,,,,,,
Multivariate,Guide vs Street + nights beat,"Day 1, raw",all prints,16,,,,0.2592,,,,,,,,,,,,0.1453,0.5612,1.3311,guide_vs_street_pct,6.9341,1.8367,nights_beat,,,
Multivariate,Guide vs Street + nights beat,"Day 1, excess vs QQQ",all prints,16,,,,0.2802,,,,,,,,,,,,0.1695,0.5748,1.3957,guide_vs_street_pct,7.1645,1.9428,nights_beat,,,
Multivariate,Guide vs Street + nights beat,"5 sessions, raw",all prints,16,,,,0.1714,,,,,,,,,,,,0.0439,-0.7525,-1.3361,guide_vs_street_pct,3.8026,0.754,nights_beat,,,
Multivariate,Guide vs Street + nights beat,"5 sessions, excess vs QQQ",all prints,16,,,,0.1171,,,,,,,,,,,,-0.0188,-0.1862,-0.3586,guide_vs_street_pct,5.5798,1.2003,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"Day 1, raw",all prints,17,,,,0.0951,,,,,,,,,,,,-0.0342,0.0148,0.0597,nq_guide_accel_pts,4.9768,1.1804,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"Day 1, excess vs QQQ",all prints,17,,,,0.1063,,,,,,,,,,,,-0.0214,0.0795,0.322,nq_guide_accel_pts,4.9052,1.1697,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"5 sessions, raw",all prints,17,,,,0.1898,,,,,,,,,,,,0.0741,0.4688,1.6326,nq_guide_accel_pts,2.3088,0.4732,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"5 sessions, excess vs QQQ",all prints,17,,,,0.1694,,,,,,,,,,,,0.0507,0.3504,1.3244,nq_guide_accel_pts,3.5515,0.79,nights_beat,,,
Multivariate,Guide vs Street + FY margin delta,"Day 1, raw",all prints,18,,,,0.1549,,,,,,,,,,,,0.0422,0.7751,1.6522,guide_vs_street_pct,1.2293,0.2233,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + FY margin delta,"Day 1, excess vs QQQ",all prints,18,,,,0.1521,,,,,,,,,,,,0.039,0.7456,1.6292,guide_vs_street_pct,0.9073,0.1689,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + FY margin delta,"5 sessions, raw",all prints,18,,,,0.0667,,,,,,,,,,,,-0.0577,-0.3572,-0.6206,guide_vs_street_pct,4.5529,0.6739,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + FY margin delta,"5 sessions, excess vs QQQ",all prints,18,,,,0.0202,,,,,,,,,,,,-0.1105,0.1946,0.3431,guide_vs_street_pct,3.3378,0.5013,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + nights guide,"Day 1, raw",all prints,18,,,,0.1474,,,,,,,,,,,,0.0337,0.6912,1.2421,guide_vs_street_pct,0.4529,0.3125,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + nights guide,"Day 1, excess vs QQQ",all prints,18,,,,0.1555,,,,,,,,,,,,0.0429,0.6691,1.2646,guide_vs_street_pct,0.4814,0.3494,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + nights guide,"5 sessions, raw",all prints,18,,,,0.0078,,,,,,,,,,,,-0.1245,-0.1905,-0.3069,guide_vs_street_pct,0.0155,0.0096,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + nights guide,"5 sessions, excess vs QQQ",all prints,18,,,,0.0239,,,,,,,,,,,,-0.1062,0.2614,0.4224,guide_vs_street_pct,0.2937,0.1823,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + revenue beat,"Day 1, raw",all prints,19,,,,0.2181,,,,,,,,,,,,0.1204,0.714,1.5304,guide_vs_street_pct,5.0593,1.0295,rev_beat,,,
Multivariate,Guide vs Street + revenue beat,"Day 1, excess vs QQQ",all prints,19,,,,0.2182,,,,,,,,,,,,0.1205,0.6666,1.5142,guide_vs_street_pct,4.872,1.0507,rev_beat,,,
Multivariate,Guide vs Street + revenue beat,"5 sessions, raw",all prints,19,,,,0.0496,,,,,,,,,,,,-0.0692,-0.4725,-0.8319,guide_vs_street_pct,3.4289,0.5732,rev_beat,,,
Multivariate,Guide vs Street + revenue beat,"5 sessions, excess vs QQQ",all prints,19,,,,0.0249,,,,,,,,,,,,-0.0969,0.0806,0.1465,guide_vs_street_pct,3.2837,0.5667,rev_beat,,,
Multivariate,Nights guide + FY margin delta + guide vs Street,"Day 1, raw",all prints,17,,,,0.1343,,,,,,,,,,,,-0.0655,0.2022,0.1357,nq_nights_guide_pts,1.4611,0.2485,fy_margin_delta_pts,0.6868,1.2029,guide_vs_street_pct
Multivariate,Nights guide + FY margin delta + guide vs Street,"Day 1, excess vs QQQ",all prints,17,,,,0.1417,,,,,,,,,,,,-0.0563,0.3239,0.2214,nq_nights_guide_pts,1.0667,0.1847,fy_margin_delta_pts,0.6682,1.192,guide_vs_street_pct
Multivariate,Nights guide + FY margin delta + guide vs Street,"5 sessions, raw",all prints,17,,,,0.0385,,,,,,,,,,,,-0.1833,-0.1061,-0.0623,nq_nights_guide_pts,3.9055,0.5807,fy_margin_delta_pts,-0.1519,-0.2327,guide_vs_street_pct
Multivariate,Nights guide + FY margin delta + guide vs Street,"5 sessions, excess vs QQQ",all prints,17,,,,0.0329,,,,,,,,,,,,-0.1903,0.2522,0.1454,nq_nights_guide_pts,2.9306,0.4281,fy_margin_delta_pts,0.2949,0.4437,guide_vs_street_pct
Multivariate,Guide vs Street + nights beat,"Day 1, raw",2023 onward,12,,,,0.3009,,,,,,,,,,,,0.1456,0.6494,0.5836,guide_vs_street_pct,8.2281,1.8698,nights_beat,,,
Multivariate,Guide vs Street + nights beat,"Day 1, excess vs QQQ",2023 onward,12,,,,0.3547,,,,,,,,,,,,0.2113,0.6764,0.6374,guide_vs_street_pct,8.8977,2.12,nights_beat,,,
Multivariate,Guide vs Street + nights beat,"5 sessions, raw",2023 onward,12,,,,0.3517,,,,,,,,,,,,0.2077,1.2128,1.0773,guide_vs_street_pct,8.5076,1.9109,nights_beat,,,
Multivariate,Guide vs Street + nights beat,"5 sessions, excess vs QQQ",2023 onward,12,,,,0.4589,,,,,,,,,,,,0.3386,1.2123,1.1654,guide_vs_street_pct,10.2219,2.4847,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"Day 1, raw",2023 onward,12,,,,0.2746,,,,,,,,,,,,0.1134,0.0195,0.03,nq_guide_accel_pts,8.2397,1.789,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"Day 1, excess vs QQQ",2023 onward,12,,,,0.3256,,,,,,,,,,,,0.1758,-0.0149,-0.024,nq_guide_accel_pts,8.9672,2.0342,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"5 sessions, raw",2023 onward,12,,,,0.33,,,,,,,,,,,,0.1812,0.5975,0.912,nq_guide_accel_pts,7.6128,1.6371,nights_beat,,,
Multivariate,Guide acceleration + nights beat,"5 sessions, excess vs QQQ",2023 onward,12,,,,0.4372,,,,,,,,,,,,0.3121,0.5948,0.9793,nq_guide_accel_pts,9.3316,2.1648,nights_beat,,,
Multivariate,Guide vs Street + FY margin delta,"Day 1, raw",2023 onward,14,,,,0.1675,,,,,,,,,,,,0.0161,1.6124,1.4734,guide_vs_street_pct,2.2389,0.3888,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + FY margin delta,"Day 1, excess vs QQQ",2023 onward,14,,,,0.1525,,,,,,,,,,,,-0.0016,1.5154,1.4028,guide_vs_street_pct,1.593,0.2802,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + FY margin delta,"5 sessions, raw",2023 onward,14,,,,0.2465,,,,,,,,,,,,0.1095,1.9863,1.7766,guide_vs_street_pct,5.1983,0.8836,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + FY margin delta,"5 sessions, excess vs QQQ",2023 onward,14,,,,0.2584,,,,,,,,,,,,0.1235,2.2299,1.9082,guide_vs_street_pct,4.1411,0.6734,fy_margin_delta_pts,,,
Multivariate,Guide vs Street + nights guide,"Day 1, raw",2023 onward,14,,,,0.1583,,,,,,,,,,,,0.0053,1.5201,1.3638,guide_vs_street_pct,0.2514,0.1724,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + nights guide,"Day 1, excess vs QQQ",2023 onward,14,,,,0.1528,,,,,,,,,,,,-0.0013,1.4139,1.2923,guide_vs_street_pct,0.4112,0.2872,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + nights guide,"5 sessions, raw",2023 onward,14,,,,0.1933,,,,,,,,,,,,0.0466,1.8742,1.5993,guide_vs_street_pct,-0.0781,-0.0509,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + nights guide,"5 sessions, excess vs QQQ",2023 onward,14,,,,0.2303,,,,,,,,,,,,0.0904,2.0846,1.7287,guide_vs_street_pct,0.3,0.1902,nq_nights_guide_pts,,,
Multivariate,Guide vs Street + revenue beat,"Day 1, raw",2023 onward,14,,,,0.2247,,,,,,,,,,,,0.0838,1.1895,1.0693,guide_vs_street_pct,5.7799,0.9874,rev_beat,,,
Multivariate,Guide vs Street + revenue beat,"Day 1, excess vs QQQ",2023 onward,14,,,,0.1893,,,,,,,,,,,,0.0419,1.1917,1.0707,guide_vs_street_pct,4.47,0.7632,rev_beat,,,
Multivariate,Guide vs Street + revenue beat,"5 sessions, raw",2023 onward,14,,,,0.2097,,,,,,,,,,,,0.066,1.6672,1.3822,guide_vs_street_pct,3.0497,0.4805,rev_beat,,,
Multivariate,Guide vs Street + revenue beat,"5 sessions, excess vs QQQ",2023 onward,14,,,,0.2353,,,,,,,,,,,,0.0963,1.9926,1.5941,guide_vs_street_pct,2.1648,0.3291,rev_beat,,,
Multivariate,Nights guide + FY margin delta + guide vs Street,"Day 1, raw",2023 onward,14,,,,0.1704,,,,,,,,,,,,-0.0785,0.286,0.188,nq_nights_guide_pts,2.3066,0.3819,fy_margin_delta_pts,1.5699,1.3442,guide_vs_street_pct
Multivariate,Nights guide + FY margin delta + guide vs Street,"Day 1, excess vs QQQ",2023 onward,14,,,,0.1596,,,,,,,,,,,,-0.0925,0.4366,0.2915,nq_nights_guide_pts,1.6964,0.2852,fy_margin_delta_pts,1.4505,1.2613,guide_vs_street_pct
Multivariate,Nights guide + FY margin delta + guide vs Street,"5 sessions, raw",2023 onward,14,,,,0.2465,,,,,,,,,,,,0.0205,-0.0,-0.0,nq_nights_guide_pts,5.1983,0.841,fy_margin_delta_pts,1.9863,1.6618,guide_vs_street_pct
Multivariate,Nights guide + FY margin delta + guide vs Street,"5 sessions, excess vs QQQ",2023 onward,14,,,,0.2621,,,,,,,,,,,,0.0407,0.3635,0.224,nq_nights_guide_pts,4.2272,0.6559,fy_margin_delta_pts,2.1758,1.746,guide_vs_street_pct
