row_key,Itinerary,Itinerary Description
Exploring Ben Thanh Princess Dining Cruise in Ho Chi Minh_5.0_9,Ho Chi Minh City,Ho Chi Minh City
Nam Cat Tien National Park 2 Days 1 Night - Private Tour_5.0_7,Nam Cat Tien,"Nam Cat Tien
At 8:00 AM, your hotel will be visited by a tour guide and a private car to transport you to Nam Cat Tien National Park, specifically to a former volcanic crater called Lava tubes. Upon crossing the Dong Nai River, you will enter Cat Tien National Park, commencing your wildlife encounter. By approximately 12:00 PM, you will reach Nam Cat Tien National Park, where you will enjoy a meal at a local restaurant and proceed with the check-in process. In the afternoon, our activities will involve exploring Lagerstroemia Ovalfolia (Bang Lang), Tetrameles nudiflora (Tung), Cycas rumphii (Thien Tue), and Ancistrolandus Tectorius (Trung quan). Afterwards, we will return to the center for dinner. At around 7:00 PM, our Jeep will transport us to Ta Lai, offering the opportunity to observe nocturnal animals."
"1-Day Halong Luxury Cruise,Buffet Meal,Sunset Party,Cave & Island_5.0_1","Old Quarter, Hạ Long Bay, Sung Sot Cave, Ti Top Island, Tuan Chau Island, Old Quarter","Old Quarter
1-TOUR FROM HANOI WITH TRANSFER: We will pick up all the guests in Hanoi Old Quarter Area or Hanoi Opera House or Authentic Hanoi Travel Office if outside between 8h00 AM to 8h45 AM. Then transfer to Halong Bay about 2,5 hours drive included 1 stop for short break.
2-FROM HALONG, NO TRANSFER: Please come to Tuan Chau Marina for boarding cruise before 11h30 AM (No later than because boat leave the harbour at 12h00 pm noon time).

3-FROM HALONG WITH TRANSFER : We will pick up at all places in Halong Area at 11h15 AM then transfer to TUAN CHAU PORT for boarding cruise.

Hạ Long Bay
12:00: At Tuan Chau Harbor, boarding Luxury Cruise and start cruising on the bay for exploring Ha Long Bay World Heritage Site. 
13:00: Have Buffet lunch meal with delicious vietnamese food.
14:00 You will visit Surprising Cave to see a lot of stalagmites and stalactites with different shapes of sea lives, go kayaking or bamboo boat in Luon Cave to discovery the beautiful lagoon.
Visiting Titov Island with sandy beach adjacent to the towering limestone mountain with excellent backdrop of the Bay, climb up Titov Peak for a panoramic view of the bay like paradise if you prefer.
16:30: Returning to LUXURY Cruise for relaxing and cruising back toward Tuan Chau harbor. There are lots of time for sunbathing on sundeck and enjoy SUNSET PARTY to see Halong Bay's View. 
17:45 - 18:00: Boat return to TUAN CHAU MARINA and you will say goodbye to crews and halong bay.

Sung Sot Cave
This is one of the most famous caves located in Ha Long Bay. Sung Sot cave was found by the French in 1901, they discovered this cave and named it ""La Grotte des Surprises"" for its beauty and majesty in the cave. This is the widest and most beautiful cave of Ha Long Bay and this is also the place where many unique shape rocks are found. To reach Sung Sot cave, tourists must go under the forest, stepping on rocks so you can enjoy both climbing and exploring journeys.

Ti Top Island
Located in the central of UNESCO World Heritage, Titov Island (also known as Titop) is approximately 7-8km to the southeast of Halong Bay. Along with Ba Trai Dao Island, TiTov Island is one of the most perfect destinations in Halong Bay for swimming,and climbing.

Tuan Chau Island
1-FOR THE GUESTS BOOK TOUR FROM HALONG BAY NO TRANSFER WILL FINISH DAY CRUISE AT TUAN CHAU MARINA AFTER BOAT RETURN TO HARBOUR. 
2-FOR GUESTS BOOK TOUR FROM HALONG WITH TRANSFER WILL GET ON PRIVATE CAR TRANSFER BACK TO PLACES IN HALONG AREA.

Old Quarter
FOR THE GUESTS BOOK TOUR FROM HANOI will get on transfer and back to HANOI CITY. We will arrive at Hanoi City and drop off the guests at same hotels/stays in Old Quarter Area between 20h30 PM to 20h45 PM."
Le Theatre Cruise - Wonder on Ha Long & Lan Ha Bay 2 Days Tour_4.0_13,"Old Quarter, Tuan Chau Island, Lan Ha Bay, Hạ Long Bay","Old Quarter
(For customers who book our transfer service)
8:00 – 8:30 (approx) : Pick up from Hotel in Hanoi Old Quarter)
Journey Duration: 02 hours by new express way included 01 stop on the way for resting.

Tuan Chau Island
11:30 – 12h30: Meet the guests at Tuan Chau Marina. Then you will be transferred to Le Théatre Cruise by tender. Warmly welcome by our crew and given a short briefing about your cruise while sipping your welcome drink at The Opera restaurant Check into your cabin. Refresh your self during transient waiting time for leaving Gia Luan harbour.

Lan Ha Bay
13:00 : Buffet lunch will be served in The Opera restaurant while Le Théatre cruise towards Halong Bay
15:00 : Explore Ao Ech area belonged to Lan Ha bay. It’s great ideal destination for kayaking around limestone islets, enjoy swimming in crystal water. 
17:00: Return to Le Théatre cruise. We sail through the calm emerald waters heading to the sleeping area for anchoring. 
17:30 – 18:30 : Sunset tea break Summit on the sundeck for watching the sunset. It’s nice chatting time to make acquaintance with new friends or simply enjoy hunting photos and drinks. 
18:00: Small class of cooking demonstration, our chef will guide you how to make famous traditional Vietnamese spring rolls. 
19:15: Delicious dinner is served with A la carte menu in The Opera restaurant. After dinner, reward yourself with a large selection of cocktails at panoramic bar or take one of our onboard activities: squid fishing, a spa treatment service or movies in your cabin. Over night on board

Hạ Long Bay
Start passing by Halong Bay to Lan Ha Bay"
Classic Vietnam In 11 Days - Departure from Ho Chi Minh_5.0_19,Ho Chi Minh City,"Ho Chi Minh City
Your Vietnam adventure begins with your arrival in Ho Chi Minh. Your private driver will meet you at the airport, holding a signboard with your name. He will escort you to your accommodation right in the heart of the city. You can easily explore the city at your own pace or relax at the hotel after the flight.

Overnight in Ho Chi Minh."
Da Nang Shore Excursions from Chan May Port_5.0_6,"Hai Van Pass, The Marble Mountains, My Khe Beach, Linh Ung Pagoda","Hai Van Pass
Hai Van Pass in Vietnam is recognized as one of the world's top ten most beautiful coastal roads. This pass is not only connected with numerous historical events, but it is also a wonderful place for many travelers due to its spectacular and artistic beauty that captivates everyone’s heart. The perilous death curve, together with zigzag roads, will create a challenging trek for backpackers and bring incredibly unique experiences.

The Marble Mountains
Marble Mountains is a cluster of five marble and limestone hills located in Ngũ Hành Sơn District, south of Da Nang city in Vietnam. The five mountains are named after the five elements: Kim, Thuy, Moc, Hoa and Tho

My Khe Beach
My Khe Beach or China beach is recognised as one of the most ideal beaches of Da Nang City. International tourists came here for convalescence and relaxation. It has a coastline of 30 kilometres long. It is famous for many beautiful seashores stretching from the north to the south such as My Khe, Nam O, Xuan Thieu, Thanh Binh, Tien Sa, Son Tra, Bac My An and Non Nuoc. They are calm seas with green water during four seasons, not being polluted with 60% salination and high safety. With 900 meters in length, My Khe Beach is the most crowded of Da Nang beaches and popular to local people.

Linh Ung Pagoda
Linh Ung Pagoda Da Nang is a famous spiritual destination in Da Nang thanks to its holy atmosphere, accompanied by the beauty of the surrounding natural landscape that can captivate the heart of every visitor."
"5 Stars Cruise 3d-2n: Biking,Golf,Cave,Meals, Kayak, Jacuzzi Pool_5.0_1","Old Quarter, Halong Bay, Lan Ha Bay","Old Quarter
FOR GUESTS BOOK OUR TRANSFER FROM HANOI OLD QUARTER ONLY: 
8h15 – 8h45: Pick-up in the Old Quarter Area . We will have 1 stop in the middle of the trip for a short break.

Halong Bay
11:15-11:45: approx Check-in and finish stay registration procedure
12h15 approx: Transfer to the cruise by speedboat
12h45 approx: Check-in on the cruise.
13h00 approx: Enjoy lunch

Lan Ha Bay
14h30 – 15h30 approx: Kayaking or Relaxing on a local rowboat to visit Dark and Bright cave. 
15h30 – 17h30: Swimming around the cruise
18h00 approx: Cooking demonstration
18h00 – 19h00: Join the Happy Hour 
19h00: Enjoy dinner

Attention: For all valuable and important items (wallet, passport, jewelry, etc), please keep them carefully in the safe or entrust them to the reception ."
7 Day Tour Package To Hanoi Ninh Binh Halong Sapa And Fansipan_5.0_3,"Ho Chi Minh Mausoleum, Vietnam Museum of Ethnology, Hanoi Old Quarter Vietnam, Chua Tran Quoc, Temple of Literature & National University, Hoa Lo Prison, Ba Dinh Square, One Pillar Pagoda","Ho Chi Minh Mausoleum
We pick up people from Noi Bai international airport or Hanoi Old quarter hotels. Later we start the visit to Hanoi city. The first destination we are going to visit Ho Chi Minh historical Complex, Ho Chi Minh Mausoleum, the place where the body of Ho Chi Minh is kept

Vietnam Museum of Ethnology
Visit one of the best Asia museum which presents 54 ethnic groups inside Vietnam land with their culture, customs and religions. On Monday this museum is closed and the visit will be replaced by Women museum

Hanoi Old Quarter Vietnam
Have lunch with Vietnam delecacies in a well-known Vietnamese restaurant in Hanoi.

Chua Tran Quoc
Visit the first built pagoda in Hanoi. This is the best scenery for West lake of Hanoi

Temple of Literature & National University
Visit the first university of Vietnam from 1066 and also the temple worshiping Confusius.

Hoa Lo Prison
Visit the remain of Hoa Lo prison which was built by French and used by Vietnamese to keep American pilots during the war. Our driver will take you back to your hotel at the tour end.

Ba Dinh Square
Visit the place where Ho Chi Minh read the declaration to give birth Vietnam nation in 1945

One Pillar Pagoda
The unique Lotus shape pagoda worshipping Goddess of Mercy"
Capella Cruise 3Days/2Night on 6 Star Cruise All included_4.5_11,"Old Quarter, Hạ Long Bay","Old Quarter
Pick up & Drop off at hotel in Hanoi Old Quarter

Hạ Long Bay
You're warmly welcomed at Capella Cruise Center on Tuan Chau International Port by
our experienced staff (Lot 20b). You’re guided to complete the check-in procedure at
the waiting lounge before boarding for the cruise.Transfer by Tender boat from Tuan Chau Port to board the Capella cruise.Lunch served at Harmony of the Sea Restaurant. As the cruise departs towards Lan
Ha Bay, absorb yourself in the beautiful scenery with amazing limestone
surroundings.Cruise anchors at Frog Lagoon area for outdoor activities. Access to Capella’s
high-grade entertainment facilities for loads of fun water activities. You can choose
to rejoice in Infinity Oasis Pool and Jacuzzi, experience the thrills with Inflatable
Water Slide, swim in the green emerald water, kayak/try SUP around the beautiful
landscape of Lan Ha Bay, or try a Mini-Golf on the top deck.Enjoy your gourmet dinner menu in delighted fusion cuisine served at Harmony of the
Sea Restaurant and witness the beauty of the bay by night."
Sapphire Cruise Halong Bay 3Days 2Night on 4 Star Cruise_0.0_553,"Old Quarter, Lan Ha Bay","Old Quarter
Pick up & Drop off at hotel in Hanoi Old Quarter

Lan Ha Bay
09:00 – 09:30: Your air-conditioned transfer vehicle will collect you from your hotel in Hanoi and convey you to Got Ferry in Hai Phong city at approximately 11:30am.

 12:00: You will be taken aboard our support vessel and travel from the wharf via the bay to board our luxurious craft, Sapphire Cruise. You will be welcomed aboard and greeted with a complimentary drink. Our friendly and professional crew will conduct a compulsory safety procedure session and then you are free to check into your cabin and freshen up. We encourage you to explore our luxuriously-appointed ship then watch the magical landscape cruise past.

 13:15: A special lunch of fresh seafood and an assortment of appetizing delicacies will be served. You will be enchanted when decadently dining on our luxury junk, our lavish interpretation of a traditional Vietnamese boat. Life just doesn’t get better than this! We then set sail for Lan Ha Bay, passing Da Chong islet where you can see an ancient lighthouse built by the French over a century ago.

 15:00: The final part of the cruise takes us through the Cua Van area to Lan Ha Bay (part of Halong Bay). The 300 or so karst islands and limestone outcrops of Lan Ha are stunning with their pristine, snow-white beaches. You can explore Ba Trai Dao beach via kayaks or immerse yourself in the crystal clear waters.

 17:00: It’s time to return to your lavish liner and cruise to your evening accommodation.

 17:30 – 18:30: Happy hour? We offer an extensive drinks list including special offers such as two for one drinks.

 19:15: You can spoil yourself with a unique Dinner in our distinctive restaurant.

 20:45 - 12:00: It is now time to relax with an exotic cocktail and drink in the evening landscape. Our bar offers a wide range of wine, beer and liqueurs and is always a welcome sight for guests after a day sailing on the Bay. You can order an indulgent spa service, watch movies, go squid ﬁshing or simply relax on our roof top deck under the cover of a brightly illuminated sky."
NINH BINH package tour in 2 days/ 1 night: visit world heritage site & eco tour_5.0_4,"Hanoi Opera House, Hoa Lu Ancient Capital, Hoa Lu Temple, Tam Cốc-Bich Dộng, Mua Caves, Tam Cốc-Bich Dộng","Hanoi Opera House
Pick up from Hanoi old quarter in the morning with additional fees

Hoa Lu Ancient Capital
Pick up from Hoa Lu temple are at the 10.15 am with out fees

Hoa Lu Temple
Visit Hoa Lu – the ancient capital of Vietnam in 10th century

Tam Cốc-Bich Dộng
Take a boat trip to visit Tam Coc - about 2 hours

Mua Caves
Climbing up to visit Mua cave to see the panoramic view of limestone mountains in Ninh Binh

Tam Cốc-Bich Dộng
Enjoy amazing night in hotels/ bungalow in Tam Coc - Ninh Binh"
Saigon by Night: Ultimate Street Food Walk You Can’t Miss_5.0_52,"Catholic Church Huyen Sy, District 3 Tax Department, District 3 Tax Department, Hòa Bình District 10 Cultural Center, District 3 Tax Department, Hòa Bình District 10 Cultural Center, Hòa Bình District 10 Cultural Center, Hòa Bình District 10 Cultural Center, Hòa Bình District 10 Cultural Center, Ho Thi Ky Flower Market","Catholic Church Huyen Sy
Hotel pickup included. 
We will pick you up at your hotel in district 1. If you stay outside of district 1, we will meet you at the meeting point, Huyen Sy Church in District 1

District 3 Tax Department
Taste Beef Leaves Lode
Devour a Saigon specialty at this Michelin-chosen place. Learn how to make the beef rolls.

District 3 Tax Department
Try sticky rice
Sample grilled sticky rice banana with coconut milk.

Hòa Bình District 10 Cultural Center
Wander through tiny alleyways to a local vendor serving crispy giant ""Bánh Xèo"" and bite-sized ""Bánh Khọt"". Southern-style rice pancakes, paired with an abundance of fresh Vietnamese herbs.

As we arrive at our first stop, you'll be greeted by the sight and aroma of sizzling pancakes being cooked right before your eyes. Our expert chef will demonstrate the art of making Banh Xeo, showcasing the technique and skill required to achieve the perfect crispiness and flavor.

You'll have the opportunity to taste both the big and small versions of this delightful dish, allowing you to compare and contrast the different textures and flavors. From the crunchy exterior to the savory filling of shrimp, pork, bean sprouts, and herbs, every bite is sure to tantalize your taste buds.

District 3 Tax Department
As we explore this historic neighborhood, you'll witness the vibrant activities of local residents going about their nightly routines, offering a glimpse into authentic Saigonese life.

Immerse yourself in the bustling atmosphere and capture stunning photos of the unique architecture and lively street scenes that characterize this area. From the colorful facades to the bustling markets, every corner offers a snapshot of Saigon's rich cultural heritage.

Hòa Bình District 10 Cultural Center
After our flavorful adventure with Vietnamese Pizza, it's time to pause and refresh ourselves with a quintessential Vietnamese drink: fresh sugar cane juice. We'll make our way to the bustling second-hand and seafood markets, where you'll find vendors expertly pressing sugar cane to extract its sweet nectar.

As we arrive at the market, you'll be greeted by the rhythmic sound of the sugar cane press and the sweet aroma that fills the air. Take a moment to catch your breath and immerse yourself in the vibrant atmosphere of this bustling marketplace.

At the juice stand, you'll watch as the vendor skillfully feeds sugar cane stalks through the press, extracting the fresh juice that's bursting with natural sweetness. The result is a refreshing and revitalizing beverage that's perfect for quenching your thirst on a hot day.

Sip on your freshly squeezed sugar cane juice and savor the pure, natural flavors that dance across your palate.

Hòa Bình District 10 Cultural Center
We explore the local area and indulge in one of Saigon's most intriguing street foods: Vietnamese Pizza. Originating from the Central Highlands area, this dish puts a creative twist on the traditional pizza concept, offering a flavor experience like no other.

As we stroll through the streets, you'll have the opportunity to grab a beer and embrace the laid-back atmosphere, channeling your inner gangster as we navigate the vibrant streets of Saigon.

Our destination is a hidden gem known for serving up the best Vietnamese Pizza in town. Here, you'll be greeted by the tantalizing aroma of sizzling grills and the lively chatter of locals enjoying their favorite street foods.

Vietnamese Pizza, also known as ""Banh Trang Nuong,"" features a crispy rice paper base topped with a variety of savory ingredients, including minced pork, shrimp, scallions, and quail eggs.

Hòa Bình District 10 Cultural Center
Create Your Own Banh Mi
Hands-on: Make Your Own Authentic Banh Mi.

Hòa Bình District 10 Cultural Center
Last stop, we cross the street to explore other districts and stop at the most famous street food market and the biggest flower market. We will try the best dessert is Coconut Ice Cream, before We walk to the main road and take a cab to return!

Ho Thi Ky Flower Market
Hotel drop-off included

Ends at the flower market – I’ll help you get a taxi back to your hotel."
Ha Long Bay Luxury Cruise by Sea Octopus from Hanoi by Expressway_5.0_2,"Old Quarter, Halong International Cruise Port, Halong Bay, Sung Sot Cave, Ti Top Island, Hang Luon Cave, Old Quarter","Old Quarter
FOR THE GUESTS BOOK TOUR FROM HANOI ONLY:

At 6h00 AM : Pick-up the guests at hotels/stays inside the Old Quarter Area or Hanoi Opera House if outside. It takes about 2 hours to 2,5 hours drive by expressway to Halong Bay.

Halong International Cruise Port
FOR GUESTS BOOK ONLY CRUISE, NO TRANSFER : Please come by your own to HALONG INTERNATIONAL CRUISE PORT before 8h15 AM for boarding cruise (No later than or you will miss cruise).

Halong Bay
HIGHLIGHTS OF LUXURY DAY CRUISE IN HALONG BAY: 
✔️ Admire stunning scenery with thousands of limestone mountains at Halong Bay. 
✔️ Explore the secrets of Vietnamese cuisine with buffet on board. 
✔️ Explore Sung Sot Cave - one of the biggest caves in the bay. 
✔️ Go kayaking or Bamboo Boat in Luon Cave. (Pay extra if you do that because not included in tour price)
✔️ Enjoy the panoramic view of Ha Long Bay while climbing to the top of Titop island. 
✔️ Great chance to join in interesting activities on board like afternoon tea, relax and admire the sunset at Halong bay. 
✔️ Cruise return Tuan Chau Marina between 16h30 PM to 16h45 PM. 

NOTE : FOR THE GUESTS NOT USING OUR TRANSFER SERVICE WILL FINISH DAY CRUISE AT HALONG INTERNATIONAL CRUISE PORT

Sung Sot Cave
This is one of the most famous caves located in Ha Long Bay. Sung Sot cave was found by the French in 1901, they discovered this cave and named it ""La Grotte des Surprises"" for its beauty and majesty in the cave. This is the widest and most beautiful cave of Ha Long Bay and this is also the place where many unique shape rocks are found

Ti Top Island
TiTov Island is one of the most perfect destinations in Halong Bay for swimming,and climbing

Hang Luon Cave
Doing kayaking or bamboo boat 
(Price not included so need to extra pay 10 usd/ a pax)

Old Quarter
FOR THE GUESTS BOOK TOUR FROM HANOI ONLY: 
Guests get on transfer back to Hanoi withtin 2.5 hours to 3 hours driving."
1-Day Cai Rang Floating Market-Biking & Cu Chi Tunnel Trip_5.0_12,"Cai Rang Floating Market, Ben Dinh Tunnels","Cai Rang Floating Market
- Pick-up at your accommodation at 4:30 AM.
- Take a few minutes to explore Cai Rang Floating Market. The route passes houses built on stilts over the water and boats of various sizes, shapes, and colors docked along the shore.
- You can stop by the side of such a food-court boat to climb on the local vessel or ask the boat’s driver to stop at some floating huts along the shore.
- Enjoy beverages and dishes throughout the Mekong Delta River, such as Ca Phe Sua Da (Iced coffee with condensed milk) or bun rieu (a rice vermicelli soup with a crab meat mixture made of freshwater mini crabs, pork, etc.). You will also get to experience making Hu Tieu (a rice noodle dish).
After that, we will bike along a peaceful trail through the village, passing many fruit gardens with a variety of fruit. We will enjoy the fresh air and the simple life of the locals.

Ben Dinh Tunnels
After enjoying the Floating Market trip, we will leave for the Cu Chi Legend Tunnel. The journey to the Cu Chi tunnel takes around 3.5 hours, and we will have lunch at a local restaurant on the way.

Upon arrival, you will have the opportunity to explore remnants of wartime, such as the secret bunkers used as military shelters for Vietnamese soldiers. You can watch a documentary to understand how the Vietnamese bravely fought for independence.

Visitors can crawl and crouch through the tunnels to gain insight into the challenging conditions people faced in the past. Additionally, they can visit the shooting range at their own expense (excluding bullet costs).

Before departing, you'll have the chance to sample tapioca and tea, which were staples of the soldiers' daily diet in the past.

After the Cu Chi Tunnels visit, we will return to Ho Chi Minh City, where guests will be dropped off at their hotels to conclude the tour."
5 Day Package Northern Vietnam Tour to Hanoi Ninh Binh Halong Bay_4.5_2,"Noi Bai International Airport, Old Quarter, Temple Of Literature, Hoa Lo Prison, Old Quarter","Noi Bai International Airport
Greetings in Hanoi! Upon your arrival at the airport, you will be greeted by our driver and transported to your hotel in Hanoi City Center. Arrive at the hotel after a hour drive then check in hotel as follow check in regular.

Old Quarter
Hanoi stands out as one of Asia's most charming cities. Abundant in culture and history, this multifaceted city reflects the fusion of French and Chinese influences. The remainder of the day is yours to relish.

You will join half day group City Tour for see some highlights of Hanoi Capital City. 

12h30: Tour guide and our Bus pick up at your hotel and go to the restaurant.
12h45: Have lunch at restaurant. You have an opportunity to enjoy Vietnamese cuisine.

Temple Of Literature
14h00-14h15: Continue to visit Temple of Literature – the first university of Vietnam, The Temple of Literature (Van Mieu Quoc Tu Giam) is one of the most attractive tourist spots in Northern Vietnam. The Temple of Literature was founded in 1070.

Hoa Lo Prison
15h15: Keep going to visit Hoa Lo Prison, the prison was built by the French, from 1886 to 1901, When Vietnam was still a part of French Indochina. The French called the prison Maison Centrale. The prison was called “A Hell on Earth” and now the prison is like a war museum for those who want to understand more about the war against France of Vietnamese people.

Old Quarter
16h30: Our Bus take you back to the Hotel. We finish the tour.
Free time explore Old Quarter Area in night. 
Overnight at Hotel in Hanoi Old Quarter Area."
"Hoi An Ancient Town -Walking Tour,Lantern Boat Ride, Night Market_4.5_6","Hoi An Night Market, Japanese Covered Bridge, Hoi An Ancient Town","Hoi An Night Market
Colourful Lanterns, Shopping Stall, Eating Area

Japanese Covered Bridge
Symbol of Hoi An city

Hoi An Ancient Town
Hoi An is an ancient town located in the lower section of Thu Bon River, Quang Nam Province, about 30 kilometers south of Danang city. Hoi An was a bustling international trading port,a meeting place of the trading ships of Japan, China and the West during the 17th and 18th centuries. Before this period, there was here also traces of Champa port which was known as a site on Silk Road along the sea. Hoi An ancient town today is a special example of a traditional port city in Southeast Asia which has been well preserved. Most houses here are of traditional architecture dating from the 17th to the 19th century, and are along the narrow main streets. Hoi An is also a land mark recorded much of the mixture of acculturation. The architecture of the city reflects the influence of chinese, japanese, french traders. Hoi An still maintained an intangible cultural diversity and richness. 
 UNESCO has recognized the ancient town of Hoi An as a world cultural heritage in 1999"
Halong Bay Day Tour Luxury Cruise With Jacuzzi and Buffet Lunch_5.0_426,"Hanoi, Hạ Long Bay, Hanoi","Hanoi
Enjoy convenient pickup by bus from your accommodation in Hanoi's Old Quarter ( 8:00 - 8:45am ) and get ready for your adventure. Relax as you make the journey to Tuan Chau Harbor, including a pleasant break midway through your journe

Hạ Long Bay
12:00: Once arrived, board your boat and set sail on famous Halong Bay. Be served an exciting lunch while on the water of traditional Vietnamese seafood. Admire the scenery as you tuck into your food.

13.30: Pause for a stop at Surprising Cave go inside to be wowed by the numerous natural stalagmites and stalactites.

14.45: Take a ride on the crystal-clear water at your next stop of Luon Cove. Make your choice from either kayaking or bamboo boat rowing and experience the thrill of propelling yourself through the waves.

15.45: Hike to the top of a mountain at the next stop on Titop Island to admire the panoramic view of Halong Bay. Alternatively, simply kick back, relax and swim on the local beach.

17.00: Top off your day with a sunset party on your boat as it heads back to harbor. Sip on red wine, and taste fresh fruit and local cakes as you head back to Tuan Chau
18.00: Get on the bus go back to Hanoi

Hanoi
21.00: Drop off at your hotel in Hanoi Old Quarter. Tour Ends"
Hue Ancient Capital in a day from Danang City_5.0_6,"Da Nang, Tomb of Tu Duc, Hue Imperial City (The Citadel), Thien Mu Pagoda","Da Nang
7h15-8h00: We pick up around the city center of Danang within the 45 minutes pick up before the start time. Our guide will get you at the hotel lobby and ask receptionist. Kindly set your phone connected to whatsapp and available a the pick up time. Later set the almost 2 hours drive to Hue city from Danang. We stop half way to visit a Cham oil factory where our guide will explain to you about the way the special oil is made in Hue. Have a stop halfway for washroom.

Tomb of Tu Duc
10h00: Visit Tu Duc tomb. (Under a case the tomb is close for maintainance another tomb will be replaced). This tomb (completed in 1867) is the most popular, imposing and impressive of the royal mausoleums, designed by Emperor Tu Duc himself before his death. After this tomb, we get to lunch break for a set menu of Vietnamese food. Government entry ticket 150.000d of this place is not included in our tour fare. Customers will pay directly at spot or give our guide in cash to help you to buy

Hue Imperial City (The Citadel)
Hue Imperial City, one of the most important structures of the Nguyen Dynasty, holds memories of a powerful feudal era in Vietnam. Visitors to Hue must explore this site to admire the beauty of the timeless architectural structures of the ancient imperial capital.
Government entry ticket 200.000d of this place is not included in our tour fare. Customers will pay directly at spot or give our guide in cash to help you to buy

Thien Mu Pagoda
The Thien Mu Pagoda is arguably the most well-known pagoda in Hue. It is distinguished by its antique architecture, sanctity, and mythology containing numerous secret historical tales. After visiting this place, we will set a drive back to Danang city and finish the tour around 5h30 PM at your hotel in Danang. End of the tour"
Cozy Bay Grand Halong Bay Overnight Boutique Cruise 2days/1night_3.5_40,"Old Quarter, Halong Bay, Ti Top Island, Hang Luon Cave, Halong Bay","Old Quarter
FOR GUESTS USING TRANSFER FROM HANOI ONLY: 
Pick up at your hotels/stays inside Old Quarter Area between 07h30 am to 08h00 am. If you stay outside of Old Quarter, pick up at meeting point: Hanoi Opera House. It takes about 2,5 hours drive to Halong Bay included 1 short break on the way.

Halong Bay
✔️FOR GUESTS NOT USING TRANSFER, BOOK TOUR FROM HALONG: Please come to Tuan Chau Harbor on your own at 11:30 am to complete the registration procedures for boarding the cruise. If any late arrival, you might be denied by port authority or subject to an extra fee.

✔️THIS IS ITINENARY OF 2 DAYS CRUISE:
11:45 - 12:00 - At Tuan Chau Harbor, check-in at Cozy Bay Grand Cruise Lounge.
12:30 - Welcome aboard! Enjoy a refreshing welcome drink, cruise briefing, and cabin check-in.
13:00 - Delight in a Buffet lunch while cruising through the stunning limestone landscapes of Ha Long Bay.
17:30 - Return to the cruise and unwind on the sundeck with breathtaking sunset views.
17:30 - 18:30 - Happy Hour – BUY 2 DRINKS, GET 1 FREE
18:00 - Sunset Party and Cooking Class.
Enjoy wine and fresh fruits while taking part in the cooking demonstration. Our chef will show how to make Vietnamese fresh spring rolls, and you will have the chance to taste the dish you prepared yourself.

Ti Top Island
14:30 - Visit Titov Island: Hike to the summit for panoramic views Or relax and swim on the sandy beach

Hang Luon Cave
16:00 Visit Luon Cave by bamboo boat or kayak, gliding through calm waters surrounded by majestic cliffs.

Halong Bay
19:00 - Dinner
Enjoy a romantic dinner served at the restaurant while admiring the sparkling beauty of Ha Long Bay at night.
20:30 - After dinner:
After dinner, guests can relax on the sundeck and enjoy the peaceful night scenery of the bay. You may also join several complimentary evening activities such as watching the traditional cultural fashion show “Heritage Footsteps”, taking souvenir photos, night squid fishing, singing Karaoke, playing board games, and admiring the tranquil night view of the bay.
Alternatively, guests can enjoy additional paid services such as massage treatments or drinks at the Sky Bar.
Note: Music will be turned off after 22:30 to maintain a quiet atmosphere on the cruise"
Old Quarter Hanoi Street Foods and Heritage Road Tour by Walking_5.0_126,"Hanoi Street Food Tour, Old Quarter, Dong Xuan Market, Long Bien Bridge, Phung Hung Mural Street, Duờng Tau","Hanoi Street Food Tour
Welcome Happy Water Drink

Old Quarter
We will discover O Quan Chuong Gate & Taste some different street foods at different street foods's Vendors

Dong Xuan Market
The forerunner of Dong Xuan Market was Bach Ma Market and Cau Dong Market - the two ancient markets of Thang Long Citadel. After the French authority ordered the abolition of all small markets to form a new large market in the purpose of facilitating the purchase and exchange of goods, Dong Xuan Market was born in 1889. Thanks to its riverside location - where boats operated busily all day and night, the market quickly became the biggest trade center in the capital.

In 1947, the market was heavily influenced by the fierce war of the Hanoi's soldiers and people in the early days of the resistance war. Then, a big fire occurring in 1994 caused great damage in the market. Therefore, a year later, Dong Xuan Market was rebuilt with a total area of three floors of nearly 14,000 m2 with more than 2,000 stores.

Long Bien Bridge
Long Bien Bridge (Vietnamese: Cầu Long Biên), is about 2km from Hoan Kiem Lake, with a history of over 100 years, is not only a traffic construction but also a meaningful historical and symbolic witness to the resilience of Hanoi during the two greatest resistance wars against the French colonialists and American imperialism as well as the dramatic changes of this city in the new era.

Phung Hung Mural Street
Phung Hung Mural Street is a gorgeous tourist attraction in the capital city of Vietnam, displaying the best murals from talented Hanoi

Duờng Tau
Nestled in Hanoi's Old Quarter, this narrow alley attracts travelers hoping to snap a picture on the active train track, and even catch a train whizz by"
