target,driver,window,n,slope,intercept,r,p,spearman,perm_p,loo_rmse,naive_rmse,loo_mean_rmse,beats_naive,beats_loo_mean,note
abnb_na_nights_differential_pp__qoq_diff,ipp_xb_na_qoq_diff,post22,15,0.145,0.0626,0.1225,0.6636,0.1893,0.6583,3.7008,4.3518,3.5275,True,False,
abnb_na_nights_differential_pp,ipp_xb_na_lag0,from_4Q24_disclosed_era,7,0.4257,-4.9994,0.825,0.0223,0.8571,0.025,1.6786,1.8649,2.3089,True,True,
abnb_na_nights_differential_pp__qoq_diff,ipp_xb_na_qoq_diff,from_4Q24_disclosed_era,6,0.1622,0.672,0.2986,0.5654,0.3714,0.5435,2.39,3.3112,2.001,True,False,
abnb_na_nights_differential_pp,ipp_xb_na_lag1,ex_reopening_2019_plus_from_1Q24,10,0.2673,-5.1967,0.4076,0.2424,0.5273,0.2328,2.5247,2.383,2.5095,False,False,
abnb_na_nights_differential_pp,ipp_xb_na_lag1,post22,16,0.4829,-6.2566,0.6048,0.0131,0.5666,0.015,3.2995,3.2974,3.7829,False,True,
abnb_na_nights_differential_pp,ipp_xb_na_lag1,from_4Q24_disclosed_era,7,0.4011,-4.6985,0.7891,0.0349,0.7857,0.04,1.6804,1.8649,2.3089,True,True,
abnb_na_nights_differential_pp,ipp_na_lag0,ex_reopening_2019_plus_from_1Q24,10,2.9523,-5.2055,0.5937,0.0704,0.6485,0.0829,2.2054,2.383,2.5095,True,True,
abnb_na_nights_differential_pp__qoq_diff,ipp_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.4191,0.7894,0.0717,0.8545,0.15,0.8611,2.8149,3.5674,2.524,True,False,
abnb_na_nights_differential_pp,ipp_na_lag0,post22,16,3.121,-6.454,0.492,0.0529,0.4371,0.0699,3.688,3.2974,3.7829,False,True,
abnb_na_nights_differential_pp__qoq_diff,ipp_na_qoq_diff,post22,15,1.4142,0.036,0.1574,0.5752,0.2143,0.5674,3.6583,4.3518,3.5275,True,False,
abnb_na_nights_differential_pp,ipp_na_lag0,from_4Q24_disclosed_era,7,3.1953,-4.8908,0.8248,0.0224,0.8571,0.027,1.6911,1.8649,2.3089,True,True,
abnb_na_nights_differential_pp__qoq_diff,ipp_na_qoq_diff,from_4Q24_disclosed_era,6,1.2377,0.6757,0.3179,0.5392,0.3714,0.5614,2.3684,3.3112,2.001,True,False,
abnb_na_nights_differential_pp,ipp_na_lag1,ex_reopening_2019_plus_from_1Q24,10,2.031,-5.1454,0.4089,0.2407,0.5152,0.2328,2.5138,2.383,2.5095,False,False,
abnb_na_nights_differential_pp,ipp_na_lag1,post22,16,3.831,-6.114,0.6192,0.0105,0.5636,0.02,3.2513,3.2974,3.7829,True,True,
abnb_na_nights_differential_pp,ipp_na_lag1,from_4Q24_disclosed_era,7,2.9719,-4.6065,0.7763,0.0401,0.7857,0.033,1.7261,1.8649,2.3089,True,True,
abnb_emea_nights_differential_pp,ipp_xb_emea_lag0,ex_reopening_2019_plus_from_1Q24,10,0.1789,-1.6995,0.3222,0.3639,0.1758,0.3886,1.4523,1.8359,1.3879,True,False,
abnb_emea_nights_differential_pp__qoq_diff,ipp_xb_emea_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-0.0296,-0.3104,-0.0462,0.906,-0.2333,0.9051,2.6254,3.1476,2.0347,True,False,
abnb_emea_nights_differential_pp,ipp_xb_emea_lag0,post22,16,0.1455,-1.2281,0.3052,0.2504,0.2794,0.2527,3.5924,3.3002,2.6897,False,False,
abnb_emea_nights_differential_pp__qoq_diff,ipp_xb_emea_qoq_diff,post22,15,0.0799,0.2503,0.0799,0.7771,0.225,0.7652,3.6952,4.7405,3.5304,True,False,
abnb_emea_nights_differential_pp,ipp_xb_emea_lag0,from_4Q24_disclosed_era,7,0.1248,-2.1778,0.3093,0.4996,0.2857,0.4585,1.1693,1.6935,1.0944,True,False,
abnb_emea_nights_differential_pp__qoq_diff,ipp_xb_emea_qoq_diff,from_4Q24_disclosed_era,6,0.0691,-0.193,0.1333,0.8012,-0.1429,0.7752,2.8309,3.3058,2.0225,True,False,
abnb_emea_nights_differential_pp,ipp_xb_emea_lag1,ex_reopening_2019_plus_from_1Q24,10,0.1616,-1.6997,0.2593,0.4693,0.2121,0.4945,1.421,1.8359,1.3879,True,False,
abnb_emea_nights_differential_pp,ipp_xb_emea_lag1,post22,16,0.2095,-1.2739,0.4927,0.0525,0.2647,0.043,2.8622,3.3002,2.6897,True,False,
abnb_emea_nights_differential_pp,ipp_xb_emea_lag1,from_4Q24_disclosed_era,7,0.2198,-1.7022,0.4317,0.3335,0.2857,0.3556,1.1337,1.6935,1.0944,True,False,
abnb_emea_nights_differential_pp,ipp_emea_lag0,ex_reopening_2019_plus_from_1Q24,10,0.5236,-2.0224,0.1919,0.5952,0.0424,0.6034,1.4562,1.8359,1.3879,True,False,
abnb_emea_nights_differential_pp__qoq_diff,ipp_emea_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-0.2729,-0.2944,-0.0878,0.8224,-0.2333,0.8262,2.6852,3.1476,2.0347,True,False,
abnb_emea_nights_differential_pp,ipp_emea_lag0,post22,16,0.3506,-1.3257,0.1678,0.5345,0.1176,0.5255,3.5723,3.3002,2.6897,False,False,
abnb_emea_nights_differential_pp__qoq_diff,ipp_emea_qoq_diff,post22,15,0.1457,0.2098,0.0365,0.8972,0.2036,0.9081,3.81,4.7405,3.5304,True,False,
abnb_emea_nights_differential_pp,ipp_emea_lag0,from_4Q24_disclosed_era,7,0.5382,-2.3406,0.291,0.5267,0.0357,0.4915,1.1711,1.6935,1.0944,True,False,
abnb_emea_nights_differential_pp__qoq_diff,ipp_emea_qoq_diff,from_4Q24_disclosed_era,6,0.3284,-0.1972,0.1299,0.8063,-0.1429,0.8262,2.9117,3.3058,2.0225,True,False,
abnb_emea_nights_differential_pp,ipp_emea_lag1,ex_reopening_2019_plus_from_1Q24,10,-0.1687,-2.4327,-0.0573,0.875,0.0182,0.8971,1.619,1.8359,1.3879,True,False,
abnb_emea_nights_differential_pp,ipp_emea_lag1,post22,16,0.7883,-1.3031,0.4217,0.1037,0.2206,0.0929,3.0213,3.3002,2.6897,True,False,
abnb_emea_nights_differential_pp,ipp_emea_lag1,from_4Q24_disclosed_era,7,0.9934,-1.9481,0.4071,0.3647,0.4643,0.3187,1.1549,1.6935,1.0944,True,False,
abnb_latam_nights_differential_pp,ipp_xb_latam_lag0,ex_reopening_2019_plus_from_1Q24,10,0.0456,9.6123,0.2092,0.5619,0.1273,0.5405,2.4712,2.714,2.2287,True,False,
abnb_latam_nights_differential_pp__qoq_diff,ipp_xb_latam_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-0.0128,0.012,-0.0287,0.9415,0.15,0.9381,3.4195,4.6916,3.0532,True,False,
abnb_latam_nights_differential_pp,ipp_xb_latam_lag0,post22,16,0.1041,9.0514,0.3198,0.2272,0.2353,0.2038,3.0286,3.1742,2.9548,True,False,
abnb_latam_nights_differential_pp__qoq_diff,ipp_xb_latam_qoq_diff,post22,15,0.0924,0.1527,0.1508,0.5917,0.202,0.5844,3.6517,4.8175,3.3986,True,False,
abnb_latam_nights_differential_pp,ipp_xb_latam_lag0,from_4Q24_disclosed_era,7,0.0922,10.2034,0.4886,0.2659,0.5357,0.2787,2.3019,3.021,2.1991,True,False,
abnb_latam_nights_differential_pp__qoq_diff,ipp_xb_latam_qoq_diff,from_4Q24_disclosed_era,6,0.2037,0.8961,0.2496,0.6334,0.4286,0.6503,6.9006,5.5308,3.6237,False,False,
abnb_latam_nights_differential_pp,ipp_xb_latam_lag1,ex_reopening_2019_plus_from_1Q24,10,0.1352,9.3879,0.5916,0.0716,0.3697,0.0719,1.9951,2.714,2.2287,True,True,
abnb_latam_nights_differential_pp,ipp_xb_latam_lag1,post22,16,0.1601,9.1013,0.4841,0.0574,0.3088,0.0659,2.7338,3.1742,2.9548,True,True,
abnb_latam_nights_differential_pp,ipp_xb_latam_lag1,from_4Q24_disclosed_era,7,0.1297,9.7382,0.6207,0.1369,0.5357,0.1479,2.0017,3.021,2.1991,True,True,
abnb_latam_nights_differential_pp,ipp_latam_lag0,ex_reopening_2019_plus_from_1Q24,10,0.1605,9.6179,0.2005,0.5787,0.1758,0.5744,2.482,2.714,2.2287,True,False,
abnb_latam_nights_differential_pp__qoq_diff,ipp_latam_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-0.0012,0.0176,-0.0007,0.9985,0.15,0.999,3.436,4.6916,3.0532,True,False,
abnb_latam_nights_differential_pp,ipp_latam_lag0,post22,16,0.3532,9.0107,0.2887,0.2783,0.1824,0.2577,3.0498,3.1742,2.9548,True,False,
abnb_latam_nights_differential_pp__qoq_diff,ipp_latam_qoq_diff,post22,15,0.3747,0.1651,0.1653,0.5561,0.202,0.5634,3.6295,4.8175,3.3986,True,False,
abnb_latam_nights_differential_pp,ipp_latam_lag0,from_4Q24_disclosed_era,7,0.3374,10.2232,0.4895,0.2649,0.5357,0.2857,2.3184,3.021,2.1991,True,False,
abnb_latam_nights_differential_pp__qoq_diff,ipp_latam_qoq_diff,from_4Q24_disclosed_era,6,0.926,1.0954,0.302,0.5608,0.4286,0.5395,6.3619,5.5308,3.6237,False,False,
abnb_latam_nights_differential_pp,ipp_latam_lag1,ex_reopening_2019_plus_from_1Q24,10,0.4811,9.4,0.5723,0.0838,0.3576,0.0889,2.0259,2.714,2.2287,True,True,
abnb_latam_nights_differential_pp,ipp_latam_lag1,post22,16,0.5772,9.0426,0.4616,0.0719,0.3029,0.0509,2.7647,3.1742,2.9548,True,True,
abnb_latam_nights_differential_pp,ipp_latam_lag1,from_4Q24_disclosed_era,7,0.4646,9.7797,0.6135,0.1429,0.5357,0.1558,2.0138,3.021,2.1991,True,True,
abnb_apac_nights_differential_pp,ipp_xb_apac_lag0,ex_reopening_2019_plus_from_1Q24,10,-0.0445,8.492,-0.0569,0.8759,-0.1879,0.8751,2.7719,1.6887,2.1287,False,False,
abnb_apac_nights_differential_pp__qoq_diff,ipp_xb_apac_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-0.3694,-0.686,-0.5453,0.1289,-0.6276,0.1109,1.8097,2.7545,1.8381,True,True,
abnb_apac_nights_differential_pp,ipp_xb_apac_lag0,post22,16,1.0205,9.5845,0.3195,0.2277,0.4706,0.2557,9.2357,7.3148,9.6032,False,True,
abnb_apac_nights_differential_pp__qoq_diff,ipp_xb_apac_qoq_diff,post22,15,-1.4252,-2.5057,-0.5158,0.049,-0.4164,0.044,7.1315,11.776,7.4911,True,True,
abnb_apac_nights_differential_pp,ipp_xb_apac_lag0,from_4Q24_disclosed_era,7,-0.5862,8.356,-0.8626,0.0125,-0.75,0.02,0.8337,1.929,1.5103,True,True,
abnb_apac_nights_differential_pp__qoq_diff,ipp_xb_apac_qoq_diff,from_4Q24_disclosed_era,6,-0.7679,-0.1027,-0.8098,0.0508,-0.7714,0.041,2.1293,3.3392,2.2956,True,True,
abnb_apac_nights_differential_pp,ipp_xb_apac_lag1,ex_reopening_2019_plus_from_1Q24,10,0.2951,7.6865,0.3792,0.2798,0.3697,0.2857,2.1517,1.6887,2.1287,False,False,
abnb_apac_nights_differential_pp,ipp_xb_apac_lag1,post22,16,1.346,8.0995,0.4049,0.1198,0.5647,0.1299,9.1494,7.3148,9.6032,False,True,
abnb_apac_nights_differential_pp,ipp_xb_apac_lag1,from_4Q24_disclosed_era,7,-0.1533,7.6038,-0.2526,0.5847,-0.2143,0.5914,2.1321,1.929,1.5103,False,False,
abnb_apac_nights_differential_pp,ipp_apac_lag0,ex_reopening_2019_plus_from_1Q24,10,-0.3014,8.4375,-0.1817,0.6153,-0.3576,0.6074,2.4071,1.6887,2.1287,False,False,
abnb_apac_nights_differential_pp__qoq_diff,ipp_apac_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-1.0614,-0.8444,-0.5981,0.0889,-0.3766,0.0699,2.034,2.7545,1.8381,True,False,
abnb_apac_nights_differential_pp,ipp_apac_lag0,post22,16,0.5683,12.8346,0.068,0.8023,0.1294,0.8032,9.7931,7.3148,9.6032,False,False,
abnb_apac_nights_differential_pp__qoq_diff,ipp_apac_qoq_diff,post22,15,-4.2213,-2.848,-0.541,0.0373,-0.395,0.039,6.8885,11.776,7.4911,True,True,
abnb_apac_nights_differential_pp,ipp_apac_lag0,from_4Q24_disclosed_era,7,-0.5521,7.4197,-0.5457,0.2052,-0.6786,0.2038,1.6281,1.929,1.5103,True,False,
abnb_apac_nights_differential_pp__qoq_diff,ipp_apac_qoq_diff,from_4Q24_disclosed_era,6,-1.2485,-0.684,-0.6639,0.1505,-0.3714,0.1269,2.7304,3.3392,2.2956,True,False,
abnb_apac_nights_differential_pp,ipp_apac_lag1,ex_reopening_2019_plus_from_1Q24,10,-0.2054,8.4913,-0.091,0.8027,-0.2485,0.8072,2.3822,1.6887,2.1287,False,False,
abnb_apac_nights_differential_pp,ipp_apac_lag1,post22,16,1.9762,11.7641,0.1794,0.5061,0.0971,0.5065,9.7019,7.3148,9.6032,False,False,
abnb_apac_nights_differential_pp,ipp_apac_lag1,from_4Q24_disclosed_era,7,-0.7777,7.618,-0.5588,0.1923,-0.6786,0.1988,1.5548,1.929,1.5103,True,False,
abnb_pooled_regional_differential_pp_demeaned,ipp_xb_demeaned_lag0,ex_reopening_2019_plus_from_1Q24,40,0.0854,0.0,0.2337,0.1468,0.2486,0.1608,1.9511,2.168,1.943,True,False,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_demeaned_lag0,ex_reopening_2019_plus_from_1Q24,40,0.1649,0.0,0.1233,0.4483,0.1034,0.4396,1.9865,2.168,1.943,True,False,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_xb_demeaned_lag0,post22,64,0.2106,-0.0,0.2287,0.0691,0.316,0.0679,5.1753,5.6679,5.2704,True,True,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_demeaned_lag0,post22,64,0.4911,-0.0,0.1343,0.2899,0.1841,0.2867,5.2599,5.6679,5.2704,True,True,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_xb_demeaned_lag0,from_1Q24,40,0.0854,0.0,0.2337,0.1468,0.2486,0.1558,1.9511,2.168,1.943,True,False,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_demeaned_lag0,from_1Q24,40,0.1649,0.0,0.1233,0.4483,0.1034,0.4426,1.9865,2.168,1.943,True,False,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_xb_demeaned_lag0,from_4Q24_disclosed_era,28,0.1134,0.0,0.3981,0.0359,0.329,0.038,1.587,2.1464,1.6418,True,True,"pooled across four regions, both sides demeaned by region"
abnb_pooled_regional_differential_pp_demeaned,ipp_demeaned_lag0,from_4Q24_disclosed_era,28,0.269,0.0,0.2637,0.1752,0.1779,0.1838,1.6582,2.1464,1.6418,True,False,"pooled across four regions, both sides demeaned by region"
abnb_cross_border_share_pct,ipp_xb_global_equal_lag0,full,17,3.5168,40.9601,0.313,0.2212,0.3887,0.2228,8.7653,3.2113,8.6091,False,False,
abnb_cross_border_share_chg_pp,ipp_xb_global_equal_lag0,full,13,1.8359,5.9179,0.2181,0.4741,0.3619,0.4655,6.2956,3.1358,6.1779,False,False,
abnb_cross_border_share_pct,ipp_xb_global_equal_lag0,ex_covid,13,2.2978,44.8968,0.5144,0.0721,0.3795,0.0729,3.0524,2.1213,3.2787,False,True,
abnb_cross_border_share_chg_pp,ipp_xb_global_equal_lag0,ex_covid,13,1.8359,5.9179,0.2181,0.4741,0.3619,0.4965,6.2956,3.1358,6.1779,False,False,
abnb_cross_border_share_pct,ipp_xb_global_equal_lag1,full,17,0.1731,41.3613,0.0184,0.9442,0.2214,0.951,9.8213,3.2113,8.6091,False,False,
abnb_cross_border_share_chg_pp,ipp_xb_global_equal_lag1,full,13,2.3464,5.5085,0.3096,0.3034,0.5111,0.2767,6.1758,3.1358,6.1779,False,True,
abnb_cross_border_share_pct,ipp_xb_global_equal_lag1,ex_covid,13,2.0358,44.6912,0.5061,0.0776,0.3878,0.0899,3.0794,2.1213,3.2787,False,True,
abnb_cross_border_share_chg_pp,ipp_xb_global_equal_lag1,ex_covid,13,2.3464,5.5085,0.3096,0.3034,0.5111,0.2967,6.1758,3.1358,6.1779,False,True,
abnb_cross_border_nights_growth_pct,ipp_xb_global_equal_lag0,full,8,38.7063,44.7027,0.617,0.1032,0.7619,0.1019,28.2251,18.6701,33.0735,False,True,
abnb_cross_border_nights_growth_pct,ipp_xb_global_equal_lag1,full,8,41.706,42.3131,0.71,0.0485,0.9048,0.05,27.2519,18.6701,33.0735,False,True,
abnb_cross_border_nights_growth_to_apac_pct,ipp_xb_apac_lag0,full,7,6.2055,31.9012,0.3908,0.386,0.6429,0.4456,54.8914,38.848,55.6297,False,True,

